alpha,margin,quantile_level,cal_safety_rate,cal_mean_excess,cal_mean_u_ctrl,cal_mean_under_control,cal_std_u_ctrl,cal_n_rollouts,cal_passes
0.05,0.0,0.95,0.685,0.060250000000000005,0.33525,0.04575,0.16976435874470236,200,False
0.05,0.05,0.95,0.825,0.145,0.42325,0.039,0.2006163938964112,200,False
0.05,0.1,0.95,0.87,0.20099999999999998,0.49550000000000005,0.016999999999999998,0.1772138538602442,200,False
0.05,0.15,0.95,0.845,0.2,0.49924999999999997,0.027749999999999993,0.1816918751623198,200,False
0.05,0.2,0.95,0.99,0.3335,0.5872499999999999,0.0004999999999999999,0.17535660095930236,200,False
0.05,0.25,0.95,0.945,0.35,0.6229999999999999,0.009750000000000002,0.20921520021260406,200,False
0.05,0.3,0.95,0.98,0.406,0.684,0.0019999999999999996,0.17304334717058614,200,False
0.05,0.4,0.95,1.0,0.5327500000000001,0.8055000000000001,0.0,0.17152186449546308,200,True
0.05,0.5,0.95,1.0,0.61,0.8859999999999999,0.0,0.14354093492798492,200,True
0.02,0.0,0.98,0.7,0.045,0.33425,0.052750000000000005,0.16059090104984156,200,False
0.02,0.05,0.98,0.855,0.16525,0.4302500000000001,0.0275,0.2034021570682081,200,False
0.02,0.1,0.98,0.885,0.213,0.50325,0.014749999999999996,0.18668673627229118,200,False
0.02,0.15,0.98,0.915,0.23125,0.516,0.010249999999999999,0.17217433025860737,200,False
0.02,0.2,0.98,0.965,0.31074999999999997,0.5727499999999999,0.006750000000000001,0.1847834881692626,200,False
0.02,0.25,0.98,0.975,0.3847499999999999,0.6509999999999999,0.0034999999999999996,0.20687919180043216,200,False
0.02,0.3,0.98,0.96,0.41950000000000004,0.7095,0.003999999999999999,0.18536383142350074,200,False
0.02,0.4,0.98,1.0,0.54475,0.84,0.0,0.16703293088490065,200,True
0.02,0.5,0.98,1.0,0.607,0.884,0.0,0.15147276983009192,200,True
0.01,0.0,0.99,0.79,0.11774999999999998,0.38075,0.030999999999999996,0.17590320491679506,200,False
0.01,0.05,0.99,0.86,0.16200000000000003,0.44025000000000003,0.024249999999999997,0.207526956080409,200,False
0.01,0.1,0.99,0.855,0.21,0.49675,0.019499999999999997,0.19736245210272393,200,False
0.01,0.15,0.99,0.94,0.27825,0.54025,0.005499999999999998,0.18060298308721262,200,False
0.01,0.2,0.99,0.965,0.281,0.5879999999999999,0.00875,0.17980823117977665,200,False
0.01,0.25,0.99,0.985,0.40674999999999994,0.693,0.0030000000000000005,0.21107107807560943,200,False
0.01,0.3,0.99,0.985,0.44425000000000003,0.726,0.0014999999999999996,0.1786728854639114,200,False
0.01,0.4,0.99,1.0,0.5425,0.8334999999999999,0.0,0.14638220520268164,200,True
0.01,0.5,0.99,1.0,0.6232500000000001,0.8830000000000001,0.0,0.14460636223901077,200,True
0.005,0.0,0.995,0.765,0.0975,0.38075000000000003,0.036,0.16152998947563882,200,False
0.005,0.05,0.995,0.87,0.16750000000000004,0.446,0.020499999999999997,0.1908769236969205,200,False
0.005,0.1,0.995,0.875,0.21475000000000002,0.48375,0.020999999999999998,0.1928689645847667,200,False
0.005,0.15,0.995,0.925,0.25575,0.52025,0.010749999999999997,0.16187166984991538,200,False
0.005,0.2,0.995,0.965,0.32350000000000007,0.5937499999999999,0.005750000000000001,0.17043602172076186,200,False
0.005,0.25,0.995,0.975,0.41,0.6709999999999999,0.0030000000000000005,0.1973803434995491,200,False
0.005,0.3,0.995,0.965,0.44975000000000004,0.732,0.003499999999999999,0.18648324321504064,200,False
0.005,0.4,0.995,1.0,0.5435,0.8225,0.0,0.1635351644142629,200,True
0.005,0.5,0.995,1.0,0.6185,0.904,0.0,0.13558761005342634,200,True
0.001,0.0,0.999,0.82,0.08474999999999999,0.3822499999999999,0.02775,0.1682927137460205,200,False
0.001,0.05,0.999,0.895,0.18975,0.4705,0.01975,0.20773721380628943,200,False
0.001,0.1,0.999,0.875,0.22225,0.48650000000000004,0.01475,0.18163906518147466,200,False
0.001,0.15,0.999,0.91,0.27025000000000005,0.53175,0.011,0.1768599375211922,200,False
0.001,0.2,0.999,0.97,0.34275,0.617,0.0045000000000000005,0.1704728717421045,200,False
0.001,0.25,0.999,0.95,0.38,0.66,0.00775,0.2083266665599966,200,False
0.001,0.3,0.999,1.0,0.5085,0.777,0.0,0.16754402406531843,200,True
0.001,0.4,0.999,1.0,0.5505,0.8425,0.0,0.16230757838129434,200,True
0.001,0.5,0.999,1.0,0.63125,0.912,0.0,0.13658696863171096,200,True
0.0,0.0,1.0,0.96,0.21674999999999997,0.5039999999999999,0.007749999999999999,0.11783038657324348,200,False
0.0,0.05,1.0,0.97,0.32875,0.6084999999999999,0.0052499999999999995,0.18967801664926806,200,False
0.0,0.1,1.0,0.99,0.37650000000000006,0.6629999999999999,0.0009999999999999998,0.1507680337472105,200,False
0.0,0.15,1.0,0.98,0.39175,0.6785,0.002999999999999999,0.14417957552996197,200,False
0.0,0.2,1.0,1.0,0.43975000000000003,0.7247499999999999,0.0,0.11874315769761223,200,True
0.0,0.25,1.0,0.99,0.5522499999999999,0.855,0.002,0.17399712641305318,200,False
0.0,0.3,1.0,0.99,0.6125,0.8719999999999999,0.0009999999999999998,0.15236797563792728,200,False
0.0,0.4,1.0,1.0,0.6444999999999999,0.929,0.0,0.11026785569693462,200,True
0.0,0.5,1.0,1.0,0.688,0.9740000000000001,0.0,0.07565712127751094,200,True
