rollout_id,theta_test_id,u_myopic,u_fixed,diff_m_minus_f,seq_myopic,seq_fixed,safe_myopic,safe_fixed
0,0,0.6,0.5,0.09999999999999998,1 2,10 11,True,True
1,1,0.45,0.6,-0.14999999999999997,1 0,10 11,True,True
2,2,0.7,0.7,0.0,1 29,10 11,True,True
3,3,1.0,1.0,0.0,1 0,10 11,True,True
4,4,0.8,0.8,0.0,11 0,10 11,True,True
5,5,0.7,0.7,0.0,1 0,10 11,True,True
6,6,1.0,1.0,0.0,26 0,10 11,True,True
7,7,1.0,1.0,0.0,1 0,10 11,True,True
8,8,0.5,0.6,-0.09999999999999998,21 2,10 11,True,True
9,9,0.7,0.7,0.0,6 3,10 11,True,True
10,10,0.7,0.6,0.09999999999999998,1 15,10 11,True,True
11,11,0.5,0.6,-0.09999999999999998,1 3,10 11,True,True
12,12,1.0,1.0,0.0,1 0,10 11,True,True
13,13,0.9,0.9,0.0,1 0,10 11,True,True
14,14,0.7,0.7,0.0,1 0,10 11,True,True
15,15,0.7,0.6,0.09999999999999998,1 4,10 11,True,True
16,0,0.7,0.7,0.0,1 0,10 11,True,True
17,1,0.8,0.6,0.20000000000000007,1 4,10 11,True,True
18,2,0.7,0.8,-0.10000000000000009,1 25,10 11,True,True
19,3,1.0,1.0,0.0,1 0,10 11,True,True
20,4,0.8,0.8,0.0,16 0,10 11,True,True
21,5,0.7,0.7,0.0,21 2,10 11,True,True
22,6,1.0,1.0,0.0,1 0,10 11,True,True
23,7,1.0,1.0,0.0,21 0,10 11,True,True
24,8,0.5,0.7,-0.19999999999999996,1 2,10 11,True,True
25,9,0.7,0.7,0.0,21 3,10 11,True,True
26,10,0.6,0.6,0.0,1 27,10 11,True,True
27,11,0.6,0.6,0.0,1 2,10 11,True,True
28,12,1.0,1.0,0.0,21 0,10 11,True,True
29,13,0.9,0.9,0.0,6 4,10 11,True,True
30,14,0.7,0.7,0.0,26 4,10 11,True,True
31,15,0.6,0.6,0.0,6 25,10 11,True,True
32,0,0.6,0.5,0.09999999999999998,1 2,10 11,True,True
33,1,0.8,0.6,0.20000000000000007,11 29,10 11,True,True
34,2,0.8,0.8,0.0,11 3,10 11,True,True
35,3,1.0,1.0,0.0,16 0,10 11,True,True
36,4,0.8,0.8,0.0,1 0,10 11,True,True
37,5,0.7,0.7,0.0,1 4,10 11,True,True
38,6,1.0,1.0,0.0,1 0,10 11,True,True
39,7,1.0,1.0,0.0,16 0,10 11,True,True
40,8,0.5,0.5,0.0,1 2,10 11,True,True
41,9,0.7,0.7,0.0,1 28,10 11,True,True
42,10,0.7,0.6,0.09999999999999998,1 0,10 11,True,True
43,11,0.7,0.6,0.09999999999999998,1 3,10 11,True,True
44,12,1.0,1.0,0.0,1 0,10 11,True,True
45,13,0.8,0.9,-0.09999999999999998,6 4,10 11,True,True
46,14,0.7,0.7,0.0,1 0,10 11,True,True
47,15,0.7,0.7,0.0,1 4,10 11,True,True
48,0,0.6,0.5,0.09999999999999998,21 2,10 11,True,True
49,1,0.8,0.6,0.20000000000000007,1 4,10 11,True,True
50,2,0.7,0.7,0.0,1 0,10 11,True,True
51,3,1.0,1.0,0.0,21 0,10 11,True,True
52,4,0.8,0.8,0.0,1 0,10 11,True,True
53,5,0.7,0.7,0.0,1 0,10 11,True,True
54,6,1.0,1.0,0.0,1 0,10 11,True,True
55,7,1.0,1.0,0.0,6 0,10 11,True,True
56,8,0.5,0.5,0.0,1 2,10 11,True,True
57,9,0.8,0.7,0.10000000000000009,16 27,10 11,True,True
58,10,0.7,0.6,0.09999999999999998,1 25,10 11,True,True
59,11,0.6,0.6,0.0,1 2,10 11,True,True
60,12,1.0,1.0,0.0,1 0,10 11,True,True
61,13,0.8,0.9,-0.09999999999999998,1 4,10 11,True,True
62,14,0.7,0.7,0.0,6 0,10 11,True,True
63,15,0.6,0.6,0.0,1 5,10 11,True,True
64,0,0.6,0.45,0.14999999999999997,1 27,10 11,True,True
65,1,0.6,0.6,0.0,21 25,10 11,True,True
66,2,0.7,0.7,0.0,1 0,10 11,True,True
67,3,1.0,1.0,0.0,6 0,10 11,True,True
68,4,0.8,0.8,0.0,1 0,10 11,True,True
69,5,0.7,0.7,0.0,1 0,10 11,True,True
70,6,1.0,1.0,0.0,1 0,10 11,True,True
71,7,1.0,1.0,0.0,21 0,10 11,True,True
72,8,0.5,0.6,-0.09999999999999998,21 2,10 11,True,True
73,9,0.7,0.7,0.0,1 3,10 11,True,True
74,10,0.45,0.7,-0.24999999999999994,6 12,10 11,True,True
75,11,0.45,0.6,-0.14999999999999997,1 3,10 11,True,True
76,12,1.0,1.0,0.0,1 0,10 11,True,True
77,13,0.9,0.9,0.0,26 1,10 11,True,True
78,14,0.7,0.7,0.0,1 0,10 11,True,True
79,15,0.7,0.6,0.09999999999999998,1 4,10 11,True,True
80,0,0.6,0.45,0.14999999999999997,1 2,10 11,True,True
81,1,0.7,0.8,-0.10000000000000009,1 0,10 11,True,True
82,2,0.7,0.7,0.0,1 0,10 11,True,True
83,3,1.0,1.0,0.0,6 0,10 11,True,True
84,4,0.8,0.8,0.0,1 0,10 11,True,True
85,5,0.7,0.7,0.0,1 9,10 11,True,True
86,6,1.0,1.0,0.0,1 0,10 11,True,True
87,7,1.0,1.0,0.0,1 0,10 11,True,True
88,8,0.45,0.5,-0.04999999999999999,21 3,10 11,True,True
