rollout_id,theta_test_id,u_req_true,posterior_mean_U,u_ctrl_final
0,15,0.2,0.15,0.6
1,15,0.2,0.46723172784994227,1.0
2,2,0.3,0.6,1.0
3,1,0.1,0.5999999999999999,1.0
4,2,0.3,0.24866648625391252,0.7
5,8,0.1,0.397705518896051,0.8
6,12,0.6,0.2499999582593877,0.7
7,12,0.6,0.14999999998769553,0.6
8,12,0.6,0.1499999712250107,0.6
9,15,0.2,0.24335220983680772,0.7
10,8,0.1,0.33047762965559885,0.8
11,4,0.4,0.10019473285186703,0.5
12,14,0.3,0.3,0.7
13,10,0.15,0.19998468021713675,0.6
14,8,0.1,0.3,0.7
15,15,0.2,0.25002647813927226,0.7
16,0,0.1,0.5999999999999998,1.0
17,11,0.1,0.4494851956435465,0.9
18,13,0.45,0.4000000000000001,0.8
19,12,0.6,0.05092441358573546,0.45
20,7,0.6,0.054953634045334786,0.45
21,2,0.3,0.39999999999999997,0.8
22,0,0.1,0.4506114852824233,0.9
23,2,0.3,0.6,1.0
24,8,0.1,0.19610876327797422,1.0
25,2,0.3,0.6,1.0
26,6,0.6,0.29980661750346344,0.7
27,7,0.6,0.6000000000000001,1.0
28,3,0.5,0.300000033277438,0.7
29,10,0.15,0.29999998146298545,0.7
30,10,0.15,0.4000726886722971,0.8
31,6,0.6,0.25,0.7
32,2,0.3,0.2534286362252367,0.9
33,11,0.1,0.14999999999957372,0.6
34,12,0.6,0.14984484614656501,0.6
35,12,0.6,0.09999208292013698,0.5
36,5,0.25,0.24999999999999994,0.7
37,13,0.45,0.11671681717214022,0.6
38,15,0.2,0.11603566044704935,0.6
39,14,0.3,0.3,0.7
40,6,0.6,0.20470265867149606,0.7
41,14,0.3,0.2700363218335136,0.8
42,12,0.6,0.10148850357130454,0.6
43,13,0.45,0.23406823200889876,0.7
44,5,0.25,0.45,0.9
45,6,0.6,0.09834164047427593,0.6
46,12,0.6,0.2937285076579231,0.7
47,12,0.6,0.4499999999999908,0.9
48,0,0.1,0.150000583116195,0.6
49,12,0.6,0.12484548643286998,0.6
50,15,0.2,0.2871080103522526,1.0
51,2,0.3,0.5969595131339438,1.0
52,3,0.5,0.39998377311616623,0.8
53,9,0.35,0.07637963362034059,0.7
54,10,0.15,0.05497738344243264,0.45
55,5,0.25,0.6000000000000001,1.0
56,4,0.4,0.05000000000003319,0.45
57,1,0.1,0.3,0.7
58,10,0.15,0.10188794962802002,0.6
59,5,0.25,0.050000000000000135,0.45
60,8,0.1,0.050316934154100594,0.45
61,3,0.5,0.050050116556691907,0.45
62,8,0.1,0.2996300232628757,0.7
63,12,0.6,0.15694869980753864,0.7
64,3,0.5,0.3000011920100303,0.7
65,6,0.6,0.29999993886621146,0.7
66,10,0.15,0.1528591628248459,0.7
67,11,0.1,0.5,0.9
68,1,0.1,0.3,0.7
69,4,0.4,0.05000000676636502,0.45
70,9,0.35,0.0500012395240614,0.45
71,12,0.6,0.30000000000000004,0.7
72,9,0.35,0.3052549895359666,0.8
73,6,0.6,0.29392414842135284,0.7
74,0,0.1,0.4490699238622746,0.9
75,12,0.6,0.2386141728542268,0.9
76,15,0.2,0.05000000000000185,0.45
77,11,0.1,0.4501126249648875,0.9
78,1,0.1,0.34999999996519415,0.8
79,8,0.1,0.2455590270614586,0.7
80,6,0.6,0.29999999998857396,0.7
81,0,0.1,0.14999995988542691,0.6
82,1,0.1,0.29750890061265156,0.7
83,5,0.25,0.05269018146250846,0.45
84,7,0.6,0.1499999999946418,0.6
85,1,0.1,0.25009815097901666,1.0
86,13,0.45,0.2929606014615797,0.7
87,0,0.1,0.45789349211596087,1.0
88,15,0.2,0.3,0.7
89,12,0.6,0.29563524990805246,1.0
90,15,0.2,0.3000000001246291,0.7
91,8,0.1,0.09920122252281367,0.6
92,14,0.3,0.05,0.45
93,3,0.5,0.5999999999982149,1.0
94,6,0.6,0.35,0.8
95,13,0.45,0.1528213987342291,0.6
96,9,0.35,0.25785339083189796,1.0
97,14,0.3,0.44999216795161223,0.9
98,3,0.5,0.050500180036922394,0.45
99,7,0.6,0.15002675586860234,0.6
100,10,0.15,0.2500024348355012,0.7
101,4,0.4,0.3359330618952024,0.8
102,8,0.1,0.3154556202174813,0.8
103,6,0.6,0.4473087055973654,0.9
104,7,0.6,0.2441563574434519,0.7
105,7,0.6,0.4382558077670269,0.9
106,5,0.25,0.29999317294110184,0.7
107,3,0.5,0.34846053234909163,0.8
108,7,0.6,0.15046455307712212,0.6
109,11,0.1,0.27690227287186103,1.0
110,13,0.45,0.6,1.0
111,0,0.1,0.5,0.9
112,15,0.2,0.3499999994145139,0.8
113,0,0.1,0.24750273980903895,0.7
114,0,0.1,0.050000097899000354,0.45
115,9,0.35,0.2599144039150943,0.9
116,11,0.1,0.5,0.9
117,2,0.3,0.15000000000003916,0.6
118,5,0.25,0.08230936838088754,0.6
119,6,0.6,0.36152087210011374,0.8
120,14,0.3,0.10593641283529112,0.6
121,9,0.35,0.29641725312869877,0.7
122,15,0.2,0.14999999053996527,0.6
123,15,0.2,0.14857315007952696,0.6
124,1,0.1,0.05319521764348192,0.45
125,11,0.1,0.3,0.7
126,7,0.6,0.19351945235478354,0.7
127,9,0.35,0.1596388220875094,0.6
128,15,0.2,0.2572526010142459,0.8
129,7,0.6,0.4441789234504389,0.9
130,11,0.1,0.5999999804834092,1.0
131,12,0.6,0.05184225071277954,0.45
132,2,0.3,0.5999999999999999,1.0
133,13,0.45,0.23471114851381888,0.8
134,12,0.6,0.29356481922330774,0.7
135,15,0.2,0.35,0.8
136,0,0.1,0.2999929259127415,0.7
137,6,0.6,0.30000000000000054,0.7
138,3,0.5,0.5999999999996655,1.0
139,12,0.6,0.1500000000144487,0.6
140,0,0.1,0.39993717078743557,0.8
141,2,0.3,0.44999993958187684,0.9
142,14,0.3,0.2999953200526989,0.7
143,13,0.45,0.3,0.7
144,3,0.5,0.2500149968826909,0.7
145,5,0.25,0.05257653255591555,0.45
146,14,0.3,0.3999957630227467,0.8
147,0,0.1,0.393494254493204,0.9
148,3,0.5,0.28698416389222525,0.8
149,14,0.3,0.6,1.0
150,6,0.6,0.1500000000002199,0.6
151,10,0.15,0.5962245657438864,1.0
152,10,0.15,0.15,0.6
153,14,0.3,0.34999998520244097,0.8
154,12,0.6,0.6,1.0
155,9,0.35,0.35000328917971885,0.8
156,5,0.25,0.1000000000000128,0.5
157,0,0.1,0.4047934673873498,0.9
158,14,0.3,0.3,0.7
159,6,0.6,0.349956030006341,0.8
160,13,0.45,0.34026181724882154,0.8
161,5,0.25,0.14999999993853586,0.6
162,13,0.45,0.15,0.6
163,6,0.6,0.6,1.0
164,2,0.3,0.14334426686918453,0.8
165,13,0.45,0.2602959767577518,0.8
166,11,0.1,0.24999999043821658,0.7
167,0,0.1,0.29999999999999993,0.7
168,15,0.2,0.6,1.0
169,4,0.4,0.29999672962726265,0.7
170,0,0.1,0.0774210529886135,0.6
171,7,0.6,0.49952692185588354,0.9
172,1,0.1,0.3,0.7
173,5,0.25,0.25639806181749475,0.9
174,14,0.3,0.6,1.0
175,10,0.15,0.07651517073827985,0.7
176,7,0.6,0.1432562968447944,0.6
177,12,0.6,0.44999999996822415,0.9
178,14,0.3,0.3625472450012418,0.9
179,15,0.2,0.09992002369617801,0.5
180,6,0.6,0.5984797419790637,1.0
181,0,0.1,0.29999995714159094,0.7
182,15,0.2,0.20830882078588617,0.7
183,3,0.5,0.25634515626112137,0.9
184,9,0.35,0.15007086895201863,0.6
185,1,0.1,0.44729317484455206,0.9
186,14,0.3,0.05000000000000003,0.45
187,5,0.25,0.325636336698762,1.0
188,1,0.1,0.26500706656654144,0.7
189,10,0.15,0.3000120712604019,0.7
190,13,0.45,0.45,0.9
191,4,0.4,0.14999999999999142,0.6
192,4,0.4,0.15031434094175383,0.6
193,2,0.3,0.17866609457345203,0.9
194,5,0.25,0.450000004026143,0.9
195,13,0.45,0.2999994502074663,0.7
196,9,0.35,0.4499999999996265,0.9
197,13,0.45,0.29676010330856756,1.0
198,15,0.2,0.15002863439062056,0.6
199,2,0.3,0.31946463221682236,0.8
200,13,0.45,0.05,0.45
201,13,0.45,0.6000000000000001,1.0
202,11,0.1,0.2982763836383749,0.8
203,1,0.1,0.15,0.6
204,12,0.6,0.2002951211144698,0.7
205,14,0.3,0.10705212925659642,0.5
206,8,0.1,0.16598585235988267,0.7
207,13,0.45,0.4163477503329947,0.9
208,7,0.6,0.13242575237001292,0.6
209,2,0.3,0.350005535634767,0.8
210,10,0.15,0.5904262807003746,1.0
211,13,0.45,0.30000000849072367,0.7
212,10,0.15,0.29992231772522593,0.7
213,10,0.15,0.4513887441810853,0.9
214,1,0.1,0.34764931122458986,0.8
215,3,0.5,0.45,0.9
216,7,0.6,0.3456819779452041,0.8
217,8,0.1,0.2999966220681037,0.7
218,4,0.4,0.3999999999979913,0.8
219,3,0.5,0.25,0.7
220,6,0.6,0.05000000000000971,0.45
221,10,0.15,0.6,1.0
222,4,0.4,0.3095481969990548,0.8
223,10,0.15,0.22958753709014024,0.8
224,12,0.6,0.45000089290912876,0.9
225,10,0.15,0.14996464541364973,0.6
226,5,0.25,0.5999999999927966,1.0
227,9,0.35,0.357035669886808,0.8
228,6,0.6,0.6,1.0
229,1,0.1,0.21868143922578348,0.7
230,13,0.45,0.050000000018376047,0.45
231,2,0.3,0.5999999999999999,1.0
232,6,0.6,0.228332542705935,0.8
233,13,0.45,0.35063955043027484,0.8
234,8,0.1,0.35277292889090633,0.8
235,11,0.1,0.6000000000000001,1.0
236,7,0.6,0.14984996885215718,0.6
237,5,0.25,0.6,1.0
238,14,0.3,0.44999494947269164,0.9
239,7,0.6,0.6,1.0
240,7,0.6,0.6,1.0
241,12,0.6,0.19999999936009444,0.6
242,3,0.5,0.05448509410689093,0.45
243,7,0.6,0.6,1.0
244,12,0.6,0.1524920151082591,0.6
245,2,0.3,0.12469170595124136,0.8
246,10,0.15,0.44999999725267975,0.9
247,1,0.1,0.23971134790977883,0.7
248,5,0.25,0.4499982218936319,0.9
249,7,0.6,0.5984198242895514,1.0
250,1,0.1,0.5999999999999999,1.0
251,6,0.6,0.05392140335117702,0.45
252,11,0.1,0.050007231914178926,0.45
253,3,0.5,0.5999999999999999,1.0
254,6,0.6,0.06621948175709914,0.45
255,4,0.4,0.14999998609130688,0.6
256,3,0.5,0.29999968707349495,0.7
257,0,0.1,0.3,0.7
258,10,0.15,0.30040081007895686,0.7
259,7,0.6,0.13550378534735819,0.6
260,15,0.2,0.058066914701323254,0.6
261,11,0.1,0.29999996251560895,0.7
262,8,0.1,0.3178347590056256,0.8
263,3,0.5,0.6,1.0
264,2,0.3,0.33763945093084735,0.8
265,5,0.25,0.5972171517013659,1.0
266,7,0.6,0.29996869063847287,0.7
267,11,0.1,0.05037385711138148,0.45
268,8,0.1,0.25825265652715007,0.9
269,0,0.1,0.31111511678852866,0.8
270,7,0.6,0.5981868596202321,1.0
271,6,0.6,0.05016498694689009,0.45
272,6,0.6,0.0771294539002173,0.7
273,1,0.1,0.3487780419028088,0.8
274,14,0.3,0.2999972640778117,0.7
275,9,0.35,0.44999999918973643,0.9
276,4,0.4,0.39975868480811305,0.9
277,10,0.15,0.17755684427762072,0.7
278,3,0.5,0.14999999998707744,0.6
279,14,0.3,0.39402214515595874,1.0
280,12,0.6,0.14999999999999844,0.6
281,13,0.45,0.34999287730395845,0.8
282,13,0.45,0.0512712050801993,0.45
283,8,0.1,0.05,0.45
284,10,0.15,0.34769588238397564,1.0
285,15,0.2,0.1338810768222945,0.8
286,5,0.25,0.38338972539408506,0.8
287,15,0.2,0.2129248382845753,0.8
288,6,0.6,0.19999999999999934,0.6
289,0,0.1,0.3,0.7
290,14,0.3,0.5,0.9
291,9,0.35,0.6,1.0
292,5,0.25,0.38446884852785673,0.8
293,12,0.6,0.35,0.8
294,0,0.1,0.44735963840920573,0.9
295,12,0.6,0.12350240904682809,0.8
296,3,0.5,0.14991783489298993,0.6
297,0,0.1,0.4782937430311224,1.0
298,1,0.1,0.3999922182943809,0.8
299,12,0.6,0.10903942678689554,0.6
300,8,0.1,0.2991371557598387,0.7
301,1,0.1,0.34233689772600445,0.8
302,4,0.4,0.34999999999800996,0.8
303,10,0.15,0.3998026230174905,0.8
304,14,0.3,0.050503149853562364,0.45
305,13,0.45,0.3,0.7
306,4,0.4,0.2779469150676827,0.7
307,7,0.6,0.2467135526285448,0.7
308,11,0.1,0.3028425924641456,1.0
309,15,0.2,0.26019418779573905,0.7
310,15,0.2,0.37432090804108226,1.0
311,14,0.3,0.45,0.9
312,1,0.1,0.3495872811694213,0.8
313,9,0.35,0.14999999881628223,0.6
314,1,0.1,0.28123910149188064,0.7
315,5,0.25,0.2856907351057218,0.7
316,7,0.6,0.4000331966302561,0.8
317,10,0.15,0.6,1.0
318,3,0.5,0.6,1.0
319,10,0.15,0.05000000501635205,0.45
320,14,0.3,0.6,1.0
321,7,0.6,0.14999999999930522,0.6
322,14,0.3,0.5999999999999999,1.0
323,11,0.1,0.44045178819801406,0.9
324,3,0.5,0.051150537205520444,0.45
325,15,0.2,0.05003640184368445,0.45
326,10,0.15,0.3000000000000001,0.7
327,8,0.1,0.25452767176940133,0.7
328,4,0.4,0.3409899572880565,0.9
329,8,0.1,0.4230393446517395,0.9
330,7,0.6,0.35000000248022584,0.8
331,1,0.1,0.6000000000000001,1.0
332,12,0.6,0.052638020055441395,0.45
333,14,0.3,0.2962004622288163,0.7
334,0,0.1,0.2974292801673148,0.7
335,7,0.6,0.45,0.9
336,4,0.4,0.4979991010280214,0.9
337,5,0.25,0.15019221428803076,0.6
338,11,0.1,0.30000000010793176,0.7
339,1,0.1,0.4502136254355616,0.9
340,13,0.45,0.35,0.8
341,13,0.45,0.19999999999854412,0.6
342,15,0.2,0.05026327970175789,0.45
343,1,0.1,0.3999999999031843,0.8
344,14,0.3,0.6000000000000001,1.0
345,3,0.5,0.319036300141601,1.0
346,9,0.35,0.599999999999994,1.0
347,4,0.4,0.15,0.6
348,6,0.6,0.599997677232932,1.0
349,13,0.45,0.22117877552724524,0.7
350,4,0.4,0.4499999996212429,0.9
351,11,0.1,0.10504915975869043,0.6
352,9,0.35,0.45000000000000007,0.9
353,13,0.45,0.173957075167436,0.7
354,6,0.6,0.2747382215544622,0.7
355,3,0.5,0.2501401129738,1.0
356,14,0.3,0.20025893388923888,0.7
357,3,0.5,0.05000000000000041,0.45
358,9,0.35,0.3793754374479636,1.0
359,3,0.5,0.2976855922588003,0.7
360,8,0.1,0.6,1.0
361,4,0.4,0.33349420168630556,0.8
362,15,0.2,0.6,1.0
363,12,0.6,0.06079319990609094,0.5
364,5,0.25,0.6,1.0
365,15,0.2,0.45,0.9
366,5,0.25,0.44484984392236687,0.9
367,2,0.3,0.5999999999999598,1.0
368,14,0.3,0.3614483460185265,0.8
369,4,0.4,0.3,0.7
370,4,0.4,0.05003086005673763,0.45
371,6,0.6,0.30000000344189853,0.7
372,13,0.45,0.14999999103296938,0.6
373,6,0.6,0.5999999999992885,1.0
374,7,0.6,0.2816685257809165,0.7
375,0,0.1,0.050099569941006866,0.45
376,2,0.3,0.28480641586270905,0.7
377,11,0.1,0.15,0.6
378,7,0.6,0.44999999999995544,0.9
379,3,0.5,0.15000008329208286,0.6
380,6,0.6,0.45,0.9
381,13,0.45,0.45,0.9
382,0,0.1,0.05,0.45
383,13,0.45,0.36107579025936215,0.8
384,6,0.6,0.5935369702942159,1.0
385,0,0.1,0.3,0.7
386,8,0.1,0.2999999456666075,0.7
387,12,0.6,0.1499999999138982,0.6
388,8,0.1,0.15000000053974955,0.6
389,9,0.35,0.249735281863746,0.7
390,1,0.1,0.5999999999998383,1.0
391,11,0.1,0.40000772803759693,0.8
392,10,0.15,0.6,1.0
393,7,0.6,0.23906404813427817,0.8
394,2,0.3,0.4476654785498722,0.9
395,3,0.5,0.14999999999999647,0.6
396,14,0.3,0.5999999999999999,1.0
397,1,0.1,0.3256569088092544,0.8
398,8,0.1,0.15000323511477318,0.6
399,10,0.15,0.15000018588220235,0.6
400,1,0.1,0.21979414143464795,1.0
401,1,0.1,0.39999999999999997,0.8
402,15,0.2,0.2589680385319472,0.7
403,13,0.45,0.5999994474378738,1.0
404,12,0.6,0.45000000715263666,0.9
405,11,0.1,0.44814471799178,0.9
406,13,0.45,0.05121606123341429,0.45
407,9,0.35,0.1497873071781807,0.6
408,10,0.15,0.1621270316850748,0.7
409,7,0.6,0.208988842345456,0.9
410,2,0.3,0.29999999999999943,0.7
411,12,0.6,0.45,0.9
412,4,0.4,0.5999999999993628,1.0
413,13,0.45,0.49476974203436397,0.9
414,15,0.2,0.09298100713410981,0.8
415,15,0.2,0.3553727914783438,0.8
416,5,0.25,0.14454599424767883,0.7
417,14,0.3,0.45,0.9
418,15,0.2,0.6,1.0
419,3,0.5,0.10724080600862375,0.5
420,9,0.35,0.11378624439206601,0.7
421,3,0.5,0.30001420273244495,0.7
422,2,0.3,0.47755485410567783,0.9
423,8,0.1,0.10736523316248783,0.7
424,9,0.35,0.30000000023941503,0.7
425,7,0.6,0.1786395824467495,0.7
426,7,0.6,0.14786627629024449,0.6
427,0,0.1,0.15883165250663223,0.7
428,6,0.6,0.05,0.45
429,1,0.1,0.1016824870437394,0.5
430,1,0.1,0.4499462419832253,0.9
431,9,0.35,0.25000000077306517,0.7
432,1,0.1,0.3472626485345913,0.8
433,14,0.3,0.30000000000000215,0.7
434,5,0.25,0.3499997667599142,0.8
435,6,0.6,0.3500330982707696,0.8
436,14,0.3,0.07276136412703768,0.8
437,1,0.1,0.1499999999999637,0.6
438,11,0.1,0.1024607999040635,0.7
439,0,0.1,0.14999938677619506,0.6
440,9,0.35,0.3304994388643616,0.8
441,15,0.2,0.32968613046107614,0.8
442,5,0.25,0.300548877857927,0.7
443,7,0.6,0.2998789388447893,0.7
444,0,0.1,0.05000300924622777,0.45
445,2,0.3,0.2669155058402179,0.9
446,0,0.1,0.30000000000014837,0.7
447,8,0.1,0.44999999999905477,0.9
448,13,0.45,0.35,0.8
449,9,0.35,0.2618742533976523,0.9
450,2,0.3,0.4000000037670468,0.8
451,11,0.1,0.5999996595242022,1.0
452,14,0.3,0.1337254902195512,0.8
453,5,0.25,0.45,0.9
454,9,0.35,0.5999999999999995,1.0
455,5,0.25,0.25,0.7
456,6,0.6,0.29990175572276256,0.7
457,9,0.35,0.3,0.7
458,12,0.6,0.05,0.45
459,4,0.4,0.2589728802716406,0.9
460,6,0.6,0.32140701717245235,0.9
461,2,0.3,0.42504309655140754,0.9
462,15,0.2,0.15077705419521295,0.6
463,2,0.3,0.6,1.0
464,8,0.1,0.349967284730699,0.8
465,6,0.6,0.29972197784127846,0.7
466,6,0.6,0.14999999999970132,0.6
467,1,0.1,0.2,0.6
468,13,0.45,0.3499999999999913,0.8
469,14,0.3,0.1499999999995946,0.6
470,11,0.1,0.30000000000558935,0.7
471,13,0.45,0.4499998071617591,0.9
472,8,0.1,0.3,0.7
473,3,0.5,0.05001778158047588,0.45
474,12,0.6,0.17383241619025103,0.7
475,5,0.25,0.24334104857833702,0.7
476,9,0.35,0.28579897331421356,0.7
477,1,0.1,0.45,0.9
478,5,0.25,0.25,0.7
479,8,0.1,0.2989126851705106,1.0
480,10,0.15,0.35000748951195326,0.8
481,14,0.3,0.45,0.9
482,6,0.6,0.050024682877615106,0.45
483,11,0.1,0.050000000007150075,0.45
484,0,0.1,0.35,0.8
485,0,0.1,0.511087984542942,1.0
486,11,0.1,0.15,0.6
487,8,0.1,0.6,1.0
488,2,0.3,0.5067739717412397,1.0
489,14,0.3,0.309186663520573,0.9
490,10,0.15,0.3,0.7
491,10,0.15,0.6,1.0
492,0,0.1,0.35,0.8
493,7,0.6,0.09427200662822864,0.9
494,9,0.35,0.20733459239318755,0.7
495,12,0.6,0.6,1.0
496,6,0.6,0.6,1.0
497,8,0.1,0.17908711057844218,0.8
498,2,0.3,0.6,1.0
499,2,0.3,0.2005325935575503,0.7
500,5,0.25,0.3499488092294975,0.8
501,2,0.3,0.25000000289266694,0.7
502,8,0.1,0.15000000001389963,0.6
503,2,0.3,0.1499999844539856,0.6
504,12,0.6,0.45,0.9
505,5,0.25,0.29999855415078097,0.7
506,5,0.25,0.050000169698134755,0.45
507,6,0.6,0.4494707493387439,0.9
508,1,0.1,0.15,0.6
509,8,0.1,0.5999999999995308,1.0
510,0,0.1,0.10368256334048767,0.6
511,8,0.1,0.37508954360256114,0.8
512,14,0.3,0.27409698319999976,0.7
513,14,0.3,0.25000005444431983,0.7
514,7,0.6,0.27850478633267384,1.0
515,15,0.2,0.23731056957865201,0.7
516,5,0.25,0.15,0.6
517,8,0.1,0.12940597562436396,0.9
518,1,0.1,0.319372504988596,0.8
519,0,0.1,0.3,0.7
520,7,0.6,0.09053585662795885,0.6
521,6,0.6,0.058508541380570975,0.45
522,0,0.1,0.07125334392099839,0.7
523,6,0.6,0.2,0.6
524,11,0.1,0.24999999916410498,0.7
525,11,0.1,0.10004638437578608,0.5
526,3,0.5,0.35,0.8
527,0,0.1,0.18190042008962998,0.7
528,2,0.3,0.3,0.7
529,12,0.6,0.3100063989105143,0.9
530,1,0.1,0.3734184782200621,0.8
531,3,0.5,0.24419094172443975,0.9
532,8,0.1,0.16013686789806258,0.8
533,9,0.35,0.05,0.45
534,6,0.6,0.35142471042623447,0.8
535,14,0.3,0.43051348770948517,0.9
536,4,0.4,0.6,1.0
537,8,0.1,0.11524467901926488,0.8
538,4,0.4,0.5999999999999994,1.0
539,1,0.1,0.24478197569611707,0.7
540,10,0.15,0.35247005507347456,0.8
541,0,0.1,0.4000000512064597,0.8
542,13,0.45,0.3,0.7
543,7,0.6,0.2209492669562684,1.0
544,5,0.25,0.15081673505234863,0.6
545,4,0.4,0.5,0.9
546,8,0.1,0.14994901617023665,0.6
547,3,0.5,0.35,0.8
548,3,0.5,0.2497215878349574,0.7
549,8,0.1,0.16829737416696833,0.7
550,15,0.2,0.05000182751481974,0.45
551,15,0.2,0.5799055628370136,1.0
552,15,0.2,0.5999999804194622,1.0
