update,mean_train_u_ctrl,method,update_seconds,trajectories_sampled,policy_entropy,validation_mean_u_ctrl,validation_n_unique_sequences,validation_sequence_entropy,validation_unique_frac,validation_checkpoint_score,validation_meets_unique_floor
1,0.120234375,RL-sBOED,0.811082124710083,64,3.9429562091827393,,,,,,
2,0.1065234375,RL-sBOED,0.6161870956420898,128,3.938628911972046,,,,,,
3,0.108984375,RL-sBOED,0.617121696472168,192,3.93267560005188,,,,,,
4,0.10968750000000002,RL-sBOED,0.62294602394104,256,3.9283254146575928,,,,,,
5,0.114609375,RL-sBOED,0.6149685382843018,320,3.925006628036499,,,,,,
6,0.1065234375,RL-sBOED,0.6160998344421387,384,3.918463945388794,,,,,,
7,0.107578125,RL-sBOED,0.6174938678741455,448,3.910942554473877,,,,,,
8,0.10265625,RL-sBOED,0.6152074337005615,512,3.905486822128296,,,,,,
9,0.1114453125,RL-sBOED,0.617194652557373,576,3.900886297225952,,,,,,
10,0.1058203125,RL-sBOED,0.6160526275634766,640,3.89591383934021,,,,,,
11,0.125859375,RL-sBOED,0.6165261268615723,704,3.8907570838928223,,,,,,
12,0.103359375,RL-sBOED,0.6179020404815674,768,3.883922576904297,,,,,,
13,0.10652343750000001,RL-sBOED,0.6151638031005859,832,3.87522292137146,,,,,,
14,0.11250000000000002,RL-sBOED,0.6167197227478027,896,3.8700852394104004,,,,,,
15,0.106875,RL-sBOED,0.6154890060424805,960,3.866985321044922,,,,,,
16,0.1114453125,RL-sBOED,0.6151771545410156,1024,3.8618104457855225,,,,,,
17,0.108984375,RL-sBOED,0.6154565811157227,1088,3.8489978313446045,,,,,,
18,0.1086328125,RL-sBOED,0.6150782108306885,1152,3.8448147773742676,,,,,,
19,0.1121484375,RL-sBOED,0.6150758266448975,1216,3.8446686267852783,,,,,,
20,0.11109374999999999,RL-sBOED,0.6160240173339844,1280,3.8458449840545654,,,,,,
21,0.1170703125,RL-sBOED,0.6164629459381104,1344,3.8516697883605957,,,,,,
22,0.1135546875,RL-sBOED,0.616523027420044,1408,3.8632240295410156,,,,,,
23,0.11320312499999999,RL-sBOED,0.6181416511535645,1472,3.8682363033294678,,,,,,
24,0.11742187500000001,RL-sBOED,0.6161367893218994,1536,3.867316484451294,,,,,,
25,0.1205859375,RL-sBOED,0.6168427467346191,1600,3.868215560913086,0.10265625000000002,7,1.5255924929107085,0.0546875,0.10265625000000002,0
26,0.11531250000000001,RL-sBOED,0.6135516166687012,1664,3.8730080127716064,,,,,,
27,0.106875,RL-sBOED,0.6180493831634521,1728,3.871164083480835,,,,,,
