update,mean_train_u_ctrl,mean_train_control_cost,method,update_seconds,trajectories_sampled,policy_entropy,validation_mean_u_ctrl,validation_n_unique_sequences,validation_sequence_entropy,validation_unique_frac,validation_under_control_rate,validation_valid,validation_mean_shortfall,validation_checkpoint_score,validation_meets_unique_floor
1,0.27,0.27,DAD,0.6312732696533203,64,3.342960834503174,,,,,,,,,
2,0.27,0.27,DAD,0.43222904205322266,128,3.342833995819092,,,,,,,,,
3,0.27,0.27,DAD,0.43087196350097656,192,3.3413469791412354,,,,,,,,,
4,0.27,0.27,DAD,0.430466890335083,256,3.340308666229248,,,,,,,,,
5,0.27,0.27,DAD,0.4288167953491211,320,3.3388967514038086,,,,,,,,,
6,0.27,0.27,DAD,0.4292778968811035,384,3.336848258972168,,,,,,,,,
7,0.27,0.27,DAD,0.42856287956237793,448,3.334930419921875,,,,,,,,,
8,0.27,0.27,DAD,0.42859506607055664,512,3.3334083557128906,,,,,,,,,
9,0.27,0.27,DAD,0.42917919158935547,576,3.3324766159057617,,,,,,,,,
10,0.27,0.27,DAD,0.42809605598449707,640,3.331465005874634,,,,,,,,,
11,0.27,0.27,DAD,0.4288666248321533,704,3.3304522037506104,,,,,,,,,
12,0.27,0.27,DAD,0.42928290367126465,768,3.329611301422119,,,,,,,,,
13,0.27,0.27,DAD,0.42876338958740234,832,3.330702781677246,,,,,,,,,
14,0.27,0.27,DAD,0.429034948348999,896,3.3285698890686035,,,,,,,,,
15,0.27,0.27,DAD,0.4295518398284912,960,3.3279647827148438,,,,,,,,,
16,0.27,0.27,DAD,0.42949414253234863,1024,3.327157497406006,,,,,,,,,
17,0.27,0.27,DAD,0.4289884567260742,1088,3.326207160949707,,,,,,,,,
18,0.27,0.27,DAD,0.4294850826263428,1152,3.3259353637695312,,,,,,,,,
19,0.27,0.27,DAD,0.4289844036102295,1216,3.3250951766967773,,,,,,,,,
20,0.27,0.27,DAD,0.42876744270324707,1280,3.324402093887329,,,,,,,,,
21,0.27,0.27,DAD,0.43048763275146484,1344,3.3237500190734863,,,,,,,,,
22,0.27,0.27,DAD,0.429274320602417,1408,3.322544574737549,,,,,,,,,
23,0.27,0.27,DAD,0.4289581775665283,1472,3.322378396987915,,,,,,,,,
24,0.27,0.27,DAD,0.429140567779541,1536,3.3226709365844727,,,,,,,,,
25,0.27,0.27,DAD,0.4291541576385498,1600,3.3234646320343018,0.27,15,2.398569250804308,0.1171875,0.0,1,0.0,0.27,0
26,0.27,0.27,DAD,0.43085670471191406,1664,3.3228533267974854,,,,,,,,,
27,0.27,0.27,DAD,0.4303586483001709,1728,3.3234100341796875,,,,,,,,,
28,0.27,0.27,DAD,0.42998313903808594,1792,3.322706699371338,,,,,,,,,
29,0.27,0.27,DAD,0.43010854721069336,1856,3.322523593902588,,,,,,,,,
30,0.27,0.27,DAD,0.42986083030700684,1920,3.3226728439331055,,,,,,,,,
31,0.27,0.27,DAD,0.43051862716674805,1984,3.3225724697113037,,,,,,,,,
32,0.27,0.27,DAD,0.42989397048950195,2048,3.3219916820526123,,,,,,,,,
33,0.27,0.27,DAD,0.43033313751220703,2112,3.323113441467285,,,,,,,,,
34,0.27,0.27,DAD,0.43063831329345703,2176,3.323483943939209,,,,,,,,,
35,0.27,0.27,DAD,0.4297027587890625,2240,3.3244616985321045,,,,,,,,,
36,0.27,0.27,DAD,0.4297056198120117,2304,3.324852466583252,,,,,,,,,
37,0.27,0.27,DAD,0.42850208282470703,2368,3.3248040676116943,,,,,,,,,
38,0.27,0.27,DAD,0.4302952289581299,2432,3.325099468231201,,,,,,,,,
39,0.27,0.27,DAD,0.4304971694946289,2496,3.3254034519195557,,,,,,,,,
40,0.27,0.27,DAD,0.42958879470825195,2560,3.325632095336914,,,,,,,,,
41,0.27,0.27,DAD,0.4297068119049072,2624,3.3256783485412598,,,,,,,,,
42,0.27,0.27,DAD,0.4296565055847168,2688,3.3260748386383057,,,,,,,,,
43,0.27,0.27,DAD,0.4315166473388672,2752,3.325979232788086,,,,,,,,,
44,0.27,0.27,DAD,0.42906832695007324,2816,3.3257832527160645,,,,,,,,,
45,0.27,0.27,DAD,0.42951321601867676,2880,3.325929641723633,,,,,,,,,
46,0.27,0.27,DAD,0.42923784255981445,2944,3.325138568878174,,,,,,,,,
47,0.27,0.27,DAD,0.4301459789276123,3008,3.32474946975708,,,,,,,,,
