update,mean_train_u_ctrl,mean_train_control_cost,method,update_seconds,trajectories_sampled,policy_entropy,validation_mean_u_ctrl,validation_n_unique_sequences,validation_sequence_entropy,validation_unique_frac,validation_under_control_rate,validation_valid,validation_mean_shortfall,validation_checkpoint_score,validation_meets_unique_floor
1,0.3425,0.3425,RL-sBOED,0.5475573539733887,64,4.40767765045166,,,,,,,,,
2,0.359375,0.359375,RL-sBOED,0.34772157669067383,128,4.400160312652588,,,,,,,,,
3,0.334375,0.334375,RL-sBOED,0.34667134284973145,192,4.396039009094238,,,,,,,,,
4,0.323125,0.323125,RL-sBOED,0.346820592880249,256,4.392073631286621,,,,,,,,,
5,0.32375,0.32375,RL-sBOED,0.34743738174438477,320,4.390970230102539,,,,,,,,,
6,0.338125,0.338125,RL-sBOED,0.3454434871673584,384,4.390471458435059,,,,,,,,,
7,0.333125,0.333125,RL-sBOED,0.3452613353729248,448,4.387758731842041,,,,,,,,,
8,0.31375,0.3278125,RL-sBOED,0.34651613235473633,512,4.38478946685791,,,,,,,,,
9,0.34062499999999996,0.34062499999999996,RL-sBOED,0.34581971168518066,576,4.381012439727783,,,,,,,,,
10,0.324375,0.324375,RL-sBOED,0.34560418128967285,640,4.376545429229736,,,,,,,,,
11,0.299375,0.299375,RL-sBOED,0.34608960151672363,704,4.375350475311279,,,,,,,,,
12,0.306875,0.306875,RL-sBOED,0.3459477424621582,768,4.373065948486328,,,,,,,,,
13,0.3275,0.3275,RL-sBOED,0.34580302238464355,832,4.36762809753418,,,,,,,,,
14,0.35124999999999995,0.35124999999999995,RL-sBOED,0.3461954593658447,896,4.359831809997559,,,,,,,,,
15,0.3275,0.3275,RL-sBOED,0.3457627296447754,960,4.350283145904541,,,,,,,,,
16,0.33125,0.33125,RL-sBOED,0.34593725204467773,1024,4.339034080505371,,,,,,,,,
17,0.31875,0.31875,RL-sBOED,0.34598255157470703,1088,4.326876640319824,,,,,,,,,
18,0.32625000000000004,0.32625000000000004,RL-sBOED,0.3459784984588623,1152,4.312158107757568,,,,,,,,,
19,0.316875,0.316875,RL-sBOED,0.34588050842285156,1216,4.293773174285889,,,,,,,,,
20,0.30625,0.30625,RL-sBOED,0.3456399440765381,1280,4.273963928222656,,,,,,,,,
21,0.295625,0.295625,RL-sBOED,0.34554553031921387,1344,4.250175952911377,,,,,,,,,
22,0.30500000000000005,0.3253125,RL-sBOED,0.34543895721435547,1408,4.235184669494629,,,,,,,,,
23,0.305,0.305,RL-sBOED,0.3463912010192871,1472,4.229955673217773,,,,,,,,,
24,0.305,0.305,RL-sBOED,0.3454768657684326,1536,4.2243804931640625,,,,,,,,,
25,0.31062500000000004,0.31062500000000004,RL-sBOED,0.34584641456604004,1600,4.216311454772949,0.32343750000000004,3,0.12604970513908959,0.0234375,0.0859375,0,0.0075,1000.6828125,0
26,0.315625,0.3421875,RL-sBOED,0.34652137756347656,1664,4.21426248550415,,,,,,,,,
