update,mean_train_u_ctrl,mean_train_control_cost,method,update_seconds,trajectories_sampled,policy_entropy,validation_mean_u_ctrl,validation_mean_mocu,validation_n_unique_sequences,validation_sequence_entropy,validation_unique_frac,validation_under_control_rate,validation_valid,validation_mean_shortfall,validation_checkpoint_score,validation_meets_unique_floor
1,0.1809374988079071,0.1809374988079071,RL-sBOED,0.26038599014282227,64,3.3549084663391113,,,,,,,,,,
2,0.18515625596046448,0.18515625596046448,RL-sBOED,0.03667807579040527,128,3.338170051574707,,,,,,,,,,
3,0.16828125715255737,0.16828125715255737,RL-sBOED,0.03797483444213867,192,3.3242545127868652,,,,,,,,,,
4,0.17390623688697815,0.17390623688697815,RL-sBOED,0.04384422302246094,256,3.3139548301696777,,,,,,,,,,
5,0.1743749976158142,0.1743749976158142,RL-sBOED,0.039023399353027344,320,3.3058648109436035,,,,,,,,,,
6,0.1837500035762787,0.1837500035762787,RL-sBOED,0.04360628128051758,384,3.301795721054077,,,,,,,,,,
7,0.1678124964237213,0.1678124964237213,RL-sBOED,0.043300628662109375,448,3.29445219039917,,,,,,,,,,
8,0.15843749046325684,0.15843749046325684,RL-sBOED,0.036224365234375,512,3.289161205291748,,,,,,,,,,
9,0.16078124940395355,0.16078124940395355,RL-sBOED,0.042322635650634766,576,3.2901949882507324,,,,,,,,,,
10,0.17296874523162842,0.17296874523162842,RL-sBOED,0.03907203674316406,640,3.2873339653015137,,,,,,,,,,
11,0.1743749976158142,0.1743749976158142,RL-sBOED,0.040259599685668945,704,3.2794864177703857,,,,,,,,,,
12,0.17156249284744263,0.17156249284744263,RL-sBOED,0.03483700752258301,768,3.261737823486328,,,,,,,,,,
13,0.1720312535762787,0.1720312535762787,RL-sBOED,0.040738821029663086,832,3.2479095458984375,,,,,,,,,,
14,0.1743749976158142,0.1743749976158142,RL-sBOED,0.03856682777404785,896,3.24090576171875,,,,,,,,,,
15,0.19828125834465027,0.19828125834465027,RL-sBOED,0.03348255157470703,960,3.2412753105163574,,,,,,,,,,
16,0.18703125417232513,0.18703125417232513,RL-sBOED,0.04117870330810547,1024,3.253038167953491,,,,,,,,,,
17,0.1640625,0.1640625,RL-sBOED,0.0351557731628418,1088,3.264490842819214,,,,,,,,,,
18,0.18281251192092896,0.18281251192092896,RL-sBOED,0.04076743125915527,1152,3.265650749206543,,,,,,,,,,
19,0.1626562476158142,0.1626562476158142,RL-sBOED,0.042862653732299805,1216,3.255769729614258,,,,,,,,,,
20,0.16359373927116394,0.16359373927116394,RL-sBOED,0.03546023368835449,1280,3.2526912689208984,,,,,,,,,,
21,0.17812499403953552,0.17812499403953552,RL-sBOED,0.0395207405090332,1344,3.244636058807373,,,,,,,,,,
22,0.18468749523162842,0.18468749523162842,RL-sBOED,0.049956321716308594,1408,3.236553907394409,,,,,,,,,,
23,0.17156250774860382,0.17156250774860382,RL-sBOED,0.03618597984313965,1472,3.2271437644958496,,,,,,,,,,
24,0.18000000715255737,0.18000000715255737,RL-sBOED,0.03947257995605469,1536,3.209962844848633,,,,,,,,,,
25,0.15984375774860382,0.15984375774860382,RL-sBOED,0.04046320915222168,1600,3.2031409740448,0.16687500000000002,0.1303125,3,0.6831223881008303,0.0234375,0.1171875,0,0.006796875000000001,1000.8021875,0
26,0.16828125715255737,0.16828125715255737,RL-sBOED,0.039029598236083984,1664,3.1944828033447266,,,,,,,,,,
27,0.1654687523841858,0.1654687523841858,RL-sBOED,0.035607099533081055,1728,3.227362632751465,,,,,,,,,,
28,0.1809374988079071,0.1809374988079071,RL-sBOED,0.03322410583496094,1792,3.274733066558838,,,,,,,,,,
29,0.16359375417232513,0.16359375417232513,RL-sBOED,0.04550957679748535,1856,3.3051395416259766,,,,,,,,,,
30,0.17109374701976776,0.17109374701976776,RL-sBOED,0.03563523292541504,1920,3.318635940551758,,,,,,,,,,
31,0.17296874523162842,0.17296874523162842,RL-sBOED,0.05186343193054199,1984,3.326474666595459,,,,,,,,,,
32,0.1720312535762787,0.1720312535762787,RL-sBOED,0.04794502258300781,2048,3.32955265045166,,,,,,,,,,
33,0.1823437511920929,0.1823437511920929,RL-sBOED,0.03510403633117676,2112,3.3347747325897217,,,,,,,,,,
34,0.17343750596046448,0.17343750596046448,RL-sBOED,0.04223942756652832,2176,3.340920925140381,,,,,,,,,,
35,0.17531250417232513,0.17531250417232513,RL-sBOED,0.03539109230041504,2240,3.3373913764953613,,,,,,,,,,
36,0.17156249284744263,0.17156249284744263,RL-sBOED,0.03315544128417969,2304,3.328066349029541,,,,,,,,,,
37,0.1692187488079071,0.1692187488079071,RL-sBOED,0.05227017402648926,2368,3.323484420776367,,,,,,,,,,
38,0.1795312613248825,0.1795312613248825,RL-sBOED,0.04625296592712402,2432,3.3241469860076904,,,,,,,,,,
39,0.1692187488079071,0.1692187488079071,RL-sBOED,0.03527116775512695,2496,3.322887897491455,,,,,,,,,,
40,0.1678124964237213,0.1678124964237213,RL-sBOED,0.049427032470703125,2560,3.32126784324646,,,,,,,,,,
41,0.17343750596046448,0.17343750596046448,RL-sBOED,0.04176950454711914,2624,3.3151440620422363,,,,,,,,,,
42,0.18984374403953552,0.18984374403953552,RL-sBOED,0.037044525146484375,2688,3.312239170074463,,,,,,,,,,
43,0.16640624403953552,0.16640624403953552,RL-sBOED,0.04594779014587402,2752,3.309624433517456,,,,,,,,,,
44,0.16828125715255737,0.16828125715255737,RL-sBOED,0.035018205642700195,2816,3.2969062328338623,,,,,,,,,,
45,0.1692187488079071,0.1692187488079071,RL-sBOED,0.04131507873535156,2880,3.2695083618164062,,,,,,,,,,
46,0.16874998807907104,0.16874998807907104,RL-sBOED,0.042696237564086914,2944,3.2600598335266113,,,,,,,,,,
47,0.17109374701976776,0.17109374701976776,RL-sBOED,0.04024791717529297,3008,3.261589765548706,,,,,,,,,,
48,0.18843750655651093,0.18843750655651093,RL-sBOED,0.0468904972076416,3072,3.2649693489074707,,,,,,,,,,
49,0.1837500035762787,0.1837500035762787,RL-sBOED,0.05187249183654785,3136,3.2564096450805664,,,,,,,,,,
50,0.1771875023841858,0.1771875023841858,RL-sBOED,0.07457804679870605,3200,3.2388510704040527,0.17554687500000002,0.07101562500000003,3,0.091315261764256,0.0234375,0.0234375,1,0.0009375,0.07101562500000003,0
51,0.18421876430511475,0.18421876430511475,RL-sBOED,0.03765463829040527,3264,3.2432518005371094,,,,,,,,,,
52,0.16734375059604645,0.16734375059604645,RL-sBOED,0.03463935852050781,3328,3.262139081954956,,,,,,,,,,
53,0.18421873450279236,0.18421873450279236,RL-sBOED,0.032544851303100586,3392,3.27433180809021,,,,,,,,,,
54,0.15656250715255737,0.15656250715255737,RL-sBOED,0.03196859359741211,3456,3.291315793991089,,,,,,,,,,
55,0.1640625,0.1640625,RL-sBOED,0.03168654441833496,3520,3.2990529537200928,,,,,,,,,,
56,0.18843749165534973,0.18843749165534973,RL-sBOED,0.03192615509033203,3584,3.304194211959839,,,,,,,,,,
57,0.16078123450279236,0.16078123450279236,RL-sBOED,0.03172731399536133,3648,3.3120994567871094,,,,,,,,,,
58,0.16124999523162842,0.16124999523162842,RL-sBOED,0.03218817710876465,3712,3.31787371635437,,,,,,,,,,
59,0.17156249284744263,0.17156249284744263,RL-sBOED,0.031775474548339844,3776,3.321629047393799,,,,,,,,,,
60,0.17249999940395355,0.17249999940395355,RL-sBOED,0.03171372413635254,3840,3.3243565559387207,,,,,,,,,,
61,0.1795312464237213,0.1795312464237213,RL-sBOED,0.03172731399536133,3904,3.329237699508667,,,,,,,,,,
62,0.1875,0.1875,RL-sBOED,0.03178095817565918,3968,3.334470272064209,,,,,,,,,,
63,0.1875,0.1875,RL-sBOED,0.03178048133850098,4032,3.337104558944702,,,,,,,,,,
64,0.17671874165534973,0.17671874165534973,RL-sBOED,0.03166341781616211,4096,3.3366477489471436,,,,,,,,,,
65,0.1692187488079071,0.1692187488079071,RL-sBOED,0.03191113471984863,4160,3.335618734359741,,,,,,,,,,
66,0.17250001430511475,0.17250001430511475,RL-sBOED,0.031468868255615234,4224,3.3312058448791504,,,,,,,,,,
67,0.1720312535762787,0.1720312535762787,RL-sBOED,0.03178882598876953,4288,3.324707508087158,,,,,,,,,,
68,0.16171875596046448,0.16171875596046448,RL-sBOED,0.03185868263244629,4352,3.3183422088623047,,,,,,,,,,
69,0.1626562476158142,0.1626562476158142,RL-sBOED,0.03175759315490723,4416,3.3142566680908203,,,,,,,,,,
70,0.17249999940395355,0.17249999940395355,RL-sBOED,0.032126426696777344,4480,3.3077120780944824,,,,,,,,,,
71,0.17296874523162842,0.17296874523162842,RL-sBOED,0.03176760673522949,4544,3.2997679710388184,,,,,,,,,,
72,0.17906250059604645,0.17906250059604645,RL-sBOED,0.031597137451171875,4608,3.289792537689209,,,,,,,,,,
73,0.17859375476837158,0.17859375476837158,RL-sBOED,0.03157758712768555,4672,3.2866427898406982,,,,,,,,,,
74,0.18046875298023224,0.18046875298023224,RL-sBOED,0.031819820404052734,4736,3.2784175872802734,,,,,,,,,,
75,0.1809374988079071,0.1809374988079071,RL-sBOED,0.031899213790893555,4800,3.2768332958221436,0.18328125,0.16078125,4,1.1006146131508443,0.03125,0.140625,0,0.00796875,1001.06703125,0
76,0.16687500476837158,0.16687500476837158,RL-sBOED,0.03168368339538574,4864,3.2720675468444824,,,,,,,,,,
77,0.18843750655651093,0.18843750655651093,RL-sBOED,0.0316314697265625,4928,3.2718894481658936,,,,,,,,,,
78,0.16687500476837158,0.16687500476837158,RL-sBOED,0.03170466423034668,4992,3.2745189666748047,,,,,,,,,,
79,0.16171875596046448,0.16171875596046448,RL-sBOED,0.031745195388793945,5056,3.2727668285369873,,,,,,,,,,
80,0.15843750536441803,0.15843750536441803,RL-sBOED,0.031981706619262695,5120,3.273859977722168,,,,,,,,,,
81,0.17109376192092896,0.17109376192092896,RL-sBOED,0.03182411193847656,5184,3.2593302726745605,,,,,,,,,,
82,0.18562498688697815,0.18562498688697815,RL-sBOED,0.03173494338989258,5248,3.2326736450195312,,,,,,,,,,
83,0.15937501192092896,0.15937501192092896,RL-sBOED,0.03165078163146973,5312,3.1871719360351562,,,,,,,,,,
84,0.1720312535762787,0.1720312535762787,RL-sBOED,0.03139805793762207,5376,3.182819128036499,,,,,,,,,,
85,0.16593749821186066,0.16593749821186066,RL-sBOED,0.03177285194396973,5440,3.1967830657958984,,,,,,,,,,
86,0.18656249344348907,0.18656249344348907,RL-sBOED,0.03201699256896973,5504,3.182086706161499,,,,,,,,,,
87,0.15468749403953552,0.15468749403953552,RL-sBOED,0.03167557716369629,5568,3.179116725921631,,,,,,,,,,
88,0.16453124582767487,0.16453124582767487,RL-sBOED,0.03210568428039551,5632,3.189697265625,,,,,,,,,,
89,0.17531250417232513,0.17531250417232513,RL-sBOED,0.03204464912414551,5696,3.1987130641937256,,,,,,,,,,
90,0.18046875298023224,0.18046875298023224,RL-sBOED,0.031989336013793945,5760,3.2021408081054688,,,,,,,,,,
91,0.18000000715255737,0.18000000715255737,RL-sBOED,0.031778812408447266,5824,3.203122138977051,,,,,,,,,,
92,0.17906248569488525,0.17906248569488525,RL-sBOED,0.03190422058105469,5888,3.215846538543701,,,,,,,,,,
93,0.18328124284744263,0.18328124284744263,RL-sBOED,0.03167891502380371,5952,3.231466293334961,,,,,,,,,,
94,0.17109376192092896,0.17109376192092896,RL-sBOED,0.03174710273742676,6016,3.2394213676452637,,,,,,,,,,
95,0.16312500834465027,0.16312500834465027,RL-sBOED,0.03163933753967285,6080,3.2445247173309326,,,,,,,,,,
96,0.15984374284744263,0.15984374284744263,RL-sBOED,0.03168678283691406,6144,3.254908323287964,,,,,,,,,,
97,0.1612500101327896,0.1612500101327896,RL-sBOED,0.03172779083251953,6208,3.2733278274536133,,,,,,,,,,
98,0.17531250417232513,0.17531250417232513,RL-sBOED,0.031836748123168945,6272,3.281566619873047,,,,,,,,,,
99,0.17671874165534973,0.17671874165534973,RL-sBOED,0.03208804130554199,6336,3.292126178741455,,,,,,,,,,
100,0.17531248927116394,0.17531248927116394,RL-sBOED,0.032041072845458984,6400,3.3101630210876465,0.1575,0.2459375,2,0.6930251052799065,0.015625,0.265625,0,0.017812500000000002,1002.4021875,0
101,0.17156249284744263,0.17156249284744263,RL-sBOED,0.03176712989807129,6464,3.323106288909912,,,,,,,,,,
102,0.18281251192092896,0.18281251192092896,RL-sBOED,0.031527042388916016,6528,3.3318114280700684,,,,,,,,,,
103,0.1795312464237213,0.1795312464237213,RL-sBOED,0.03141355514526367,6592,3.338766098022461,,,,,,,,,,
104,0.1795312464237213,0.1795312464237213,RL-sBOED,0.031675100326538086,6656,3.3414649963378906,,,,,,,,,,
105,0.16828125715255737,0.16828125715255737,RL-sBOED,0.03152346611022949,6720,3.3411474227905273,,,,,,,,,,
106,0.17578125,0.17578125,RL-sBOED,0.03165721893310547,6784,3.3403377532958984,,,,,,,,,,
107,0.16828124225139618,0.16828124225139618,RL-sBOED,0.03182816505432129,6848,3.3385157585144043,,,,,,,,,,
108,0.16500000655651093,0.16500000655651093,RL-sBOED,0.031438589096069336,6912,3.3348803520202637,,,,,,,,,,
109,0.16218750178813934,0.16218750178813934,RL-sBOED,0.03171277046203613,6976,3.329092025756836,,,,,,,,,,
110,0.1889062523841858,0.1889062523841858,RL-sBOED,0.03191065788269043,7040,3.3245131969451904,,,,,,,,,,
111,0.17859375476837158,0.17859375476837158,RL-sBOED,0.03178524971008301,7104,3.320241928100586,,,,,,,,,,
112,0.16312500834465027,0.16312500834465027,RL-sBOED,0.03178858757019043,7168,3.315479278564453,,,,,,,,,,
113,0.20015625655651093,0.20015625655651093,RL-sBOED,0.03185081481933594,7232,3.3125007152557373,,,,,,,,,,
114,0.16218750178813934,0.16218750178813934,RL-sBOED,0.03169536590576172,7296,3.311349391937256,,,,,,,,,,
115,0.1720312535762787,0.1720312535762787,RL-sBOED,0.03176283836364746,7360,3.3118577003479004,,,,,,,,,,
116,0.17015624046325684,0.17015624046325684,RL-sBOED,0.031995296478271484,7424,3.313749313354492,,,,,,,,,,
117,0.1626562476158142,0.1626562476158142,RL-sBOED,0.03171229362487793,7488,3.315356969833374,,,,,,,,,,
118,0.16828125715255737,0.16828125715255737,RL-sBOED,0.03161883354187012,7552,3.315720319747925,,,,,,,,,,
119,0.16078124940395355,0.16078124940395355,RL-sBOED,0.03159141540527344,7616,3.315563201904297,,,,,,,,,,
120,0.1743749976158142,0.1743749976158142,RL-sBOED,0.031751394271850586,7680,3.314117431640625,,,,,,,,,,
121,0.15703123807907104,0.15703123807907104,RL-sBOED,0.03163933753967285,7744,3.311246871948242,,,,,,,,,,
122,0.16500000655651093,0.16500000655651093,RL-sBOED,0.031769514083862305,7808,3.306824207305908,,,,,,,,,,
123,0.1823437511920929,0.1823437511920929,RL-sBOED,0.03172802925109863,7872,3.303807020187378,,,,,,,,,,
124,0.18187500536441803,0.18187500536441803,RL-sBOED,0.03182268142700195,7936,3.3034160137176514,,,,,,,,,,
125,0.16499999165534973,0.16499999165534973,RL-sBOED,0.03190946578979492,8000,3.3007678985595703,0.159375,0.26109375,4,1.1273492126062443,0.03125,0.2578125,0,0.01921875,1002.33921875,0
126,0.1654687523841858,0.1654687523841858,RL-sBOED,0.03192019462585449,8064,3.297883987426758,,,,,,,,,,
127,0.18000000715255737,0.18000000715255737,RL-sBOED,0.03175544738769531,8128,3.2956645488739014,,,,,,,,,,
128,0.1823437511920929,0.1823437511920929,RL-sBOED,0.03156924247741699,8192,3.29150652885437,,,,,,,,,,
129,0.1654687523841858,0.1654687523841858,RL-sBOED,0.03156781196594238,8256,3.2778682708740234,,,,,,,,,,
130,0.17765624821186066,0.17765624821186066,RL-sBOED,0.031676292419433594,8320,3.2574737071990967,,,,,,,,,,
131,0.16593749821186066,0.16593749821186066,RL-sBOED,0.03215360641479492,8384,3.256991386413574,,,,,,,,,,
132,0.18843749165534973,0.18843749165534973,RL-sBOED,0.03173708915710449,8448,3.266566753387451,,,,,,,,,,
133,0.18140625953674316,0.18140625953674316,RL-sBOED,0.03206062316894531,8512,3.2695398330688477,,,,,,,,,,
134,0.16499999165534973,0.16499999165534973,RL-sBOED,0.031966209411621094,8576,3.261298656463623,,,,,,,,,,
135,0.1743749976158142,0.1743749976158142,RL-sBOED,0.03202319145202637,8640,3.257988452911377,,,,,,,,,,
136,0.17015625536441803,0.17015625536441803,RL-sBOED,0.03181171417236328,8704,3.2692084312438965,,,,,,,,,,
137,0.17109376192092896,0.17109376192092896,RL-sBOED,0.032067060470581055,8768,3.286911964416504,,,,,,,,,,
138,0.1640625,0.1640625,RL-sBOED,0.03173398971557617,8832,3.2999305725097656,,,,,,,,,,
139,0.17390625178813934,0.17390625178813934,RL-sBOED,0.03190469741821289,8896,3.30745005607605,,,,,,,,,,
140,0.1692187488079071,0.1692187488079071,RL-sBOED,0.03184986114501953,8960,3.3126907348632812,,,,,,,,,,
141,0.1964062601327896,0.1964062601327896,RL-sBOED,0.03188610076904297,9024,3.317462682723999,,,,,,,,,,
142,0.17765626311302185,0.17765626311302185,RL-sBOED,0.0319514274597168,9088,3.3200910091400146,,,,,,,,,,
143,0.17765624821186066,0.17765624821186066,RL-sBOED,0.03188490867614746,9152,3.3223533630371094,,,,,,,,,,
144,0.16593751311302185,0.16593751311302185,RL-sBOED,0.03176593780517578,9216,3.323850631713867,,,,,,,,,,
145,0.17250001430511475,0.17250001430511475,RL-sBOED,0.0317535400390625,9280,3.32710599899292,,,,,,,,,,
146,0.17390625178813934,0.17390625178813934,RL-sBOED,0.03171992301940918,9344,3.328813314437866,,,,,,,,,,
147,0.1560937464237213,0.1560937464237213,RL-sBOED,0.031874895095825195,9408,3.3321456909179688,,,,,,,,,,
148,0.15984375774860382,0.15984375774860382,RL-sBOED,0.032079219818115234,9472,3.335855484008789,,,,,,,,,,
149,0.1809374988079071,0.1809374988079071,RL-sBOED,0.03181123733520508,9536,3.3399064540863037,,,,,,,,,,
150,0.16453126072883606,0.16453126072883606,RL-sBOED,0.03191971778869629,9600,3.342989683151245,0.174140625,0.057890625,1,-0.0,0.0078125,0.0,1,0.0,0.057890625,0
151,0.1771875023841858,0.1771875023841858,RL-sBOED,0.03194475173950195,9664,3.3456199169158936,,,,,,,,,,
152,0.17296874523162842,0.17296874523162842,RL-sBOED,0.031577348709106445,9728,3.3475160598754883,,,,,,,,,,
153,0.1809374988079071,0.1809374988079071,RL-sBOED,0.03132152557373047,9792,3.3479690551757812,,,,,,,,,,
154,0.1875,0.1875,RL-sBOED,0.031853675842285156,9856,3.3487462997436523,,,,,,,,,,
155,0.1795312613248825,0.1795312613248825,RL-sBOED,0.03175950050354004,9920,3.349824905395508,,,,,,,,,,
156,0.1889062523841858,0.1889062523841858,RL-sBOED,0.03163480758666992,9984,3.350365400314331,,,,,,,,,,
157,0.1640625,0.1640625,RL-sBOED,0.031394004821777344,10048,3.349496603012085,,,,,,,,,,
158,0.1706250011920929,0.1706250011920929,RL-sBOED,0.03163933753967285,10112,3.348620891571045,,,,,,,,,,
159,0.1795312464237213,0.1795312464237213,RL-sBOED,0.03167271614074707,10176,3.3489081859588623,,,,,,,,,,
160,0.16171874105930328,0.16171874105930328,RL-sBOED,0.031798601150512695,10240,3.3502979278564453,,,,,,,,,,
161,0.17625001072883606,0.17625001072883606,RL-sBOED,0.03211188316345215,10304,3.3518118858337402,,,,,,,,,,
162,0.17531250417232513,0.17531250417232513,RL-sBOED,0.03168463706970215,10368,3.3523643016815186,,,,,,,,,,
163,0.1837500035762787,0.1837500035762787,RL-sBOED,0.0323338508605957,10432,3.3521344661712646,,,,,,,,,,
164,0.17671874165534973,0.17671874165534973,RL-sBOED,0.03174304962158203,10496,3.3523366451263428,,,,,,,,,,
165,0.1640625,0.1640625,RL-sBOED,0.031908512115478516,10560,3.352583646774292,,,,,,,,,,
166,0.16640624403953552,0.16640624403953552,RL-sBOED,0.03169441223144531,10624,3.350860357284546,,,,,,,,,,
167,0.19499999284744263,0.19499999284744263,RL-sBOED,0.03168010711669922,10688,3.3493270874023438,,,,,,,,,,
168,0.17484375834465027,0.17484375834465027,RL-sBOED,0.031606197357177734,10752,3.3473384380340576,,,,,,,,,,
169,0.16359375417232513,0.16359375417232513,RL-sBOED,0.03171968460083008,10816,3.3454551696777344,,,,,,,,,,
170,0.17859375476837158,0.17859375476837158,RL-sBOED,0.03187370300292969,10880,3.345794677734375,,,,,,,,,,
171,0.17671875655651093,0.17671875655651093,RL-sBOED,0.03160881996154785,10944,3.3481080532073975,,,,,,,,,,
172,0.16359375417232513,0.16359375417232513,RL-sBOED,0.03177785873413086,11008,3.3503990173339844,,,,,,,,,,
173,0.1720312535762787,0.1720312535762787,RL-sBOED,0.03171062469482422,11072,3.3511481285095215,,,,,,,,,,
174,0.17625001072883606,0.17625001072883606,RL-sBOED,0.03188443183898926,11136,3.352754592895508,,,,,,,,,,
175,0.17812499403953552,0.17812499403953552,RL-sBOED,0.031757354736328125,11200,3.354355573654175,0.17296875,0.05671875000000001,2,0.045688389073983635,0.015625,0.0,1,0.0,0.05671875000000001,0
176,0.16828125715255737,0.16828125715255737,RL-sBOED,0.03192925453186035,11264,3.3557119369506836,,,,,,,,,,
177,0.17765624821186066,0.17765624821186066,RL-sBOED,0.031427860260009766,11328,3.356301784515381,,,,,,,,,,
178,0.17859375476837158,0.17859375476837158,RL-sBOED,0.03151750564575195,11392,3.3567018508911133,,,,,,,,,,
