update,mean_train_u_ctrl,mean_train_control_cost,method,update_seconds,trajectories_sampled,policy_entropy,validation_mean_u_ctrl,validation_mean_mocu,validation_n_unique_sequences,validation_sequence_entropy,validation_unique_frac,validation_under_control_rate,validation_valid,validation_mean_shortfall,validation_checkpoint_score,validation_meets_unique_floor
1,0.1809374988079071,0.1809374988079071,DAD,0.23680543899536133,64,3.342970371246338,,,,,,,,,,
2,0.18515625596046448,0.18515625596046448,DAD,0.023909330368041992,128,3.3422789573669434,,,,,,,,,,
3,0.16828125715255737,0.16828125715255737,DAD,0.021648883819580078,192,3.341054916381836,,,,,,,,,,
4,0.17390623688697815,0.17390623688697815,DAD,0.02155303955078125,256,3.3396358489990234,,,,,,,,,,
5,0.1743749976158142,0.1743749976158142,DAD,0.022066831588745117,320,3.3385634422302246,,,,,,,,,,
6,0.1837500035762787,0.1837500035762787,DAD,0.021468162536621094,384,3.3374056816101074,,,,,,,,,,
7,0.1678124964237213,0.1678124964237213,DAD,0.021375417709350586,448,3.3363430500030518,,,,,,,,,,
8,0.15843749046325684,0.15843749046325684,DAD,0.02138495445251465,512,3.334705114364624,,,,,,,,,,
9,0.16078124940395355,0.16078124940395355,DAD,0.02127385139465332,576,3.3330187797546387,,,,,,,,,,
10,0.17296874523162842,0.17296874523162842,DAD,0.021452903747558594,640,3.3321526050567627,,,,,,,,,,
11,0.1743749976158142,0.1743749976158142,DAD,0.021363496780395508,704,3.3308706283569336,,,,,,,,,,
12,0.17156249284744263,0.17156249284744263,DAD,0.02153635025024414,768,3.329554796218872,,,,,,,,,,
13,0.1720312535762787,0.1720312535762787,DAD,0.021233797073364258,832,3.329193353652954,,,,,,,,,,
14,0.1743749976158142,0.1743749976158142,DAD,0.021409988403320312,896,3.3283565044403076,,,,,,,,,,
15,0.19828125834465027,0.19828125834465027,DAD,0.022493600845336914,960,3.3274800777435303,,,,,,,,,,
16,0.18703125417232513,0.18703125417232513,DAD,0.021619796752929688,1024,3.3267769813537598,,,,,,,,,,
17,0.1640625,0.1640625,DAD,0.021295547485351562,1088,3.325930118560791,,,,,,,,,,
18,0.18281251192092896,0.18281251192092896,DAD,0.02121424674987793,1152,3.326000213623047,,,,,,,,,,
19,0.1626562476158142,0.1626562476158142,DAD,0.021492481231689453,1216,3.3260669708251953,,,,,,,,,,
20,0.16359373927116394,0.16359373927116394,DAD,0.021904706954956055,1280,3.3256278038024902,,,,,,,,,,
21,0.17812499403953552,0.17812499403953552,DAD,0.02156662940979004,1344,3.3253767490386963,,,,,,,,,,
22,0.18468749523162842,0.18468749523162842,DAD,0.021519184112548828,1408,3.3257040977478027,,,,,,,,,,
23,0.17156250774860382,0.17156250774860382,DAD,0.02156662940979004,1472,3.3263988494873047,,,,,,,,,,
24,0.18000000715255737,0.18000000715255737,DAD,0.021492958068847656,1536,3.325620651245117,,,,,,,,,,
25,0.15984375774860382,0.15984375774860382,DAD,0.02141857147216797,1600,3.3253836631774902,0.171328125,0.08007812500000001,10,1.1574400518157293,0.078125,0.0625,0,0.0018750000000000004,1000.205078125,0
26,0.16828125715255737,0.16828125715255737,DAD,0.021714210510253906,1664,3.3238883018493652,,,,,,,,,,
27,0.1654687523841858,0.1654687523841858,DAD,0.02126002311706543,1728,3.323594093322754,,,,,,,,,,
28,0.1809374988079071,0.1809374988079071,DAD,0.02135181427001953,1792,3.322328567504883,,,,,,,,,,
29,0.16359375417232513,0.16359375417232513,DAD,0.02148890495300293,1856,3.321505308151245,,,,,,,,,,
30,0.17109374701976776,0.17109374701976776,DAD,0.02155303955078125,1920,3.3212578296661377,,,,,,,,,,
31,0.17296874523162842,0.17296874523162842,DAD,0.02124929428100586,1984,3.320178508758545,,,,,,,,,,
32,0.1720312535762787,0.1720312535762787,DAD,0.021517515182495117,2048,3.3192877769470215,,,,,,,,,,
33,0.1823437511920929,0.1823437511920929,DAD,0.02123570442199707,2112,3.319706439971924,,,,,,,,,,
34,0.17343750596046448,0.17343750596046448,DAD,0.021352767944335938,2176,3.3195114135742188,,,,,,,,,,
35,0.17531250417232513,0.17531250417232513,DAD,0.021293163299560547,2240,3.3194446563720703,,,,,,,,,,
36,0.17156249284744263,0.17156249284744263,DAD,0.021785497665405273,2304,3.3190908432006836,,,,,,,,,,
37,0.1692187488079071,0.1692187488079071,DAD,0.021663427352905273,2368,3.31843900680542,,,,,,,,,,
38,0.1795312613248825,0.1795312613248825,DAD,0.021210670471191406,2432,3.3179101943969727,,,,,,,,,,
39,0.1692187488079071,0.1692187488079071,DAD,0.021433115005493164,2496,3.31795334815979,,,,,,,,,,
40,0.1678124964237213,0.1678124964237213,DAD,0.02134561538696289,2560,3.3174428939819336,,,,,,,,,,
