update,mean_train_u_ctrl,mean_train_control_cost,method,update_seconds,trajectories_sampled,policy_entropy,router_entropy,expert_redundancy,max_expert_usage,residual_scale,validation_mean_u_ctrl,validation_mean_mocu,validation_n_unique_sequences,validation_sequence_entropy,validation_unique_frac,validation_under_control_rate,validation_valid,validation_mean_shortfall,validation_checkpoint_score,validation_meets_unique_floor,moe_adaptivity_constraint
1,0.1567968726158142,0.1567968726158142,MoE-sBOED,0.29937267303466797,64,3.968864917755127,1.3841581344604492,0.010845991782844067,0.27307045459747314,0.11917144805192947,,,,,,,,,,,
2,0.16242188215255737,0.16242188215255737,MoE-sBOED,0.05804181098937988,128,3.968397855758667,1.3844980001449585,0.00960211269557476,0.27231210470199585,0.11921317875385284,,,,,,,,,,,
3,0.1494140625,0.1494140625,MoE-sBOED,0.05872702598571777,192,3.9681811332702637,1.3846254348754883,0.008892077952623367,0.2701428532600403,0.11926714330911636,,,,,,,,,,,
4,0.14589843153953552,0.14589843153953552,MoE-sBOED,0.052449941635131836,256,3.9677741527557373,1.3846992254257202,0.015089300461113453,0.2715611457824707,0.11936482042074203,,,,,,,,,,,
5,0.15468749403953552,0.15468749403953552,MoE-sBOED,0.05240058898925781,320,3.967500686645508,1.3847708702087402,0.02203764207661152,0.2693113386631012,0.11947928369045258,,,,,,,,,,,
6,0.16277344524860382,0.16277344524860382,MoE-sBOED,0.05196499824523926,384,3.966770887374878,1.3847640752792358,0.030897941440343857,0.2614332139492035,0.11958922445774078,,,,,,,,,,,
7,0.14976564049720764,0.14976564049720764,MoE-sBOED,0.052138328552246094,448,3.9665684700012207,1.3840210437774658,0.039656031876802444,0.2549628019332886,0.11963672935962677,,,,,,,,,,,
8,0.1420312523841858,0.1420312523841858,MoE-sBOED,0.05274486541748047,512,3.9666640758514404,1.383612036705017,0.038925740867853165,0.2595040798187256,0.11959029734134674,,,,,,,,,,,
9,0.1589062511920929,0.1589062511920929,MoE-sBOED,0.0529026985168457,576,3.9666366577148438,1.3830857276916504,0.03823722526431084,0.25407278537750244,0.11952731758356094,,,,,,,,,,,
10,0.1655859351158142,0.1655859351158142,MoE-sBOED,0.052310943603515625,640,3.965756893157959,1.3818954229354858,0.04091082885861397,0.26127466559410095,0.11950071901082993,,,,,,,,,,,
11,0.16171875596046448,0.16171875596046448,MoE-sBOED,0.05214381217956543,704,3.965041160583496,1.3814375400543213,0.04087575897574425,0.2601439654827118,0.1194506585597992,,,,,,,,,,,
12,0.1508203148841858,0.1508203148841858,MoE-sBOED,0.05161285400390625,768,3.964921474456787,1.382117748260498,0.0376509428024292,0.25434520840644836,0.11939183622598648,,,,,,,,,,,
13,0.15785157680511475,0.15785157680511475,MoE-sBOED,0.05232572555541992,832,3.9645068645477295,1.3822959661483765,0.03612442687153816,0.2587519884109497,0.1194000095129013,,,,,,,,,,,
14,0.15222656726837158,0.15222656726837158,MoE-sBOED,0.052507638931274414,896,3.964815139770508,1.3810718059539795,0.03460969775915146,0.2671019732952118,0.11945541203022003,,,,,,,,,,,
15,0.15363281965255737,0.15363281965255737,MoE-sBOED,0.05173897743225098,960,3.9641432762145996,1.3791842460632324,0.02926645614206791,0.2741697430610657,0.11949652433395386,,,,,,,,,,,
16,0.15257813036441803,0.15257813036441803,MoE-sBOED,0.05258655548095703,1024,3.96448016166687,1.377560019493103,0.02514798380434513,0.27894821763038635,0.1195695698261261,,,,,,,,,,,
17,0.16171875596046448,0.16171875596046448,MoE-sBOED,0.052178382873535156,1088,3.9632797241210938,1.376781940460205,0.02489130012691021,0.2858487665653229,0.11967441439628601,,,,,,,,,,,
18,0.13957032561302185,0.13957032561302185,MoE-sBOED,0.05248260498046875,1152,3.962474822998047,1.3773468732833862,0.026580363512039185,0.2893568277359009,0.1197473406791687,,,,,,,,,,,
