update,mean_train_u_ctrl,mean_train_control_cost,method,update_seconds,trajectories_sampled,policy_entropy,router_entropy,expert_redundancy,max_expert_usage,expert_residual_scale,validation_mean_u_ctrl,validation_mean_mocu,validation_n_unique_sequences,validation_sequence_entropy,validation_unique_frac,validation_under_control_rate,validation_valid,validation_mean_shortfall,validation_checkpoint_score,validation_meets_unique_floor,moe_adaptivity_constraint
1,0.2029687464237213,0.2029687464237213,MoE-sBOED,0.31549835205078125,64,3.346774101257324,1.38401460647583,0.06197696924209595,0.2685182988643646,0.11925340443849564,,,,,,,,,,,
2,0.22828125953674316,0.22828125953674316,MoE-sBOED,0.06235194206237793,128,3.3464879989624023,1.3851795196533203,0.10106836259365082,0.26005449891090393,0.11935824155807495,,,,,,,,,,,
3,0.2095312476158142,0.2095312476158142,MoE-sBOED,0.05901384353637695,192,3.3453025817871094,1.3856970071792603,0.01447305828332901,0.25528645515441895,0.11946447193622589,,,,,,,,,,,
4,0.21328124403953552,0.21328124403953552,MoE-sBOED,0.05762338638305664,256,3.3421545028686523,1.385908603668213,0.012257292866706848,0.25817757844924927,0.11957870423793793,,,,,,,,,,,
5,0.21796876192092896,0.21796876192092896,MoE-sBOED,0.06898212432861328,320,3.3355560302734375,1.3859729766845703,0.021626651287078857,0.25448012351989746,0.11969750374555588,,,,,,,,,,,
6,0.2160937488079071,0.2160937488079071,MoE-sBOED,0.06341409683227539,384,3.323843002319336,1.3859378099441528,0.010787712410092354,0.25911945104599,0.11979663372039795,,,,,,,,,,,
7,0.19687500596046448,0.19687500596046448,MoE-sBOED,0.05791139602661133,448,3.302487373352051,1.386095404624939,0.009411383420228958,0.25442469120025635,0.11992204934358597,,,,,,,,,,,
8,0.19968751072883606,0.19968751072883606,MoE-sBOED,0.05783367156982422,512,3.266238212585449,1.386110782623291,0.003929723985493183,0.25500214099884033,0.1200668215751648,,,,,,,,,,,
9,0.18140625953674316,0.18140625953674316,MoE-sBOED,0.05834841728210449,576,3.2094826698303223,1.3861085176467896,0.0034566305112093687,0.25480276346206665,0.12022698670625687,,,,,,,,,,,
10,0.20156250894069672,0.20156250894069672,MoE-sBOED,0.0567011833190918,640,3.129467010498047,1.3860886096954346,0.003369666403159499,0.25696510076522827,0.12039032578468323,,,,,,,,,,,
