system,history_id,history_step,b_star_cont,A_star_on_b_star_cont,J_bus_star_cont,second_bus_cont,gap_best_second_bus_cont,b_star_snap,A_star_on_b_star_snap,J_bus_star_snap,second_bus_snap,gap_best_second_bus_snap,joint_bus_cont,joint_amp_cont,bus_ranking_cont
ieee9,-1,0,3,0.075,0.9150000000000001,6,0.0462499999999999,3,0.3,0.96875,8,0.03374999999999995,3,0.075,3 6 8 7 1 0 4 5 2
ieee9,0,1,0,0.075,0.9000000000000001,1,0.0,0,0.075,0.96,1,0.0,1,0.05,0 1 2 3 4 5 6 7 8
ieee9,1,1,3,0.05,0.9025000000000001,1,0.006250000000000089,3,0.05,0.9624999999999999,1,0.006250000000000089,3,0.05,3 1 2 5 0 7 8 4 6
ieee9,2,1,3,0.05,0.9075000000000002,0,0.0024999999999999467,3,0.05,0.9675,0,0.0024999999999999467,3,0.05,3 0 5 2 8 4 7 1 6
ieee9,3,1,0,0.075,0.9000000000000001,1,0.0,0,0.075,0.96,1,0.0,1,0.05,0 1 2 3 4 5 6 7 8
ieee9,4,1,0,0.075,0.9000000000000001,1,0.0,0,0.075,0.96,1,0.0,1,0.05,0 1 2 3 4 5 6 7 8
ieee9,5,1,3,0.15,0.9350000000000002,2,0.0050000000000000044,3,0.15,0.9950000000000001,2,0.004999999999999893,3,0.15,3 2 1 7 4 6 8 5 0
ieee9,6,1,0,0.075,0.9000000000000001,1,0.0,0,0.075,0.96,1,0.0,1,0.05,0 1 2 3 4 5 6 7 8
ieee9,7,1,3,0.05,0.90375,1,0.0012500000000000844,3,0.05,0.9637499999999999,1,0.0012500000000000844,3,0.05,3 1 0 5 6 8 7 4 2
ieee9,8,1,3,0.15,0.9512500000000002,2,0.0025000000000000577,3,0.15,1.01125,2,0.0024999999999999467,3,0.15,3 2 1 7 6 4 5 0 8
ieee9,9,1,0,0.075,0.9000000000000001,1,0.0,0,0.075,0.96,1,0.0,1,0.05,0 1 2 3 4 5 6 7 8
ieee9,10,1,0,0.075,0.9000000000000001,1,0.0,0,0.075,0.96,1,0.0,1,0.05,0 1 2 3 4 5 6 7 8
