system,history_id,history_step,b_star,A_star,action_star,J_star_continuous,J_star_snapped,second_action,second_bus,second_amplitude,gap_best_second_continuous,gap_best_second_snapped
ieee5,-1,0,1,0.05,1,0.89765625,0.9203125000000001,6,1,0.075,0.0,0.0
ieee5,0,1,4,0.15,19,0.6796875,0.7562500000000001,24,4,0.2,0.0,0.0
ieee5,1,1,1,0.05,1,0.84296875,0.8796875000000002,6,1,0.075,0.0007812500000000666,0.0015624999999999112
ieee5,2,1,1,0.05,1,0.90859375,0.8984375,6,1,0.075,0.0007812500000000666,0.0015625000000000222
ieee5,3,1,1,0.1,11,0.8953125,0.90625,6,1,0.075,0.0007812500000000666,0.0
ieee5,4,1,1,0.15,16,0.9007812500000001,0.9046875000000001,1,1,0.05,0.0007812499999999556,0.0
ieee5,5,1,1,0.05,1,0.8960937499999999,0.89375,6,1,0.075,0.0,0.0
ieee5,6,1,1,0.05,1,0.8562500000000001,0.8828125,6,1,0.075,0.0007812499999999556,0.0015625000000001332
ieee5,7,1,1,0.075,6,0.8843750000000001,0.9125,1,1,0.05,0.002343749999999978,0.0
ieee5,8,1,4,0.05,4,0.74140625,0.7859375000000001,9,4,0.075,0.0,0.0
ieee5,9,1,1,0.05,1,0.8382812500000001,0.8734375000000001,6,1,0.075,0.0015625000000000222,0.0
ieee5,10,1,1,0.05,1,0.6234375000000001,0.7156250000000001,2,2,0.05,0.0,0.0
ieee5,11,1,4,0.05,4,0.74375,0.7953125,9,4,0.075,0.0,0.0
ieee5,12,1,1,0.05,1,0.628125,0.7187500000000001,6,1,0.075,0.0,0.0
ieee5,13,1,1,0.05,1,0.8492187500000001,0.8828125000000002,6,1,0.075,0.0,0.0
ieee5,14,1,1,0.05,1,0.940625,0.9203125000000001,6,1,0.075,0.0,0.0
ieee5,15,1,1,0.05,1,0.8960937500000001,0.9171875,6,1,0.075,0.0007812499999999556,0.0
ieee5,16,1,1,0.05,1,0.9187500000000001,0.93125,6,1,0.075,0.0007812500000000666,0.0
ieee5,17,1,1,0.15,16,0.8671875,0.8875,21,1,0.2,0.0015625000000000222,0.004687500000000067
ieee5,18,1,1,0.05,1,0.8734375000000001,0.8828125,11,1,0.1,0.0,0.0
ieee5,19,1,1,0.05,1,0.85078125,0.89375,6,1,0.075,0.0015625000000000222,0.0015624999999999112
ieee5,20,1,3,0.05,3,0.728125,0.7640625,8,3,0.075,0.0,0.0
ieee5,21,1,1,0.05,1,0.84375,0.8812500000000001,6,1,0.075,0.0015625000000000222,0.0015624999999999112
ieee5,22,1,4,0.1,14,0.6828125,0.7562500000000001,19,4,0.15,0.0,0.0
ieee5,23,1,4,0.05,4,0.75078125,0.78125,9,4,0.075,0.0,0.0
ieee5,24,1,4,0.3,29,0.7757812500000001,0.8296875000000001,24,4,0.2,0.0015624999999999112,0.0015624999999999112
ieee5,25,1,1,0.2,21,0.8484375,0.878125,1,1,0.05,0.0015625000000001332,0.0
ieee5,26,1,1,0.05,1,0.925,0.9078124999999999,6,1,0.075,0.0,0.0
ieee5,27,1,1,0.15,16,0.9085937500000001,0.9140625,21,1,0.2,0.0,0.0
ieee5,28,1,1,0.15,16,0.859375,0.8859375,21,1,0.2,1.1102230246251565e-16,0.0015624999999999112
ieee5,29,1,1,0.2,21,0.88125,0.8890624999999999,1,1,0.05,1.1102230246251565e-16,-0.0015624999999999112
ieee5,30,1,1,0.15,16,0.8757812500000001,0.8859375,1,1,0.05,0.0007812499999999556,0.0
ieee5,31,1,4,0.3,29,0.7484375000000001,0.8109375000000001,24,4,0.2,0.0015624999999999112,0.0015624999999999112
ieee5,32,1,3,0.05,3,0.74921875,0.778125,8,3,0.075,0.0,0.0
ieee5,33,1,1,0.05,1,0.8265625000000001,0.8640625000000001,6,1,0.075,0.0015624999999999112,0.0031249999999999334
ieee5,34,1,4,0.05,4,0.7117187500000001,0.7796875000000001,9,4,0.075,0.0,0.0
ieee5,35,1,2,0.3,27,0.78125,0.8234375,3,3,0.05,0.0031249999999999334,0.0
ieee5,36,1,4,0.05,4,0.7585937500000002,0.815625,9,4,0.075,0.0,0.0
ieee5,37,1,1,0.05,1,0.84765625,0.8796875000000002,6,1,0.075,0.0,0.0
ieee5,38,1,1,0.05,1,0.9203125,0.9109375,6,1,0.075,0.0015625000000000222,0.0031250000000000444
ieee5,39,1,1,0.2,21,0.9210937499999999,0.9171874999999999,6,1,0.075,1.1102230246251565e-16,-0.0031249999999999334
ieee5,40,1,1,0.2,21,0.8921875,0.9046875,16,1,0.15,0.0007812500000000666,-0.0015624999999999112
ieee5,41,1,1,0.15,16,0.89609375,0.9109375,21,1,0.2,0.0007812500000000666,0.0
ieee5,42,1,1,0.075,6,0.83203125,0.8546875,11,1,0.1,0.0007812499999999556,0.0015624999999999112
ieee5,43,1,1,0.05,1,0.8679687500000001,0.9015625,6,1,0.075,0.0015625000000000222,0.0
ieee5,44,1,4,0.05,4,0.72890625,0.7703125,9,4,0.075,0.0,0.0
ieee5,45,1,1,0.05,1,0.8367187500000001,0.8718750000000002,6,1,0.075,0.0007812500000000666,0.0015624999999999112
ieee5,46,1,1,0.05,1,0.65625,0.728125,3,3,0.05,0.0,0.0
ieee5,47,1,3,0.05,3,0.7234375,0.7640625,4,4,0.05,0.0,0.0
ieee5,48,1,1,0.05,1,0.6140625000000001,0.7093750000000001,2,2,0.05,0.0,0.0
ieee5,49,1,1,0.05,1,0.8500000000000001,0.8859375000000002,6,1,0.075,0.0,0.0
ieee5,50,1,1,0.05,1,0.821875,0.84375,6,1,0.075,0.0,0.0
ieee5,51,1,1,0.15,16,0.9171875,0.9171875,11,1,0.1,0.0015624999999999112,0.0015624999999999112
ieee5,52,1,1,0.075,6,0.9156249999999999,0.915625,11,1,0.1,0.0,0.0
ieee5,53,1,1,0.2,21,0.8851562500000001,0.890625,16,1,0.15,0.0007812499999999556,-0.0031250000000000444
ieee5,54,1,1,0.05,1,0.85625,0.8812500000000001,6,1,0.075,0.0007812499999999556,0.0015624999999999112
ieee5,55,1,1,0.05,1,0.9046875000000001,0.9125,6,1,0.075,0.0007812499999999556,0.0
ieee5,56,1,4,0.05,4,0.7453124999999999,0.7890625000000001,9,4,0.075,0.0,0.0
ieee5,57,1,1,0.05,1,0.8492187500000001,0.8828125000000001,6,1,0.075,0.0,0.0
ieee5,58,1,3,0.05,3,0.6156250000000001,0.7078125000000001,4,4,0.05,0.0,0.0
ieee5,59,1,3,0.05,3,0.72265625,0.7625,4,4,0.05,0.0,0.0
ieee5,60,1,4,0.15,19,0.7109375,0.7750000000000001,24,4,0.2,0.0,0.0
ieee5,61,1,1,0.05,1,0.8546875,0.8812500000000001,6,1,0.075,0.0,0.0
ieee5,62,1,1,0.05,1,0.875,0.8812500000000001,6,1,0.075,0.0007812499999999556,0.0015624999999999112
ieee5,63,1,1,0.05,1,0.8539062500000001,0.8921875,6,1,0.075,0.0,0.0
ieee5,64,1,1,0.05,1,0.8859375,0.89375,6,1,0.075,0.0,0.0
ieee5,65,1,1,0.15,16,0.93046875,0.9203125000000001,1,1,0.05,0.0007812500000000666,0.0015624999999999112
ieee5,66,1,1,0.05,1,0.8617187500000001,0.8812500000000001,6,1,0.075,0.0,0.0
ieee5,67,1,4,0.075,9,0.7523437500000001,0.8125,14,4,0.1,0.0,0.0
ieee5,68,1,4,0.05,4,0.73515625,0.7734375,9,4,0.075,0.0,0.0
ieee5,69,1,1,0.05,1,0.87421875,0.8953125000000002,6,1,0.075,0.0015625000000000222,0.0
ieee5,70,1,1,0.075,6,0.6328125,0.721875,11,1,0.1,0.0,0.0
ieee5,71,1,3,0.05,3,0.70703125,0.7546875,8,3,0.075,0.0,0.0
ieee5,72,1,1,0.05,1,0.609375,0.70625,6,1,0.075,0.0,0.0
ieee5,73,1,1,0.05,1,0.8335937500000001,0.8734375000000001,6,1,0.075,0.0,0.0
ieee5,74,1,1,0.05,1,0.890625,0.8937500000000002,6,1,0.075,0.0,0.0
ieee5,75,1,1,0.15,16,0.89375,0.8953125,11,1,0.1,0.0023437499999998668,0.0015625000000001332
ieee5,76,1,1,0.2,21,0.89453125,0.9109375,16,1,0.15,0.0015625000000000222,-0.0015624999999999112
ieee5,77,1,1,0.1,11,0.89609375,0.8953125,1,1,0.05,0.0015625000000000222,0.0
ieee5,78,1,1,0.05,1,0.9156250000000001,0.9171875,6,1,0.075,0.0,0.0
ieee5,79,1,1,0.1,11,0.8359375000000001,0.8828125,1,1,0.05,0.0007812500000000666,0.0015624999999999112
ieee5,80,1,3,0.05,3,0.72890625,0.765625,4,4,0.05,0.0,0.0
ieee5,81,1,1,0.05,1,0.8445312500000001,0.8765625000000001,6,1,0.075,0.0015625000000000222,0.0
ieee5,82,1,4,0.05,4,0.6296875000000001,0.7203125000000001,9,4,0.075,0.0,0.0
ieee5,83,1,3,0.05,3,0.778125,0.8140624999999999,27,2,0.3,0.0,0.0
ieee5,84,1,4,0.3,29,0.6937500000000001,0.7671875,9,4,0.075,0.0015625000000000222,0.0015625000000000222
ieee5,85,1,1,0.05,1,0.8296875000000001,0.8687500000000001,6,1,0.075,0.0,0.0
ieee5,86,1,1,0.05,1,0.8796875,0.8796875,6,1,0.075,0.0007812500000000666,0.0015625000000001332
ieee5,87,1,3,0.3,28,0.9476562500000001,0.9281250000000001,1,1,0.05,0.0007812499999999556,0.015624999999999889
ieee5,88,1,1,0.05,1,0.9500000000000001,0.9265625000000001,6,1,0.075,0.0,-0.0015625000000000222
ieee5,89,1,1,0.05,1,0.93515625,0.934375,6,1,0.075,0.0007812500000000666,0.0015625000000001332
ieee5,90,1,1,0.05,1,0.95,0.9328124999999999,6,1,0.075,0.0,0.0
ieee5,91,1,1,0.05,1,0.8562500000000002,0.8921875,6,1,0.075,0.0,0.0
ieee5,92,1,2,0.3,27,0.7749999999999999,0.8203125000000001,3,3,0.05,0.0031250000000000444,0.0015625000000000222
ieee5,93,1,1,0.05,1,0.83203125,0.8750000000000001,6,1,0.075,0.0,0.0
ieee5,94,1,2,0.05,2,0.628125,0.7187500000000001,7,2,0.075,0.0,0.0
ieee5,95,1,3,0.05,3,0.734375,0.7718750000000001,4,4,0.05,0.0,0.0
ieee5,96,1,2,0.05,2,0.634375,0.7234375000000001,3,3,0.05,0.0,0.0
ieee5,97,1,1,0.05,1,0.8671875,0.8953125000000001,6,1,0.075,0.0,0.0
ieee5,98,1,1,0.05,1,0.9281250000000001,0.928125,6,1,0.075,0.0007812499999999556,0.0015625000000000222
ieee5,99,1,1,0.05,1,0.8984375,0.9171875,6,1,0.075,0.0,0.0
ieee5,100,1,1,0.05,1,0.91640625,0.9203124999999999,6,1,0.075,0.0007812500000000666,0.0015625000000001332
