system,history_id,history_step,bus,A_star,J_star,second_amplitude,gap_best_second
ieee9,-1,0,0,0.15,0.9625000000000001,0.2,0.011249999999999982
ieee9,-1,0,1,0.05,0.9850000000000001,0.3,0.006250000000000089
ieee9,-1,0,2,0.3,1.1125000000000003,0.05,0.0012499999999997513
ieee9,-1,0,3,0.3,0.9187500000000002,0.1,0.011249999999999982
ieee9,-1,0,4,0.075,1.0462500000000001,0.2,0.0012499999999999734
ieee9,-1,0,5,0.2,0.9850000000000001,0.15,0.023749999999999938
ieee9,-1,0,6,0.05,0.9675000000000001,0.075,0.0
ieee9,-1,0,7,0.2,0.9987500000000001,0.15,0.036250000000000004
ieee9,-1,0,8,0.15,1.0600000000000003,0.2,0.0
ieee9,0,1,0,0.075,0.9000000000000001,0.1,0.0
ieee9,0,1,1,0.05,0.9000000000000001,0.075,0.0
ieee9,0,1,2,0.05,0.9000000000000001,0.075,0.0
ieee9,0,1,3,0.05,0.9000000000000001,0.075,0.0
ieee9,0,1,4,0.05,0.9000000000000001,0.075,0.0
ieee9,0,1,5,0.05,0.9000000000000001,0.075,0.0
ieee9,0,1,6,0.05,0.9000000000000001,0.075,0.0
ieee9,0,1,7,0.05,0.9000000000000001,0.075,0.0
ieee9,0,1,8,0.05,0.9000000000000001,0.075,0.0
ieee9,1,1,0,0.15,0.9162500000000001,0.2,1.1102230246251565e-16
ieee9,1,1,1,0.05,0.9062500000000002,0.075,0.0
ieee9,1,1,2,0.05,0.9162500000000001,0.075,0.0
ieee9,1,1,3,0.05,0.90375,0.075,0.0
ieee9,1,1,4,0.05,0.9287500000000002,0.075,0.0
ieee9,1,1,5,0.3,0.9100000000000001,0.05,0.00374999999999992
ieee9,1,1,6,0.05,0.9462500000000001,0.075,0.0
ieee9,1,1,7,0.15,0.9237500000000001,0.075,0.0012500000000000844
ieee9,1,1,8,0.3,0.9250000000000002,0.05,0.0012499999999999734
ieee9,2,1,0,0.3,0.9087500000000002,0.2,0.007500000000000062
ieee9,2,1,1,0.2,0.9237500000000001,0.1,0.0012500000000000844
ieee9,2,1,2,0.075,0.9250000000000002,0.1,0.0
ieee9,2,1,3,0.05,0.9062500000000001,0.075,0.0
ieee9,2,1,4,0.075,0.9325000000000002,0.1,0.0
ieee9,2,1,5,0.3,0.9137500000000001,0.05,0.015000000000000124
ieee9,2,1,6,0.05,0.9512500000000002,0.075,0.0024999999999999467
ieee9,2,1,7,0.3,0.9262500000000002,0.2,0.03125
ieee9,2,1,8,0.05,0.9125000000000001,0.3,0.0
