system,seed,component,gradient_norm,parameter_count,parameters_with_nonzero_gradient,nonzero_gradient_percent,batch_terminal_unique_values,batch_terminal_modal_fraction,advantage_mean,advantage_std,loss
ieee5,101,history_attention_query,7.235560588014778e-06,128,48,37.5,5,0.40625,9.71445146547012e-17,0.1331613066688293,-0.03684040904045105
ieee5,101,history_step_mlp,0.00749356461405502,20608,4707,22.840644409937887,5,0.40625,9.71445146547012e-17,0.1331613066688293,-0.03684040904045105
ieee5,101,history_output_projection,0.006936128478313116,16512,6272,37.98449612403101,5,0.40625,9.71445146547012e-17,0.1331613066688293,-0.03684040904045105
ieee5,101,policy_head,0.018593486968091755,3870,3870,100.0,5,0.40625,9.71445146547012e-17,0.1331613066688293,-0.03684040904045105
ieee5,202,history_attention_query,9.828598876993055e-07,128,93,72.65625,5,0.328125,9.367506770274758e-17,0.14027734804664652,-0.03130350634455681
ieee5,202,history_step_mlp,0.003141341286019431,20608,11810,57.307841614906835,5,0.328125,9.367506770274758e-17,0.14027734804664652,-0.03130350634455681
ieee5,202,history_output_projection,0.0062641928582809255,16512,12032,72.86821705426357,5,0.328125,9.367506770274758e-17,0.14027734804664652,-0.03130350634455681
ieee5,202,policy_head,0.014052329055712397,3870,3870,100.0,5,0.328125,9.367506770274758e-17,0.14027734804664652,-0.03130350634455681
ieee5,303,history_attention_query,1.8865659512812272e-05,128,20,15.625,5,0.34375,-1.6653345369377348e-16,0.12012973130640892,-0.03790717571973801
ieee5,303,history_step_mlp,0.005684198060723815,20608,2639,12.80570652173913,5,0.34375,-1.6653345369377348e-16,0.12012973130640892,-0.03790717571973801
ieee5,303,history_output_projection,0.006708435772052548,16512,2688,16.27906976744186,5,0.34375,-1.6653345369377348e-16,0.12012973130640892,-0.03790717571973801
ieee5,303,policy_head,0.012706265730810507,3870,3870,100.0,5,0.34375,-1.6653345369377348e-16,0.12012973130640892,-0.03790717571973801
ieee5,404,history_attention_query,8.328943295055069e-06,128,33,25.78125,5,0.296875,2.7755575615628914e-17,0.1357847561400027,-0.03325394541025162
ieee5,404,history_step_mlp,0.0059813808538795015,20608,4999,24.257569875776397,5,0.296875,2.7755575615628914e-17,0.1357847561400027,-0.03325394541025162
ieee5,404,history_output_projection,0.006477611088025305,16512,4352,26.356589147286822,5,0.296875,2.7755575615628914e-17,0.1357847561400027,-0.03325394541025162
