method,theta_test_id,rollout_id,sequence,y_obs,u_ctrl,u_req_true,excess_control,safe_total,runtime_s,exact_tie_count,near_tie_count,average_co_tied_actions
advanced_random_init_dad,0,0,"[23, 28, 24]","[3.2889114258477705, 3.382553352037861, 4.352809395460788]",0.86,0.1,0.76,True,0.003985125385224819,0,0,nan
advanced_random_init_dad,1,1,"[23, 28, 24]","[4.669090945347421, 4.840195807630213, 7.136247838410894]",0.8400000000000001,0.1,0.7400000000000001,True,0.0031321079935878516,0,0,nan
advanced_random_init_dad,2,2,"[23, 28, 24]","[3.7691425340956077, 3.9315018359723575, 4.547134898639571]",0.9,0.3,0.6000000000000001,True,0.003121897066012025,0,0,nan
advanced_random_init_dad,3,3,"[23, 28, 24]","[6.93880133064951, 7.379528765185973, 4.604190211175536]",0.8400000000000001,0.5,0.3400000000000001,True,0.0031557290349155664,0,0,nan
advanced_random_init_dad,4,4,"[23, 28, 24]","[3.070204243832235, 3.2599336874078912, 2.151541467141305]",0.9199999999999999,0.4,0.5199999999999999,True,0.0032061201985925437,0,0,nan
advanced_random_init_dad,5,5,"[23, 28, 24]","[6.614661958966426, 7.005657642672361, 2.380676459451032]",0.6599999999999999,0.25,0.4099999999999999,True,0.0031972779892385007,0,0,nan
advanced_random_init_dad,6,6,"[23, 28, 24]","[3.5783108203438125, 3.621296884193872, 3.0645069331301467]",0.9199999999999999,0.6,0.31999999999999995,True,0.0032584883738309145,0,0,nan
advanced_random_init_dad,7,7,"[23, 28, 24]","[5.081701186414741, 5.236619816248751, 6.590219554752125]",1.0,0.6,0.4,True,0.003915060311555862,0,0,nan
advanced_random_init_dad,8,8,"[23, 28, 24]","[6.3968968092288625, 6.654191101882914, 2.601867767860821]",0.66,0.1,0.56,True,0.0032394008245319127,0,0,nan
advanced_random_init_dad,9,9,"[23, 28, 24]","[7.559694382750368, 7.958400481216496, 2.7300882331701644]",0.76,0.35,0.41000000000000003,True,0.0032295637764036657,0,0,nan
advanced_random_init_dad,10,10,"[23, 28, 24]","[3.5097056549721892, 3.7559520078676885, 4.9360489786491275]",0.8600000000000001,0.15,0.7100000000000001,True,0.0032242242246866225,0,0,nan
advanced_random_init_dad,11,11,"[23, 28, 24]","[3.2891244125203136, 3.5026791455160087, 3.4417870647713373]",0.76,0.1,0.66,True,0.0033278103452175855,0,0,nan
advanced_random_init_dad,12,12,"[23, 28, 24]","[3.9442540618502577, 4.135546028473914, 2.4855951404150014]",0.8800000000000001,0.6,0.28000000000000014,True,0.003596338490024209,0,0,nan
advanced_random_init_dad,13,13,"[23, 28, 24]","[3.6112598636405964, 3.6873367434716524, 2.511222469137372]",0.86,0.45,0.41,True,0.003584592230618,0,0,nan
advanced_random_init_dad,14,14,"[23, 28, 24]","[5.018974604553615, 5.120764401253931, 3.3802316103959833]",0.9,0.3,0.6000000000000001,True,0.003446435835212469,0,0,nan
advanced_random_init_dad,15,15,"[23, 28, 24]","[3.4278572070007574, 3.706846352270434, 2.4527150967061404]",0.8,0.2,0.6000000000000001,True,0.003162345616146922,0,0,nan
advanced_random_init_dad,0,16,"[23, 28, 24]","[3.353869874558983, 3.3200572959046153, 4.257826555670985]",0.8400000000000001,0.1,0.7400000000000001,True,0.0031385679729282858,0,0,nan
advanced_random_init_dad,1,17,"[23, 28, 24]","[4.674340200244905, 5.006790619840515, 7.1518428499901905]",0.8400000000000001,0.1,0.7400000000000001,True,0.0031962331384420397,0,0,nan
advanced_random_init_dad,2,18,"[23, 28, 24]","[3.720476881479833, 3.9024880637391286, 4.52368026964781]",0.9,0.3,0.6000000000000001,True,0.0032454045955091714,0,0,nan
