system,seed,checkpoint,step,action_history,y_bin,selected_action,logits,L1_policy_difference,history_embedding_L2_difference,belief_embedding_L2_difference,logits_L2_difference
ieee5,202,1,2,6,0,28,"[0.016830727458000183, -0.08260083198547363, 0.17301563918590546, 0.06631505489349365, 0.20796814560890198, 0.020247625187039375, -1000000000.0, -0.11306951195001602, -0.10444383323192596, -0.045543864369392395, 0.04291670769453049, -0.040709082037210464, 0.03743473440408707, 0.05541732907295227, -0.009124565869569778, -0.11338525265455246, 0.08661262691020966, 0.13359491527080536, 0.22426331043243408, -0.028814304620027542, -0.0407913401722908, 0.01804497092962265, -0.027699410915374756, -0.12895843386650085, 0.08413338661193848, 0.036677829921245575, 0.00306493416428566, -0.03327425941824913, 0.281697154045105, 0.018167588859796524]",0.012589782476425171,1.6609076261520386,1.7469725608825684,0.088494673371315
ieee5,202,1,2,6,1,28,"[0.027367178350687027, -0.06473653018474579, 0.17163558304309845, 0.07524425536394119, 0.22729918360710144, 0.007996288128197193, -1000000000.0, -0.1188906654715538, -0.07666070759296417, -0.02327418513596058, 0.06795034557580948, -0.028939858078956604, 0.044304803013801575, 0.057504214346408844, 0.010496202856302261, -0.09845913201570511, 0.06823327392339706, 0.11903853714466095, 0.2331787496805191, -0.04517483338713646, -0.02754884399473667, 0.018616609275341034, -0.036686670035123825, -0.12825971841812134, 0.035325560718774796, 0.05509907752275467, -0.008922018110752106, -0.03944707289338112, 0.2849868834018707, 0.01692349836230278]",0.0,0.0,0.0,0.0
ieee5,202,1,2,6,2,28,"[0.04959667846560478, -0.0007676035165786743, 0.19337286055088043, 0.03258904069662094, 0.2558644413948059, -0.06570564210414886, -1000000000.0, -0.12664759159088135, -0.033838074654340744, -0.029793372377753258, 0.08142680674791336, 0.04497499763965607, 0.12404252588748932, 0.1345764845609665, 0.004157900810241699, -0.10311926156282425, 0.06905849277973175, 0.04813038557767868, 0.25246381759643555, -0.07564840465784073, -0.04537378251552582, 0.03513173386454582, -0.08015795797109604, -0.07050539553165436, -0.03374350070953369, 0.11328791081905365, -0.030097894370555878, -0.02582879737019539, 0.27139559388160706, 0.020707610994577408]",0.03414743393659592,4.770360946655273,2.2398500442504883,0.23281340301036835
ieee5,202,1,3,6 28,0,29,"[-0.16548565030097961, -0.07225767523050308, 0.18280863761901855, 0.031313829123973846, 0.048167746514081955, 0.01190190576016903, -1000000000.0, 0.006285414099693298, -0.012465773150324821, -0.03488387167453766, 0.05659595876932144, -0.12143252789974213, 0.002050533890724182, 0.00038604438304901123, 0.06175459548830986, -0.026099704205989838, 0.09648504108190536, -0.10762263834476471, 0.1629280149936676, 0.058212097734212875, 0.027268411591649055, 0.017906010150909424, -0.09942550212144852, 0.07586657255887985, 0.18220765888690948, 0.028455954045057297, 0.041060566902160645, 0.20516252517700195, -1000000000.0, 0.26466935873031616]",0.0068975333124399185,0.892697274684906,0.7546807527542114,0.04363322630524635
ieee5,202,1,3,6 28,1,29,"[-0.1678076684474945, -0.08976826816797256, 0.18293128907680511, 0.035876769572496414, 0.05419273301959038, 0.00480959378182888, -1000000000.0, 0.010385656729340553, -0.019914191216230392, -0.030283501371741295, 0.06099607050418854, -0.12118670344352722, 0.01142430305480957, -0.010762982070446014, 0.06961695849895477, -0.022594355046749115, 0.08571122586727142, -0.11109527945518494, 0.17351585626602173, 0.053087856620550156, 0.027200842276215553, 0.017495986074209213, -0.10672881454229355, 0.057747505605220795, 0.17706552147865295, 0.033688984811306, 0.029633328318595886, 0.21992267668247223, -1000000000.0, 0.2705587148666382]",0.0,0.0,0.0,0.0
ieee5,202,1,3,6 28,2,29,"[-0.17036806046962738, -0.1432144045829773, 0.20332789421081543, 0.034053314477205276, 0.057509467005729675, -0.006278594955801964, -1000000000.0, 0.043751999735832214, -0.006421603262424469, -0.0483069121837616, 0.0990474745631218, -0.1276496946811676, 0.06712578237056732, 0.021044380962848663, 0.049441296607255936, -0.0457712784409523, 0.08895295858383179, -0.14058291912078857, 0.1784171760082245, 0.010057414881885052, 0.03796250373125076, 0.03165697306394577, -0.13027720153331757, 0.06196600943803787, 0.17451870441436768, 0.07118289172649384, -0.0020968839526176453, 0.26330721378326416, -1000000000.0, 0.27395328879356384]",0.02027112990617752,2.686370372772217,2.107956886291504,0.13979265093803406
ieee5,202,10,2,13,0,11,"[-0.041794970631599426, 0.16748914122581482, 0.03603553771972656, -0.059774160385131836, 0.13376474380493164, -0.15416443347930908, 0.17421174049377441, -0.3369641602039337, 0.04575300216674805, 0.2042848914861679, -0.0519888810813427, 0.32448798418045044, -0.15379667282104492, -1000000000.0, -0.004562359303236008, -0.029007092118263245, 0.19122111797332764, -0.051507238298654556, 0.26158612966537476, 0.04006233066320419, -0.062567338347435, 0.23262189328670502, -0.2094886600971222, -0.0884421318769455, -0.12421228736639023, -0.14186593890190125, -0.08900192379951477, -0.13875798881053925, 0.2503289580345154, -0.05915234610438347]",0.009410131722688675,1.795242190361023,1.0070475339889526,0.06945333629846573
ieee5,202,10,2,13,1,11,"[-0.039837270975112915, 0.16867342591285706, 0.046821001917123795, -0.0517427921295166, 0.14483927190303802, -0.16448438167572021, 0.1638367623090744, -0.3285771906375885, 0.050867676734924316, 0.204447939991951, -0.03618964925408363, 0.3124907612800598, -0.12188030034303665, -1000000000.0, -0.013570554554462433, -0.028505511581897736, 0.16948965191841125, -0.05049017816781998, 0.2561728060245514, 0.038793861865997314, -0.057996563613414764, 0.2279074341058731, -0.18519088625907898, -0.08754827082157135, -0.1505334973335266, -0.12227290123701096, -0.08327865600585938, -0.13063639402389526, 0.2702503800392151, -0.05905744805932045]",0.0,0.0,0.0,0.0
ieee5,202,10,2,13,2,11,"[-0.015432316809892654, 0.15292087197303772, 0.07619999349117279, -0.0769076943397522, 0.15591630339622498, -0.17813646793365479, 0.14291338622570038, -0.3004857301712036, 0.05678717792034149, 0.15244711935520172, 0.018923740833997726, 0.27345794439315796, 0.010173685848712921, -1000000000.0, -0.02433466538786888, -0.05497194826602936, 0.12997111678123474, -0.06972052156925201, 0.1989278495311737, -0.007483566179871559, -0.07274928689002991, 0.17931358516216278, -0.14402556419372559, -0.03596702963113785, -0.15838679671287537, -0.03665347397327423, -0.057421617209911346, -0.052537448704242706, 0.2656877338886261, -0.05213982239365578]",0.03507981449365616,4.858687877655029,2.4394590854644775,0.24071620404720306
ieee5,202,10,3,13 11,0,18,"[-0.190028578042984, 0.15769103169441223, 0.10318062454462051, -0.01208265870809555, -0.08561086654663086, -0.1308947503566742, 0.08000622689723969, -0.3315671980381012, 0.12001156806945801, 0.19724135100841522, -0.02099669724702835, -1000000000.0, -0.1775648444890976, -1000000000.0, 0.12143327295780182, 0.028909415006637573, 0.22124724090099335, -0.22727224230766296, 0.22377043962478638, -0.004408115521073341, 0.02685420587658882, 0.13452906906604767, -0.31568294763565063, 0.05408155173063278, -0.09118323773145676, -0.19475674629211426, 0.04924921318888664, -0.05199219286441803, 0.07947671413421631, 0.17300234735012054]",0.007520012557506561,0.8552307486534119,1.56758713722229,0.0457022450864315
