system,seed,checkpoint,step,action_history,y_bin,selected_action,logits,L1_policy_difference,history_embedding_L2_difference,belief_embedding_L2_difference,logits_L2_difference
ieee5,101,1,2,0,0,15,"[-1000000000.0, -0.020247243344783783, 0.17749899625778198, -0.04899895191192627, -0.4559186100959778, 0.12976552546024323, 0.023838967084884644, -0.1535462588071823, 0.10087091475725174, -0.11412106454372406, -0.08066180348396301, -0.07935663312673569, 0.1348300278186798, -0.11897310614585876, -0.0026621855795383453, 0.2953989803791046, 0.06094034016132355, 0.15191379189491272, -0.03976312279701233, -0.06529173254966736, -0.0277700275182724, -0.018341772258281708, 0.0907965898513794, 0.20981992781162262, 0.07853782176971436, -0.23507946729660034, -0.08122754096984863, -0.10350897908210754, 0.011158786714076996, -0.2394605427980423]",0.01995699852705002,2.19289231300354,1.0653753280639648,0.13507366180419922
ieee5,101,1,2,0,1,15,"[-1000000000.0, -0.03343437239527702, 0.16022902727127075, -0.0475010946393013, -0.45717453956604004, 0.07148244976997375, 0.01973959058523178, -0.14628326892852783, 0.07748044282197952, -0.06940244138240814, -0.07723776996135712, -0.06418880075216293, 0.1345405876636505, -0.1041502058506012, -0.036855679005384445, 0.27726563811302185, 0.051644593477249146, 0.10076916217803955, -0.020358987152576447, -0.03570764511823654, -0.012343958020210266, -0.01507558673620224, 0.13273495435714722, 0.22566476464271545, 0.08942735940217972, -0.19584161043167114, -0.08832690119743347, -0.0743478536605835, 0.02416170760989189, -0.26870936155319214]",0.0,0.0,0.0,0.0
ieee5,101,1,2,0,2,23,"[-1000000000.0, -0.12562373280525208, 0.1176229864358902, -0.08793887495994568, -0.36907267570495605, -0.015508490614593029, -0.0018995031714439392, -0.10538391768932343, 0.04900085926055908, 0.03868906572461128, -0.03229037672281265, -0.030240735039114952, 0.12205707281827927, -0.07333369553089142, -0.11731812357902527, 0.19636176526546478, 0.04607396572828293, -0.025007668882608414, -0.013670474290847778, 0.007049147039651871, 0.048244744539260864, -0.02442389726638794, 0.19392772018909454, 0.21507598459720612, 0.07423648238182068, -0.08346204459667206, -0.07826563715934753, -0.0418124794960022, 0.04135892167687416, -0.2532570958137512]",0.046143364161252975,5.070530891418457,2.4151570796966553,0.31481021642684937
ieee5,101,1,3,0 15,0,23,"[-1000000000.0, -0.09510379284620285, 0.07510585337877274, -0.02660195901989937, -0.3222634196281433, 0.1623101532459259, 0.019541442394256592, -0.1552823781967163, 0.013614004477858543, -0.0737830325961113, -0.07860949635505676, -0.1914053112268448, 0.0932604968547821, -0.07522633671760559, 0.07485741376876831, -1000000000.0, 0.025355800986289978, 0.18131884932518005, 0.006501518189907074, -0.07459744811058044, -0.05873604118824005, -0.18167808651924133, 0.0820942223072052, 0.22520843148231506, 0.08905760198831558, -0.11032427847385406, -0.05271756276488304, -0.13228726387023926, -0.042710352689027786, -0.15211276710033417]",0.013019727542996407,1.1793431043624878,1.3830420970916748,0.08283358067274094
ieee5,101,1,3,0 15,1,23,"[-1000000000.0, -0.09631147235631943, 0.09157983213663101, -0.02311994880437851, -0.3416942358016968, 0.13963569700717926, -0.00048051774501800537, -0.15067408978939056, 0.0042833928018808365, -0.06545421481132507, -0.0575864315032959, -0.1732412725687027, 0.1116628646850586, -0.06895391643047333, 0.05819978937506676, -1000000000.0, 0.026479952037334442, 0.15442456305027008, 0.024405471980571747, -0.0680093765258789, -0.03949825093150139, -0.17203357815742493, 0.11253418773412704, 0.2368524819612503, 0.08946410566568375, -0.10370530188083649, -0.06329752504825592, -0.11729852855205536, -0.029062651097774506, -0.1744328886270523]",0.0,0.0,0.0,0.0
ieee5,101,1,3,0 15,2,23,"[-1000000000.0, -0.12819018959999084, 0.1154838353395462, -0.07819312065839767, -0.27784132957458496, 0.13542440533638, -0.0408787727355957, -0.1380492001771927, -0.011687209829688072, -0.024225428700447083, -0.051916882395744324, -0.1655554473400116, 0.08849923312664032, -0.08379347622394562, 0.013493064790964127, -1000000000.0, 0.04757850989699364, 0.09408719837665558, 0.019228391349315643, -0.05015714094042778, 0.017937541007995605, -0.17321839928627014, 0.15528935194015503, 0.24110548198223114, 0.06234244257211685, -0.07310502231121063, -0.08436886966228485, -0.11946682631969452, 0.005894776433706284, -0.22058506309986115]",0.02675522491335869,3.365950584411621,2.1922945976257324,0.17423811554908752
ieee5,101,10,2,6,0,23,"[-0.1884152889251709, 0.32753485441207886, 0.13840937614440918, 0.1213022843003273, -0.4684140980243683, 0.08591321855783463, -1000000000.0, -0.14024947583675385, 0.1448453962802887, -0.24143819510936737, -0.2957249879837036, 0.06761439144611359, 0.06359633803367615, -0.22044230997562408, 0.05802551284432411, 0.2167585790157318, 0.2798132002353668, 0.29340606927871704, -0.11004608124494553, -0.09159058332443237, -0.22034287452697754, 0.019464388489723206, -0.04580533504486084, 0.4522048830986023, 0.2128327488899231, -0.43756788969039917, -0.026245884597301483, -0.10328266024589539, -0.07102104276418686, -0.21966640651226044]",0.01674158312380314,1.9907495975494385,1.6477926969528198,0.10938743501901627
ieee5,101,10,2,6,1,23,"[-0.16936907172203064, 0.3097892999649048, 0.1470998078584671, 0.10715878754854202, -0.46254855394363403, 0.0392582081258297, -1000000000.0, -0.15465602278709412, 0.1310419887304306, -0.21319879591464996, -0.2683657109737396, 0.08656832575798035, 0.06864860653877258, -0.21508462727069855, 0.025303740054368973, 0.19300098717212677, 0.2713032066822052, 0.2707732915878296, -0.09309308230876923, -0.06650857627391815, -0.22271841764450073, 0.020322076976299286, -0.02833014726638794, 0.46474766731262207, 0.23976102471351624, -0.39483383297920227, -0.03945142775774002, -0.10447639226913452, -0.07494468241930008, -0.22945423424243927]",0.0,0.0,0.0,0.0
ieee5,101,10,2,6,2,23,"[-0.16848480701446533, 0.20653672516345978, 0.10959863662719727, 0.05401935428380966, -0.3805425465106964, -0.0013759834691882133, -1000000000.0, -0.12717939913272858, 0.04930642247200012, -0.11949469149112701, -0.22095999121665955, 0.10636814683675766, 0.11067891120910645, -0.20491115748882294, -0.07072240114212036, 0.046008963137865067, 0.24770519137382507, 0.17437021434307098, -0.08790844678878784, -0.02361784130334854, -0.12216626852750778, 0.003073371946811676, 0.09641344845294952, 0.4953078627586365, 0.25328880548477173, -0.2819002568721771, -0.04403544217348099, -0.06736516952514648, -0.015802936628460884, -0.27754706144332886]",0.05501074716448784,4.686599254608154,2.564281702041626,0.3654959499835968
ieee5,101,10,3,6 23,0,16,"[-0.026880227029323578, 0.2769174575805664, 0.014494586735963821, 0.011216580867767334, -0.35658931732177734, 0.15115667879581451, -1000000000.0, -0.25030258297920227, 0.07380646467208862, -0.1492161899805069, -0.23435908555984497, -0.0015478171408176422, -0.00971626490354538, -0.22691906988620758, 0.20130555331707, 0.024562299251556396, 0.3496077358722687, 0.23837397992610931, -0.0851203054189682, -0.12996117770671844, -0.2866653800010681, -0.014893807470798492, -0.05695790797472, -1000000000.0, 0.31316328048706055, -0.3333149254322052, 0.036247529089450836, -0.03385084867477417, -0.04714240878820419, -0.14791812002658844]",0.010175952687859535,1.1518789529800415,0.849649965763092,0.06318684667348862
ieee5,101,10,3,6 23,1,16,"[-0.009228929877281189, 0.2594483494758606, 0.02914777584373951, 0.015780672430992126, -0.3697279095649719, 0.1380816400051117, -1000000000.0, -0.24610772728919983, 0.0706249475479126, -0.1469026654958725, -0.2069438397884369, 0.008460938930511475, 0.003338463604450226, -0.22134478390216827, 0.18686272203922272, 0.029744233936071396, 0.3420955538749695, 0.23238016664981842, -0.06870150566101074, -0.12146887183189392, -0.27622368931770325, -0.004125677049160004, -0.04491863027215004, -1000000000.0, 0.32232987880706787, -0.32593658566474915, 0.018200471997261047, -0.045843109488487244, -0.04402092099189758, -0.1552136242389679]",0.0,0.0,0.0,0.0
ieee5,101,10,3,6 23,2,16,"[0.0018468573689460754, 0.2664331793785095, 0.04018350690603256, -0.021997865289449692, -0.317495733499527, 0.14666301012039185, -1000000000.0, -0.2384641021490097, 0.026038315147161484, -0.0927329957485199, -0.21286585927009583, -0.01377730444073677, 0.017176814377307892, -0.23508308827877045, 0.1682666689157486, -0.054875586181879044, 0.3556124269962311, 0.20651042461395264, -0.05545513704419136, -0.11885423958301544, -0.2454690933227539, -0.03819138556718826, -0.0005903346464037895, -1000000000.0, 0.31971341371536255, -0.28485724329948425, -0.003794826567173004, -0.020542368292808533, -0.01784350909292698, -0.168900728225708]",0.023678530007600784,3.280895233154297,2.0242066383361816,0.16344928741455078
ieee5,101,20,2,16,0,23,"[-0.32231858372688293, 0.4492570161819458, 0.032065894454717636, 0.1064511388540268, -0.4238347113132477, -0.05811615288257599, 0.22668325901031494, -0.22846156358718872, 0.04723037779331207, -0.2793383002281189, -0.419038861989975, 0.15475018322467804, 0.023332811892032623, -0.34495753049850464, 0.0636892020702362, 0.10310626029968262, -1000000000.0, 0.2889679968357086, -0.014442473649978638, -0.13714472949504852, -0.3313558101654053, 0.11334696412086487, -0.08303007483482361, 0.5025953650474548, 0.19946743547916412, -0.47541895508766174, -0.012592736631631851, 0.03362128883600235, -0.02591521479189396, -0.1565658152103424]",0.014399338513612747,1.8871307373046875,1.5730894804000854,0.09124055504798889
