system,seed,checkpoint,step,action_history,y_bin,selected_action,logits,L1_policy_difference,history_embedding_L2_difference,belief_embedding_L2_difference,logits_L2_difference
ieee5,505,1,2,29,0,19,"[-0.0680832713842392, 0.1248340755701065, -0.02859257161617279, -0.23169925808906555, -0.21020512282848358, -0.04745834693312645, -0.11305120587348938, 0.10481174290180206, 0.12650097906589508, -0.04494525492191315, -0.2705739736557007, 0.0890987440943718, 0.0943223312497139, -0.04346626251935959, -0.150430366396904, 0.17000092566013336, -0.08272948861122131, 0.12448857724666595, 0.16798797249794006, 0.1780768632888794, -0.29502007365226746, 0.0013754479587078094, 0.058821871876716614, -0.48830628395080566, -0.22705426812171936, -0.15927940607070923, 0.06686445325613022, 0.14823970198631287, -0.19366168975830078, -1000000000.0]",0.020222637802362442,1.998428225517273,1.7403843402862549,0.14873290061950684
ieee5,505,1,2,29,1,19,"[-0.07779133319854736, 0.140355184674263, -0.06930506974458694, -0.2360859215259552, -0.22249563038349152, -0.08005388081073761, -0.10679376125335693, 0.1303568184375763, 0.10784867405891418, -0.04805021733045578, -0.3307461440563202, 0.04700600355863571, 0.09052623808383942, -0.055456578731536865, -0.1356705129146576, 0.20111794769763947, -0.09157344698905945, 0.09402020275592804, 0.18796572089195251, 0.20867139101028442, -0.33789774775505066, -0.01572011038661003, 0.056886449456214905, -0.5013573169708252, -0.22476471960544586, -0.2299291044473648, 0.06356091797351837, 0.15103258192539215, -0.15560686588287354, -1000000000.0]",0.0,0.0,0.0,0.0
ieee5,505,1,2,29,2,15,"[-0.08756205439567566, 0.1643046885728836, -0.11499907821416855, -0.21118435263633728, -0.27359023690223694, -0.10243278741836548, -0.12354423850774765, 0.18725019693374634, 0.020838867872953415, 0.015974991023540497, -0.38517868518829346, 0.001532718539237976, 0.02083640918135643, -0.08293212205171585, -0.1059909462928772, 0.23966775834560394, -0.0258341021835804, -0.009458139538764954, 0.19321729242801666, 0.19326989352703094, -0.22090014815330505, -0.03282860293984413, 0.0004877448081970215, -0.40211570262908936, -0.18317550420761108, -0.22285090386867523, 0.06336136162281036, 0.10277654230594635, -0.03574064373970032, -1000000000.0]",0.045630745589733124,5.335098743438721,2.590881586074829,0.3089766800403595
ieee5,505,1,3,29 15,0,22,"[-0.05349678173661232, 0.07944519817829132, 0.07883547246456146, -0.2522803843021393, -0.13022197782993317, -0.1740986406803131, -0.018467729911208153, 0.1802564412355423, 0.052375130355358124, -0.05777939409017563, -0.16672278940677643, 0.057149454951286316, 0.13639028370380402, 0.03332848846912384, -0.009963667020201683, -1000000000.0, -0.18065676093101501, 0.16729623079299927, -0.025248833000659943, 0.2602079510688782, -0.2663847506046295, -0.10518883168697357, 0.2762865126132965, -0.24962837994098663, -0.14558425545692444, -0.14314086735248566, 0.18866878747940063, 0.1112528145313263, -0.18116870522499084, -1000000000.0]",0.011802120134234428,1.4743834733963013,1.5791821479797363,0.07817716896533966
ieee5,505,1,3,29 15,1,19,"[-0.030641034245491028, 0.07797902822494507, 0.07385090738534927, -0.27297407388687134, -0.12276643514633179, -0.16133812069892883, -0.004066754132509232, 0.16918347775936127, 0.04730810970067978, -0.04496566206216812, -0.14818210899829865, 0.04637721925973892, 0.10648936778306961, 0.03574317693710327, -0.007772145792841911, -1000000000.0, -0.1515488624572754, 0.15448831021785736, -0.020483095198869705, 0.2688787579536438, -0.2626209557056427, -0.12175355851650238, 0.255891352891922, -0.2374466508626938, -0.13009418547153473, -0.13626490533351898, 0.19198697805404663, 0.13846705853939056, -0.17566275596618652, -1000000000.0]",0.0,0.0,0.0,0.0
ieee5,505,1,3,29 15,2,19,"[0.01709713414311409, 0.07489098608493805, -0.0274326354265213, -0.2574194073677063, -0.1293533593416214, -0.07204519957304001, -0.039648570120334625, 0.12935109436511993, 0.024508971720933914, 0.024258971214294434, -0.157258078455925, 0.00844268873333931, 0.030485503375530243, 0.00033267587423324585, 0.019980426877737045, -1000000000.0, -0.0563739612698555, 0.12386554479598999, -0.0582619346678257, 0.2537984251976013, -0.26910635828971863, -0.17653615772724152, 0.20678070187568665, -0.22486984729766846, -0.13459956645965576, -0.17702525854110718, 0.176261305809021, 0.1455642133951187, -0.11043032258749008, -1000000000.0]",0.03498489409685135,3.915065288543701,2.2072603702545166,0.2485770583152771
ieee5,505,10,2,13,0,11,"[-0.4975595474243164, 0.17529422044754028, -0.23703989386558533, 0.08643820881843567, -0.8890679478645325, 0.40390074253082275, -0.21775873005390167, 0.31157922744750977, -0.3845067322254181, 0.2021557241678238, -0.6734233498573303, 0.8796613812446594, -0.24258483946323395, -1000000000.0, -0.3601001501083374, 0.054610006511211395, 0.21153050661087036, 0.35539549589157104, -0.3879466652870178, 0.33928290009498596, -0.029185660183429718, 0.4313833713531494, 0.4143568277359009, -0.7934406995773315, -0.8026873469352722, 0.09030492603778839, -0.06117802485823631, -0.43430599570274353, 0.3607633709907532, 0.15230697393417358]",0.022916153073310852,1.791738748550415,1.2062451839447021,0.1423320472240448
ieee5,505,10,2,13,1,11,"[-0.5199966430664062, 0.11977339535951614, -0.21005943417549133, 0.06671008467674255, -0.8755109310150146, 0.38861262798309326, -0.23629873991012573, 0.3469144105911255, -0.3929288685321808, 0.22262521088123322, -0.7255672216415405, 0.8603935837745667, -0.2170635312795639, -1000000000.0, -0.3250412940979004, 0.08195938169956207, 0.1860690712928772, 0.31814074516296387, -0.38172483444213867, 0.3629697859287262, -0.003385387361049652, 0.41144466400146484, 0.3998325765132904, -0.762483537197113, -0.8156250715255737, 0.04820411652326584, -0.0748520940542221, -0.4318174421787262, 0.37382832169532776, 0.1651378571987152]",0.0,0.0,0.0,0.0
ieee5,505,10,2,13,2,11,"[-0.5305543541908264, -0.09171402454376221, -0.0855090543627739, -0.012024528346955776, -0.7828145623207092, 0.3168269991874695, -0.2718479335308075, 0.5130183696746826, -0.4105779230594635, 0.25348401069641113, -0.8282437324523926, 0.6989207863807678, -0.10220377892255783, -1000000000.0, -0.2010050266981125, 0.17066678404808044, 0.0808914378285408, 0.13847362995147705, -0.2805202305316925, 0.41691145300865173, 0.08851499855518341, 0.31702643632888794, 0.272159218788147, -0.6200489401817322, -0.781868577003479, -0.06913980841636658, -0.12501008808612823, -0.36439868807792664, 0.38972800970077515, 0.18029454350471497]",0.09485791623592377,4.876486778259277,3.0368244647979736,0.5624703168869019
ieee5,505,10,3,13 11,0,17,"[-0.4062545895576477, 0.4338601529598236, -0.34019359946250916, 0.17973944544792175, -1.0216726064682007, 0.3088887333869934, -0.07501185685396194, 0.11874893307685852, -0.17056094110012054, 0.2385445386171341, -0.6329901814460754, -1000000000.0, -0.17159779369831085, -1000000000.0, -0.32346588373184204, -0.07996361702680588, 0.1628495156764984, 0.45756304264068604, -0.25568345189094543, 0.2307448834180832, 0.22365906834602356, 0.36977362632751465, 0.3730047047138214, -0.7127201557159424, -0.9721096754074097, 0.06165863201022148, -0.056407224386930466, -0.3702787458896637, 0.27236130833625793, 0.06935188919305801]",0.010649129748344421,1.1221851110458374,1.722346544265747,0.08152204751968384
