update,policy_loss,value_loss,approximate_kl,entropy,mean_training_terminal_cost,mean_u_ctrl,std_u_ctrl,median_u_ctrl,q10_u_ctrl,q90_u_ctrl,safety,dominant_sequence,dominant_sequence_fraction,unique_sequences,sequence_entropy,entropy_t1,entropy_t2,entropy_t3
1,-0.0962086096405983,0.0706644207239151,0.04575261101126671,3.359703540802002,0.8333333333333334,0.9166666666666669,0.07993052538854531,0.9,0.8,1.0,1.0,"[20, 27, 29]",1.0,1,-0.0,3.3932979106903076,3.3625359336535134,3.32028466463089
10,-0.06083138659596443,0.005682872608304024,-0.0039388141594827175,3.3120181560516357,0.8583333333333334,0.9250000000000002,0.08291561975888498,0.95,0.8,1.0,1.0,"[19, 21, 22]",1.0,1,-0.0,3.3732635974884033,3.2946433226267495,3.289417246977488
20,-0.05111315846443176,0.004983512219041586,0.008203532546758652,3.2690303325653076,0.8666666666666667,0.8916666666666667,0.08620067027323833,0.9,0.8,1.0,1.0,"[23, 6, 12]",0.5833333333333334,2,0.6791932659915256,3.3413591384887695,3.244763135910034,3.2358166376749673
30,-0.07778366655111313,0.004588730167597532,0.00615466944873333,3.1209559440612793,0.9083333333333333,0.8666666666666667,0.13123346456686352,0.9,0.62,1.0,1.0,"[23, 6, 16]",1.0,1,-0.0,3.2122883796691895,3.072129567464193,3.1607212821642556
40,-0.02714536339044571,0.007682282943278551,-0.0007660488481633365,2.999664306640625,0.8166666666666665,0.8833333333333334,0.08975274678557507,0.9,0.8,1.0,1.0,"[25, 16, 23]",1.0,1,-0.0,3.2342183589935303,2.8758885860443115,2.9990853865941367
50,-0.04636209458112717,0.005966447293758392,0.01634170301258564,2.882035493850708,0.8250000000000002,0.8333333333333334,0.13123346456686352,0.9,0.61,0.99,1.0,"[3, 6, 23]",1.0,1,-0.0,3.2054429054260254,2.5422774155934653,2.8786171476046243
60,-0.057456836104393005,0.00416524475440383,-0.04211404547095299,2.6203017234802246,0.8333333333333331,0.8333333333333334,0.13123346456686352,0.9,0.61,0.99,1.0,"[3, 6, 23]",1.0,1,-0.0,3.0982892513275146,2.39027867714564,2.562861979007721
70,-0.01814604550600052,0.0028441448230296373,0.0009012189111672342,2.6241400241851807,0.9166666666666666,0.8250000000000001,0.13616778865306828,0.9,0.61,0.99,1.0,"[3, 23, 16]",1.0,1,-0.0,2.965474843978882,2.5407520135243735,2.672673523426056
80,-0.018751688301563263,0.005265479441732168,-0.0011834502220153809,2.37800931930542,0.8000000000000002,0.8250000000000001,0.13616778865306828,0.9,0.61,0.99,1.0,"[23, 3, 16]",1.0,1,-0.0,2.708014726638794,2.5058695673942566,2.6425010164578757
90,-0.03751450777053833,0.003698281943798065,0.021132443100214005,2.5826032161712646,0.9,0.8666666666666668,0.1178511301977579,0.9,0.71,1.0,1.0,"[23, 16, 17]",1.0,1,-0.0,2.905691623687744,2.4948463638623557,2.95946474870046
100,-0.04919232055544853,0.004657266661524773,-0.001854394911788404,2.2632546424865723,0.9,0.9083333333333335,0.07592027982620247,0.9,0.8,1.0,1.0,"[23, 22, 17]",1.0,1,-0.0,1.8409335613250732,2.614747961362203,2.8255033095677695
110,-0.061855725944042206,0.0051539987325668335,0.011305538937449455,2.4917125701904297,0.8416666666666667,0.8916666666666667,0.11873172373979174,0.9,0.8,1.0,1.0,"[3, 23, 17]",0.6666666666666666,2,0.6365141682948128,2.757744550704956,2.31584769487381,2.6595817605654397
120,-0.05329573526978493,0.007395233493298292,0.02558729238808155,2.5789873600006104,0.7833333333333332,0.8333333333333334,0.13123346456686352,0.9,0.61,0.99,1.0,"[6, 23, 14]",0.5833333333333334,2,0.6791932659915256,3.132472038269043,1.7452604373296101,2.9605838457743325
130,-0.04737582430243492,0.006570647470653057,-0.010583315044641495,2.477675199508667,0.8416666666666667,0.8583333333333334,0.13819269959814168,0.9,0.61,1.0,1.0,"[6, 23, 21]",0.6666666666666666,2,0.6365141682948128,2.9676177501678467,0.9440247019131979,3.1484117905298867
