update,policy_loss,value_loss,approximate_kl,entropy,mean_training_terminal_cost,mean_u_ctrl,std_u_ctrl,median_u_ctrl,q10_u_ctrl,q90_u_ctrl,safety,dominant_sequence,dominant_sequence_fraction,unique_sequences,sequence_entropy,entropy_t1,entropy_t2,entropy_t3
1,-0.1235506683588028,0.028373420238494873,-0.007714880630373955,3.3516156673431396,0.8083333333333335,0.8916666666666667,0.11873172373979175,0.9,0.72,1.0,1.0,"[3, 21, 22]",1.0,1,-0.0,3.390911340713501,3.3422359824180603,3.318956474463145
10,0.026626475155353546,0.005716981831938028,0.030028197914361954,3.3039236068725586,0.875,0.9166666666666669,0.07993052538854531,0.9,0.8,1.0,1.0,"[7, 8, 22]",1.0,1,-0.0,3.380929470062256,3.3147963285446167,3.246838629245758
20,-0.0019535189494490623,0.005322176497429609,0.04451445862650871,3.230374336242676,0.875,0.9250000000000002,0.08291561975888498,0.95,0.8,1.0,1.0,"[24, 21, 22]",1.0,1,-0.0,3.383053779602051,3.1043362418810525,3.1952345172564187
30,-0.015539620071649551,0.006146789062768221,-0.0058981808833777905,3.0601797103881836,0.875,0.9250000000000002,0.08291561975888498,0.95,0.8,1.0,1.0,"[24, 21, 22]",1.0,1,-0.0,3.371891498565674,2.8683858712514243,2.9846569895744324
40,-0.022198153659701347,0.006772071588784456,0.02920674905180931,3.0430352687835693,0.8000000000000002,0.9166666666666666,0.0799305253885453,0.9,0.8,1.0,1.0,"[29, 21, 22]",1.0,1,-0.0,3.353882312774658,3.0071352322896323,3.0942088762919107
50,-0.030327817425131798,0.006928259041160345,0.007783833425492048,3.1867663860321045,0.8500000000000001,0.9,0.10000000000000002,0.9,0.72,1.0,1.0,"[18, 21, 22]",1.0,1,-0.0,3.3286476135253906,3.071369767189026,3.1642144918441772
60,-0.06653598695993423,0.004690579138696194,0.008683264255523682,3.271150827407837,0.8999999999999999,0.8333333333333334,0.13123346456686352,0.9,0.61,0.99,1.0,"[18, 6, 14]",0.6666666666666666,2,0.6365141682948128,3.3514702320098877,3.2714697321256003,3.1941669583320618
70,-0.032288264483213425,0.0044169118627905846,0.001623690128326416,3.179274559020996,0.9083333333333333,0.8416666666666668,0.12555432644432804,0.9,0.62,0.99,1.0,"[18, 6, 19]",1.0,1,-0.0,3.3063876628875732,3.1124085187911987,3.1697203516960144
80,-0.024995975196361542,0.00743159418925643,0.027833720669150352,3.149834632873535,0.8000000000000002,0.8500000000000001,0.12583057392117916,0.9,0.62,0.99,1.0,"[18, 6, 14]",1.0,1,-0.0,3.329286813735962,3.1909391283988953,2.96835857629776
90,-0.011660405434668064,0.005391734652221203,0.03086845763027668,2.9510953426361084,0.8666666666666667,0.9416666666666668,0.06400954789890506,0.95,0.9,1.0,1.0,"[0, 7, 27]",1.0,1,-0.0,3.3022308349609375,2.7663031617800393,2.8206566174825034
100,-0.03304799646139145,0.0032847810070961714,-0.06690721958875656,2.8285248279571533,0.9333333333333335,0.8750000000000001,0.0721687836487032,0.9,0.8,0.99,1.0,"[0, 23, 7]",1.0,1,-0.0,3.277320384979248,2.3189985156059265,2.9330676198005676
110,-0.06484059244394302,0.004807866178452969,-0.021780110895633698,3.0427019596099854,0.8416666666666668,0.8583333333333334,0.13819269959814168,0.9,0.61,1.0,1.0,"[18, 21, 16]",0.5833333333333334,2,0.6791932659915256,3.307877779006958,3.224173069000244,3.1611915032068887
120,-0.05924174562096596,0.00782142672687769,-0.013225625269114971,2.9118435382843018,0.7749999999999999,0.8583333333333334,0.13819269959814168,0.9,0.61,1.0,1.0,"[18, 6, 16]",0.5,2,0.6931471805599453,3.224059581756592,3.031018058458964,2.9900142351786294
