update,actor_loss,critic_loss,mean_training_terminal_cost,mean_entropy,available_action_fraction_evaluated,mean_u_ctrl,std_u_ctrl,median_u_ctrl,q10_u_ctrl,q90_u_ctrl,safety,dominant_sequence,dominant_sequence_fraction,unique_sequences,sequence_entropy,entropy_t1,entropy_t2,entropy_t3,critic_mae,critic_rmse,critic_spearman,critic_top1_agreement,critic_top5_recall,critic_calibration_by_predicted_cost_bin
1,-0.007371857762336731,0.4684348404407501,0.9800000000000001,3.953111171722412,1.0,0.9766666666666666,0.046067583203617556,0.96,0.96,1.016,1.0,"[0, 46, 36]",0.625,2,0.6615632381579821,3.9822018146514893,3.9645170470078788,3.9457050363222756,0.496957391500473,0.5113470554351807,-0.18580497481718347,0.0,0.0,"[{""bin"": 0, ""count"": 63, ""mean_predicted_cost"": 0.26067936420440674, ""mean_realized_cost"": 0.9755555391311646}, {""bin"": 1, ""count"": 63, ""mean_predicted_cost"": 0.4592597782611847, ""mean_realized_cost"": 0.9599998593330383}, {""bin"": 2, ""count"": 63, ""mean_predicted_cost"": 0.5064702033996582, ""mean_realized_cost"": 0.9599998593330383}, {""bin"": 3, ""count"": 63, ""mean_predicted_cost"": 0.5359839797019958, ""mean_realized_cost"": 0.9599998593330383}, {""bin"": 4, ""count"": 63, ""mean_predicted_cost"": 0.5683750510215759, ""mean_realized_cost"": 0.9599998593330383}]"
10,-0.0021891898941248655,0.009823132306337357,0.9600000000000003,3.9520702362060547,1.0,0.98,0.057735026918962595,0.96,0.96,1.016,1.0,"[0, 48, 21]",0.875,4,0.5140966973399506,3.979156732559204,3.956973969936371,3.9398101369539895,0.14027829468250275,0.14652131497859955,-0.2532690230803438,0.0,0.0,"[{""bin"": 0, ""count"": 64, ""mean_predicted_cost"": 0.7761063575744629, ""mean_realized_cost"": 0.965624988079071}, {""bin"": 1, ""count"": 64, ""mean_predicted_cost"": 0.7978654503822327, ""mean_realized_cost"": 0.9640624523162842}, {""bin"": 2, ""count"": 63, ""mean_predicted_cost"": 0.816366970539093, ""mean_realized_cost"": 0.9609522223472595}, {""bin"": 3, ""count"": 64, ""mean_predicted_cost"": 0.8607930541038513, ""mean_realized_cost"": 0.9746875166893005}, {""bin"": 4, ""count"": 64, ""mean_predicted_cost"": 0.8933616876602173, ""mean_realized_cost"": 0.9806250333786011}]"
20,0.011776206083595753,0.002519424771890044,0.9933333333333335,3.935492753982544,1.0,0.98,0.057735026918962595,0.96,0.96,1.016,1.0,"[45, 48, 0]",0.375,4,1.2130075659799042,3.970844268798828,3.9393613636493683,3.9195014238357544,0.04859679192304611,0.05364486575126648,-0.17414810905376943,0.0,0.0,"[{""bin"": 0, ""count"": 64, ""mean_predicted_cost"": 0.9730192422866821, ""mean_realized_cost"": 0.9821875095367432}, {""bin"": 1, ""count"": 63, ""mean_predicted_cost"": 1.00501549243927, ""mean_realized_cost"": 0.9695237874984741}, {""bin"": 2, ""count"": 63, ""mean_predicted_cost"": 1.0152266025543213, ""mean_realized_cost"": 0.9644443392753601}, {""bin"": 3, ""count"": 63, ""mean_predicted_cost"": 1.0229023694992065, ""mean_realized_cost"": 0.9609522819519043}, {""bin"": 4, ""count"": 64, ""mean_predicted_cost"": 1.0320992469787598, ""mean_realized_cost"": 0.9599999785423279}]"
30,-0.00568797392770648,0.0008898149244487286,0.9666666666666668,3.914804458618164,1.0,0.9933333333333333,0.076303487615064,0.96,0.96,1.12,1.0,"[30, 48, 21]",1.0,1,-0.0,3.957040786743164,3.915121853351593,3.89924888809522,0.036066509783267975,0.040582966059446335,-0.056297242035310835,0.0,0.0,"[{""bin"": 0, ""count"": 64, ""mean_predicted_cost"": 0.9790016412734985, ""mean_realized_cost"": 0.9671875238418579}, {""bin"": 1, ""count"": 63, ""mean_predicted_cost"": 0.9954692721366882, ""mean_realized_cost"": 0.9603173136711121}, {""bin"": 2, ""count"": 63, ""mean_predicted_cost"": 1.0011461973190308, ""mean_realized_cost"": 0.9599998593330383}, {""bin"": 3, ""count"": 63, ""mean_predicted_cost"": 1.0160350799560547, ""mean_realized_cost"": 0.9819048047065735}, {""bin"": 4, ""count"": 64, ""mean_predicted_cost"": 1.0301482677459717, ""mean_realized_cost"": 0.9865624904632568}]"
40,-0.0064095077104866505,0.0003399396955501288,0.9600000000000003,3.8859424591064453,1.0,0.9933333333333333,0.076303487615064,0.96,0.96,1.12,1.0,"[30, 48, 21]",1.0,1,-0.0,3.937300205230713,3.9067157804965973,3.9000392655531564,0.011305276304483414,0.016045792028307915,0.038250773766866975,0.0,0.0,"[{""bin"": 0, ""count"": 63, ""mean_predicted_cost"": 0.9591882228851318, ""mean_realized_cost"": 0.9647617936134338}, {""bin"": 1, ""count"": 63, ""mean_predicted_cost"": 0.9650719165802002, ""mean_realized_cost"": 0.9631744623184204}, {""bin"": 2, ""count"": 63, ""mean_predicted_cost"": 0.9678507447242737, ""mean_realized_cost"": 0.966666579246521}, {""bin"": 3, ""count"": 63, ""mean_predicted_cost"": 0.9708528518676758, ""mean_realized_cost"": 0.9663491249084473}, {""bin"": 4, ""count"": 64, ""mean_predicted_cost"": 0.975222647190094, ""mean_realized_cost"": 0.965624988079071}]"
50,-0.010844280011951923,0.00031424700864590704,0.9800000000000001,3.854090690612793,1.0,0.9833333333333334,0.06315765107165475,0.96,0.96,1.072,1.0,"[30, 48, 21]",0.9166666666666666,2,0.2868359830561607,3.9005372524261475,3.8895634512106576,3.890851527452469,0.014400460757315159,0.021999074146151543,-0.005213177910181235,0.0,0.0,"[{""bin"": 0, ""count"": 63, ""mean_predicted_cost"": 0.9557738900184631, ""mean_realized_cost"": 0.970793604850769}, {""bin"": 1, ""count"": 64, ""mean_predicted_cost"": 0.9616822004318237, ""mean_realized_cost"": 0.971875011920929}, {""bin"": 2, ""count"": 63, ""mean_predicted_cost"": 0.9644247889518738, ""mean_realized_cost"": 0.9698411822319031}, {""bin"": 3, ""count"": 64, ""mean_predicted_cost"": 0.9671878218650818, ""mean_realized_cost"": 0.9693750143051147}, {""bin"": 4, ""count"": 64, ""mean_predicted_cost"": 0.9710885286331177, ""mean_realized_cost"": 0.9768750071525574}]"
60,-0.007313973736017942,0.00032340973848477006,0.9666666666666668,3.840179443359375,1.0,0.9733333333333333,0.049888765156985884,0.96,0.96,0.96,1.0,"[30, 48, 21]",0.6666666666666666,3,0.7621042220469585,3.845334768295288,3.9061580200990043,3.9027072191238403,0.015982775017619133,0.02213398739695549,-0.0343353855007573,0.0,0.0,"[{""bin"": 0, ""count"": 64, ""mean_predicted_cost"": 0.9505633115768433, ""mean_realized_cost"": 0.9599999785423279}, {""bin"": 1, ""count"": 64, ""mean_predicted_cost"": 0.9595403671264648, ""mean_realized_cost"": 0.9599999785423279}, {""bin"": 2, ""count"": 62, ""mean_predicted_cost"": 0.9729258418083191, ""mean_realized_cost"": 0.9667741060256958}, {""bin"": 3, ""count"": 63, ""mean_predicted_cost"": 0.9851868152618408, ""mean_realized_cost"": 0.986031711101532}, {""bin"": 4, ""count"": 66, ""mean_predicted_cost"": 0.9899154305458069, ""mean_realized_cost"": 0.979697048664093}]"
70,0.003025247948244214,0.0009828312322497368,0.9600000000000003,3.807220697402954,1.0,0.9733333333333333,0.049888765156985884,0.96,0.96,0.96,1.0,"[39, 30, 36]",0.375,4,1.3208883431493221,3.790419340133667,3.9361732403437295,3.9237498541673026,0.016936045140028,0.02003602683544159,-0.07872052722219204,0.0,0.0,"[{""bin"": 0, ""count"": 64, ""mean_predicted_cost"": 0.9675552845001221, ""mean_realized_cost"": 0.9612499475479126}, {""bin"": 1, ""count"": 63, ""mean_predicted_cost"": 0.9735745191574097, ""mean_realized_cost"": 0.962539553642273}, {""bin"": 2, ""count"": 63, ""mean_predicted_cost"": 0.9760391712188721, ""mean_realized_cost"": 0.962222158908844}, {""bin"": 3, ""count"": 63, ""mean_predicted_cost"": 0.9789973497390747, ""mean_realized_cost"": 0.9669840931892395}, {""bin"": 4, ""count"": 64, ""mean_predicted_cost"": 0.9831349849700928, ""mean_realized_cost"": 0.9734375476837158}]"
80,-0.0041406718082726,0.000542928755749017,0.9800000000000001,3.8150651454925537,1.0,0.9733333333333333,0.049888765156985884,0.96,0.96,0.96,1.0,"[21, 39, 30]",0.4583333333333333,4,1.061845776521178,3.743807077407837,3.948257545630137,3.935791850090027,0.016055457293987274,0.020948583260178566,-0.06681983901739728,0.0,0.0,"[{""bin"": 0, ""count"": 64, ""mean_predicted_cost"": 0.9637298583984375, ""mean_realized_cost"": 0.9612499475479126}, {""bin"": 1, ""count"": 64, ""mean_predicted_cost"": 0.9709832072257996, ""mean_realized_cost"": 0.9621874690055847}, {""bin"": 2, ""count"": 62, ""mean_predicted_cost"": 0.9753878116607666, ""mean_realized_cost"": 0.9648386240005493}, {""bin"": 3, ""count"": 65, ""mean_predicted_cost"": 0.9790695309638977, ""mean_realized_cost"": 0.9738460779190063}, {""bin"": 4, ""count"": 64, ""mean_predicted_cost"": 0.9829176664352417, ""mean_realized_cost"": 0.9784374833106995}]"
90,-0.00799779687076807,0.00034784601302817464,0.9600000000000003,3.8015851974487305,1.0,0.9866666666666667,0.07180219742846006,0.96,0.96,1.072,1.0,"[39, 36, 30]",0.75,3,0.7356219397587946,3.7293314933776855,3.9541478951772056,3.939911425113678,0.02067970298230648,0.022099629044532776,-0.040512728526047065,0.0,0.0,"[{""bin"": 0, ""count"": 64, ""mean_predicted_cost"": 0.9727965593338013, ""mean_realized_cost"": 0.9603124856948853}, {""bin"": 1, ""count"": 63, ""mean_predicted_cost"": 0.9786613583564758, ""mean_realized_cost"": 0.9619046449661255}, {""bin"": 2, ""count"": 64, ""mean_predicted_cost"": 0.9815858602523804, ""mean_realized_cost"": 0.9634374976158142}, {""bin"": 3, ""count"": 63, ""mean_predicted_cost"": 0.9843223690986633, ""mean_realized_cost"": 0.967619001865387}, {""bin"": 4, ""count"": 64, ""mean_predicted_cost"": 0.9877837896347046, ""mean_realized_cost"": 0.9728124737739563}]"
