update,policy_loss,value_loss,approximate_kl,entropy,mean_training_terminal_cost,mean_u_ctrl,std_u_ctrl,median_u_ctrl,q10_u_ctrl,q90_u_ctrl,safety,dominant_sequence,dominant_sequence_fraction,unique_sequences,sequence_entropy,entropy_t1,entropy_t2,entropy_t3
1,-0.059802573174238205,0.05922277644276619,0.03252038732171059,3.9643821716308594,0.9800000000000001,0.9899999999999999,0.060277137733417134,0.96,0.96,1.12,1.0,"[16, 19, 45]",1.0,1,-0.0,3.981484889984131,3.960805505514145,3.944095343351364
10,-0.0297520961612463,0.0018006028840318322,0.016794569790363312,3.8984014987945557,0.9866666666666667,0.9766666666666666,0.05647024782032473,0.96,0.96,0.96,1.0,"[39, 44, 50]",1.0,1,-0.0,3.959017038345337,3.89163405696551,3.86652202407519
20,-0.024330614134669304,0.0010235690278932452,0.009927451610565186,3.8882761001586914,0.9800000000000001,0.9700000000000001,0.04795831523312719,0.96,0.96,0.96,1.0,"[39, 52, 38]",0.9583333333333334,2,0.1732052067491771,3.9383504390716553,3.9219257632891336,3.8786108791828156
30,-0.028658784925937653,0.0030945660546422005,0.011037164367735386,3.8236677646636963,0.9866666666666669,0.9633333333333333,0.01598610507770908,0.96,0.96,0.96,1.0,"[1, 52, 19]",0.5416666666666666,2,0.6896709283570267,3.897153377532959,3.837271531422933,3.7801267405351004
40,-0.041091784834861755,0.0013002414489164948,0.025192631408572197,3.712367534637451,0.9800000000000001,0.9866666666666667,0.06798692684790379,0.96,0.96,1.04,1.0,"[52, 38, 19]",1.0,1,-0.0,3.7471208572387695,3.8353825906912484,3.823115517695745
50,-0.033710431307554245,0.002086987951770425,0.0017565885791555047,3.8368678092956543,0.9733333333333336,0.98,0.052915026221291864,0.96,0.96,1.072,1.0,"[36, 52, 19]",1.0,1,-0.0,3.8457589149475098,3.8589731256167092,3.8927406469980874
60,-0.039984796196222305,0.0022257338277995586,-0.0037542448844760656,3.8202764987945557,0.9800000000000001,0.9866666666666667,0.07180219742846006,0.96,0.96,1.072,1.0,"[52, 24, 19]",0.9166666666666666,2,0.2868359830561607,3.787111759185791,3.801517963409424,3.901782602071762
70,-0.07136806845664978,0.00013353468966670334,0.0074402689933776855,3.5058650970458984,0.9600000000000003,0.9633333333333333,0.01598610507770908,0.96,0.96,0.96,1.0,"[52, 45, 35]",1.0,1,-0.0,3.4442262649536133,3.2955730656782785,3.8213740487893424
80,-0.01885698176920414,0.00018878166156355292,0.001849184394814074,2.8447630405426025,0.9600000000000003,0.9833333333333334,0.058783973628494676,0.96,0.96,1.04,1.0,"[45, 52, 39]",0.5833333333333334,2,0.6791932659915256,2.357783555984497,3.217861851056417,3.83745684226354
90,-0.009115088731050491,0.0009473518002778292,0.01130424439907074,2.7148313522338867,0.9800000000000001,0.9833333333333334,0.058783973628494676,0.96,0.96,1.04,1.0,"[45, 18, 39]",0.5,3,0.9184277849930977,1.9638875722885132,3.075189381837845,3.8819758097330728
