system,seed,checkpoint,step,action_history,y_bin,selected_action,logits,L1_policy_difference,history_embedding_L2_difference,belief_embedding_L2_difference,logits_L2_difference
ieee9,101,1,2,9,0,44,"[0.06433408707380295, -0.24149255454540253, -0.11973221600055695, -0.005849018692970276, -0.08615802973508835, -0.10888346284627914, 0.051786672323942184, -0.06967366486787796, -0.1636461764574051, -1000000000.0, 0.10187576711177826, -0.052363842725753784, -0.1481732428073883, 0.08883921802043915, 0.1419837921857834, -0.28788793087005615, -0.1267581731081009, 0.07517970353364944, 0.16890619695186615, 0.04520941898226738, 0.0929621234536171, 0.015134058892726898, -0.0009894296526908875, 0.16364911198616028, 0.03192959725856781, 0.06850499659776688, 0.20905251801013947, -0.15670068562030792, 0.21513967216014862, -0.05417526513338089, -0.12713462114334106, -0.1893608123064041, -0.06092027202248573, -0.14197492599487305, -0.004008058458566666, 0.020125489681959152, -0.0023988932371139526, -0.020462512969970703, -0.01546013168990612, -0.005850672721862793, 0.08902398496866226, 0.07260878384113312, 0.021525688469409943, -0.10835297405719757, 0.2723460793495178, -0.1359185427427292, -0.052428439259529114, -0.019564172253012657, 0.020324669778347015, -0.22422680258750916, -0.03767217695713043, 0.06147713586688042, 0.14608797430992126, -0.07952414453029633]",0.006963594816625118,1.2583494186401367,0.7004424333572388,0.06427182257175446
ieee9,101,1,2,9,1,44,"[0.0763382539153099, -0.263252854347229, -0.1264590620994568, 0.003463268280029297, -0.09229190647602081, -0.10364004969596863, 0.04987267404794693, -0.05873919278383255, -0.17921078205108643, -1000000000.0, 0.10313215851783752, -0.07190140336751938, -0.14489613473415375, 0.0910487174987793, 0.13794954121112823, -0.29770320653915405, -0.12020815908908844, 0.08485754579305649, 0.1665836125612259, 0.046795450150966644, 0.0951278880238533, 0.0299183651804924, -0.009921111166477203, 0.16175144910812378, 0.03462409973144531, 0.06439992040395737, 0.20299701392650604, -0.1482551097869873, 0.22157295048236847, -0.05419806391000748, -0.13216650485992432, -0.19212917983531952, -0.05752257630228996, -0.13237355649471283, -0.0018210001289844513, 0.02426972985267639, -0.012790381908416748, -0.020704634487628937, -0.031007317826151848, 0.003844272345304489, 0.09420366585254669, 0.06553041189908981, 0.016496337950229645, -0.11376150697469711, 0.2635950446128845, -0.1447964459657669, -0.03092062473297119, -0.008213188499212265, 0.0171034075319767, -0.214697003364563, -0.037761226296424866, 0.0746302679181099, 0.13905762135982513, -0.07633307576179504]",0.0,0.0,0.0,0.0
ieee9,101,1,2,9,2,28,"[0.0853772982954979, -0.2911548316478729, -0.09154324233531952, 0.01599210500717163, -0.09989217668771744, -0.07092422991991043, 0.06577982008457184, -0.04710787907242775, -0.23032185435295105, -1000000000.0, 0.11638200283050537, -0.19011622667312622, -0.06857509166002274, 0.054741982370615005, 0.09231508523225784, -0.2617632746696472, -0.08255971223115921, 0.1106291189789772, 0.1042696088552475, 0.10344910621643066, 0.0383852981030941, 0.07657786458730698, -0.04958014562726021, 0.13801749050617218, 0.02675960212945938, 0.06973440945148468, 0.16150575876235962, -0.09166287630796432, 0.22137019038200378, 0.005383223295211792, -0.11621372401714325, -0.16958540678024292, -0.03551670163869858, -0.09869101643562317, -0.01263139396905899, 0.049891695380210876, -0.025705821812152863, -0.026265103369951248, -0.14649532735347748, 0.09774266928434372, 0.13533803820610046, 0.046915262937545776, 0.003002054989337921, -0.11544007062911987, 0.1850651502609253, -0.11043025553226471, 0.05147793889045715, 0.054004523903131485, 0.013615354895591736, -0.18972647190093994, -0.03415007144212723, 0.12646333873271942, 0.11208683252334595, -0.0808352455496788]",0.03470082953572273,5.560422420501709,2.201747417449951,0.32577046751976013
ieee9,101,1,3,9 44,0,14,"[0.06281239539384842, -0.3429425358772278, -0.04952321574091911, 0.06982478499412537, 0.02985600382089615, 0.01697886921465397, 0.04061679169535637, 0.05293073505163193, -0.09688422083854675, -1000000000.0, 0.10246871411800385, -0.01970788836479187, -0.1181483119726181, 0.17853718996047974, 0.21769164502620697, -0.11303205788135529, -0.042781367897987366, 0.1460852324962616, 0.1267799437046051, 0.054564595222473145, 0.08590944856405258, 0.14973044395446777, 0.0049871355295181274, 0.14856043457984924, 0.05223347991704941, -0.05871214345097542, 0.07811020314693451, -0.013976402580738068, 0.12114184349775314, -0.03708069771528244, -0.09246952086687088, -0.16975967586040497, 0.024848047643899918, -0.01349729299545288, -0.04018241539597511, 0.02370104193687439, -0.025012938305735588, -0.01673191785812378, 0.004410022869706154, 0.02391922101378441, 0.09915970265865326, 0.1375845968723297, -0.03481630980968475, -0.07412604987621307, -1000000000.0, -0.0922580361366272, 0.0404488742351532, -0.013815127313137054, -0.04273512214422226, -0.24743995070457458, -0.13499709963798523, 0.11917608231306076, 0.13078942894935608, 0.03221818059682846]",0.006142289377748966,0.9162824153900146,0.49173569679260254,0.05440794304013252
ieee9,101,1,3,9 44,1,14,"[0.06059052795171738, -0.34373560547828674, -0.06695394963026047, 0.07103137671947479, 0.0298859104514122, 0.01127269584685564, 0.04406800866127014, 0.0644221231341362, -0.10584554076194763, -1000000000.0, 0.10996503382921219, -0.0316632017493248, -0.12371167540550232, 0.16253119707107544, 0.21419034898281097, -0.11886648833751678, -0.045568689703941345, 0.15487536787986755, 0.11986015737056732, 0.05595841258764267, 0.07896258682012558, 0.15324142575263977, 0.0024342015385627747, 0.14284425973892212, 0.05061117559671402, -0.0468258373439312, 0.07692851126194, -0.007131747901439667, 0.13198637962341309, -0.02802330255508423, -0.10969914495944977, -0.16898159682750702, 0.021618183702230453, -0.018809884786605835, -0.03221052512526512, 0.025196649134159088, -0.021489840000867844, -0.023437753319740295, -0.005035055801272392, 0.03655437380075455, 0.10950987040996552, 0.12970547378063202, -0.03796710819005966, -0.06282320618629456, -1000000000.0, -0.09395487606525421, 0.04383097589015961, -0.004319224506616592, -0.0405702069401741, -0.2500479817390442, -0.13620330393314362, 0.12819550931453705, 0.12840238213539124, 0.028474144637584686]",0.0,0.0,0.0,0.0
ieee9,101,1,3,9 44,2,17,"[0.04090769588947296, -0.3271993398666382, -0.11503678560256958, 0.0715210884809494, 0.023403465747833252, -0.008213033899664879, 0.07041124254465103, 0.07406407594680786, -0.15250974893569946, -1000000000.0, 0.13978683948516846, -0.09933315217494965, -0.12411488592624664, 0.07359206676483154, 0.16946889460086823, -0.10980723798274994, -0.06064800173044205, 0.1874924898147583, 0.07408319413661957, 0.05980724096298218, 0.03669537231326103, 0.16625994443893433, 0.003066219389438629, 0.11299419403076172, 0.03642641752958298, 0.003741689957678318, 0.07531200349330902, 0.03345300257205963, 0.16993719339370728, 0.0003451630473136902, -0.18669655919075012, -0.1711142212152481, 0.011351227760314941, -0.03399374336004257, -0.004754502326250076, 0.0064729973673820496, 0.008676551282405853, -0.04999752342700958, -0.041967786848545074, 0.09036847949028015, 0.16053052246570587, 0.07050396502017975, -0.038677822798490524, -0.02072577178478241, -1000000000.0, -0.10202489793300629, 0.04105645418167114, 0.02353021129965782, -0.0035499725490808487, -0.23788589239120483, -0.1309739202260971, 0.1479642391204834, 0.11330173909664154, -0.0030589699745178223]",0.027391647920012474,4.0828938484191895,2.020500421524048,0.24466143548488617
ieee9,101,10,2,35,0,36,"[-0.13133467733860016, 0.02987820655107498, 0.5265359878540039, -0.1933377981185913, -0.06452425569295883, -0.36474883556365967, -0.19882497191429138, 0.10058441758155823, -0.31411013007164, -0.0034438297152519226, 0.4630335867404938, -0.11765459179878235, -0.14113596081733704, -0.06919528543949127, 0.15945546329021454, -0.06577153503894806, -0.0764709860086441, 0.05101820081472397, 0.030437275767326355, 0.47907209396362305, 0.3084620535373688, -0.5470032691955566, -0.4781627357006073, 0.35920876264572144, -0.12690997123718262, -0.04356403276324272, 0.44318947196006775, 0.21568475663661957, 0.1589042991399765, -0.10205963253974915, 0.12586168944835663, 0.4292052090167999, -0.10692493617534637, -0.19481581449508667, -0.0203300379216671, -1000000000.0, 0.6966320276260376, -0.3024124205112457, 0.4391641914844513, 0.3352484405040741, 0.16455914080142975, 0.37379610538482666, 0.5828721523284912, -0.15756699442863464, -0.08228225260972977, -0.1896442025899887, 0.2387523502111435, -0.44645845890045166, 0.009067468345165253, -0.8015053868293762, -0.10692597180604935, -0.006045441143214703, 0.13068686425685883, 0.21064871549606323]",0.007197488099336624,1.0445703268051147,1.2163000106811523,0.06614384800195694
ieee9,101,10,2,35,1,36,"[-0.12639205157756805, 0.013658404350280762, 0.5231366753578186, -0.1954740434885025, -0.06347762793302536, -0.3782183825969696, -0.2116868793964386, 0.10853715240955353, -0.33196696639060974, -0.0003822147846221924, 0.47145384550094604, -0.13290582597255707, -0.15675145387649536, -0.06329552829265594, 0.15804533660411835, -0.06956244260072708, -0.09013082087039948, 0.05343491584062576, 0.03613535687327385, 0.4775291085243225, 0.31931257247924805, -0.5332757234573364, -0.4828605353832245, 0.3698307275772095, -0.12273924052715302, -0.04041265323758125, 0.42314836382865906, 0.2167079597711563, 0.1573873609304428, -0.09587326645851135, 0.11838161945343018, 0.42338427901268005, -0.1157737448811531, -0.18736425042152405, -0.021800365298986435, -1000000000.0, 0.6878856420516968, -0.3126497268676758, 0.4484753906726837, 0.3364233672618866, 0.15700677037239075, 0.3705317974090576, 0.5856650471687317, -0.15114636719226837, -0.08375280350446701, -0.19860145449638367, 0.2519829273223877, -0.45820677280426025, 0.011687777936458588, -0.797752320766449, -0.08994319289922714, 0.008457382209599018, 0.12323948740959167, 0.20719453692436218]",0.0,0.0,0.0,0.0
ieee9,101,10,2,35,2,36,"[-0.13791179656982422, -0.05188030004501343, 0.47699856758117676, -0.20661303400993347, -0.07708308845758438, -0.41940027475357056, -0.2998420298099518, 0.13898947834968567, -0.39444807171821594, -0.020948834717273712, 0.470877468585968, -0.23889121413230896, -0.2139369398355484, -0.06861182302236557, 0.16427376866340637, -0.0997135117650032, -0.18797729909420013, 0.07272616773843765, 0.1011110246181488, 0.48213741183280945, 0.3354737162590027, -0.4352239668369293, -0.49621710181236267, 0.4008747339248657, -0.07944391667842865, 0.01547272875905037, 0.28157639503479004, 0.22257103025913239, 0.14882785081863403, -0.04054637625813484, 0.05745182931423187, 0.341092973947525, -0.16854587197303772, -0.1288953423500061, -0.03632747009396553, -1000000000.0, 0.615161120891571, -0.36747997999191284, 0.48707255721092224, 0.34728583693504333, 0.08467826247215271, 0.35199567675590515, 0.5723319053649902, -0.08965694904327393, -0.06419811397790909, -0.21244663000106812, 0.3039264678955078, -0.48636001348495483, 0.018060166388750076, -0.7274536490440369, 0.02167997509241104, 0.12030332535505295, 0.05722275376319885, 0.16992542147636414]",0.04263348877429962,5.538539886474609,2.272738456726074,0.40814441442489624
ieee9,101,10,3,35 36,0,42,"[-0.07354500889778137, -0.07820920646190643, 0.28436845541000366, -0.017412137240171432, -0.17048883438110352, -0.19370508193969727, -0.5009881854057312, 0.27622291445732117, -0.1157819852232933, 0.10058660805225372, 0.4541866183280945, -0.24745531380176544, -0.19214819371700287, -0.04504087567329407, 0.3388599455356598, -0.2463909089565277, 0.005355986766517162, 0.10692647844552994, 0.016954733058810234, 0.47440746426582336, 0.3646638095378876, -0.40473079681396484, -0.5941587686538696, 0.42145097255706787, -0.024256974458694458, 0.09071340411901474, 0.254800945520401, 0.22866402566432953, 0.3176044523715973, 0.06586912274360657, 0.0023285523056983948, 0.3162496089935303, -0.1355477124452591, -0.17862209677696228, 0.1824774444103241, -1000000000.0, -1000000000.0, -0.147177591919899, 0.30736228823661804, 0.36944589018821716, 0.177251398563385, 0.42471811175346375, 0.7373316884040833, -0.1986226737499237, 0.03731457144021988, -0.3333347737789154, 0.40412676334381104, -0.25865882635116577, 0.06054607033729553, -0.8278647065162659, -0.18462678790092468, 0.04768574610352516, 0.1638856679201126, 0.18711286783218384]",0.006814924534410238,0.8530257344245911,0.4917432367801666,0.06820756942033768
