system,seed,unique_sequence_count,dominant_sequence,dominant_sequence_fraction,sequence_entropy,xi2_action_variation_across_y1_bins,xi3_action_variation_across_y1_y2_bins,mi_y1_xi2,mi_y1y2_xi3,observation_action_mutual_information,classification,n_bins,deterministic_policy_evaluation
ieee5,101,1,"[23, 28, 24]",1.0,-0.0,1,1,0.0,0.0,0.0,effectively nonadaptive,5,True
ieee5,202,1,"[3, 23, 16]",1.0,-0.0,1,1,0.0,0.0,0.0,effectively nonadaptive,5,True
ieee5,303,1,"[28, 29, 3]",1.0,-0.0,1,1,0.0,0.0,0.0,effectively nonadaptive,5,True
ieee5,404,4,"[23, 1, 7]",0.518,1.1922758354406064,2,4,0.44986811569504664,0.9805664045158332,1.43043452021088,observation-dependent adaptive,5,True
ieee5,505,2,"[28, 29, 1]",0.711,0.6012538685275399,1,2,0.0,0.5147775939564194,0.5147775939564194,observation-dependent adaptive,5,True
ieee9,101,1,"[24, 11, 48]",1.0,-0.0,1,1,0.0,0.0,0.0,effectively nonadaptive,5,True
ieee9,202,1,"[46, 0, 50]",1.0,-0.0,1,1,0.0,0.0,0.0,effectively nonadaptive,5,True
ieee9,303,2,"[0, 52, 21]",0.762,0.5487635832151017,1,2,0.0,0.43441615409151735,0.43441615409151735,observation-dependent adaptive,5,True
ieee9,404,1,"[27, 14, 45]",1.0,-0.0,1,1,0.0,0.0,0.0,effectively nonadaptive,5,True
ieee9,505,2,"[1, 52, 19]",0.66,0.6410354778811556,1,2,0.0,0.4144032616705579,0.4144032616705579,observation-dependent adaptive,5,True
