system,seed,mean_u_ctrl,std_u_ctrl,safety,unique_sequence_count,dominant_sequence,dominant_sequence_fraction,sequence_entropy,xi2_action_variation_across_y1_bins,xi3_action_variation_across_y1_y2_bins,mi_y1_xi2,mi_y1y2_xi3,observation_action_mutual_information,classification,n_bins,deterministic_policy_evaluation
ieee5,101,0.8282,0.14988248730255313,1.0,1,"[23, 28, 24]",1.0,-0.0,1,1,0.0,0.0,0.0,effectively nonadaptive,5,True
ieee5,202,0.8512000000000001,0.13739927219603457,1.0,1,"[3, 23, 16]",1.0,-0.0,1,1,0.0,0.0,0.0,effectively nonadaptive,5,True
ieee5,303,0.8272999999999999,0.15134302098213845,1.0,1,"[28, 29, 3]",1.0,-0.0,1,1,0.0,0.0,0.0,effectively nonadaptive,5,True
ieee5,404,0.8430000000000001,0.1373717583784964,1.0,4,"[23, 1, 7]",0.518,1.1922758354406064,2,4,0.44986811569504664,0.9805664045158332,1.43043452021088,observation-dependent adaptive,5,True
ieee5,505,0.8625,0.1294749010426345,1.0,2,"[28, 29, 1]",0.711,0.6012538685275399,1,2,0.0,0.5147775939564194,0.5147775939564194,observation-dependent adaptive,5,True
ieee9,101,0.9718400000000004,0.04512000000000001,1.0,1,"[24, 11, 48]",1.0,-0.0,1,1,0.0,0.0,0.0,effectively nonadaptive,5,True
ieee9,202,0.9740800000000004,0.05116398733484326,1.0,1,"[46, 0, 50]",1.0,-0.0,1,1,0.0,0.0,0.0,effectively nonadaptive,5,True
ieee9,303,0.9692000000000004,0.038514412886606515,1.0,2,"[0, 52, 21]",0.762,0.5487635832151017,1,2,0.0,0.43441615409151735,0.43441615409151735,observation-dependent adaptive,5,True
ieee9,404,0.9834400000000003,0.0677478147249046,1.0,1,"[27, 14, 45]",1.0,-0.0,1,1,0.0,0.0,0.0,effectively nonadaptive,5,True
ieee9,505,1.0104000000000002,0.09202086719869575,1.0,2,"[1, 52, 19]",0.66,0.6410354778811556,1,2,0.0,0.4144032616705579,0.4144032616705579,observation-dependent adaptive,5,True
