system,seed,dad_mean_u_ctrl,dominant_replay_mean_u_ctrl,mean_paired_diff,median_paired_diff,std_error,ci95_low,ci95_high,fraction_a_lower,fraction_b_lower,fraction_tied,n,n_bootstrap
ieee5,101,0.8282,0.8282,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1000,10000
ieee5,202,0.8512000000000001,0.8512000000000001,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1000,10000
ieee5,303,0.8272999999999999,0.8272999999999999,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1000,10000
ieee5,404,0.8430000000000001,0.8429000000000001,0.00010000000000000098,0.0,0.0038084766632466714,-0.0073,0.007300000000000003,0.089,0.085,0.826,1000,10000
ieee5,505,0.8625,0.8636,-0.0011000000000000007,0.0,0.0003299983316607814,-0.0018000000000000013,-0.0005000000000000003,0.011,0.0,0.989,1000,10000
ieee9,101,0.9718400000000004,0.9718400000000004,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1000,10000
ieee9,202,0.9740800000000004,0.9740800000000004,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1000,10000
ieee9,303,0.9692000000000004,0.9686400000000004,0.0005599999999999992,0.0,0.0007201423505148169,-0.0008000000000000016,0.0020799999999999994,0.009,0.01,0.981,1000,10000
ieee9,404,0.9834400000000003,0.9834400000000003,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1000,10000
ieee9,505,1.0104000000000002,1.0196,-0.0092,0.0,0.0017495201687379375,-0.012719999999999999,-0.005839999999999999,0.069,0.032,0.899,1000,10000
