system_T,system,T,fixed_sequence,fixed_validation_mean_u_ctrl,terminal_rule_hash,variant,seed,J0_fixed_init,J0_safety,selected_checkpoint_id,selected_is_checkpoint_0,selected_validation_mean_u_ctrl,selected_validation_safety,selected_dominant_sequence,selected_dominant_fraction,selected_sequence_entropy,delta_vs_fixed_init,classification,telescope_ok,telescope_checks,include_checkpoint_zero,use_value_baseline
ieee5_T2,ieee5,2,"[23, 24]",0.8416666666666668,c2e2af33cb68a5ea,V1_fixed_init_terminal,101,0.8416666666666668,1.0,0,True,0.8416666666666668,1.0,"[23, 24]",1.0,-0.0,0.0,tied,True,0,True,False
ieee5_T2,ieee5,2,"[23, 24]",0.8416666666666668,c2e2af33cb68a5ea,V1_fixed_init_terminal,202,0.8416666666666668,1.0,0,True,0.8416666666666668,1.0,"[23, 24]",1.0,-0.0,0.0,tied,True,0,True,False
ieee5_T2,ieee5,2,"[23, 24]",0.8416666666666668,c2e2af33cb68a5ea,V1_fixed_init_terminal,303,0.8416666666666668,1.0,0,True,0.8416666666666668,1.0,"[23, 24]",1.0,-0.0,0.0,tied,True,0,True,False
ieee5_T2,ieee5,2,"[23, 24]",0.8416666666666668,c2e2af33cb68a5ea,V1_fixed_init_terminal,404,0.8416666666666668,1.0,0,True,0.8416666666666668,1.0,"[23, 24]",1.0,-0.0,0.0,tied,True,0,True,False
ieee5_T2,ieee5,2,"[23, 24]",0.8416666666666668,c2e2af33cb68a5ea,V1_fixed_init_terminal,505,0.8416666666666668,1.0,0,True,0.8416666666666668,1.0,"[23, 24]",1.0,-0.0,0.0,tied,True,0,True,False
ieee5_T2,ieee5,2,"[23, 24]",0.8416666666666668,c2e2af33cb68a5ea,V0_original,101,0.9250000000000002,1.0,4,False,0.8333333333333334,1.0,"[16, 13]",1.0,-0.0,-0.09166666666666679,improved,True,0,False,False
ieee5_T2,ieee5,2,"[23, 24]",0.8416666666666668,c2e2af33cb68a5ea,V0_original,202,0.8916666666666666,1.0,4,False,0.85,1.0,"[11, 28]",1.0,-0.0,-0.04166666666666663,improved,True,0,False,False
ieee5_T2,ieee5,2,"[23, 24]",0.8416666666666668,c2e2af33cb68a5ea,V0_original,303,0.9916666666666667,1.0,25,False,0.8500000000000001,1.0,"[23, 1]",1.0,-0.0,-0.1416666666666666,improved,True,0,False,False
ieee5_T2,ieee5,2,"[23, 24]",0.8416666666666668,c2e2af33cb68a5ea,V0_original,404,0.8916666666666666,1.0,8,False,0.8666666666666667,1.0,"[1, 3]",1.0,-0.0,-0.02499999999999991,improved,True,0,False,False
ieee5_T2,ieee5,2,"[23, 24]",0.8416666666666668,c2e2af33cb68a5ea,V0_original,505,0.8999999999999999,1.0,1,False,0.8916666666666666,1.0,"[11, 7]",1.0,-0.0,-0.008333333333333304,improved,True,0,False,False
