system_T,system,T,method,training_variant,selected_seed,selected_checkpoint,checkpoint_zero_selected,terminal_rule_hash,mean_u_ctrl,std_u_ctrl,median_u_ctrl,q10_u_ctrl,q90_u_ctrl,true_safety_rate,mean_true_u_req,mean_excess_control,mean_runtime_per_rollout
ieee5_T2,ieee5,2,fixed,,,,,c2e2af33cb68a5ea,0.8305000000000001,0.15073072016015848,0.9,0.6,1.0,1.0,0.31875,0.51175,0.0664079395274166
ieee5_T2,ieee5,2,dad_fixed_init,,,,,c2e2af33cb68a5ea,0.8305000000000001,0.15073072016015848,0.9,0.6,1.0,1.0,0.31875,0.51175,0.05803048430650961
ieee5_T2,ieee5,2,dad,V1_fixed_init_terminal,101,0,True,c2e2af33cb68a5ea,0.8305000000000001,0.15073072016015848,0.9,0.6,1.0,1.0,0.31875,0.51175,0.0606109611626016
ieee5_T2,ieee5,2,myopic,,,,,c2e2af33cb68a5ea,0.86925,0.12719841783607216,0.9,0.7,1.0,1.0,0.31875,0.5505,1.623408351384569
ieee5_T2,ieee5,2,random,,,,,c2e2af33cb68a5ea,0.88875,0.12205915574015742,0.9,0.7,1.0,1.0,0.31875,0.57,0.06661666472791694
ieee5_T3,ieee5,3,fixed,,,,,c2e2af33cb68a5ea,0.848,0.14814182393908887,0.9,0.6,1.0,1.0,0.31875,0.52925,0.067029859002796
ieee5_T3,ieee5,3,dad_fixed_init,,,,,c2e2af33cb68a5ea,0.848,0.14814182393908887,0.9,0.6,1.0,1.0,0.31875,0.52925,0.07197166391299106
ieee5_T3,ieee5,3,dad,V1_fixed_init_terminal,303,24,False,c2e2af33cb68a5ea,0.848,0.14814182393908887,0.9,0.6,1.0,1.0,0.31875,0.52925,0.07526694450236392
ieee5_T3,ieee5,3,myopic,,,,,c2e2af33cb68a5ea,0.85875,0.13462331707397499,0.9,0.7,1.0,1.0,0.31875,0.54,2.284964504534146
ieee5_T3,ieee5,3,random,,,,,c2e2af33cb68a5ea,0.8745000000000002,0.12999903845798247,0.9,0.7,1.0,1.0,0.31875,0.5557500000000001,0.06067684428067878
ieee5_T4,ieee5,4,fixed,,,,,c2e2af33cb68a5ea,0.8454999999999999,0.1489286742034589,0.9,0.6,1.0,1.0,0.31875,0.5267500000000002,0.062159635861753486
ieee5_T4,ieee5,4,dad_fixed_init,,,,,c2e2af33cb68a5ea,0.8454999999999999,0.1489286742034589,0.9,0.6,1.0,1.0,0.31875,0.5267500000000002,0.07536217537475749
ieee5_T4,ieee5,4,dad,V1_fixed_init_terminal,404,22,False,c2e2af33cb68a5ea,0.818,0.15124814048443705,0.8,0.6,1.0,1.0,0.31875,0.49925000000000014,0.07259585677238647
ieee5_T4,ieee5,4,myopic,,,,,c2e2af33cb68a5ea,0.8552500000000001,0.13085273210751086,0.9,0.7,1.0,1.0,0.31875,0.5365,3.025855324449367
ieee5_T4,ieee5,4,random,,,,,c2e2af33cb68a5ea,0.8735,0.12185134385799773,0.9,0.7,1.0,1.0,0.31875,0.5547500000000001,0.07021665797859895
ieee9_T2,ieee9,2,fixed,,,,,5b4c2191621b1bbc,0.9874000000000004,0.06475523144889533,0.96,0.96,1.12,1.0,0.012799999999999999,0.9746000000000001,0.12381562556722202
ieee9_T2,ieee9,2,dad_fixed_init,,,,,5b4c2191621b1bbc,0.9874000000000004,0.06475523144889533,0.96,0.96,1.12,1.0,0.012799999999999999,0.9746000000000001,0.12592248785484117
ieee9_T2,ieee9,2,dad,V1_fixed_init_terminal,101,0,True,5b4c2191621b1bbc,0.9874000000000004,0.06475523144889533,0.96,0.96,1.12,1.0,0.012799999999999999,0.9746000000000001,0.12531217136303893
ieee9_T2,ieee9,2,myopic,,,,,5b4c2191621b1bbc,0.9678000000000003,0.03422221500721428,0.96,0.96,0.96,1.0,0.012799999999999999,0.9550000000000003,0.706003366567893
ieee9_T2,ieee9,2,random,,,,,5b4c2191621b1bbc,0.9974000000000001,0.07606076518153103,0.96,0.96,1.12,1.0,0.012799999999999999,0.9846,0.12451622645312455
ieee9_T3,ieee9,3,fixed,,,,,5b4c2191621b1bbc,0.9788000000000002,0.05424536846588841,0.96,0.96,1.04,1.0,0.012799999999999999,0.9660000000000002,0.12579851384449284
ieee9_T3,ieee9,3,dad_fixed_init,,,,,5b4c2191621b1bbc,0.9788000000000002,0.05424536846588841,0.96,0.96,1.04,1.0,0.012799999999999999,0.9660000000000002,0.13130918555893004
ieee9_T3,ieee9,3,dad,V1_fixed_init_terminal,101,0,True,5b4c2191621b1bbc,0.9788000000000002,0.05424536846588841,0.96,0.96,1.04,1.0,0.012799999999999999,0.9660000000000002,0.13152931505290325
ieee9_T3,ieee9,3,myopic,,,,,5b4c2191621b1bbc,0.9648000000000002,0.02729395537477119,0.96,0.96,0.96,1.0,0.012799999999999999,0.9520000000000002,1.3277165657759178
ieee9_T3,ieee9,3,random,,,,,5b4c2191621b1bbc,0.9854000000000002,0.064582040847282,0.96,0.96,1.12,1.0,0.012799999999999999,0.9726000000000002,0.11785272213455755
