system_T,contrast,mean_paired_diff,median_paired_diff,std_error,ci95_low,ci95_high,fraction_a_lower,fraction_b_lower,fraction_tied,n,n_bootstrap
ieee5_T2,dad_minus_fixed,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,400,10000
ieee5_T2,dad_minus_myopic,-0.03875,0.0,0.01015215540653788,-0.05875,-0.018999999999999996,0.4475,0.31,0.2425,400,10000
ieee5_T2,dad_minus_random,-0.05825,0.0,0.009343344635216615,-0.0765,-0.0395,0.4425,0.2375,0.32,400,10000
ieee5_T2,myopic_minus_fixed,0.03875,0.0,0.01015215540653788,0.018999999999999996,0.05875,0.31,0.4475,0.2425,400,10000
ieee5_T2,myopic_minus_random,-0.019500000000000007,0.0,0.007292621670364348,-0.03375000000000001,-0.00524375000000009,0.3175,0.2325,0.45,400,10000
ieee5_T2,fixed_minus_random,-0.05825,0.0,0.009343344635216615,-0.0765,-0.0395,0.4425,0.2375,0.32,400,10000
ieee5_T2,dad_minus_dad_fixed_init,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,400,10000
ieee5_T3,dad_minus_fixed,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,400,10000
ieee5_T3,dad_minus_myopic,-0.010749999999999992,0.0,0.010561840508990058,-0.0315,0.009250000000000006,0.4375,0.3325,0.23,400,10000
ieee5_T3,dad_minus_random,-0.026500000000000003,0.0,0.009668405772175608,-0.04574999999999999,-0.0075000000000000015,0.395,0.2625,0.3425,400,10000
ieee5_T3,myopic_minus_fixed,0.010749999999999992,0.0,0.010561840508990058,-0.009250000000000006,0.0315,0.3325,0.4375,0.23,400,10000
ieee5_T3,myopic_minus_random,-0.015750000000000007,0.0,0.008006409947699817,-0.03125000000000001,-1.0963452368175441e-18,0.31,0.245,0.445,400,10000
ieee5_T3,fixed_minus_random,-0.026500000000000003,0.0,0.009668405772175608,-0.04574999999999999,-0.0075000000000000015,0.395,0.2625,0.3425,400,10000
ieee5_T3,dad_minus_dad_fixed_init,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,400,10000
ieee5_T4,dad_minus_fixed,-0.0275,0.0,0.006130115888138251,-0.0395,-0.015500000000000003,0.1675,0.105,0.7275,400,10000
ieee5_T4,dad_minus_myopic,-0.03725,0.0,0.009457388606170328,-0.0555,-0.0185,0.38,0.215,0.405,400,10000
ieee5_T4,dad_minus_random,-0.0555,0.0,0.008528259084216356,-0.07175000000000001,-0.03900000000000001,0.4,0.1925,0.4075,400,10000
ieee5_T4,myopic_minus_fixed,0.009749999999999998,0.0,0.009807666366107292,-0.009500000000000003,0.028999999999999998,0.3,0.3375,0.3625,400,10000
ieee5_T4,myopic_minus_random,-0.018250000000000006,0.0,0.006696413116105808,-0.03125000000000001,-0.004750000000000004,0.2875,0.2125,0.5,400,10000
ieee5_T4,fixed_minus_random,-0.028000000000000008,0.0,0.008476120075177207,-0.04475,-0.011500000000000002,0.325,0.2525,0.4225,400,10000
ieee5_T4,dad_minus_dad_fixed_init,-0.0275,0.0,0.006130115888138251,-0.0395,-0.015500000000000003,0.1675,0.105,0.7275,400,10000
ieee9_T2,dad_minus_fixed,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,400,10000
ieee9_T2,dad_minus_myopic,0.019600000000000006,0.0,0.00341008382289908,0.013200000000000007,0.026400000000000007,0.0275,0.155,0.8175,400,10000
ieee9_T2,dad_minus_random,-0.009999999999999998,0.0,0.004821630460824625,-0.019405,-0.00039999999999999704,0.1825,0.1475,0.67,400,10000
ieee9_T2,myopic_minus_fixed,-0.019600000000000006,0.0,0.00341008382289908,-0.026400000000000007,-0.013200000000000007,0.155,0.0275,0.8175,400,10000
ieee9_T2,myopic_minus_random,-0.029600000000000005,0.0,0.00419686002687879,-0.037800000000000014,-0.02159500000000007,0.225,0.045,0.73,400,10000
ieee9_T2,fixed_minus_random,-0.009999999999999998,0.0,0.004821630460824625,-0.019405,-0.00039999999999999704,0.1825,0.1475,0.67,400,10000
ieee9_T2,dad_minus_dad_fixed_init,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,400,10000
ieee9_T3,dad_minus_fixed,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,400,10000
ieee9_T3,dad_minus_myopic,0.014000000000000004,0.0,0.002954966932798884,0.008400000000000001,0.020000000000000004,0.0275,0.125,0.8475,400,10000
ieee9_T3,dad_minus_random,-0.0066000000000000026,0.0,0.00407585961227167,-0.014600000000000002,0.0013999999999999996,0.13,0.1125,0.7575,400,10000
ieee9_T3,myopic_minus_fixed,-0.014000000000000004,0.0,0.002954966932798884,-0.020000000000000004,-0.008400000000000001,0.125,0.0275,0.8475,400,10000
ieee9_T3,myopic_minus_random,-0.020600000000000004,0.0,0.0035511444023604627,-0.027600000000000006,-0.013800000000000003,0.155,0.0275,0.8175,400,10000
ieee9_T3,fixed_minus_random,-0.0066000000000000026,0.0,0.00407585961227167,-0.014600000000000002,0.0013999999999999996,0.13,0.1125,0.7575,400,10000
ieee9_T3,dad_minus_dad_fixed_init,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,400,10000
