theta_test_id,rollout_id,sequence,y_obs,u_ctrl,u_req_true,excess_control,u_ctrl_prior,changed_from_prior,reduced_from_prior,increased_from_prior,safe_total,max_rocof,frequency_nadir,rocof_safe,nadir_safe,posterior_ess,max_posterior_weight,posterior_mean_U,posterior_std_U,posterior_mean_U_error,runtime_s,exact_tie_count,near_tie_count,action_index_tie_break_count,median_co_tied_action_count,mean_score_gap,mean_decision_runtime_s,rule_terminal_rule_hash,rule_quantile_level,rule_additive_margin,rule_alpha,rule_snap_up,rule_control_grid_hash,rule_source,rule_rule,method
0,0,"[18, 19, 25]","[3.129813350315583, 4.024636934598783, 2.1023704980566724]",1.0,0.1,0.9,1.0,False,False,False,True,4.7444373912934275,-0.011502217313638992,True,True,1.4023861710774892,0.8263973619259877,0.4065993762940078,0.09469179702757193,0.3065993762940078,0.07478280807845294,0,0,0,nan,nan,0.0017349326517432928,c2e2af33cb68a5ea,0.95,0.55,0.05,True,3697ea3799e74809,/home/grads/g/g.lin/Documents/dad_mocu_kuramoto_v4/experiments/dad_cross_system_improvement/ieee5_T3/selected_policy_robust_rule.json,snap_up(Q_{1-alpha}(U|w) + margin),dad
1,1,"[18, 19, 26]","[4.48144719703615, 6.943264705344106, 1.7179836250864515]",0.8,0.1,0.7000000000000001,1.0,True,True,False,True,10.4881090220033,-0.06126389054985644,True,True,1.0,1.0,0.25,6.406765069248378e-36,0.15,0.07491387613117695,0,0,0,nan,nan,0.0018329213683803876,c2e2af33cb68a5ea,0.95,0.55,0.05,True,3697ea3799e74809,/home/grads/g/g.lin/Documents/dad_mocu_kuramoto_v4/experiments/dad_cross_system_improvement/ieee5_T3/selected_policy_robust_rule.json,snap_up(Q_{1-alpha}(U|w) + margin),dad
2,2,"[18, 19, 25]","[3.6748507133379515, 4.319257387041805, 1.46446067321336]",0.9,0.3,0.6000000000000001,1.0,True,True,False,True,4.848379284386246,-0.04908653844885331,True,True,1.0898154794993906,0.9569390146366428,0.29784695078835505,0.010149721580068242,-0.002153049211644942,0.07454188307747245,0,0,0,nan,nan,0.0015734252519905567,c2e2af33cb68a5ea,0.95,0.55,0.05,True,3697ea3799e74809,/home/grads/g/g.lin/Documents/dad_mocu_kuramoto_v4/experiments/dad_cross_system_improvement/ieee5_T3/selected_policy_robust_rule.json,snap_up(Q_{1-alpha}(U|w) + margin),dad
3,3,"[18, 19, 26]","[6.787388010356177, 4.6352519725211705, 2.720976237088322]",0.9,0.5,0.4,1.0,True,True,False,True,8.584969301667055,-0.07595121380361972,True,True,1.0,1.0,0.35,1.7548763116230103e-27,-0.15000000000000002,0.07598887709900737,0,0,0,nan,nan,0.0022538157645612955,c2e2af33cb68a5ea,0.95,0.55,0.05,True,3697ea3799e74809,/home/grads/g/g.lin/Documents/dad_mocu_kuramoto_v4/experiments/dad_cross_system_improvement/ieee5_T3/selected_policy_robust_rule.json,snap_up(Q_{1-alpha}(U|w) + margin),dad
4,4,"[18, 19, 25]","[3.1034055642778853, 2.136104048902909, 1.6152333627858524]",0.6,0.4,0.19999999999999996,1.0,True,True,False,True,3.1703887020654897,-0.1882653390647306,True,True,1.0015631711659911,0.9992190327806232,0.05015838252372518,0.005703249219623384,-0.34984161747627485,0.07679291698150337,0,0,0,nan,nan,0.0017513816710561514,c2e2af33cb68a5ea,0.95,0.55,0.05,True,3697ea3799e74809,/home/grads/g/g.lin/Documents/dad_mocu_kuramoto_v4/experiments/dad_cross_system_improvement/ieee5_T3/selected_policy_robust_rule.json,snap_up(Q_{1-alpha}(U|w) + margin),dad
5,5,"[18, 19, 25]","[6.6715784627205235, 2.3699831435422234, 1.729107467631561]",0.6,0.25,0.35,1.0,True,True,False,True,9.50739012527667,-0.14592898207337443,True,True,1.0001005095119782,0.9999497477692977,0.05001005044614046,0.0014177405321935512,-0.19998994955385954,0.07861871691420674,0,0,0,nan,nan,0.0019705783730993667,c2e2af33cb68a5ea,0.95,0.55,0.05,True,3697ea3799e74809,/home/grads/g/g.lin/Documents/dad_mocu_kuramoto_v4/experiments/dad_cross_system_improvement/ieee5_T3/selected_policy_robust_rule.json,snap_up(Q_{1-alpha}(U|w) + margin),dad
6,6,"[18, 19, 25]","[3.5024322894766025, 2.9982197575155305, 1.864499362991062]",0.9,0.6,0.30000000000000004,1.0,True,True,False,True,3.5821298688752155,-0.08119583789817161,True,True,1.0238144166124719,0.9882312759466835,0.3470580925765826,0.026959575400552462,-0.2529419074234174,0.07102628983557224,0,0,0,nan,nan,0.001537544031937917,c2e2af33cb68a5ea,0.95,0.55,0.05,True,3697ea3799e74809,/home/grads/g/g.lin/Documents/dad_mocu_kuramoto_v4/experiments/dad_cross_system_improvement/ieee5_T3/selected_policy_robust_rule.json,snap_up(Q_{1-alpha}(U|w) + margin),dad
7,7,"[18, 19, 26]","[5.039075262995044, 6.422645921276461, 2.7535119048386254]",1.0,0.6,0.4,1.0,False,False,False,True,9.123288688766664,-0.037471248633068444,True,True,1.0,1.0,0.45,8.529484135428934e-28,-0.14999999999999997,0.07709656492806971,0,0,0,nan,nan,0.002003489372630914,c2e2af33cb68a5ea,0.95,0.55,0.05,True,3697ea3799e74809,/home/grads/g/g.lin/Documents/dad_mocu_kuramoto_v4/experiments/dad_cross_system_improvement/ieee5_T3/selected_policy_robust_rule.json,snap_up(Q_{1-alpha}(U|w) + margin),dad
8,8,"[18, 19, 25]","[5.983134971854161, 2.4943274380462412, 1.7473160237430305]",1.0,0.1,0.9,1.0,False,False,False,True,7.546941317766077,-0.014186950843474967,True,True,1.0000000005885172,0.9999999997057414,0.5999999998381577,9.43468156380715e-06,0.4999999998381577,0.07725902507081628,0,0,0,nan,nan,0.0018912835512310266,c2e2af33cb68a5ea,0.95,0.55,0.05,True,3697ea3799e74809,/home/grads/g/g.lin/Documents/dad_mocu_kuramoto_v4/experiments/dad_cross_system_improvement/ieee5_T3/selected_policy_robust_rule.json,snap_up(Q_{1-alpha}(U|w) + margin),dad
9,9,"[18, 19, 25]","[7.281697230558997, 2.5778509880393496, 2.1824193342494245]",0.8,0.35,0.45000000000000007,1.0,True,True,False,True,9.934056000092648,-0.0872675627664812,True,True,1.0000000000000466,0.9999999999999767,0.24999999999999534,3.059899120749405e-08,-0.10000000000000464,0.07330051506869495,0,0,0,nan,nan,0.0018835673884799082,c2e2af33cb68a5ea,0.95,0.55,0.05,True,3697ea3799e74809,/home/grads/g/g.lin/Documents/dad_mocu_kuramoto_v4/experiments/dad_cross_system_improvement/ieee5_T3/selected_policy_robust_rule.json,snap_up(Q_{1-alpha}(U|w) + margin),dad
