theta_test_id,rollout_id,sequence,y_obs,u_ctrl,u_req_true,excess_control,u_ctrl_prior,changed_from_prior,reduced_from_prior,increased_from_prior,safe_total,max_rocof,frequency_nadir,rocof_safe,nadir_safe,posterior_ess,max_posterior_weight,posterior_mean_U,posterior_std_U,posterior_mean_U_error,runtime_s,exact_tie_count,near_tie_count,action_index_tie_break_count,median_co_tied_action_count,mean_score_gap,mean_decision_runtime_s,rule_terminal_rule_hash,rule_quantile_level,rule_additive_margin,rule_alpha,rule_snap_up,rule_control_grid_hash,rule_source,rule_rule,method
0,0,"[8, 19, 20, 28]","[3.0444517782750347, 4.024636934598783, 1.7098891253404833, 3.365262765502271]",1.0,0.1,0.9,1.0,False,False,False,True,4.7444373912934275,-0.011502217313638992,True,True,1.5504898430780851,0.769276349453704,0.33457491692452895,0.06319949148597169,0.23457491692452895,0.0703973991330713,0,0,0,nan,nan,2.7777859941124916e-06,c2e2af33cb68a5ea,0.95,0.55,0.05,True,3697ea3799e74809,/home/grads/g/g.lin/Documents/dad_mocu_kuramoto_v4/experiments/dad_cross_system_improvement/ieee5_T4/selected_policy_robust_rule.json,snap_up(Q_{1-alpha}(U|w) + margin),fixed
1,1,"[8, 19, 20, 28]","[4.492593243367072, 6.943264705344106, 2.3363666125529603, 4.90392125436959]",0.8,0.1,0.7000000000000001,1.0,True,True,False,True,10.4881090220033,-0.06126389054985644,True,True,1.0,1.0,0.25,7.467911070210519e-26,0.15,0.06464534299448133,0,0,0,nan,nan,2.530636265873909e-06,c2e2af33cb68a5ea,0.95,0.55,0.05,True,3697ea3799e74809,/home/grads/g/g.lin/Documents/dad_mocu_kuramoto_v4/experiments/dad_cross_system_improvement/ieee5_T4/selected_policy_robust_rule.json,snap_up(Q_{1-alpha}(U|w) + margin),fixed
2,2,"[8, 19, 20, 28]","[3.68186064583233, 4.319257387041805, 1.5933203886341811, 3.8683525893981723]",0.9,0.3,0.6000000000000001,1.0,True,True,False,True,4.848379284386246,-0.04908653844885331,True,True,1.0000158079228716,0.9999920961010359,0.2999996048050708,0.00014056881992074207,-3.9519492917028387e-07,0.06110491114668548,0,0,0,nan,nan,2.3072934709489346e-06,c2e2af33cb68a5ea,0.95,0.55,0.05,True,3697ea3799e74809,/home/grads/g/g.lin/Documents/dad_mocu_kuramoto_v4/experiments/dad_cross_system_improvement/ieee5_T4/selected_policy_robust_rule.json,snap_up(Q_{1-alpha}(U|w) + margin),fixed
3,3,"[8, 19, 20, 28]","[6.648492929681617, 4.6352519725211705, 2.1264486579082225, 7.265715756893714]",0.9,0.5,0.4,1.0,True,True,False,True,8.584969301667055,-0.07595121380361972,True,True,1.0,1.0,0.35,1.409475306175104e-35,-0.15000000000000002,0.06465298682451248,0,0,0,nan,nan,2.0900042727589607e-06,c2e2af33cb68a5ea,0.95,0.55,0.05,True,3697ea3799e74809,/home/grads/g/g.lin/Documents/dad_mocu_kuramoto_v4/experiments/dad_cross_system_improvement/ieee5_T4/selected_policy_robust_rule.json,snap_up(Q_{1-alpha}(U|w) + margin),fixed
4,4,"[8, 19, 20, 28]","[3.05821726977755, 2.136104048902909, 1.4170204410165488, 3.225887949741562]",0.6,0.4,0.19999999999999996,1.0,True,True,False,True,3.1703887020654897,-0.1882653390647306,True,True,1.0129050436434626,0.9935942603089875,0.05149035633499934,0.019481618611227814,-0.3485096436650007,0.06291313911788166,0,0,0,nan,nan,2.2003077901899815e-06,c2e2af33cb68a5ea,0.95,0.55,0.05,True,3697ea3799e74809,/home/grads/g/g.lin/Documents/dad_mocu_kuramoto_v4/experiments/dad_cross_system_improvement/ieee5_T4/selected_policy_robust_rule.json,snap_up(Q_{1-alpha}(U|w) + margin),fixed
5,5,"[8, 19, 20, 28]","[6.325951058221176, 2.3699831435422234, 1.6522396131785728, 7.037595378937036]",0.6,0.25,0.35,1.0,True,True,False,True,9.50739012527667,-0.14592898207337443,True,True,1.0,1.0,0.05,4.9414653109258816e-29,-0.2,0.06286620092578232,0,0,0,nan,nan,1.958513166755438e-06,c2e2af33cb68a5ea,0.95,0.55,0.05,True,3697ea3799e74809,/home/grads/g/g.lin/Documents/dad_mocu_kuramoto_v4/experiments/dad_cross_system_improvement/ieee5_T4/selected_policy_robust_rule.json,snap_up(Q_{1-alpha}(U|w) + margin),fixed
6,6,"[8, 19, 20, 28]","[3.338508787631817, 2.9982197575155305, 1.845553467494714, 3.6774374266953593]",1.0,0.6,0.4,1.0,False,False,False,True,3.5821298688752155,-0.03333248743694302,True,True,1.0642630710397198,0.9688436643538031,0.39840102210868594,0.009431247337240012,-0.20159897789131404,0.06291555194184184,0,0,0,nan,nan,2.0854640752077103e-06,c2e2af33cb68a5ea,0.95,0.55,0.05,True,3697ea3799e74809,/home/grads/g/g.lin/Documents/dad_mocu_kuramoto_v4/experiments/dad_cross_system_improvement/ieee5_T4/selected_policy_robust_rule.json,snap_up(Q_{1-alpha}(U|w) + margin),fixed
7,7,"[8, 19, 20, 28]","[4.745125396667033, 6.422645921276461, 1.4983367645747172, 5.039307680415346]",1.0,0.6,0.4,1.0,False,False,False,True,9.123288688766664,-0.037471248633068444,True,True,1.0,1.0,0.45,1.773066111320659e-42,-0.14999999999999997,0.06389572587795556,0,0,0,nan,nan,2.1714367903769016e-06,c2e2af33cb68a5ea,0.95,0.55,0.05,True,3697ea3799e74809,/home/grads/g/g.lin/Documents/dad_mocu_kuramoto_v4/experiments/dad_cross_system_improvement/ieee5_T4/selected_policy_robust_rule.json,snap_up(Q_{1-alpha}(U|w) + margin),fixed
8,8,"[8, 19, 20, 28]","[6.118841579594963, 2.4943274380462412, 1.6129258845845307, 6.619650970677214]",0.6,0.1,0.5,1.0,True,True,False,True,7.546941317766077,-0.12253256195015293,True,True,1.0,1.0,0.05,5.084342948619867e-22,-0.05,0.06364673981443048,0,0,0,nan,nan,2.117943949997425e-06,c2e2af33cb68a5ea,0.95,0.55,0.05,True,3697ea3799e74809,/home/grads/g/g.lin/Documents/dad_mocu_kuramoto_v4/experiments/dad_cross_system_improvement/ieee5_T4/selected_policy_robust_rule.json,snap_up(Q_{1-alpha}(U|w) + margin),fixed
9,9,"[8, 19, 20, 28]","[7.078747686804653, 2.5778509880393496, 2.0409770646578242, 7.803319832112468]",0.8,0.35,0.45000000000000007,1.0,True,True,False,True,9.934056000092648,-0.0872675627664812,True,True,1.0,1.0,0.25,6.608580045607433e-12,-0.09999999999999998,0.06309496890753508,0,0,0,nan,nan,2.1452433429658413e-06,c2e2af33cb68a5ea,0.95,0.55,0.05,True,3697ea3799e74809,/home/grads/g/g.lin/Documents/dad_mocu_kuramoto_v4/experiments/dad_cross_system_improvement/ieee5_T4/selected_policy_robust_rule.json,snap_up(Q_{1-alpha}(U|w) + margin),fixed
