theta_test_id,rollout_id,sequence,y_obs,u_ctrl,u_req_true,excess_control,u_ctrl_prior,changed_from_prior,reduced_from_prior,increased_from_prior,safe_total,max_rocof,frequency_nadir,rocof_safe,nadir_safe,posterior_ess,max_posterior_weight,posterior_mean_U,posterior_std_U,posterior_mean_U_error,runtime_s,exact_tie_count,near_tie_count,action_index_tie_break_count,median_co_tied_action_count,mean_score_gap,mean_decision_runtime_s,rule_terminal_rule_hash,rule_quantile_level,rule_additive_margin,rule_alpha,rule_snap_up,rule_control_grid_hash,rule_source,rule_rule,method
0,0,"[1, 27, 0, 2]","[1.5604336103895589, 3.2483096118783674, 1.5328245976988077, 2.3770795662657753]",0.7,0.1,0.6,1.0,True,True,False,True,4.7444373912934275,-0.08555275542912168,True,True,1.000000927548224,0.999999536226103,0.14999995362639051,6.810231882202643e-05,0.04999995362639051,7.144684022990987,26,45,2,5.5,0.0007080078124999667,1.7700966662960127,c2e2af33cb68a5ea,0.95,0.55,0.05,True,3697ea3799e74809,/home/grads/g/g.lin/Documents/dad_mocu_kuramoto_v4/experiments/dad_cross_system_improvement/ieee5_T4/selected_policy_robust_rule.json,snap_up(Q_{1-alpha}(U|w) + margin),myopic
1,1,"[1, 29, 0, 2]","[1.8883187047581322, 7.6717299753412735, 2.0200214469731947, 1.720324237448099]",0.9,0.1,0.8,1.0,True,True,False,True,10.4881090220033,-0.03549754686862492,True,True,1.0002133216904383,0.9998933505288903,0.349989335052889,0.0010326572374225575,0.24998933505288898,8.919090486131608,53,56,2,14.0,0.0005126953124999778,2.213338488480076,c2e2af33cb68a5ea,0.95,0.55,0.05,True,3697ea3799e74809,/home/grads/g/g.lin/Documents/dad_mocu_kuramoto_v4/experiments/dad_cross_system_improvement/ieee5_T4/selected_policy_robust_rule.json,snap_up(Q_{1-alpha}(U|w) + margin),myopic
2,2,"[1, 29, 15, 0]","[2.2262828093401104, 4.900333193220806, 1.4616611675437856, 1.2174308407464902]",0.8,0.3,0.5,1.0,True,True,False,True,4.848379284386246,-0.08334330706210222,True,True,1.0000368644784199,0.9999815681005442,0.25000092164627274,0.00021467788474954146,-0.049999078353727244,8.41370846517384,28,36,2,2.0,0.0005615234374999889,2.087409449799452,c2e2af33cb68a5ea,0.95,0.55,0.05,True,3697ea3799e74809,/home/grads/g/g.lin/Documents/dad_mocu_kuramoto_v4/experiments/dad_cross_system_improvement/ieee5_T4/selected_policy_robust_rule.json,snap_up(Q_{1-alpha}(U|w) + margin),myopic
3,3,"[1, 0, 2, 3]","[3.5408302860445593, 1.8123683634392311, 1.6558296588793657, 6.620367478710842]",0.9,0.5,0.4,1.0,True,True,False,True,8.584969301667055,-0.07595121380361972,True,True,1.00000000001649,0.999999999991755,0.3500000000020612,7.178525294410543e-07,-0.14999999999793878,5.8237693218979985,81,82,3,27.5,0.00021972656249999445,1.440305341675412,c2e2af33cb68a5ea,0.95,0.55,0.05,True,3697ea3799e74809,/home/grads/g/g.lin/Documents/dad_mocu_kuramoto_v4/experiments/dad_cross_system_improvement/ieee5_T4/selected_policy_robust_rule.json,snap_up(Q_{1-alpha}(U|w) + margin),myopic
4,4,"[1, 23, 6, 0]","[2.712035185309597, 3.1458828402387877, 2.763456579878723, 1.1358778136610599]",1.0,0.4,0.6,1.0,False,False,False,True,2.9696220675062928,-0.025230983616995065,True,True,1.1717090299032076,0.9203892281019458,0.4499999999875989,1.1135773572822919e-06,0.04999999998759885,4.955373547039926,31,52,3,3.5,0.0002929687500000111,1.2220970532507636,c2e2af33cb68a5ea,0.95,0.55,0.05,True,3697ea3799e74809,/home/grads/g/g.lin/Documents/dad_mocu_kuramoto_v4/experiments/dad_cross_system_improvement/ieee5_T4/selected_policy_robust_rule.json,snap_up(Q_{1-alpha}(U|w) + margin),myopic
5,5,"[1, 28, 0, 2]","[2.045616677130091, 7.055263557301472, 1.2497612589475688, 2.1265418401462717]",0.6,0.25,0.35,1.0,True,True,False,True,9.50739012527667,-0.14592898207337443,True,True,1.0000000024879077,0.9999999987560462,0.050000000373186144,1.0580918781016663e-05,-0.19999999962681386,5.681573745096102,53,57,2,14.0,0.0004150390625000111,1.4032922787591815,c2e2af33cb68a5ea,0.95,0.55,0.05,True,3697ea3799e74809,/home/grads/g/g.lin/Documents/dad_mocu_kuramoto_v4/experiments/dad_cross_system_improvement/ieee5_T4/selected_policy_robust_rule.json,snap_up(Q_{1-alpha}(U|w) + margin),myopic
6,6,"[1, 0, 2, 3]","[3.742678391810653, 1.5494011390226696, 1.1961957933756915, 3.186275584291192]",1.0,0.6,0.4,1.0,False,False,False,True,3.5821298688752155,-0.03333248743694302,True,True,1.0000000007815557,0.9999999996092221,0.45,1.452426420530836e-17,-0.14999999999999997,4.333773511927575,81,82,3,27.5,0.0001708984375000111,1.0673448829329573,c2e2af33cb68a5ea,0.95,0.55,0.05,True,3697ea3799e74809,/home/grads/g/g.lin/Documents/dad_mocu_kuramoto_v4/experiments/dad_cross_system_improvement/ieee5_T4/selected_policy_robust_rule.json,snap_up(Q_{1-alpha}(U|w) + margin),myopic
7,7,"[1, 0, 2, 3]","[3.855618010328189, 1.4179945924496788, 1.3541188240976176, 4.797314159466337]",1.0,0.6,0.4,1.0,False,False,False,True,9.123288688766664,-0.037471248633068444,True,True,1.0317565701949452,0.9843660131685943,0.6,2.3633747491974828e-11,0.0,4.602500303881243,81,81,3,27.5,0.00026855468750000555,1.131617794977501,c2e2af33cb68a5ea,0.95,0.55,0.05,True,3697ea3799e74809,/home/grads/g/g.lin/Documents/dad_mocu_kuramoto_v4/experiments/dad_cross_system_improvement/ieee5_T4/selected_policy_robust_rule.json,snap_up(Q_{1-alpha}(U|w) + margin),myopic
8,8,"[1, 27, 0, 2]","[1.5159405473937675, 1.7977474230101225, 1.462920843138126, 1.5016187571569972]",0.7,0.1,0.6,1.0,True,True,False,True,7.546941317766077,-0.0930816473315543,True,True,1.0000000082545775,0.9999999958727113,0.10000000061909332,9.636596821309154e-06,6.190933182770308e-10,4.76983976108022,53,55,2,14.0,0.00036621093749997224,1.175896102504339,c2e2af33cb68a5ea,0.95,0.55,0.05,True,3697ea3799e74809,/home/grads/g/g.lin/Documents/dad_mocu_kuramoto_v4/experiments/dad_cross_system_improvement/ieee5_T4/selected_policy_robust_rule.json,snap_up(Q_{1-alpha}(U|w) + margin),myopic
9,9,"[1, 29, 0, 2]","[2.2016371165678987, 2.8360229876815057, 1.671414539973156, 1.264301285851676]",0.9,0.35,0.55,1.0,True,True,False,True,9.934056000092648,-0.05186777999758633,True,True,1.0045396097189103,0.9977353239749988,0.29988676619874993,0.0023767347703849634,-0.050113233801250046,4.22582756401971,53,54,2,14.0,0.0004882812500000278,1.0390614420175552,c2e2af33cb68a5ea,0.95,0.55,0.05,True,3697ea3799e74809,/home/grads/g/g.lin/Documents/dad_mocu_kuramoto_v4/experiments/dad_cross_system_improvement/ieee5_T4/selected_policy_robust_rule.json,snap_up(Q_{1-alpha}(U|w) + margin),myopic
