epoch,train_mean_u_ctrl,validation_mean_u_ctrl,validation_safety,best_so_far_validation_u_ctrl,policy_entropy,dominant_sequence_fraction,unique_sequence_count,grad_norm,advantage_mean,advantage_std,terminal_cost_unique_count,terminal_cost_modal_fraction,fixed_validation_mean_u_ctrl
0,0.8499999999999999,0.9249999999999999,1.0,0.9249999999999999,3.346933704156142,1.0,1,0.10866226043019976,0.0074326456242551865,0.11111795879681798,5,0.38461538461538464,0.8166666666666668
1,0.8826923076923077,0.9249999999999999,1.0,0.9249999999999999,3.346650834266956,1.0,1,0.09783506553087916,-0.0023757357768584776,0.11214289646556179,5,0.36538461538461536,0.8166666666666668
2,0.8269230769230769,0.9249999999999999,1.0,0.9249999999999999,3.346157642511221,1.0,1,0.13524818739720754,0.012741882975147058,0.12580327944831435,5,0.3076923076923077,0.8166666666666668
3,0.8730769230769231,0.9249999999999999,1.0,0.9249999999999999,3.346126134578998,1.0,1,0.09955354886395591,-0.018873916767983598,0.11278303687368665,5,0.3269230769230769,0.8166666666666668
4,0.8499999999999999,0.9916666666666667,1.0,0.9249999999999999,3.346014843537257,1.0,1,0.1052640053842749,0.008976270904371142,0.12293312493179018,5,0.28846153846153844,0.8166666666666668
5,0.8423076923076925,0.9916666666666667,1.0,0.9249999999999999,3.3458942495859585,1.0,1,0.12129299874816622,0.0051376455085889745,0.1236506392940485,5,0.36538461538461536,0.8166666666666668
6,0.848076923076923,0.9083333333333333,1.0,0.9083333333333333,3.3458718840892496,1.0,1,0.10516003306422915,-0.00028662013461229594,0.12192680479989376,5,0.3076923076923077,0.8166666666666668
7,0.8557692307692307,0.9166666666666669,1.0,0.9083333333333333,3.3456089542462277,1.0,1,0.1103407506431852,0.00023598391637480454,0.12430655544714606,5,0.4230769230769231,0.8166666666666668
8,0.8288461538461539,0.9166666666666669,1.0,0.9083333333333333,3.3450948962798486,1.0,1,0.11619190658841815,-0.003467240147333299,0.13495577279083343,5,0.3076923076923077,0.8166666666666668
9,0.8480769230769231,0.9,1.0,0.9,3.344368416529435,0.9166666666666666,2,0.1227182788508279,-0.001829935678225995,0.1264961419296147,5,0.3269230769230769,0.8166666666666668
10,0.8346153846153848,0.9166666666666669,1.0,0.9,3.343845330751859,1.0,1,0.11729962910924639,0.004562528305682357,0.12259119611336716,5,0.25,0.8166666666666668
11,0.8346153846153845,0.975,1.0,0.9,3.342901449937087,1.0,1,0.11016517345394407,0.004917500162838094,0.1224721553256322,5,0.2692307692307692,0.8166666666666668
12,0.8519230769230769,0.975,1.0,0.9,3.3409368716753445,1.0,1,0.14253696373530797,-0.011335096650591387,0.13310436738597675,5,0.3269230769230769,0.8166666666666668
13,0.8557692307692307,0.9000000000000002,1.0,0.9,3.337949670278109,1.0,1,0.13116294890642166,0.006161846903979042,0.12595361147108086,5,0.3076923076923077,0.8166666666666668
14,0.8615384615384614,0.9000000000000002,1.0,0.9,3.3333342442145715,1.0,1,0.1394405279840742,-0.0054671285437882565,0.12141452003187118,5,0.34615384615384615,0.8166666666666668
15,0.8423076923076922,0.9000000000000002,1.0,0.9,3.3303325588886556,1.0,1,0.14596003932612284,0.004211623952536252,0.12001047851135725,5,0.2692307692307692,0.8166666666666668
16,0.8711538461538461,0.9,1.0,0.9,3.3293049197930555,1.0,1,0.11499114547457014,-0.0025962588867583345,0.0981946504218972,5,0.4807692307692308,0.8166666666666668
17,0.8519230769230769,0.9,1.0,0.9,3.329523196587196,1.0,1,0.14132981960262572,0.009301447460101876,0.11543940116218866,5,0.28846153846153844,0.8166666666666668
18,0.8384615384615386,0.9,1.0,0.9,3.328117297245906,1.0,1,0.1431857794523239,-0.005281351984398349,0.11983759983624698,5,0.3269230769230769,0.8166666666666668
19,0.8653846153846154,0.9,1.0,0.9,3.328287225503188,1.0,1,0.13713691170726502,-0.01025492581136991,0.11655584714535129,5,0.36538461538461536,0.8166666666666668
20,0.8365384615384616,0.9083333333333333,1.0,0.9,3.3262695303330054,1.0,1,0.1716803823198591,0.009038033970381552,0.14397589515748058,5,0.34615384615384615,0.8166666666666668
21,0.8499999999999999,0.9083333333333333,1.0,0.9,3.325601729062887,1.0,1,0.15465536820037024,-0.0015004416649724679,0.1253566334290331,5,0.28846153846153844,0.8166666666666668
22,0.8692307692307691,0.9083333333333333,1.0,0.9,3.3270875077981215,1.0,1,0.14809519265379226,0.00856103018032415,0.11595384936156918,5,0.36538461538461536,0.8166666666666668
23,0.8384615384615384,0.9083333333333333,1.0,0.9,3.320791102372683,1.0,1,0.15634643286466599,-0.004417760124881111,0.12018221228099057,5,0.3269230769230769,0.8166666666666668
24,0.8499999999999999,0.9083333333333333,1.0,0.9,3.3118536472320557,1.0,1,0.1806435627596719,0.0025383216075433312,0.1318163722973758,5,0.3269230769230769,0.8166666666666668
