theta_test_id,rollout_id,sequence,y_obs,u_ctrl,u_req_true,excess_control,u_ctrl_prior,changed_from_prior,reduced_from_prior,increased_from_prior,safe_total,max_rocof,frequency_nadir,rocof_safe,nadir_safe,posterior_ess,max_posterior_weight,posterior_mean_U,posterior_std_U,posterior_mean_U_error,runtime_s,exact_tie_count,near_tie_count,action_index_tie_break_count,median_co_tied_action_count,mean_score_gap,mean_decision_runtime_s,rule_terminal_rule_hash,rule_quantile_level,rule_additive_margin,rule_alpha,rule_snap_up,rule_control_grid_hash,rule_source,rule_rule,method
0,0,"[16, 51, 37]","[0.45253972614416693, 0.49957446571453745, 1.514712968278536]",0.96,0.0,0.96,1.04,True,True,False,True,4.948483499689389,-0.42680762448357806,True,True,2.475185414063819,0.57438724492313,0.0001676036656527196,0.0036614463792179926,0.0001676036656527196,0.11991013400256634,0,0,0,nan,nan,2.2723029057184856e-05,5b4c2191621b1bbc,0.95,0.9,0.05,True,2a35b5c585aa23b1,/home/grads/g/g.lin/Documents/dad_mocu_kuramoto_v4/experiments/dad_cross_system_improvement/ieee9_T3/selected_policy_robust_rule.json,snap_up(Q_{1-alpha}(U|w) + margin),random
1,1,"[19, 7, 42]","[1.6148200236719488, 0.6872759621484466, 0.9964082832824432]",0.96,0.0,0.96,1.04,True,True,False,True,15.06317443770887,-0.5043849788728458,True,True,5.041442665671226,0.3259173764861113,0.01975398365787819,0.12030132114958018,0.01975398365787819,0.1141542810946703,0,0,0,nan,nan,2.3815703267852466e-05,5b4c2191621b1bbc,0.95,0.9,0.05,True,2a35b5c585aa23b1,/home/grads/g/g.lin/Documents/dad_mocu_kuramoto_v4/experiments/dad_cross_system_improvement/ieee9_T3/selected_policy_robust_rule.json,snap_up(Q_{1-alpha}(U|w) + margin),random
2,2,"[21, 32, 34]","[7.617804673929695, 0.6807919067159436, 0.6284182501607977]",0.96,0.0,0.96,1.04,True,True,False,True,8.622302454139804,-0.5151064628816457,True,True,1.6854825899643369,0.7244485360544863,1.0027042896790468e-37,9.304620650200649e-20,1.0027042896790468e-37,0.10970603302121162,0,0,0,nan,nan,2.5659877186020214e-05,5b4c2191621b1bbc,0.95,0.9,0.05,True,2a35b5c585aa23b1,/home/grads/g/g.lin/Documents/dad_mocu_kuramoto_v4/experiments/dad_cross_system_improvement/ieee9_T3/selected_policy_robust_rule.json,snap_up(Q_{1-alpha}(U|w) + margin),random
3,3,"[15, 20, 49]","[0.7368423947567999, 1.197961584141709, 2.9053613882907126]",0.96,0.0,0.96,1.04,True,True,False,True,7.32352426611295,-0.46794511935115835,True,True,1.6680409809381653,0.7231045188993204,3.5042326368578286e-11,5.281898931118518e-06,3.5042326368578286e-11,0.11070021498017013,0,0,0,nan,nan,2.3345928639173508e-05,5b4c2191621b1bbc,0.95,0.9,0.05,True,2a35b5c585aa23b1,/home/grads/g/g.lin/Documents/dad_mocu_kuramoto_v4/experiments/dad_cross_system_improvement/ieee9_T3/selected_policy_robust_rule.json,snap_up(Q_{1-alpha}(U|w) + margin),random
4,4,"[41, 47, 7]","[0.48932910621026976, 1.9995782569625657, 0.5146160950268696]",0.96,0.32,0.6399999999999999,1.04,True,True,False,True,14.43790030192405,-0.6303425473388712,True,True,1.5321263586795055,0.7972642747602227,8.501240556385475e-08,0.000139073091758042,-0.31999991498759445,0.10693821217864752,0,0,0,nan,nan,2.196935626367728e-05,5b4c2191621b1bbc,0.95,0.9,0.05,True,2a35b5c585aa23b1,/home/grads/g/g.lin/Documents/dad_mocu_kuramoto_v4/experiments/dad_cross_system_improvement/ieee9_T3/selected_policy_robust_rule.json,snap_up(Q_{1-alpha}(U|w) + margin),random
5,5,"[19, 3, 52]","[2.001168660125178, 8.277200549112665, 1.7590807805926638]",0.96,0.0,0.96,1.04,True,True,False,True,7.781657682970818,-0.4708646840928323,True,True,1.0000000000000149,0.9999999999999925,1.381493033011385e-67,1.0512822776358305e-34,1.381493033011385e-67,0.10882559604942799,0,0,0,nan,nan,2.3067696020007133e-05,5b4c2191621b1bbc,0.95,0.9,0.05,True,2a35b5c585aa23b1,/home/grads/g/g.lin/Documents/dad_mocu_kuramoto_v4/experiments/dad_cross_system_improvement/ieee9_T3/selected_policy_robust_rule.json,snap_up(Q_{1-alpha}(U|w) + margin),random
6,6,"[35, 11, 44]","[1.4589199884723663, 1.2286259034866065, 1.6298780285421106]",0.96,0.0,0.96,1.04,True,True,False,True,8.961007936194259,-0.4384225536353909,True,True,4.985225332875583,0.35929392655397374,1.0720977018019839e-07,0.00029286140860519444,1.0720977018019839e-07,0.11989979608915746,0,0,0,nan,nan,2.2876309230923653e-05,5b4c2191621b1bbc,0.95,0.9,0.05,True,2a35b5c585aa23b1,/home/grads/g/g.lin/Documents/dad_mocu_kuramoto_v4/experiments/dad_cross_system_improvement/ieee9_T3/selected_policy_robust_rule.json,snap_up(Q_{1-alpha}(U|w) + margin),random
7,7,"[43, 17, 36]","[1.251740921911313, 2.460755208686377, 3.7545912265237336]",0.96,0.0,0.96,1.04,True,True,False,True,6.7167035922084795,-0.5188197683811446,True,True,1.0185304500196042,0.9908196648080805,4.400206333726425e-11,2.0649704556390167e-06,4.400206333726425e-11,0.10721272602677345,0,0,0,nan,nan,2.3330018545190494e-05,5b4c2191621b1bbc,0.95,0.9,0.05,True,2a35b5c585aa23b1,/home/grads/g/g.lin/Documents/dad_mocu_kuramoto_v4/experiments/dad_cross_system_improvement/ieee9_T3/selected_policy_robust_rule.json,snap_up(Q_{1-alpha}(U|w) + margin),random
8,8,"[5, 25, 30]","[0.3452172400098262, 0.4852856029223435, 5.700007170100398]",0.96,0.0,0.96,1.04,True,True,False,True,5.6780854999992,-0.4176225122407299,True,True,1.115442657355118,0.9456381774650245,2.5145990871843716e-29,2.0058311343418205e-15,2.5145990871843716e-29,0.1156353869009763,0,0,0,nan,nan,2.521594675878684e-05,5b4c2191621b1bbc,0.95,0.9,0.05,True,2a35b5c585aa23b1,/home/grads/g/g.lin/Documents/dad_mocu_kuramoto_v4/experiments/dad_cross_system_improvement/ieee9_T3/selected_policy_robust_rule.json,snap_up(Q_{1-alpha}(U|w) + margin),random
9,9,"[1, 41, 48]","[1.513647385929558, 0.518694328743952, 4.550628266557407]",0.96,0.0,0.96,1.04,True,True,False,True,7.851977293620081,-0.44642008555349066,True,True,1.0234952353559887,0.9883913225921465,2.3966813452638367e-198,6.192487506989528e-100,2.3966813452638367e-198,0.11016686097718775,0,0,0,nan,nan,2.0823984717329342e-05,5b4c2191621b1bbc,0.95,0.9,0.05,True,2a35b5c585aa23b1,/home/grads/g/g.lin/Documents/dad_mocu_kuramoto_v4/experiments/dad_cross_system_improvement/ieee9_T3/selected_policy_robust_rule.json,snap_up(Q_{1-alpha}(U|w) + margin),random
