epoch,train_mean_u_ctrl,validation_mean_u_ctrl,validation_safety,best_so_far_validation_u_ctrl,policy_entropy,dominant_sequence_fraction,unique_sequence_count,grad_norm,advantage_mean,advantage_std,terminal_cost_unique_count,terminal_cost_modal_fraction,fixed_validation_mean_u_ctrl
0,0.8692307692307691,0.8416666666666668,1.0,0.8416666666666668,1.7559258754436786,1.0,1,0.06356156271483217,0.0027664287614449054,0.12090687747871486,5,0.38461538461538464,0.8416666666666668
1,0.8903846153846154,0.8416666666666668,1.0,0.8416666666666668,1.7240783870220184,1.0,1,0.06987979156630379,-0.009335137991157873,0.11075044943052102,5,0.38461538461538464,0.8416666666666668
2,0.8865384615384614,0.8416666666666668,1.0,0.8416666666666668,1.7340532449575572,1.0,1,0.039996485358902385,0.001412554873398887,0.11039027934479478,5,0.38461538461538464,0.8416666666666668
3,0.9173076923076924,0.8416666666666668,1.0,0.8416666666666668,1.7544569625304296,1.0,1,0.051862566864916256,-0.01335595262788287,0.08799064196399478,4,0.4807692307692308,0.8416666666666668
4,0.9192307692307693,0.8416666666666668,1.0,0.8416666666666668,1.7448315437023456,1.0,1,0.027058381587266922,0.0006414171568253998,0.07963215638480037,4,0.4230769230769231,0.8416666666666668
5,0.9288461538461539,0.8416666666666668,1.0,0.8416666666666668,1.7961724171271691,1.0,1,0.05180798098444939,-0.0008999324157421593,0.09284573901523276,5,0.5576923076923077,0.8416666666666668
6,0.9019230769230767,0.8416666666666668,1.0,0.8416666666666668,1.8596193744586065,1.0,1,0.06670018046029977,0.005967966716641816,0.10439976776406247,5,0.4230769230769231,0.8416666666666668
7,0.8788461538461539,0.8416666666666668,1.0,0.8416666666666668,1.958354794062101,1.0,1,0.11876389703580312,0.008159752649665805,0.11270809430461332,5,0.4230769230769231,0.8416666666666668
8,0.9019230769230767,0.8416666666666668,1.0,0.8416666666666668,1.8148125822727497,1.0,1,0.08093412326914924,-0.0010122537740235305,0.10811024752318678,5,0.46153846153846156,0.8416666666666668
9,0.8923076923076921,0.8416666666666668,1.0,0.8416666666666668,1.808826941710252,1.0,1,0.08688404384468283,-0.0029813836180600625,0.09231713296120204,5,0.4807692307692308,0.8416666666666668
10,0.8865384615384616,0.8416666666666668,1.0,0.8416666666666668,1.7724994214681478,1.0,1,0.07546044433755535,-4.108144523723647e-05,0.10997251316003082,5,0.38461538461538464,0.8416666666666668
11,0.8769230769230769,0.8416666666666668,1.0,0.8416666666666668,1.7242238498651064,1.0,1,0.07936164098126548,0.003002809427695733,0.1127262060485825,5,0.36538461538461536,0.8416666666666668
12,0.8942307692307693,0.8416666666666668,1.0,0.8416666666666668,1.7926322428079753,1.0,1,0.11942035758069583,-0.003773644071169119,0.11875903876872129,5,0.4423076923076923,0.8416666666666668
13,0.8730769230769229,0.8416666666666668,1.0,0.8416666666666668,1.7396621451928065,1.0,1,0.06344010507954019,-0.003422837800943964,0.11867180185831114,5,0.36538461538461536,0.8416666666666668
14,0.9038461538461537,0.8416666666666668,1.0,0.8416666666666668,1.7778554627528558,1.0,1,0.06665045874459403,0.0029721940631072937,0.10049648327556036,4,0.4230769230769231,0.8416666666666668
15,0.8807692307692309,0.8416666666666668,1.0,0.8416666666666668,1.8447903463473687,1.0,1,0.1209854084466185,-0.007222084323382866,0.11243930177125737,5,0.38461538461538464,0.8416666666666668
16,0.8846153846153846,0.8416666666666668,1.0,0.8416666666666668,1.8322129914393792,1.0,1,0.08184845745563507,0.008888242227620448,0.09889880906616308,5,0.46153846153846156,0.8416666666666668
17,0.8980769230769231,0.8416666666666668,1.0,0.8416666666666668,1.8325238411243145,1.0,1,0.07815831739987646,0.0008343706503241758,0.10250442843106689,5,0.4230769230769231,0.8416666666666668
18,0.9115384615384616,0.8416666666666668,1.0,0.8416666666666668,1.8066165470159972,1.0,1,0.07709930837154388,-0.0018933423892842915,0.09635081431543334,5,0.4423076923076923,0.8416666666666668
19,0.9173076923076923,0.8416666666666668,1.0,0.8416666666666668,1.8828957264239972,1.0,1,0.0937227186347757,-0.0044394235720703785,0.11077240837650558,5,0.5384615384615384,0.8416666666666668
