update,environment,trajectories_per_batch,transitions,cumulative_trajectories,advantage_mean,advantage_std,value_loss,policy_loss,entropy,approximate_kl,clip_fraction,actor_gradient_norm,value_gradient_norm,mean_training_terminal_cost,entropy_t1,entropy_t2,validation_mean_u_ctrl,validation_std_u_ctrl,validation_median_u_ctrl,validation_q10_u_ctrl,validation_q90_u_ctrl,validation_safety,validation_dominant_sequence,validation_dominant_sequence_fraction,validation_unique_sequences,validation_sequence_entropy,validation_entropy_t1,validation_entropy_t2,best_validation_so_far
1,C0,48,96,48,-0.8342608837578446,0.16799792187364507,0.025363629683852196,-0.05980372056365013,1.6833688020706177,0.01904744654893875,0.3333333432674408,0.27572113275527954,0.6738181710243225,0.8625000000000002,1.774114727973938,1.5861167907714844,0.86875,0.14882351124738324,1.0,0.7,1.0,1.0,"[22, 25]",1.0,1,-0.0,1.7742253541946411,1.5764557669560115,0.86875
2,C0,48,96,96,0.029036188142995065,0.17324920859835943,0.012713168747723103,-0.04235759377479553,1.6683425903320312,0.016190284863114357,0.1145833358168602,0.3120482861995697,0.1651809811592102,0.8624999999999999,1.7699373960494995,1.5615252256393433,,,,,,,,,,,,,
3,C0,48,96,144,0.022679776296019572,0.16634924629276596,0.010629276745021343,-0.05196093022823334,1.6423343420028687,-0.021488526836037636,0.1145833358168602,0.521240234375,0.08261970430612564,0.8562500000000001,1.741216778755188,1.5287628173828125,,,,,,,,,,,,,
4,C0,48,96,192,-0.044888351048032425,0.13649336299044332,0.009683291427791119,-0.056619953364133835,1.6141945123672485,0.034076858311891556,0.1458333283662796,0.3912554979324341,0.07190899550914764,0.9,1.7047871351242065,1.514005184173584,,,,,,,,,,,,,
5,C0,48,96,240,0.014933353804051891,0.14347166894782476,0.009700261987745762,-0.03468603268265724,1.5918453931808472,0.01281862985342741,0.15625,0.5045936703681946,0.08493983745574951,0.8937500000000002,1.6410421133041382,1.5181161165237427,,,,,,,,,,,,,
6,C0,48,96,288,-0.019920604497194277,0.12553434713898093,0.007585837040096521,-0.037618547677993774,1.524539589881897,-0.00986649189144373,0.1770833283662796,0.4752103090286255,0.060611624270677567,0.9250000000000002,1.5393805503845215,1.482399344444275,,,,,,,,,,,,,
7,C0,48,96,336,0.03098131638516984,0.12929595700703278,0.007997911423444748,-0.044311586767435074,1.444564938545227,0.014630693010985851,0.3020833432674408,0.518355667591095,0.031539320945739746,0.8937500000000002,1.4048060178756714,1.4450277090072632,,,,,,,,,,,,,
8,C0,48,96,384,0.001311985323826495,0.14459512019990858,0.009392869658768177,-0.029627755284309387,1.3686410188674927,0.028776461258530617,0.09375,0.3107839822769165,0.04015008732676506,0.8562500000000002,1.2606309652328491,1.4474114179611206,,,,,,,,,,,,,
9,C0,48,96,432,-0.004699026914934298,0.13313900197968706,0.008994578383862972,-0.014050424098968506,1.331319808959961,0.017545679584145546,0.010416666977107525,0.4589531123638153,0.05896087363362312,0.86875,1.2207781076431274,1.4409188032150269,,,,,,,,,,,,,
10,C0,48,96,480,0.02216856684535744,0.12709022951023627,0.008148855529725552,-0.020516173914074898,1.3560066223144531,0.011914655566215515,0.0,0.439739853143692,0.08317647874355316,0.84375,1.284627079963684,1.4375425577163696,0.8666666666666667,0.149071198499986,1.0,0.7,1.0,1.0,"[22, 15]",1.0,1,-0.0,1.284740686416626,1.453987141450246,0.8666666666666667
