update,environment,trajectories_per_batch,transitions,cumulative_trajectories,advantage_mean,advantage_std,value_loss,policy_loss,entropy,approximate_kl,clip_fraction,actor_gradient_norm,value_gradient_norm,mean_training_terminal_cost,entropy_t1,entropy_t2,validation_mean_u_ctrl,validation_std_u_ctrl,validation_median_u_ctrl,validation_q10_u_ctrl,validation_q90_u_ctrl,validation_safety,validation_dominant_sequence,validation_dominant_sequence_fraction,validation_unique_sequences,validation_sequence_entropy,validation_entropy_t1,validation_entropy_t2,best_validation_so_far
1,C0,24,48,24,-0.8307796808043495,0.15322954879370285,0.02483862079679966,-0.06635865569114685,1.6670643091201782,-0.014088722877204418,0.4375,0.3743680417537689,0.676332950592041,0.9,1.7748351097106934,1.5533627271652222,0.8666666666666667,0.149071198499986,1.0,0.7,1.0,1.0,"[22, 15]",1.0,1,-0.0,1.7749065160751343,1.4991014003753662,0.8666666666666667
2,C0,24,48,48,0.04928645379344624,0.1560935861557999,0.012916476465761662,-0.061139002442359924,1.66770601272583,0.04360222816467285,0.125,0.3614327907562256,0.2247408926486969,0.8875000000000001,1.7613186836242676,1.5710304975509644,,,,,,,,,,,,,
3,C0,24,48,72,0.005856108094255147,0.15299092951608514,0.011792526580393314,-0.05734677612781525,1.653350830078125,-0.01510846707969904,0.1875,0.4658510982990265,0.1709376573562622,0.875,1.7646769285202026,1.5318530797958374,,,,,,,,,,,,,
4,C0,24,48,96,0.013713354165355384,0.1413992103069066,0.01169643085449934,-0.026577144861221313,1.6435465812683105,0.0064630284905433655,0.0416666679084301,0.4791940152645111,0.15226729214191437,0.8875000000000001,1.761702060699463,1.5284029245376587,,,,,,,,,,,,,
5,C0,24,48,120,-0.034304228554169314,0.14449622170714418,0.010326801799237728,-0.02985840104520321,1.6523076295852661,0.008567660115659237,0.0,0.5690514445304871,0.11521033197641373,0.8875000000000001,1.7547270059585571,1.549769401550293,,,,,,,,,,,,,
6,C0,24,48,144,0.09489576008915902,0.14284891788747764,0.010937974788248539,-0.035477351397275925,1.6496607065200806,0.019262371584773064,0.0416666679084301,0.4498225450515747,0.1334688514471054,0.8249999999999998,1.7307524681091309,1.5589948892593384,,,,,,,,,,,,,
7,C0,24,48,168,-0.08462761515378951,0.1405585139111787,0.009403460659086704,-0.044291675090789795,1.6356102228164673,-0.018827108666300774,0.0625,0.5833094120025635,0.012487802654504776,0.85,1.7223000526428223,1.5511326789855957,,,,,,,,,,,,,
8,C0,24,48,192,0.04671035848061247,0.13807126073202503,0.00954937469214201,-0.03855481743812561,1.6318804025650024,0.005550486501306295,0.0625,0.6455528736114502,0.08056610077619553,0.8249999999999998,1.7128626108169556,1.5445538759231567,,,,,,,,,,,,,
9,C0,24,48,216,-0.03352342615524926,0.1321256008128304,0.008752766996622086,-0.04083544388413429,1.621211051940918,0.030274346470832825,0.1041666641831398,0.5272453427314758,0.07122121006250381,0.875,1.7067476511001587,1.529590129852295,,,,,,,,,,,,,
10,C0,24,48,240,-0.022675909876823403,0.12150371646961493,0.007959556765854359,-0.022215401753783226,1.5878428220748901,0.026109730824828148,0.1458333283662796,0.39159488677978516,0.124723881483078,0.8874999999999998,1.6712301969528198,1.4920791387557983,0.8666666666666667,0.149071198499986,1.0,0.7,1.0,1.0,"[25, 14]",1.0,1,-0.0,1.6715130805969238,1.5017428265677557,0.8666666666666667
11,C0,24,48,264,0.05505622722705208,0.13608382973882155,0.009921464137732983,-0.03130388259887695,1.573786735534668,0.0119083933532238,0.02083333395421505,0.5406526923179626,0.11015457659959793,0.8624999999999999,1.634421706199646,1.5051640272140503,,,,,,,,,,,,,
12,C0,24,48,288,-0.07763333777089913,0.12619158109858103,0.008391480892896652,-0.02153429202735424,1.527432918548584,0.01891988515853882,0.02083333395421505,0.6441170573234558,0.11757932603359222,0.9250000000000002,1.6078599691390991,1.4313772916793823,,,,,,,,,,,,,
13,C0,24,48,312,0.04966314070423444,0.12239505448664492,0.007210628595203161,-0.020364806056022644,1.4633129835128784,-0.016759904101490974,0.02083333395421505,0.37512147426605225,0.033915311098098755,0.9250000000000002,1.565263271331787,1.3354045152664185,,,,,,,,,,,,,
14,C0,24,48,336,0.02683955804010234,0.1287899633692407,0.008429133333265781,-0.025173043832182884,1.4399584531784058,-0.013061370700597763,0.1458333283662796,0.4893556535243988,0.10228046029806137,0.8624999999999999,1.5331944227218628,1.3409161567687988,,,,,,,,,,,,,
15,C0,24,48,360,-0.017778908873597756,0.13419557651048386,0.008966010995209217,-0.012858261354267597,1.470053791999817,-0.02337794564664364,0.0833333358168602,0.37245091795921326,0.03659761697053909,0.85,1.458872675895691,1.4628010988235474,,,,,,,,,,,,,
16,C0,24,48,384,0.039200130547086424,0.13832217598955457,0.009440061636269093,-0.013329371809959412,1.391748070716858,0.00983296986669302,0.0,0.4912359118461609,0.0482865646481514,0.8249999999999998,1.3854962587356567,1.3853641748428345,,,,,,,,,,,,,
17,C0,24,48,408,-0.0909102816681067,0.12028344757205048,0.00753758242353797,-0.016697335988283157,1.3910675048828125,0.0066941664554178715,0.0,0.5036352872848511,0.08768734335899353,0.8875000000000001,1.3403143882751465,1.4422065019607544,,,,,,,,,,,,,
18,C0,24,48,432,0.13021725776791573,0.12448846977248887,0.007904239930212498,-0.024521073326468468,1.3393992185592651,0.004046447575092316,0.125,0.38515937328338623,0.060959212481975555,0.7999999999999999,1.1896439790725708,1.444891333580017,,,,,,,,,,,,,
19,C0,24,48,456,-0.1114396932472785,0.13503013403291614,0.009611099027097225,-0.021774737164378166,1.1967792510986328,0.03618865832686424,0.125,0.4534558951854706,0.08603942394256592,0.875,1.0656039714813232,1.2958742380142212,,,,,,,,,,,,,
20,C0,24,48,480,-0.0028520199904839005,0.12220393302548309,0.010045220144093037,-0.02629970945417881,1.209547519683838,0.0034659672528505325,0.0416666679084301,0.33522069454193115,0.21652594208717346,0.875,1.0879930257797241,1.3357921838760376,0.8333333333333334,0.14907119849998599,0.7,0.7,1.0,1.0,"[25, 9]",0.5555555555555556,2,0.6869615765973234,1.0898720026016235,1.5194056298997667,0.8333333333333334
21,C0,24,48,504,0.054302791252732296,0.1366415109767303,0.010607101954519749,-0.014902760274708271,1.2215075492858887,0.006310187745839357,0.1041666641831398,0.5260041356086731,0.142601877450943,0.8875000000000001,1.1296006441116333,1.3027658462524414,,,,,,,,,,,,,
22,C0,24,48,528,-0.036294280876715955,0.13033513340086106,0.008414861746132374,-0.018483242020010948,1.135083794593811,0.008348016999661922,0.0,0.769086480140686,0.02184681035578251,0.85,0.9786520004272461,1.2409318685531616,,,,,,,,,,,,,
23,C0,24,48,552,0.0030248884409666307,0.12422571544539941,0.007555352058261633,-0.008708711713552475,1.067319393157959,-0.005996038671582937,0.0625,0.3565734028816223,0.039163701236248016,0.8624999999999999,0.8021463751792908,1.2954789400100708,,,,,,,,,,,,,
