update,environment,trajectories_per_batch,transitions,cumulative_trajectories,advantage_mean,advantage_std,value_loss,policy_loss,entropy,approximate_kl,clip_fraction,actor_gradient_norm,value_gradient_norm,mean_training_terminal_cost,entropy_t1,entropy_t2,entropy_t3,validation_mean_u_ctrl,validation_std_u_ctrl,validation_median_u_ctrl,validation_q10_u_ctrl,validation_q90_u_ctrl,validation_safety,validation_dominant_sequence,validation_dominant_sequence_fraction,validation_unique_sequences,validation_sequence_entropy,validation_entropy_t1,validation_entropy_t2,validation_entropy_t3,validation_unique_sequence_count,validation_xi2_action_variation_across_y1_bins,validation_xi3_action_variation_across_y1_y2_bins,validation_mi_y1_xi2,validation_mi_y1y2_xi3,validation_observation_action_mutual_information,validation_classification,validation_n_bins,validation_deterministic_policy_evaluation,best_validation_so_far
1,ieee9_full,48,144,48,-0.8844447459352707,0.08231562555881693,0.021515823900699615,-0.08521275967359543,3.963542938232422,0.016760999336838722,0.0902777761220932,0.2763943374156952,0.8010581135749817,0.9783333333333334,3.9841997623443604,3.9624645709991455,3.9418513774871826,0.9899999999999999,0.05567764362830027,0.96,0.96,1.096,1.0,"[2, 36, 47]",0.5,3,0.9743147528693494,3.9842069149017334,3.9615934689839682,3.9425172209739685,3,2,3,0.5529364165996835,0.9743147528693493,1.5272511694690327,observation-dependent adaptive,5,True,0.9899999999999999
2,ieee9_full,48,144,96,0.062204189931270165,0.08556272954013708,0.004128513392060995,-0.054572030901908875,3.9600791931152344,0.010739871300756931,0.02083333395421505,0.3324264883995056,0.15420064330101013,1.0016666666666667,3.980214834213257,3.958721399307251,3.9384422302246094,0.9766666666666666,0.05647024782032473,0.96,0.96,0.96,1.0,"[27, 47, 53]",0.9166666666666666,3,0.3445982481028228,3.9802470207214355,3.958340436220169,3.9376728932062783,3,1,2,0.14662521909589882,0.28683598305616054,0.43346120215205935,observation-dependent adaptive,5,True,0.9766666666666666
3,ieee9_full,48,144,144,0.029909153808570597,0.055912503698154814,0.0018058824352920055,-0.04295150935649872,3.9544246196746826,-0.011333256959915161,0.013888888992369175,0.39308783411979675,0.07548590749502182,0.9783333333333332,3.973304510116577,3.9522202014923096,3.9340250492095947,,,,,,,,,,,,,,,,,,,,,,,
4,ieee9_full,48,144,192,-0.004467333330503736,0.04756176096116922,0.001756751909852028,-0.035952143371105194,3.9501376152038574,-0.010536630637943745,0.0069444444961845875,0.34711524844169617,0.1102040708065033,0.9716666666666667,3.964024543762207,3.9512805938720703,3.931788682937622,0.9833333333333334,0.06724747000610672,0.96,0.96,1.016,1.0,"[29, 35, 51]",0.875,3,0.4563344322932884,3.9641172885894775,3.9450070758660636,3.9279755651950836,3,1,2,0.14662521909589885,0.3190078962097747,0.46563311530567353,observation-dependent adaptive,5,True,0.9766666666666666
5,ieee9_full,48,144,240,-0.0070495519263048655,0.04613027948406484,0.0013026009546592832,-0.027620958164334297,3.9441452026367188,0.005362230818718672,0.0,0.351405531167984,0.11076135188341141,0.9700000000000001,3.9553277492523193,3.947260856628418,3.9268319606781006,,,,,,,,,,,,,,,,,,,,,,,
6,ieee9_full,48,144,288,-0.005540162945869866,0.07343073739859286,0.0028460370376706123,-0.03867068141698837,3.9405224323272705,0.002225508214905858,0.0069444444961845875,0.37530282139778137,0.04969596117734909,0.9933333333333333,3.947932243347168,3.945342779159546,3.926255226135254,0.9966666666666667,0.06920179830675566,0.96,0.96,1.04,1.0,"[29, 35, 7]",0.8333333333333334,3,0.5660857389596289,3.948040246963501,3.937357405821482,3.9232682486375174,3,1,3,0.08886295404923672,0.4865214679227772,0.5753844219720139,observation-dependent adaptive,5,True,0.9766666666666666
7,ieee9_full,48,144,336,-0.006544769844081636,0.07501801687460899,0.0028130272403359413,-0.04110981896519661,3.9397401809692383,0.0007546875276602805,0.0069444444961845875,0.4018572270870209,0.05107321962714195,0.9966666666666667,3.9431393146514893,3.9450786113739014,3.930493116378784,,,,,,,,,,,,,,,,,,,,,,,
8,ieee9_full,48,144,384,0.015037930952260917,0.06822068080858443,0.0024552708491683006,-0.039808791130781174,3.942042350769043,0.002818163949996233,0.013888888992369175,0.3830508887767792,0.05232284963130951,0.9899999999999999,3.9461772441864014,3.948868751525879,3.932421922683716,0.9933333333333333,0.06497862896539312,0.96,0.96,1.096,1.0,"[29, 7, 23]",1.0,1,-0.0,3.946239948272705,3.950199474891027,3.9308120707670846,1,1,1,0.0,0.0,0.0,effectively nonadaptive,5,True,0.9766666666666666
9,ieee9_full,48,144,432,0.005420685815273089,0.0378601512118034,0.0006923940381966531,-0.02586822398006916,3.9432382583618164,-0.0012143320636823773,0.0,0.36383122205734253,0.008165288716554642,0.9716666666666667,3.9501163959503174,3.9478466510772705,3.9323017597198486,,,,,,,,,,,,,,,,,,,,,,,
10,ieee9_full,48,144,480,0.0005979162305593776,0.02609533362171648,0.0003381777787581086,-0.03898697346448898,3.944403648376465,0.0014920333633199334,0.0486111119389534,0.28551992774009705,0.010579850524663925,0.9666666666666667,3.9535696506500244,3.9479923248291016,3.931213617324829,0.9766666666666666,0.05647024782032473,0.96,0.96,0.96,1.0,"[29, 39, 23]",0.7916666666666666,3,0.6159905783211985,3.953596830368042,3.946496536334356,3.931762715180715,3,1,3,0.0,0.5004660482278743,0.5004660482278743,observation-dependent adaptive,5,True,0.9766666666666666
