update,mean_kl_from_pre_finetune,selected_action_changes,branch_survival_rate,unique_selected_actions,selected_actions,policy_distributions
1,0.0,0,1.0,1,14 14 14,"[[0.0, 0.0, 0.20180559158325195, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.1906304955482483, 0.0, 0.0, 0.0, 0.0, 0.3012702465057373, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.15297845005989075, 0.0, 0.0, 0.15331526100635529, 0.0, 0.0, 0.0, 0.0], [0.0, 0.0, 0.20553764700889587, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.18190717697143555, 0.0, 0.0, 0.0, 0.0, 0.2964567542076111, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.16012132167816162, 0.0, 0.0, 0.1559770554304123, 0.0, 0.0, 0.0, 0.0], [0.0, 0.0, 0.19273120164871216, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.1963060051202774, 0.0, 0.0, 0.0, 0.0, 0.30251798033714294, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.15312007069587708, 0.0, 0.0, 0.15532474219799042, 0.0, 0.0, 0.0, 0.0]]"
2,0.0,0,1.0,1,14 14 14,"[[0.0, 0.0, 0.22940777242183685, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.20354382693767548, 0.0, 0.0, 0.0, 0.0, 0.28084316849708557, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.1289461851119995, 0.0, 0.0, 0.1572590321302414, 0.0, 0.0, 0.0, 0.0], [0.0, 0.0, 0.22952789068222046, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.18926125764846802, 0.0, 0.0, 0.0, 0.0, 0.28603923320770264, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.13271407783031464, 0.0, 0.0, 0.16245757043361664, 0.0, 0.0, 0.0, 0.0], [0.0, 0.0, 0.21848724782466888, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.21090538799762726, 0.0, 0.0, 0.0, 0.0, 0.2828238010406494, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.1274614781141281, 0.0, 0.0, 0.16032205522060394, 0.0, 0.0, 0.0, 0.0]]"
3,0.0,0,1.0,1,2 2 2,"[[0.0, 0.0, 0.3155730962753296, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.16609440743923187, 0.0, 0.0, 0.0, 0.0, 0.19613398611545563, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.1388101428747177, 0.0, 0.0, 0.18338839709758759, 0.0, 0.0, 0.0, 0.0], [0.0, 0.0, 0.3119967579841614, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.15543900430202484, 0.0, 0.0, 0.0, 0.0, 0.20303241908550262, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.13801386952400208, 0.0, 0.0, 0.19151797890663147, 0.0, 0.0, 0.0, 0.0], [0.0, 0.0, 0.30163508653640747, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.17308390140533447, 0.0, 0.0, 0.0, 0.0, 0.1972348988056183, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.13595551252365112, 0.0, 0.0, 0.19209058582782745, 0.0, 0.0, 0.0, 0.0]]"
4,0.0,0,1.0,1,2 2 2,"[[0.0, 0.0, 0.36734095215797424, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.14914828538894653, 0.0, 0.0, 0.0, 0.0, 0.13805362582206726, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.1403849720954895, 0.0, 0.0, 0.20507220923900604, 0.0, 0.0, 0.0, 0.0], [0.0, 0.0, 0.36553218960762024, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.14345523715019226, 0.0, 0.0, 0.0, 0.0, 0.1433085948228836, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.13601958751678467, 0.0, 0.0, 0.21168436110019684, 0.0, 0.0, 0.0, 0.0], [0.0, 0.0, 0.3525376617908478, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.15764008462429047, 0.0, 0.0, 0.0, 0.0, 0.13717487454414368, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.1370379626750946, 0.0, 0.0, 0.21560950577259064, 0.0, 0.0, 0.0, 0.0]]"
5,0.0,0,1.0,1,2 2 2,"[[0.0, 0.0, 0.3871845006942749, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.14757825434207916, 0.0, 0.0, 0.0, 0.0, 0.13016141951084137, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.14627499878406525, 0.0, 0.0, 0.18880072236061096, 0.0, 0.0, 0.0, 0.0], [0.0, 0.0, 0.3902697265148163, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.142515629529953, 0.0, 0.0, 0.0, 0.0, 0.13646407425403595, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.13677990436553955, 0.0, 0.0, 0.1939706653356552, 0.0, 0.0, 0.0, 0.0], [0.0, 0.0, 0.3768962621688843, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.1568557471036911, 0.0, 0.0, 0.0, 0.0, 0.12850303947925568, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.14092271029949188, 0.0, 0.0, 0.19682221114635468, 0.0, 0.0, 0.0, 0.0]]"
6,0.0,0,1.0,1,2 2 2,"[[0.0, 0.0, 0.381417453289032, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.1508467197418213, 0.0, 0.0, 0.0, 0.0, 0.1556529700756073, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.15457753837108612, 0.0, 0.0, 0.15750528872013092, 0.0, 0.0, 0.0, 0.0], [0.0, 0.0, 0.38528329133987427, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.14562281966209412, 0.0, 0.0, 0.0, 0.0, 0.1645747423171997, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.14083366096019745, 0.0, 0.0, 0.16368547081947327, 0.0, 0.0, 0.0, 0.0], [0.0, 0.0, 0.3743304908275604, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.16077357530593872, 0.0, 0.0, 0.0, 0.0, 0.15410912036895752, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.1466406285762787, 0.0, 0.0, 0.16414615511894226, 0.0, 0.0, 0.0, 0.0]]"
7,0.0,0,1.0,1,2 2 2,"[[0.0, 0.0, 0.3412993848323822, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.131954163312912, 0.0, 0.0, 0.0, 0.0, 0.23439578711986542, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.1524640917778015, 0.0, 0.0, 0.13988660275936127, 0.0, 0.0, 0.0, 0.0], [0.0, 0.0, 0.33726367354393005, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.12764355540275574, 0.0, 0.0, 0.0, 0.0, 0.24964632093906403, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.13827374577522278, 0.0, 0.0, 0.1471727043390274, 0.0, 0.0, 0.0, 0.0], [0.0, 0.0, 0.3361428678035736, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.14036448299884796, 0.0, 0.0, 0.0, 0.0, 0.2350776046514511, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.14271704852581024, 0.0, 0.0, 0.14569801092147827, 0.0, 0.0, 0.0, 0.0]]"
8,0.0,0,1.0,1,14 14 14,"[[0.0, 0.0, 0.29253700375556946, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.1163538470864296, 0.0, 0.0, 0.0, 0.0, 0.2990761399269104, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.14912661910057068, 0.0, 0.0, 0.14290636777877808, 0.0, 0.0, 0.0, 0.0], [0.0, 0.0, 0.2861538827419281, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.10947040468454361, 0.0, 0.0, 0.0, 0.0, 0.3147788643836975, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.1347808837890625, 0.0, 0.0, 0.1548159271478653, 0.0, 0.0, 0.0, 0.0], [0.0, 0.0, 0.2901746928691864, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.12154839932918549, 0.0, 0.0, 0.0, 0.0, 0.299111008644104, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.13855202496051788, 0.0, 0.0, 0.1506139039993286, 0.0, 0.0, 0.0, 0.0]]"
9,0.0,0,1.0,1,2 2 2,"[[0.0, 0.0, 0.38693180680274963, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.08291391283273697, 0.0, 0.0, 0.0, 0.0, 0.2219720184803009, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.14187820255756378, 0.0, 0.0, 0.16630403697490692, 0.0, 0.0, 0.0, 0.0], [0.0, 0.0, 0.38431134819984436, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.07680986821651459, 0.0, 0.0, 0.0, 0.0, 0.22223305702209473, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.13041114807128906, 0.0, 0.0, 0.18623465299606323, 0.0, 0.0, 0.0, 0.0], [0.0, 0.0, 0.3913964033126831, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.08601506054401398, 0.0, 0.0, 0.0, 0.0, 0.21393579244613647, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.13147912919521332, 0.0, 0.0, 0.17717355489730835, 0.0, 0.0, 0.0, 0.0]]"
10,0.0,0,1.0,1,2 2 2,"[[0.0, 0.0, 0.43895047903060913, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.07606357336044312, 0.0, 0.0, 0.0, 0.0, 0.17451809346675873, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.14521424472332, 0.0, 0.0, 0.16525354981422424, 0.0, 0.0, 0.0, 0.0], [0.0, 0.0, 0.4293503761291504, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.07137326151132584, 0.0, 0.0, 0.0, 0.0, 0.17474211752414703, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.13584424555301666, 0.0, 0.0, 0.1886899769306183, 0.0, 0.0, 0.0, 0.0], [0.0, 0.0, 0.4426337480545044, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.07894778251647949, 0.0, 0.0, 0.0, 0.0, 0.16563422977924347, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.1347583532333374, 0.0, 0.0, 0.17802588641643524, 0.0, 0.0, 0.0, 0.0]]"
