update,environment,trajectories_per_batch,transitions,cumulative_trajectories,advantage_mean,advantage_std,value_loss,policy_loss,entropy,approximate_kl,clip_fraction,actor_gradient_norm,value_gradient_norm,mean_training_terminal_cost,entropy_t1,entropy_t2,branch_mean_kl_from_pre_finetune,branch_selected_action_changes,branch_branch_survival_rate,branch_unique_selected_actions,branch_selected_actions,branch_policy_distributions,validation_mean_u_ctrl,validation_std_u_ctrl,validation_median_u_ctrl,validation_q10_u_ctrl,validation_q90_u_ctrl,validation_safety,validation_dominant_sequence,validation_dominant_sequence_fraction,validation_unique_sequences,validation_sequence_entropy,validation_entropy_t1,validation_entropy_t2,validation_entropy_t3,validation_unique_sequence_count,validation_xi2_action_variation_across_y1_bins,validation_xi3_action_variation_across_y1_y2_bins,validation_mi_y1_xi2,validation_mi_y1y2_xi3,validation_observation_action_mutual_information,validation_classification,validation_n_bins,validation_deterministic_policy_evaluation,best_validation_so_far,entropy_t3
1,C0,48,96,48,-1.0696770188225744,0.1255091075991172,0.018781932070851326,-0.05726912245154381,1.8555841445922852,-0.024033552035689354,0.28125,0.2330135554075241,0.708450973033905,1.1016666666666668,1.9326144456863403,1.7720861434936523,0.0,0,1.0,1,28 28 28,"[[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.12529706954956055, 0.0, 0.0, 0.20112723112106323, 0.0, 0.0, 0.0, 0.0, 0.0, 0.22921216487884521, 0.0, 0.0, 0.0, 0.0, 0.0, 0.1332031488418579, 0.0, 0.1197887733578682, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.1913716197013855, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0], [0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.12610489130020142, 0.0, 0.0, 0.20041047036647797, 0.0, 0.0, 0.0, 0.0, 0.0, 0.23146428167819977, 0.0, 0.0, 0.0, 0.0, 0.0, 0.1335071474313736, 0.0, 0.1229812502861023, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.18553198873996735, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0], [0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.12427664548158646, 0.0, 0.0, 0.19113881886005402, 0.0, 0.0, 0.0, 0.0, 0.0, 0.2361113429069519, 0.0, 0.0, 0.0, 0.0, 0.0, 0.13023482263088226, 0.0, 0.12144250422716141, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.19679585099220276, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]]",0.9933333333333333,0.0689605362185907,0.96,0.96,1.12,1.0,"[28, 10, 6]",1.0,1,-0.0,3.9804086685180664,3.962002605199814,3.9441033601760864,1,1,1,0.0,0.0,0.0,effectively nonadaptive,5,True,0.9933333333333333,
2,C0,48,96,96,0.20072483642995356,0.11279649160666949,0.011078196577727795,-0.05174257233738899,1.8267194032669067,0.009896050207316875,0.21875,0.3235507607460022,0.34966862201690674,1.085,1.8872971534729004,1.7516473531723022,0.0,0,1.0,1,43 43 43,"[[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.08389340341091156, 0.0, 0.0, 0.19713152945041656, 0.0, 0.0, 0.0, 0.0, 0.0, 0.22557690739631653, 0.0, 0.0, 0.0, 0.0, 0.0, 0.12438209354877472, 0.0, 0.12349805235862732, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.2455180436372757, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0], [0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.08403412997722626, 0.0, 0.0, 0.19663751125335693, 0.0, 0.0, 0.0, 0.0, 0.0, 0.22710928320884705, 0.0, 0.0, 0.0, 0.0, 0.0, 0.1278100609779358, 0.0, 0.12709470093250275, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.23731432855129242, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0], [0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0841216966509819, 0.0, 0.0, 0.1879633069038391, 0.0, 0.0, 0.0, 0.0, 0.0, 0.2320769876241684, 0.0, 0.0, 0.0, 0.0, 0.0, 0.12188022583723068, 0.0, 0.12564338743686676, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.24831438064575195, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]]",,,,,,,,,,,,,,,,,,,,,,,,
3,C0,48,96,144,-0.08431378097434838,0.09984955113395304,0.009297903627157211,-0.03354701027274132,1.7999399900436401,0.0012089535593986511,0.125,0.3964940011501312,0.23080377280712128,1.09,1.8663700819015503,1.7276273965835571,0.0,0,1.0,1,43 43 43,"[[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.07507552206516266, 0.0, 0.0, 0.2120061218738556, 0.0, 0.0, 0.0, 0.0, 0.0, 0.19836091995239258, 0.0, 0.0, 0.0, 0.0, 0.0, 0.12486150860786438, 0.0, 0.15259180963039398, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.23710402846336365, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0], [0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.07417050749063492, 0.0, 0.0, 0.21042318642139435, 0.0, 0.0, 0.0, 0.0, 0.0, 0.19957734644412994, 0.0, 0.0, 0.0, 0.0, 0.0, 0.1300218254327774, 0.0, 0.15643537044525146, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.22937186062335968, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0], [0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.07475467026233673, 0.0, 0.0, 0.2019476443529129, 0.0, 0.0, 0.0, 0.0, 0.0, 0.20583464205265045, 0.0, 0.0, 0.0, 0.0, 0.0, 0.1228029802441597, 0.0, 0.1551363319158554, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.23952367901802063, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]]",,,,,,,,,,,,,,,,,,,,,,,,
4,C0,48,96,192,0.06173032815456392,0.12484854417867873,0.005614645779132843,-0.048883382230997086,1.7816025018692017,-0.006916869431734085,0.125,0.4968944489955902,0.07972636073827744,1.0783333333333334,1.8241745233535767,1.7236002683639526,0.0,0,1.0,1,43 43 43,"[[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.07348267734050751, 0.0, 0.0, 0.1985698938369751, 0.0, 0.0, 0.0, 0.0, 0.0, 0.17747007310390472, 0.0, 0.0, 0.0, 0.0, 0.0, 0.14277006685733795, 0.0, 0.1956750899553299, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.21203219890594482, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0], [0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0722605288028717, 0.0, 0.0, 0.19692660868167877, 0.0, 0.0, 0.0, 0.0, 0.0, 0.17911183834075928, 0.0, 0.0, 0.0, 0.0, 0.0, 0.15078230202198029, 0.0, 0.19854190945625305, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.20237676799297333, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0], [0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.07239201664924622, 0.0, 0.0, 0.18666553497314453, 0.0, 0.0, 0.0, 0.0, 0.0, 0.18443720042705536, 0.0, 0.0, 0.0, 0.0, 0.0, 0.14286451041698456, 0.0, 0.19904543459415436, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.21459536254405975, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]]",,,,,,,,,,,,,,,,,,,,,,,,
5,C0,48,96,240,-0.04161648256431023,0.10391638103572182,0.005762362387031317,-0.022724047303199768,1.745665192604065,-0.011373600922524929,0.0416666679084301,0.4307405352592468,0.06619119644165039,1.0816666666666668,1.7817392349243164,1.6991370916366577,0.0,0,1.0,1,36 36 36,"[[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.06667768210172653, 0.0, 0.0, 0.17610520124435425, 0.0, 0.0, 0.0, 0.0, 0.0, 0.15348182618618011, 0.0, 0.0, 0.0, 0.0, 0.0, 0.19629904627799988, 0.0, 0.22323189675807953, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.18420442938804626, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0], [0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.06679883599281311, 0.0, 0.0, 0.17739726603031158, 0.0, 0.0, 0.0, 0.0, 0.0, 0.1556849628686905, 0.0, 0.0, 0.0, 0.0, 0.0, 0.20721842348575592, 0.0, 0.22019308805465698, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.1727074384689331, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0], [0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.06515392661094666, 0.0, 0.0, 0.16437742114067078, 0.0, 0.0, 0.0, 0.0, 0.0, 0.15967008471488953, 0.0, 0.0, 0.0, 0.0, 0.0, 0.19902077317237854, 0.0, 0.22592519223690033, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.18585261702537537, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]]",,,,,,,,,,,,,,,,,,,,,,,,
6,C0,48,96,288,0.0015300027648607994,0.10292418996990747,0.0050321281887590885,-0.054914385080337524,1.702500343322754,0.015789980068802834,0.010416666977107525,0.6451313495635986,0.0967571809887886,1.095,1.7062691450119019,1.6731334924697876,0.0,0,1.0,1,34 34 34,"[[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.06139594316482544, 0.0, 0.0, 0.16292473673820496, 0.0, 0.0, 0.0, 0.0, 0.0, 0.12265469133853912, 0.0, 0.0, 0.0, 0.0, 0.0, 0.25595980882644653, 0.0, 0.23942674696445465, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.1576380878686905, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0], [0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.06255809962749481, 0.0, 0.0, 0.1639566719532013, 0.0, 0.0, 0.0, 0.0, 0.0, 0.12383109331130981, 0.0, 0.0, 0.0, 0.0, 0.0, 0.2706139385700226, 0.0, 0.2311728596687317, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.1478673368692398, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0], [0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.05970786139369011, 0.0, 0.0, 0.15114305913448334, 0.0, 0.0, 0.0, 0.0, 0.0, 0.12730462849140167, 0.0, 0.0, 0.0, 0.0, 0.0, 0.2618892788887024, 0.0, 0.24098260700702667, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.1589725762605667, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]]",,,,,,,,,,,,,,,,,,,,,,,,
7,C0,48,96,336,-0.00039170186022917153,0.0928969689590974,0.0045397644862532616,-0.027072692289948463,1.6744818687438965,0.01917874626815319,0.02083333395421505,0.5429425239562988,0.06684259325265884,1.1116666666666666,1.6818175315856934,1.672360897064209,0.0,0,1.0,1,36 36 36,"[[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.06555969268083572, 0.0, 0.0, 0.16216839849948883, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0999409481883049, 0.0, 0.0, 0.0, 0.0, 0.0, 0.24472945928573608, 0.0, 0.28830334544181824, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.1392982304096222, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0], [0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.06821171939373016, 0.0, 0.0, 0.16296517848968506, 0.0, 0.0, 0.0, 0.0, 0.0, 0.10028118640184402, 0.0, 0.0, 0.0, 0.0, 0.0, 0.2563352584838867, 0.0, 0.28045976161956787, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.13174687325954437, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0], [0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.06255028396844864, 0.0, 0.0, 0.14864720404148102, 0.0, 0.0, 0.0, 0.0, 0.0, 0.10252004861831665, 0.0, 0.0, 0.0, 0.0, 0.0, 0.25468212366104126, 0.0, 0.2914448380470276, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.14015543460845947, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]]",,,,,,,,,,,,,,,,,,,,,,,,
8,C0,48,96,384,0.03154309309025607,0.09850925810580262,0.00449142511934042,-0.027586571872234344,1.6977070569992065,-0.009905760176479816,0.0520833320915699,0.5143378376960754,0.027006667107343674,1.0666666666666667,1.7058802843093872,1.6959266662597656,0.0,0,1.0,1,36 36 36,"[[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.06710454076528549, 0.0, 0.0, 0.1723167598247528, 0.0, 0.0, 0.0, 0.0, 0.0, 0.10532396286725998, 0.0, 0.0, 0.0, 0.0, 0.0, 0.1971127837896347, 0.0, 0.3275883197784424, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.13055360317230225, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0], [0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.07037879526615143, 0.0, 0.0, 0.1742783784866333, 0.0, 0.0, 0.0, 0.0, 0.0, 0.10714895278215408, 0.0, 0.0, 0.0, 0.0, 0.0, 0.2020644098520279, 0.0, 0.3209924101829529, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.1251371055841446, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0], [0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0641520693898201, 0.0, 0.0, 0.15757687389850616, 0.0, 0.0, 0.0, 0.0, 0.0, 0.10715058445930481, 0.0, 0.0, 0.0, 0.0, 0.0, 0.20573759078979492, 0.0, 0.33412864804267883, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.131254181265831, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]]",,,,,,,,,,,,,,,,,,,,,,,,
9,C0,48,96,432,-0.015658470941583316,0.0902295150596634,0.003994595259428024,-0.018346494063735008,1.6956080198287964,0.0054527209140360355,0.02083333395421505,0.3758558928966522,0.02819051966071129,1.07,1.739073395729065,1.656657099723816,0.0,0,1.0,1,36 36 36,"[[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.06270701438188553, 0.0, 0.0, 0.17713983356952667, 0.0, 0.0, 0.0, 0.0, 0.0, 0.10932665318250656, 0.0, 0.0, 0.0, 0.0, 0.0, 0.17971056699752808, 0.0, 0.3517204821109772, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.11939544975757599, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0], [0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0653814822435379, 0.0, 0.0, 0.17989805340766907, 0.0, 0.0, 0.0, 0.0, 0.0, 0.11240967363119125, 0.0, 0.0, 0.0, 0.0, 0.0, 0.18244273960590363, 0.0, 0.3444337546825409, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.11543428152799606, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0], [0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0600004717707634, 0.0, 0.0, 0.16216686367988586, 0.0, 0.0, 0.0, 0.0, 0.0, 0.11159750819206238, 0.0, 0.0, 0.0, 0.0, 0.0, 0.18734663724899292, 0.0, 0.3597281873226166, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.11916031688451767, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]]",,,,,,,,,,,,,,,,,,,,,,,,
10,C0,48,96,480,-0.01163977947980164,0.09798445901735882,0.004721296951174736,-0.03308340907096863,1.71558678150177,0.014944535680115223,0.0625,0.28970539569854736,0.06846064329147339,1.0850000000000002,1.8024591207504272,1.6340312957763672,0.0,0,1.0,1,36 36 36,"[[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.057525649666786194, 0.0, 0.0, 0.17584340274333954, 0.0, 0.0, 0.0, 0.0, 0.0, 0.10638347268104553, 0.0, 0.0, 0.0, 0.0, 0.0, 0.1815434843301773, 0.0, 0.3711550235748291, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.10754900425672531, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0], [0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.05948617681860924, 0.0, 0.0, 0.17902205884456635, 0.0, 0.0, 0.0, 0.0, 0.0, 0.10989960283041, 0.0, 0.0, 0.0, 0.0, 0.0, 0.1838461309671402, 0.0, 0.3635065257549286, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.10423954576253891, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0], [0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.05497429147362709, 0.0, 0.0, 0.16247199475765228, 0.0, 0.0, 0.0, 0.0, 0.0, 0.10942862927913666, 0.0, 0.0, 0.0, 0.0, 0.0, 0.18895429372787476, 0.0, 0.3783794343471527, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.10579133778810501, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]]",0.9899999999999999,0.07234178138070237,0.96,0.96,1.096,1.0,"[22, 36, 7]",0.875,2,0.37677016125643675,3.951465129852295,3.9142706195513406,3.9276799261569977,2,1,2,0.0,0.31900789620977466,0.31900789620977466,observation-dependent adaptive,5,True,0.9899999999999999,
