update,environment,trajectories_per_batch,transitions,cumulative_trajectories,advantage_mean,advantage_std,value_loss,policy_loss,entropy,approximate_kl,clip_fraction,actor_gradient_norm,value_gradient_norm,mean_training_terminal_cost,entropy_t1,entropy_t2,entropy_t3,validation_mean_u_ctrl,validation_std_u_ctrl,validation_median_u_ctrl,validation_q10_u_ctrl,validation_q90_u_ctrl,validation_safety,validation_dominant_sequence,validation_dominant_sequence_fraction,validation_unique_sequences,validation_sequence_entropy,validation_entropy_t1,validation_entropy_t2,validation_entropy_t3,validation_unique_sequence_count,validation_xi2_action_variation_across_y1_bins,validation_xi3_action_variation_across_y1_y2_bins,validation_mi_y1_xi2,validation_mi_y1y2_xi3,validation_observation_action_mutual_information,validation_classification,validation_n_bins,validation_deterministic_policy_evaluation,best_validation_so_far
1,ieee9_full,12,36,12,-0.9849848460674908,0.02945684865619131,0.025417858734726906,-0.1317899078130722,3.9604034423828125,-0.0005731185083277524,0.4722222089767456,0.12189515680074692,0.9604663848876953,0.9600000000000003,3.9824535846710205,3.9572365283966064,3.9388256072998047,0.9733333333333333,0.049888765156985884,0.96,0.96,0.96,1.0,"[0, 40, 23]",0.6666666666666666,3,0.7621042220469585,3.9824650287628174,3.9572048087914786,3.9393954972426095,3,2,2,0.4963034043345511,0.6247776859634447,1.121081090297996,observation-dependent adaptive,5,True,0.9733333333333333
2,ieee9_full,12,36,24,0.07206518787046275,0.0640970516813563,0.0022903666831552982,-0.09496995061635971,3.957814931869507,-0.0015991064719855785,0.1944444477558136,0.49197444319725037,0.1520112156867981,0.9866666666666669,3.978287935256958,3.9561259746551514,3.9362947940826416,,,,,,,,,,,,,,,,,,,,,,,
3,ieee9_full,12,36,36,0.01820971005260946,0.05307912801788113,0.0014190233778208494,-0.09307996183633804,3.952296018600464,-0.019586682319641113,0.1388888955116272,0.6421090960502625,0.07338092476129532,0.9800000000000001,3.9690282344818115,3.951272964477539,3.9313888549804688,,,,,,,,,,,,,,,,,,,,,,,
4,ieee9_full,12,36,48,-0.01953120157553087,0.06727136985664685,0.002493834588676691,-0.06511598080396652,3.943345308303833,-0.009657342918217182,0.02777777798473835,0.635991632938385,0.05994899943470955,0.9866666666666669,3.9588053226470947,3.942276954650879,3.925339698791504,,,,,,,,,,,,,,,,,,,,,,,
5,ieee9_full,12,36,60,0.0022670828488138223,0.07635980529622087,0.0027016527019441128,-0.07103531807661057,3.9399309158325195,-0.0033051238860934973,0.0555555559694767,0.5653815865516663,0.07917779684066772,0.9933333333333335,3.9489049911499023,3.942948579788208,3.925964117050171,,,,,,,,,,,,,,,,,,,,,,,
6,ieee9_full,12,36,72,-0.01569410805884334,0.07809804668456599,0.0029884479008615017,-0.0787867084145546,3.9400858879089355,0.021053386852145195,0.02777777798473835,0.7907916307449341,0.028625495731830597,1.0133333333333336,3.9405200481414795,3.946349859237671,3.931243896484375,,,,,,,,,,,,,,,,,,,,,,,
7,ieee9_full,12,36,84,0.05242639042801331,0.01151820122395595,0.0004307370982132852,-0.06447858363389969,3.93351149559021,0.0040644011460244656,0.0,0.9607873558998108,0.09661474078893661,0.9600000000000003,3.9331247806549072,3.9365367889404297,3.927096366882324,,,,,,,,,,,,,,,,,,,,,,,
8,ieee9_full,12,36,96,-0.02869888001481689,0.015044942266854685,0.00010127612767973915,-0.0552966445684433,3.9270613193511963,0.01247293408960104,0.0,0.824698269367218,0.037064824253320694,0.9600000000000003,3.9227283000946045,3.9324071407318115,3.921527624130249,,,,,,,,,,,,,,,,,,,,,,,
9,ieee9_full,12,36,108,0.00795830889046195,0.019851416021730853,0.00021978234872221947,-0.05942421406507492,3.916721820831299,0.0015425416640937328,0.0,0.8293501138687134,0.014673588797450066,0.9666666666666668,3.9098970890045166,3.926182508468628,3.9072368144989014,,,,,,,,,,,,,,,,,,,,,,,
10,ieee9_full,12,36,120,-0.004222062634097179,0.02441862268395708,0.00027402950217947364,-0.0737544372677803,3.9071786403656006,0.003634631633758545,0.0,0.9715911746025085,0.012194198556244373,0.9666666666666668,3.898418664932251,3.916593551635742,3.899397134780884,0.9733333333333333,0.049888765156985884,0.96,0.96,0.96,1.0,"[0, 13, 36]",1.0,1,-0.0,3.898606538772583,3.92035111784935,3.9110679924488068,1,1,1,0.0,0.0,0.0,effectively nonadaptive,5,True,0.9733333333333333
11,ieee9_full,12,36,132,0.0029312205165624907,0.021527366957091103,0.00023004210379440337,-0.05680504068732262,3.895951271057129,0.003711091121658683,0.02777777798473835,0.7543761730194092,0.010111270472407341,0.9666666666666668,3.8814609050750732,3.909881830215454,3.889868974685669,,,,,,,,,,,,,,,,,,,,,,,
12,ieee9_full,12,36,144,-0.03378781784739757,0.07422824801862692,0.002960492391139269,-0.05341885983943939,3.889003276824951,-0.012821442447602749,0.0,0.7973260283470154,0.09138347208499908,1.0000000000000002,3.8741419315338135,3.906790018081665,3.8837063312530518,,,,,,,,,,,,,,,,,,,,,,,
13,ieee9_full,12,36,156,0.052564000571767515,0.026297674474443866,0.0011799788335338235,-0.06686026602983475,3.8844974040985107,-0.01815056800842285,0.02777777798473835,0.8380246758460999,0.14857304096221924,0.9666666666666668,3.8768093585968018,3.8962953090667725,3.8751981258392334,,,,,,,,,,,,,,,,,,,,,,,
14,ieee9_full,12,36,168,-0.09404897654801604,0.10233631504038239,0.008014312945306301,-0.06559621542692184,3.886484384536743,0.00965400505810976,0.02777777798473835,0.8608828783035278,0.2971850037574768,1.0333333333333332,3.892836332321167,3.8926565647125244,3.8814475536346436,,,,,,,,,,,,,,,,,,,,,,,
15,ieee9_full,12,36,180,0.09308131344616415,0.0748362318398606,0.005663072690367699,-0.06945181638002396,3.890988349914551,-0.007642699405550957,0.0,1.055667519569397,0.27324435114860535,1.0000000000000002,3.895934820175171,3.8949015140533447,3.879849433898926,,,,,,,,,,,,,,,,,,,,,,,
16,ieee9_full,12,36,192,-0.04417466672990054,0.06253406783859718,0.0025832902174443007,-0.0541255958378315,3.8952131271362305,-0.010368619114160538,0.0,0.8144768476486206,0.13264063000679016,0.9800000000000001,3.894564390182495,3.9035489559173584,3.885770559310913,,,,,,,,,,,,,,,,,,,,,,,
17,ieee9_full,12,36,204,0.035026748213171977,0.04156721390996926,0.0012028610799461603,-0.051228318363428116,3.8871307373046875,-0.02264171838760376,0.0,0.7901331186294556,0.09476430714130402,0.9733333333333336,3.8915493488311768,3.8935587406158447,3.8736889362335205,,,,,,,,,,,,,,,,,,,,,,,
18,ieee9_full,12,36,216,-0.03687477065887713,0.06362308353610742,0.0023322654888033867,-0.05415159836411476,3.884272336959839,0.0008260276517830789,0.02777777798473835,0.675048828125,0.09386294335126877,0.9866666666666669,3.895909547805786,3.895061731338501,3.8610382080078125,,,,,,,,,,,,,,,,,,,,,,,
19,ieee9_full,12,36,228,0.051794641303022734,0.0052519216736764945,0.0006220029899850488,-0.07229983061552048,3.8845736980438232,0.003876924514770508,0.0555555559694767,0.8366161584854126,0.12425403296947479,0.9600000000000003,3.9025814533233643,3.895000696182251,3.8540096282958984,,,,,,,,,,,,,,,,,,,,,,,
20,ieee9_full,12,36,240,-0.03751258457336157,0.007517872199422047,0.00026260700542479753,-0.056588880717754364,3.88016676902771,0.017515739426016808,0.0,0.9111854434013367,0.08180587738752365,0.9600000000000003,3.90093994140625,3.887014150619507,3.8529551029205322,0.9733333333333333,0.049888765156985884,0.96,0.96,0.96,1.0,"[0, 36, 39]",0.8333333333333334,2,0.45056120886630463,3.9013512134552,3.891359359025955,3.879918654759725,2,2,2,0.3463107039625155,0.4505612088663046,0.7968719128288201,observation-dependent adaptive,5,True,0.9733333333333333
