update,environment,trajectories_per_batch,transitions,cumulative_trajectories,advantage_mean,advantage_std,value_loss,policy_loss,entropy,approximate_kl,clip_fraction,actor_gradient_norm,value_gradient_norm,mean_training_terminal_cost,entropy_t1,entropy_t2,entropy_t3,validation_mean_u_ctrl,validation_std_u_ctrl,validation_median_u_ctrl,validation_q10_u_ctrl,validation_q90_u_ctrl,validation_safety,validation_dominant_sequence,validation_dominant_sequence_fraction,validation_unique_sequences,validation_sequence_entropy,validation_entropy_t1,validation_entropy_t2,validation_entropy_t3,validation_unique_sequence_count,validation_xi2_action_variation_across_y1_bins,validation_xi3_action_variation_across_y1_y2_bins,validation_mi_y1_xi2,validation_mi_y1y2_xi3,validation_observation_action_mutual_information,validation_classification,validation_n_bins,validation_deterministic_policy_evaluation,best_validation_so_far
1,ieee9_full,12,36,12,-1.0010572861430753,0.09591736560211203,0.015932291746139526,-0.1117078885436058,3.9589128494262695,-0.0018735527992248535,0.4166666567325592,0.32439106702804565,0.6969422101974487,0.9933333333333335,3.979702949523926,3.957301139831543,3.935366630554199,0.9866666666666667,0.06394442031083629,0.96,0.96,1.096,1.0,"[49, 0, 3]",0.9583333333333334,2,0.1732052067491771,3.9849157333374023,3.9582082430521646,3.9370642801125846,2,1,2,0.0,0.17320520674917714,0.17320520674917714,observation-dependent adaptive,5,True,0.9866666666666667
2,ieee9_full,12,36,24,0.011632738077971706,0.07806162554940706,0.0036398412194103003,-0.06068507209420204,3.953864097595215,0.0009122954215854406,0.0555555559694767,0.5522527098655701,0.20038272440433502,0.9800000000000001,3.974278450012207,3.952549695968628,3.9329845905303955,,,,,,,,,,,,,,,,,,,,,,,
3,ieee9_full,12,36,36,0.06346192443933754,0.08258585083173978,0.003311597276479006,-0.06850642710924149,3.9497783184051514,-0.0030689106788486242,0.0555555559694767,0.6635855436325073,0.18614977598190308,0.9866666666666669,3.967911958694458,3.948740243911743,3.928788423538208,,,,,,,,,,,,,,,,,,,,,,,
4,ieee9_full,12,36,48,-0.02708358350975643,0.026820706898203806,0.0008843803079798818,-0.049244724214076996,3.9457778930664062,0.017022516578435898,0.02777777798473835,0.6726120114326477,0.0982172042131424,0.9666666666666668,3.9650955200195312,3.9461371898651123,3.925243616104126,,,,,,,,,,,,,,,,,,,,,,,
5,ieee9_full,12,36,60,0.027362896708481875,0.01983599487406011,9.41560574574396e-05,0.013466591946780682,3.9447784423828125,0.03322816640138626,0.02777777798473835,0.7087344527244568,0.03190585598349571,0.9600000000000003,3.9654438495635986,3.944638252258301,3.923143148422241,,,,,,,,,,,,,,,,,,,,,,,
6,ieee9_full,12,36,72,-0.03928471513738233,0.045689713904355306,0.0015193980652838945,-0.04579878970980644,3.943821907043457,-0.012395302765071392,0.0555555559694767,0.698685348033905,0.10968522727489471,0.9800000000000001,3.964916229248047,3.943664789199829,3.92266583442688,,,,,,,,,,,,,,,,,,,,,,,
7,ieee9_full,12,36,84,0.02638664223849777,0.06427684582739789,0.001992016565054655,-0.0418391078710556,3.943758964538574,-0.01726277731359005,0.0555555559694767,0.7206210494041443,0.08559864014387131,0.9800000000000001,3.9626171588897705,3.944570302963257,3.92349910736084,,,,,,,,,,,,,,,,,,,,,,,
8,ieee9_full,12,36,96,-0.015793481694989703,0.06346961385884839,0.002149885054677725,-0.024044249206781387,3.9433860778808594,0.004176742397248745,0.0555555559694767,0.7639799118041992,0.05901379883289337,0.9800000000000001,3.961742401123047,3.9449918270111084,3.9228885173797607,,,,,,,,,,,,,,,,,,,,,,,
9,ieee9_full,12,36,108,0.002890942657325038,0.06373453097856602,0.0019219432724639773,-0.04207160323858261,3.9388246536254883,0.003037923015654087,0.0555555559694767,0.7400819659233093,0.012625201605260372,0.9800000000000001,3.958552360534668,3.937697410583496,3.915343999862671,,,,,,,,,,,,,,,,,,,,,,,
10,ieee9_full,12,36,120,0.02451618753737877,0.01046203919148371,0.00025483063654974103,-0.05450795218348503,3.931584596633911,0.005549225490540266,0.0555555559694767,0.891089916229248,0.074617400765419,0.9600000000000003,3.9555320739746094,3.9292805194854736,3.9056575298309326,1.0133333333333334,0.09428090415820635,0.96,0.96,1.2,1.0,"[42, 22, 52]",1.0,1,-0.0,3.966750144958496,3.9284453690052032,3.909712145725886,1,1,1,0.0,0.0,0.0,effectively nonadaptive,5,True,0.9866666666666667
11,ieee9_full,12,36,132,-0.06251351017488373,0.0712519326324041,0.0037598321214318275,-0.03898659721016884,3.9212210178375244,0.018357403576374054,0.0,0.8307846784591675,0.19696033000946045,1.0133333333333336,3.9508047103881836,3.913031816482544,3.890385627746582,,,,,,,,,,,,,,,,,,,,,,,
12,ieee9_full,12,36,144,0.0572802972790268,0.042502155475495774,0.002042577601969242,-0.04350237175822258,3.9049863815307617,0.01955574005842209,0.0,0.873295783996582,0.17325975000858307,0.9733333333333336,3.941619634628296,3.89029598236084,3.871838331222534,,,,,,,,,,,,,,,,,,,,,,,
13,ieee9_full,12,36,156,0.01262445139338576,0.011458402116832809,7.1932197897695e-05,-0.04414185509085655,3.8903214931488037,0.0012177559547126293,0.0555555559694767,1.0796101093292236,0.017536329105496407,0.9600000000000003,3.9316136837005615,3.8765742778778076,3.856456756591797,,,,,,,,,,,,,,,,,,,,,,,
14,ieee9_full,12,36,168,-0.04369257346242664,0.029178630187287995,0.0009064218029379845,-0.03079327568411827,3.876628875732422,0.0005417002830654383,0.0,0.9775381088256836,0.11839992552995682,0.9733333333333336,3.9181530475616455,3.863145589828491,3.8410565853118896,,,,,,,,,,,,,,,,,,,,,,,
15,ieee9_full,12,36,180,0.024822693944970803,0.058151841191389754,0.0018555735005065799,-0.01818118989467621,3.8665170669555664,-0.015573197044432163,0.0,1.0138245820999146,0.07476835697889328,0.9800000000000001,3.910275459289551,3.849194288253784,3.8331520557403564,,,,,,,,,,,,,,,,,,,,,,,
16,ieee9_full,12,36,192,-0.037611181965635856,0.08199883224840454,0.0037477186415344477,-0.04325367510318756,3.8585803508758545,-0.000964820384979248,0.0,0.9526431560516357,0.11893735080957413,1.0066666666666668,3.9103543758392334,3.8380300998687744,3.8246402740478516,,,,,,,,,,,,,,,,,,,,,,,
17,ieee9_full,12,36,204,0.056124867436289826,0.01387558846184854,0.001295706955716014,-0.023216506466269493,3.851872444152832,0.028598718345165253,0.0,1.032315731048584,0.17397810518741608,0.9600000000000003,3.910999059677124,3.825505495071411,3.8134765625,,,,,,,,,,,,,,,,,,,,,,,
18,ieee9_full,12,36,216,-0.04992080762568443,0.08607333752080677,0.004806470591574907,-0.025789184495806694,3.844191312789917,0.006229824386537075,0.0,0.9205228686332703,0.17919480800628662,1.0,3.9098169803619385,3.812424659729004,3.8059914112091064,,,,,,,,,,,,,,,,,,,,,,,
19,ieee9_full,12,36,228,0.024706345032652254,0.059977691974492646,0.00230687134899199,-0.043461836874485016,3.83475923538208,-0.025929966941475868,0.0555555559694767,1.0552432537078857,0.11606419831514359,0.9800000000000001,3.9066388607025146,3.7982587814331055,3.79101300239563,,,,,,,,,,,,,,,,,,,,,,,
20,ieee9_full,12,36,240,-0.03799096518887412,0.08921634738858934,0.004890922456979752,-0.03178495913743973,3.82602858543396,-0.0004185504512861371,0.0,1.020309329032898,0.1643342822790146,1.026666666666667,3.9088666439056396,3.793874740600586,3.7767837047576904,1.0266666666666666,0.09428090415820635,0.96,0.96,1.2,1.0,"[16, 42, 22]",0.625,2,0.6615632381579821,3.9083199501037598,3.853641629219055,3.837229629357656,2,1,2,0.0,0.6038009731113199,0.6038009731113199,observation-dependent adaptive,5,True,0.9866666666666667
21,ieee9_full,12,36,252,0.0012391340302096725,0.09572487735094647,0.0045427498407661915,-0.058926768600940704,3.8424301147460938,-0.009759452193975449,0.0555555559694767,1.0897886753082275,0.05893158167600632,1.0333333333333334,3.9107563495635986,3.816732168197632,3.8071038722991943,,,,,,,,,,,,,,,,,,,,,,,
22,ieee9_full,12,36,264,0.05661243816614151,0.05309239260783425,0.0020141620188951492,-0.05426271632313728,3.837681770324707,0.002528316341340542,0.1388888955116272,0.9186844825744629,0.1284712851047516,0.9866666666666669,3.8970067501068115,3.8158628940582275,3.792062520980835,,,,,,,,,,,,,,,,,,,,,,,
23,ieee9_full,12,36,276,-0.05533727395451728,0.08183172130364545,0.004031287971884012,-0.028544001281261444,3.814646005630493,0.011797096580266953,0.0,1.001218557357788,0.1575520634651184,1.0000000000000002,3.8726844787597656,3.7858426570892334,3.765810251235962,,,,,,,,,,,,,,,,,,,,,,,
24,ieee9_full,12,36,288,0.06701811166637478,0.017769338156992665,0.0018337840447202325,-0.045508936047554016,3.7790019512176514,-0.008615116588771343,0.0,1.2508944272994995,0.19878283143043518,0.9600000000000003,3.8458034992218018,3.747565269470215,3.7199947834014893,,,,,,,,,,,,,,,,,,,,,,,
25,ieee9_full,12,36,300,-0.0373067483289374,0.025263123660350946,0.0009976394940167665,-0.033696096390485764,3.7451181411743164,0.027365215122699738,0.0,0.9706817865371704,0.13693690299987793,0.9666666666666668,3.816657781600952,3.716188669204712,3.6812400817871094,,,,,,,,,,,,,,,,,,,,,,,
26,ieee9_full,12,36,312,0.014690945218337942,0.01942901522887519,0.0003473856777418405,-0.03237711265683174,3.7184998989105225,-0.01233067736029625,0.0,1.0938760042190552,0.0746312141418457,0.9600000000000003,3.7858011722564697,3.682790994644165,3.668191909790039,,,,,,,,,,,,,,,,,,,,,,,
