method,theta_test_id,rollout_id,sequence,y_obs,u_ctrl,u_req_true,excess_control,safe_total,runtime_s,exact_tie_count,near_tie_count,average_co_tied_actions
stage2_dad,0,0,"[12, 36, 21]","[4.0832609023050725, 4.768983266983372, 4.054812642007343]",0.96,0.0,0.96,True,0.0061910328513477,0,0,nan
stage2_dad,1,1,"[12, 37, 21]","[7.3116033006028776, 1.7152769468835973, 7.468219605491805]",0.96,0.0,0.96,True,0.0057331180141773075,0,0,nan
stage2_dad,2,2,"[12, 37, 21]","[7.628739810157735, 3.2365430948708855, 7.550162748514082]",0.96,0.0,0.96,True,0.005679145629983395,0,0,nan
stage2_dad,3,3,"[12, 36, 21]","[5.973252651793502, 6.336628763058575, 5.954059578962809]",0.96,0.0,0.96,True,0.00563917972613126,0,0,nan
stage2_dad,4,4,"[12, 43, 36]","[12.03911854868299, 0.7240748419760176, 10.825972402817426]",1.11,0.32,0.79,True,0.005520054168300703,0,0,nan
stage2_dad,5,5,"[12, 37, 21]","[8.132161961491777, 2.374399810762238, 8.16710728140437]",0.98,0.0,0.98,True,0.005673885258147493,0,0,nan
stage2_dad,6,6,"[12, 36, 21]","[4.6539831960720965, 8.094000462043416, 4.559331056119401]",0.96,0.0,0.96,True,0.005566168518271297,0,0,nan
stage2_dad,7,7,"[12, 37, 21]","[6.817462910022257, 1.6661121888629806, 6.931639322330684]",1.0,0.0,1.0,True,0.005576333729550242,0,0,nan
stage2_dad,8,8,"[12, 36, 21]","[5.598884926331101, 3.290645178115089, 5.527690995509664]",0.96,0.0,0.96,True,0.005625033634714782,0,0,nan
stage2_dad,9,9,"[12, 36, 21]","[4.6858855320532005, 6.802613292401016, 4.660654123677458]",0.96,0.0,0.96,True,0.005578223004704341,0,0,nan
stage2_dad,10,10,"[12, 37, 21]","[6.202872297699298, 3.424550818865627, 6.378573789855702]",1.02,0.0,1.02,True,0.005577738513238728,0,0,nan
stage2_dad,11,11,"[12, 36, 21]","[4.3528242173944784, 3.7815360553122064, 4.2996308340832075]",0.96,0.0,0.96,True,0.005674829240888357,0,0,nan
stage2_dad,12,12,"[12, 37, 21]","[7.025239561170903, 3.2454882749507683, 6.903334467731455]",0.96,0.0,0.96,True,0.005847297637956217,0,0,nan
stage2_dad,13,13,"[12, 37, 21]","[6.400979578527572, 1.7334846023133559, 6.4133040929824965]",0.96,0.0,0.96,True,0.005656890745740384,0,0,nan
stage2_dad,14,14,"[12, 37, 6]","[8.309783287128583, 3.5537881712211976, 0.7883089602796679]",0.97,0.0,0.97,True,0.005660113180056214,0,0,nan
stage2_dad,15,15,"[12, 36, 21]","[4.844810571700781, 3.71201249447777, 4.7721381085323795]",0.96,0.0,0.96,True,0.005643774522468448,0,0,nan
stage2_dad,16,16,"[12, 36, 21]","[4.881285665841363, 4.972727197229026, 4.901980630435014]",0.97,0.0,0.97,True,0.0056303865276277065,0,0,nan
stage2_dad,17,17,"[12, 37, 21]","[6.4186563133704615, 4.045771802627687, 6.185544394685771]",0.97,0.0,0.97,True,0.005635133507894352,0,0,nan
stage2_dad,18,18,"[12, 37, 21]","[7.880306170954801, 1.8616681192846483, 7.92653259558107]",0.96,0.0,0.96,True,0.00562571085174568,0,0,nan
stage2_dad,19,19,"[12, 37, 21]","[8.158183520505094, 1.9104165213981634, 8.078316796765563]",0.96,0.0,0.96,True,0.006578665605047718,0,0,nan
stage2_dad,20,20,"[12, 36, 21]","[4.52436632101759, 3.6968863221981647, 4.515466507998144]",0.98,0.0,0.98,True,0.007007300067925826,0,0,nan
stage2_dad,21,21,"[12, 37, 21]","[7.9678792867695885, 1.7717082150663983, 7.900685909621916]",0.96,0.0,0.96,True,0.006464218022301793,0,0,nan
stage2_dad,22,22,"[12, 37, 6]","[8.232140496567915, 3.5356918878902985, 0.9636920652822344]",0.96,0.08,0.88,True,0.0065129700233228505,0,0,nan
stage2_dad,23,23,"[12, 37, 21]","[7.350636002891807, 1.706379345716817, 7.31613892579652]",0.96,0.0,0.96,True,0.00607015987043269,0,0,nan
stage2_dad,24,24,"[12, 36, 21]","[5.5248502552773155, 11.635616734140147, 5.555882140917849]",0.96,0.0,0.96,True,0.007240891514811665,0,0,nan
stage2_dad,25,25,"[12, 37, 21]","[7.7979320030954415, 3.0101541776342287, 7.6620887903698955]",0.96,0.0,0.96,True,0.006807141850003973,0,0,nan
stage2_dad,26,26,"[12, 36, 21]","[4.376035996251827, 3.9462855051342363, 4.1971145341848475]",0.96,0.0,0.96,True,0.006550276390044019,0,0,nan
stage2_dad,27,27,"[12, 37, 21]","[7.135867411800397, 3.0412775295464645, 6.924854541816494]",0.96,0.0,0.96,True,0.006506918638478965,0,0,nan
stage2_dad,28,28,"[12, 36, 21]","[5.666081624995581, 5.152192180321254, 5.848794040486955]",0.96,0.0,0.96,True,0.00642181362491101,0,0,nan
stage2_dad,29,29,"[12, 36, 21]","[4.782772873567743, 4.060171619352438, 4.723611044668992]",0.96,0.0,0.96,True,0.006442717945901677,0,0,nan
stage2_dad,30,30,"[12, 36, 21]","[4.15544484802092, 9.136840019540594, 4.121683311797952]",0.96,0.0,0.96,True,0.00634223414817825,0,0,nan
stage2_dad,31,31,"[12, 36, 21]","[5.388126130528561, 8.762875420703459, 5.610117513395751]",0.96,0.0,0.96,True,0.006324444053461775,0,0,nan
