update,environment,trajectories_per_batch,transitions,cumulative_trajectories,advantage_mean,advantage_std,value_loss,policy_loss,entropy,approximate_kl,clip_fraction,actor_gradient_norm,value_gradient_norm,mean_training_terminal_cost,entropy_t1,entropy_t2,entropy_t3,validation_mean_u_ctrl,validation_std_u_ctrl,validation_median_u_ctrl,validation_q10_u_ctrl,validation_q90_u_ctrl,validation_safety,validation_dominant_sequence,validation_dominant_sequence_fraction,validation_unique_sequences,validation_sequence_entropy,validation_entropy_t1,validation_entropy_t2,validation_entropy_t3,validation_unique_sequence_count,validation_xi2_action_variation_across_y1_bins,validation_xi3_action_variation_across_y1_y2_bins,validation_mi_y1_xi2,validation_mi_y1y2_xi3,validation_observation_action_mutual_information,validation_classification,validation_n_bins,validation_deterministic_policy_evaluation,best_validation_so_far
1,ieee5_full,48,144,48,-0.7335243517636295,0.14057542674246373,0.3015350103378296,-0.10081645846366882,3.352262496948242,0.014232069253921509,0.1875,0.30274319648742676,0.2825613021850586,0.8604166666666666,3.378265142440796,3.35060977935791,3.3217079639434814,0.9166666666666666,0.09860132971832694,0.95,0.8,1.0,1.0,"[12, 15, 22]",0.9166666666666666,2,0.2868359830561607,3.3783156871795654,3.3548309803009033,3.3199575344721475,2,1,2,0.12770744098245737,0.28683598305616054,0.4145434240386179,observation-dependent adaptive,5,True,0.9166666666666666
2,ieee5_full,48,144,96,-0.04280017517217333,0.11891813668025245,0.28026360273361206,-0.06333029270172119,3.344637632369995,-0.0014093584613874555,0.0486111119389534,0.37778806686401367,0.20895272493362427,0.8895833333333334,3.365115165710449,3.346270799636841,3.318619966506958,0.9166666666666666,0.09860132971832694,0.95,0.8,1.0,1.0,"[12, 15, 22]",0.8333333333333334,3,0.5660857389596289,3.365180015563965,3.357339382171631,3.323796590169271,3,1,2,0.12770744098245737,0.4505612088663047,0.578268649848762,observation-dependent adaptive,5,True,0.9166666666666666
3,ieee5_full,48,144,144,0.05811598278126781,0.12894870742026796,0.4053981304168701,-0.04131615161895752,3.341721534729004,0.005240576341748238,0.013888888992369175,0.3977873921394348,0.4275272488594055,0.8312500000000002,3.3649308681488037,3.342604875564575,3.3155479431152344,,,,,,,,,,,,,,,,,,,,,,,
4,ieee5_full,48,144,192,-0.031205246621121965,0.12099026428876962,0.3565288782119751,-0.04533763229846954,3.3367908000946045,-0.006708329077810049,0.0069444444961845875,0.5316541194915771,0.6288424134254456,0.8604166666666666,3.358354330062866,3.333508253097534,3.3134682178497314,0.8666666666666668,0.07453559924999298,0.8500000000000001,0.8,0.99,1.0,"[12, 15, 13]",0.75,2,0.5623351446188083,3.3584182262420654,3.3417264421780906,3.319512367248535,2,1,2,0.0,0.5623351446188083,0.5623351446188083,observation-dependent adaptive,5,True,0.8666666666666668
5,ieee5_full,48,144,240,0.05720267582995195,0.1266260198752822,0.3756415545940399,-0.033346015959978104,3.328792095184326,0.014572749845683575,0.02083333395421505,0.44999438524246216,0.3684678077697754,0.8333333333333334,3.356346368789673,3.3210256099700928,3.305206537246704,,,,,,,,,,,,,,,,,,,,,,,
6,ieee5_full,48,144,288,-0.002130481573856549,0.10517441069399038,0.2398921400308609,-0.03565354272723198,3.3191213607788086,0.004512106534093618,0.0,0.5002604722976685,0.1817924976348877,0.8541666666666666,3.351567268371582,3.3069674968719482,3.2918574810028076,0.8500000000000002,0.06454972243679027,0.8,0.8,0.9,1.0,"[12, 15, 13]",0.9166666666666666,2,0.2868359830561607,3.351728677749634,3.3067708214124045,3.2828651666641235,2,1,2,0.12770744098245737,0.28683598305616054,0.4145434240386179,observation-dependent adaptive,5,True,0.8500000000000002
7,ieee5_full,48,144,336,-0.0018179680570546235,0.10226432293125537,0.27027052640914917,-0.029212376102805138,3.308474540710449,0.0012799567775800824,0.0,0.4450339376926422,0.2383105754852295,0.85,3.332350015640259,3.303546905517578,3.2837283611297607,,,,,,,,,,,,,,,,,,,,,,,
8,ieee5_full,48,144,384,0.006119083713326184,0.10851225441587706,0.29457828402519226,-0.019378624856472015,3.3003811836242676,0.004069147631525993,0.0,0.3870360851287842,0.12468079477548599,0.8687499999999999,3.309997797012329,3.303309679031372,3.2829477787017822,0.8999999999999999,0.10801234497346433,0.9,0.71,1.0,1.0,"[12, 11, 15]",0.75,2,0.5623351446188083,3.3102569580078125,3.302475372950236,3.2810568809509277,2,2,2,0.5623351446188083,0.5623351446188083,1.1246702892376166,observation-dependent adaptive,5,True,0.8500000000000002
9,ieee5_full,48,144,432,0.03912188657745719,0.11864072457176655,0.34668055176734924,-0.02937130443751812,3.2891764640808105,0.009615924209356308,0.0,0.441131055355072,0.2873367369174957,0.8375,3.299532175064087,3.287616729736328,3.2729005813598633,,,,,,,,,,,,,,,,,,,,,,,
10,ieee5_full,48,144,480,-0.027745129844794672,0.10217362891799804,0.2584987282752991,-0.04014086350798607,3.271232843399048,0.011744837276637554,0.0555555559694767,0.4876681864261627,0.5755594372749329,0.875,3.2862093448638916,3.262423515319824,3.247225761413574,0.8500000000000001,0.09574271077563382,0.9,0.8,0.9,1.0,"[12, 18, 15]",0.5,2,0.6931471805599453,3.2864990234375,3.2506825725237527,3.236642857392629,2,1,2,0.0,0.6931471805599453,0.6931471805599453,observation-dependent adaptive,5,True,0.8500000000000001
11,ieee5_full,48,144,528,0.034167802591911614,0.09795787117762052,0.25380098819732666,-0.032472021877765656,3.2430124282836914,0.004530600272119045,0.0069444444961845875,0.5518075823783875,0.48828038573265076,0.8770833333333333,3.262624979019165,3.237011194229126,3.215810537338257,,,,,,,,,,,,,,,,,,,,,,,
12,ieee5_full,48,144,576,0.0036300654001533966,0.10489312445743541,0.26352548599243164,-0.02959493175148964,3.230656147003174,-0.002096780575811863,0.0069444444961845875,0.46279045939445496,0.37224534153938293,0.8520833333333334,3.2420804500579834,3.232961654663086,3.2161147594451904,0.8666666666666668,0.07453559924999298,0.8500000000000001,0.8,0.99,1.0,"[12, 18, 15]",0.75,2,0.5623351446188083,3.2423510551452637,3.2244218389193215,3.2142100731531777,2,1,2,0.0,0.33128608443215984,0.33128608443215984,observation-dependent adaptive,5,True,0.8500000000000001
13,ieee5_full,48,144,624,0.016257218178982527,0.10781751384369752,0.28891345858573914,-0.016555756330490112,3.238154411315918,0.004883145447820425,0.02083333395421505,0.4458516836166382,0.2122718095779419,0.8625000000000002,3.2433011531829834,3.2485897541046143,3.2323837280273438,,,,,,,,,,,,,,,,,,,,,,,
