update,environment,trajectories_per_batch,transitions,cumulative_trajectories,advantage_mean,advantage_std,value_loss,policy_loss,entropy,approximate_kl,clip_fraction,actor_gradient_norm,value_gradient_norm,mean_training_terminal_cost,entropy_t1,entropy_t2,entropy_t3,validation_mean_u_ctrl,validation_std_u_ctrl,validation_median_u_ctrl,validation_q10_u_ctrl,validation_q90_u_ctrl,validation_safety,validation_dominant_sequence,validation_dominant_sequence_fraction,validation_unique_sequences,validation_sequence_entropy,validation_entropy_t1,validation_entropy_t2,validation_entropy_t3,validation_unique_sequence_count,validation_xi2_action_variation_across_y1_bins,validation_xi3_action_variation_across_y1_y2_bins,validation_mi_y1_xi2,validation_mi_y1y2_xi3,validation_observation_action_mutual_information,validation_classification,validation_n_bins,validation_deterministic_policy_evaluation,best_validation_so_far
1,ieee5_full,48,144,48,-0.6972082637958746,0.1428929363853907,0.01608274132013321,-0.10312983393669128,3.3514795303344727,0.019860221073031425,0.2777777910232544,0.3117774724960327,0.4622623324394226,0.8604166666666666,3.375692129135132,3.350541114807129,3.3217573165893555,0.8666666666666668,0.06236095644623235,0.9,0.8,0.9,1.0,"[15, 18, 22]",1.0,1,-0.0,3.375764846801758,3.3455814520517984,3.320501426855723,1,1,1,0.0,0.0,0.0,effectively nonadaptive,5,True,0.8666666666666668
2,ieee5_full,48,144,96,-0.0945982760033674,0.11002699985757237,0.005939031019806862,-0.05903829634189606,3.342465877532959,-0.0017742365598678589,0.0347222238779068,0.38286659121513367,0.06690339744091034,0.8895833333333334,3.3594205379486084,3.3461806774139404,3.3169543743133545,0.8666666666666668,0.06236095644623235,0.9,0.8,0.9,1.0,"[15, 18, 22]",1.0,1,-0.0,3.359560966491699,3.34030952056249,3.315140704313914,1,1,1,0.0,0.0,0.0,effectively nonadaptive,5,True,0.8666666666666668
3,ieee5_full,48,144,144,0.095758093032572,0.1324714128708877,0.007536974269896746,-0.04602200537919998,3.338728189468384,-0.00036082498263567686,0.0069444444961845875,0.42336639761924744,0.027077505365014076,0.8333333333333334,3.3549978733062744,3.3420164585113525,3.3179614543914795,,,,,,,,,,,,,,,,,,,,,,,
4,ieee5_full,48,144,192,-0.04981827665534285,0.1323930817148665,0.008267758414149284,-0.051626283675432205,3.3374693393707275,-0.0016720907296985388,0.0,0.6040284037590027,0.10915948450565338,0.8645833333333334,3.3506219387054443,3.3411285877227783,3.3183717727661133,0.9250000000000002,0.09242113755341179,1.0,0.8,1.0,1.0,"[12, 15, 4]",0.9166666666666666,2,0.2868359830561607,3.3507394790649414,3.3503461678822837,3.3222554524739585,2,1,1,0.12770744098245737,0.0,0.12770744098245737,observation-dependent adaptive,5,True,0.8666666666666668
5,ieee5_full,48,144,240,0.003919201442764861,0.1307017413669176,0.009412454441189766,-0.03770893067121506,3.3301916122436523,0.018276337534189224,0.0,0.43221256136894226,0.1430940330028534,0.8479166666666668,3.338060140609741,3.333563804626465,3.3117740154266357,,,,,,,,,,,,,,,,,,,,,,,
6,ieee5_full,48,144,288,0.009937041453189313,0.11024737872385452,0.005634704604744911,-0.0434330552816391,3.3166615962982178,0.0033906500320881605,0.0763888880610466,0.3653477728366852,0.09907302260398865,0.8666666666666667,3.330232858657837,3.3147566318511963,3.296947479248047,0.9416666666666668,0.07592027982620247,1.0,0.81,1.0,1.0,"[12, 19, 15]",0.9166666666666666,2,0.2868359830561607,3.3304367065429688,3.3145321210225425,3.288233776887258,2,1,1,0.12770744098245737,0.17131145296283637,0.29901889394529374,observation-dependent adaptive,5,True,0.8666666666666668
7,ieee5_full,48,144,336,-0.00962546031342613,0.11390358847236777,0.006114786025136709,-0.03609496355056763,3.3034379482269287,-0.0006108035449869931,0.0069444444961845875,0.45065009593963623,0.054797202348709106,0.8458333333333333,3.3170340061187744,3.3036880493164062,3.2814700603485107,,,,,,,,,,,,,,,,,,,,,,,
8,ieee5_full,48,144,384,0.008598486746350921,0.09517304546166104,0.004466670099645853,-0.03643201291561127,3.2920339107513428,0.007668879348784685,0.013888888992369175,0.4785033166408539,0.022470830008387566,0.8624999999999999,3.3064191341400146,3.2924671173095703,3.270111322402954,0.8833333333333333,0.11426091000668409,0.9,0.7,1.0,1.0,"[12, 11, 1]",1.0,1,-0.0,3.306591510772705,3.291307886441549,3.2813842495282493,1,1,1,0.0,0.0,0.0,effectively nonadaptive,5,True,0.8666666666666668
9,ieee5_full,48,144,432,-0.007624692971507718,0.10024068078664618,0.004768619313836098,-0.034025274217128754,3.2872934341430664,0.005618383642286062,0.02083333395421505,0.47325143218040466,0.019891295582056046,0.86875,3.3054888248443604,3.288680076599121,3.2699337005615234,,,,,,,,,,,,,,,,,,,,,,,
10,ieee5_full,48,144,480,-0.01722771576046944,0.10333763122668284,0.005284982267767191,-0.02103794738650322,3.2824151515960693,0.013871937990188599,0.0,0.4307444393634796,0.040171533823013306,0.8937500000000002,3.2950799465179443,3.277589797973633,3.265352964401245,0.8833333333333333,0.11426091000668409,0.9,0.7,1.0,1.0,"[12, 11, 1]",1.0,1,-0.0,3.295205593109131,3.272620975971222,3.2725108861923218,1,1,1,0.0,0.0,0.0,effectively nonadaptive,5,True,0.8666666666666668
11,ieee5_full,48,144,528,0.03411209465397728,0.09355027547633803,0.004395670257508755,-0.03194521367549896,3.267228126525879,0.00486650550737977,0.0,0.46702757477760315,0.06340640783309937,0.8708333333333332,3.295872688293457,3.2573726177215576,3.243441581726074,,,,,,,,,,,,,,,,,,,,,,,
12,ieee5_full,48,144,576,-0.008365554127428268,0.10750999179476825,0.005556355696171522,-0.02161739394068718,3.2581307888031006,-0.006472259759902954,0.0,0.4327848553657532,0.010583232156932354,0.8479166666666668,3.3016436100006104,3.2448313236236572,3.2238361835479736,0.8833333333333333,0.11426091000668409,0.9,0.7,1.0,1.0,"[12, 11, 1]",1.0,1,-0.0,3.3017919063568115,3.240484813849131,3.2425708969434104,1,1,1,0.0,0.0,0.0,effectively nonadaptive,5,True,0.8666666666666668
13,ieee5_full,48,144,624,-0.015156140079100933,0.1017033014325422,0.004852826241403818,-0.03334498405456543,3.2592132091522217,-0.004498707130551338,0.0,0.5118433833122253,0.035566624253988266,0.875,3.310783624649048,3.2497141361236572,3.2182252407073975,,,,,,,,,,,,,,,,,,,,,,,
