stage,variant,system,seed,validation_mean_u_ctrl,validation_safety,best_update,final_update,final_validation_u_ctrl,degradation_after_best,parameter_count_actor,observation_dependent,elapsed_seconds,trajectories,config
belief,B0,ieee5,101,0.8416666666666668,1.0,30,50,0.8916666666666666,0.04999999999999982,118734,False,5.675088243093342,600,"{""label"": ""B0"", ""architecture"": {""belief_encoder"": ""B0"", ""history_encoder"": ""H0"", ""hidden"": 128, ""particle_embedding"": 96, ""attention_heads"": 4, ""history_layers"": 2}, ""updates"": 50, ""trajectories_per_update"": 12, ""total_trajectory_budget"": 600, ""actor_learning_rate"": 0.0003, ""value_learning_rate"": 0.001, ""ppo_clip"": 0.2, ""ppo_epochs"": 5, ""target_kl"": 0.03, ""gamma"": 1.0, ""gae_lambda"": 0.95, ""entropy_strategy"": ""E0"", ""normalization_strategy"": ""A0"", ""grad_clip"": 1.0, ""validation_interval"": 10, ""patience"": 25}"
belief,B0,ieee5,202,0.8916666666666666,1.0,10,35,0.8916666666666666,0.0,118734,True,3.85337741416879,420,"{""label"": ""B0"", ""architecture"": {""belief_encoder"": ""B0"", ""history_encoder"": ""H0"", ""hidden"": 128, ""particle_embedding"": 96, ""attention_heads"": 4, ""history_layers"": 2}, ""updates"": 50, ""trajectories_per_update"": 12, ""total_trajectory_budget"": 600, ""actor_learning_rate"": 0.0003, ""value_learning_rate"": 0.001, ""ppo_clip"": 0.2, ""ppo_epochs"": 5, ""target_kl"": 0.03, ""gamma"": 1.0, ""gae_lambda"": 0.95, ""entropy_strategy"": ""E0"", ""normalization_strategy"": ""A0"", ""grad_clip"": 1.0, ""validation_interval"": 10, ""patience"": 25}"
belief,B0,ieee5,303,0.8500000000000001,1.0,1,26,0.8916666666666666,0.04166666666666652,118734,True,2.926328962901607,312,"{""label"": ""B0"", ""architecture"": {""belief_encoder"": ""B0"", ""history_encoder"": ""H0"", ""hidden"": 128, ""particle_embedding"": 96, ""attention_heads"": 4, ""history_layers"": 2}, ""updates"": 50, ""trajectories_per_update"": 12, ""total_trajectory_budget"": 600, ""actor_learning_rate"": 0.0003, ""value_learning_rate"": 0.001, ""ppo_clip"": 0.2, ""ppo_epochs"": 5, ""target_kl"": 0.03, ""gamma"": 1.0, ""gae_lambda"": 0.95, ""entropy_strategy"": ""E0"", ""normalization_strategy"": ""A0"", ""grad_clip"": 1.0, ""validation_interval"": 10, ""patience"": 25}"
belief,B1,ieee5,101,0.8750000000000001,1.0,1,26,0.875,-1.1102230246251565e-16,118734,False,2.8547779510263354,312,"{""label"": ""B1"", ""architecture"": {""belief_encoder"": ""B1"", ""history_encoder"": ""H0"", ""hidden"": 128, ""particle_embedding"": 96, ""attention_heads"": 4, ""history_layers"": 2}, ""updates"": 50, ""trajectories_per_update"": 12, ""total_trajectory_budget"": 600, ""actor_learning_rate"": 0.0003, ""value_learning_rate"": 0.001, ""ppo_clip"": 0.2, ""ppo_epochs"": 5, ""target_kl"": 0.03, ""gamma"": 1.0, ""gae_lambda"": 0.95, ""entropy_strategy"": ""E0"", ""normalization_strategy"": ""A0"", ""grad_clip"": 1.0, ""validation_interval"": 10, ""patience"": 25}"
belief,B1,ieee5,202,0.8916666666666666,1.0,20,45,0.875,-0.016666666666666607,118734,True,4.962505782023072,540,"{""label"": ""B1"", ""architecture"": {""belief_encoder"": ""B1"", ""history_encoder"": ""H0"", ""hidden"": 128, ""particle_embedding"": 96, ""attention_heads"": 4, ""history_layers"": 2}, ""updates"": 50, ""trajectories_per_update"": 12, ""total_trajectory_budget"": 600, ""actor_learning_rate"": 0.0003, ""value_learning_rate"": 0.001, ""ppo_clip"": 0.2, ""ppo_epochs"": 5, ""target_kl"": 0.03, ""gamma"": 1.0, ""gae_lambda"": 0.95, ""entropy_strategy"": ""E0"", ""normalization_strategy"": ""A0"", ""grad_clip"": 1.0, ""validation_interval"": 10, ""patience"": 25}"
belief,B1,ieee5,303,0.8500000000000001,1.0,1,26,0.8999999999999999,0.04999999999999982,118734,True,2.8046438491437584,312,"{""label"": ""B1"", ""architecture"": {""belief_encoder"": ""B1"", ""history_encoder"": ""H0"", ""hidden"": 128, ""particle_embedding"": 96, ""attention_heads"": 4, ""history_layers"": 2}, ""updates"": 50, ""trajectories_per_update"": 12, ""total_trajectory_budget"": 600, ""actor_learning_rate"": 0.0003, ""value_learning_rate"": 0.001, ""ppo_clip"": 0.2, ""ppo_epochs"": 5, ""target_kl"": 0.03, ""gamma"": 1.0, ""gae_lambda"": 0.95, ""entropy_strategy"": ""E0"", ""normalization_strategy"": ""A0"", ""grad_clip"": 1.0, ""validation_interval"": 10, ""patience"": 25}"
belief,B2,ieee5,101,0.8250000000000001,1.0,10,35,0.8833333333333333,0.05833333333333324,137454,True,5.948242607992142,420,"{""label"": ""B2"", ""architecture"": {""belief_encoder"": ""B2"", ""history_encoder"": ""H0"", ""hidden"": 128, ""particle_embedding"": 96, ""attention_heads"": 4, ""history_layers"": 2}, ""updates"": 50, ""trajectories_per_update"": 12, ""total_trajectory_budget"": 600, ""actor_learning_rate"": 0.0003, ""value_learning_rate"": 0.001, ""ppo_clip"": 0.2, ""ppo_epochs"": 5, ""target_kl"": 0.03, ""gamma"": 1.0, ""gae_lambda"": 0.95, ""entropy_strategy"": ""E0"", ""normalization_strategy"": ""A0"", ""grad_clip"": 1.0, ""validation_interval"": 10, ""patience"": 25}"
belief,B2,ieee5,202,0.8416666666666668,1.0,10,35,0.8916666666666666,0.04999999999999982,137454,True,5.888122950913385,420,"{""label"": ""B2"", ""architecture"": {""belief_encoder"": ""B2"", ""history_encoder"": ""H0"", ""hidden"": 128, ""particle_embedding"": 96, ""attention_heads"": 4, ""history_layers"": 2}, ""updates"": 50, ""trajectories_per_update"": 12, ""total_trajectory_budget"": 600, ""actor_learning_rate"": 0.0003, ""value_learning_rate"": 0.001, ""ppo_clip"": 0.2, ""ppo_epochs"": 5, ""target_kl"": 0.03, ""gamma"": 1.0, ""gae_lambda"": 0.95, ""entropy_strategy"": ""E0"", ""normalization_strategy"": ""A0"", ""grad_clip"": 1.0, ""validation_interval"": 10, ""patience"": 25}"
belief,B2,ieee5,303,0.8416666666666668,1.0,20,45,0.8333333333333335,-0.008333333333333304,137454,False,7.430432370863855,540,"{""label"": ""B2"", ""architecture"": {""belief_encoder"": ""B2"", ""history_encoder"": ""H0"", ""hidden"": 128, ""particle_embedding"": 96, ""attention_heads"": 4, ""history_layers"": 2}, ""updates"": 50, ""trajectories_per_update"": 12, ""total_trajectory_budget"": 600, ""actor_learning_rate"": 0.0003, ""value_learning_rate"": 0.001, ""ppo_clip"": 0.2, ""ppo_epochs"": 5, ""target_kl"": 0.03, ""gamma"": 1.0, ""gae_lambda"": 0.95, ""entropy_strategy"": ""E0"", ""normalization_strategy"": ""A0"", ""grad_clip"": 1.0, ""validation_interval"": 10, ""patience"": 25}"
belief,B0,ieee9,101,0.9766666666666666,1.0,1,26,0.9766666666666666,0.0,124902,False,152.55780186504126,312,"{""label"": ""B0"", ""architecture"": {""belief_encoder"": ""B0"", ""history_encoder"": ""H0"", ""hidden"": 128, ""particle_embedding"": 96, ""attention_heads"": 4, ""history_layers"": 2}, ""updates"": 50, ""trajectories_per_update"": 12, ""total_trajectory_budget"": 600, ""actor_learning_rate"": 0.0003, ""value_learning_rate"": 0.001, ""ppo_clip"": 0.2, ""ppo_epochs"": 5, ""target_kl"": 0.03, ""gamma"": 1.0, ""gae_lambda"": 0.95, ""entropy_strategy"": ""E0"", ""normalization_strategy"": ""A0"", ""grad_clip"": 1.0, ""validation_interval"": 10, ""patience"": 25}"
belief,B0,ieee9,202,0.9766666666666666,1.0,10,35,0.98,0.0033333333333334103,124902,False,4.068147955927998,420,"{""label"": ""B0"", ""architecture"": {""belief_encoder"": ""B0"", ""history_encoder"": ""H0"", ""hidden"": 128, ""particle_embedding"": 96, ""attention_heads"": 4, ""history_layers"": 2}, ""updates"": 50, ""trajectories_per_update"": 12, ""total_trajectory_budget"": 600, ""actor_learning_rate"": 0.0003, ""value_learning_rate"": 0.001, ""ppo_clip"": 0.2, ""ppo_epochs"": 5, ""target_kl"": 0.03, ""gamma"": 1.0, ""gae_lambda"": 0.95, ""entropy_strategy"": ""E0"", ""normalization_strategy"": ""A0"", ""grad_clip"": 1.0, ""validation_interval"": 10, ""patience"": 25}"
belief,B0,ieee9,303,0.9666666666666667,1.0,20,45,0.9733333333333333,0.006666666666666599,124902,False,5.328880653018132,540,"{""label"": ""B0"", ""architecture"": {""belief_encoder"": ""B0"", ""history_encoder"": ""H0"", ""hidden"": 128, ""particle_embedding"": 96, ""attention_heads"": 4, ""history_layers"": 2}, ""updates"": 50, ""trajectories_per_update"": 12, ""total_trajectory_budget"": 600, ""actor_learning_rate"": 0.0003, ""value_learning_rate"": 0.001, ""ppo_clip"": 0.2, ""ppo_epochs"": 5, ""target_kl"": 0.03, ""gamma"": 1.0, ""gae_lambda"": 0.95, ""entropy_strategy"": ""E0"", ""normalization_strategy"": ""A0"", ""grad_clip"": 1.0, ""validation_interval"": 10, ""patience"": 25}"
belief,B1,ieee9,101,0.9700000000000001,1.0,20,45,0.98,0.009999999999999898,124902,False,5.238834728952497,540,"{""label"": ""B1"", ""architecture"": {""belief_encoder"": ""B1"", ""history_encoder"": ""H0"", ""hidden"": 128, ""particle_embedding"": 96, ""attention_heads"": 4, ""history_layers"": 2}, ""updates"": 50, ""trajectories_per_update"": 12, ""total_trajectory_budget"": 600, ""actor_learning_rate"": 0.0003, ""value_learning_rate"": 0.001, ""ppo_clip"": 0.2, ""ppo_epochs"": 5, ""target_kl"": 0.03, ""gamma"": 1.0, ""gae_lambda"": 0.95, ""entropy_strategy"": ""E0"", ""normalization_strategy"": ""A0"", ""grad_clip"": 1.0, ""validation_interval"": 10, ""patience"": 25}"
belief,B1,ieee9,202,0.9766666666666666,1.0,30,50,0.9899999999999999,0.013333333333333308,124902,False,7.705463813152164,600,"{""label"": ""B1"", ""architecture"": {""belief_encoder"": ""B1"", ""history_encoder"": ""H0"", ""hidden"": 128, ""particle_embedding"": 96, ""attention_heads"": 4, ""history_layers"": 2}, ""updates"": 50, ""trajectories_per_update"": 12, ""total_trajectory_budget"": 600, ""actor_learning_rate"": 0.0003, ""value_learning_rate"": 0.001, ""ppo_clip"": 0.2, ""ppo_epochs"": 5, ""target_kl"": 0.03, ""gamma"": 1.0, ""gae_lambda"": 0.95, ""entropy_strategy"": ""E0"", ""normalization_strategy"": ""A0"", ""grad_clip"": 1.0, ""validation_interval"": 10, ""patience"": 25}"
belief,B1,ieee9,303,0.9733333333333333,1.0,1,26,0.9733333333333333,0.0,124902,True,3.663812840124592,312,"{""label"": ""B1"", ""architecture"": {""belief_encoder"": ""B1"", ""history_encoder"": ""H0"", ""hidden"": 128, ""particle_embedding"": 96, ""attention_heads"": 4, ""history_layers"": 2}, ""updates"": 50, ""trajectories_per_update"": 12, ""total_trajectory_budget"": 600, ""actor_learning_rate"": 0.0003, ""value_learning_rate"": 0.001, ""ppo_clip"": 0.2, ""ppo_epochs"": 5, ""target_kl"": 0.03, ""gamma"": 1.0, ""gae_lambda"": 0.95, ""entropy_strategy"": ""E0"", ""normalization_strategy"": ""A0"", ""grad_clip"": 1.0, ""validation_interval"": 10, ""patience"": 25}"
belief,B2,ieee9,101,0.9866666666666667,1.0,1,26,1.0066666666666666,0.019999999999999907,144390,True,6.254045209847391,312,"{""label"": ""B2"", ""architecture"": {""belief_encoder"": ""B2"", ""history_encoder"": ""H0"", ""hidden"": 128, ""particle_embedding"": 96, ""attention_heads"": 4, ""history_layers"": 2}, ""updates"": 50, ""trajectories_per_update"": 12, ""total_trajectory_budget"": 600, ""actor_learning_rate"": 0.0003, ""value_learning_rate"": 0.001, ""ppo_clip"": 0.2, ""ppo_epochs"": 5, ""target_kl"": 0.03, ""gamma"": 1.0, ""gae_lambda"": 0.95, ""entropy_strategy"": ""E0"", ""normalization_strategy"": ""A0"", ""grad_clip"": 1.0, ""validation_interval"": 10, ""patience"": 25}"
belief,B2,ieee9,202,0.9733333333333333,1.0,1,26,0.98,0.00666666666666671,144390,True,6.0946247689425945,312,"{""label"": ""B2"", ""architecture"": {""belief_encoder"": ""B2"", ""history_encoder"": ""H0"", ""hidden"": 128, ""particle_embedding"": 96, ""attention_heads"": 4, ""history_layers"": 2}, ""updates"": 50, ""trajectories_per_update"": 12, ""total_trajectory_budget"": 600, ""actor_learning_rate"": 0.0003, ""value_learning_rate"": 0.001, ""ppo_clip"": 0.2, ""ppo_epochs"": 5, ""target_kl"": 0.03, ""gamma"": 1.0, ""gae_lambda"": 0.95, ""entropy_strategy"": ""E0"", ""normalization_strategy"": ""A0"", ""grad_clip"": 1.0, ""validation_interval"": 10, ""patience"": 25}"
belief,B2,ieee9,303,0.9766666666666666,1.0,10,35,1.0233333333333334,0.046666666666666856,144390,False,7.7734748150687665,420,"{""label"": ""B2"", ""architecture"": {""belief_encoder"": ""B2"", ""history_encoder"": ""H0"", ""hidden"": 128, ""particle_embedding"": 96, ""attention_heads"": 4, ""history_layers"": 2}, ""updates"": 50, ""trajectories_per_update"": 12, ""total_trajectory_budget"": 600, ""actor_learning_rate"": 0.0003, ""value_learning_rate"": 0.001, ""ppo_clip"": 0.2, ""ppo_epochs"": 5, ""target_kl"": 0.03, ""gamma"": 1.0, ""gae_lambda"": 0.95, ""entropy_strategy"": ""E0"", ""normalization_strategy"": ""A0"", ""grad_clip"": 1.0, ""validation_interval"": 10, ""patience"": 25}"
