system,method,n,mean_u_ctrl,std_u_ctrl,median_u_ctrl,q10_u_ctrl,q90_u_ctrl,unique_u_ctrl_count,fraction_at_u_max,true_safety_rate,mean_true_u_req,mean_excess_control,median_excess_control,over_control_rate,under_control_rate,mean_runtime_per_rollout
ieee5,stage2_dad,1000,0.8553000000000001,0.08441177346792332,0.8625,0.725,0.9625,61,0.046,1.0,0.31904999999999994,0.53625,0.54375,1.0,0.0,0.004584895771200536
ieee5,previous_R2_dad,1000,0.8424400000000001,0.09282050635500758,0.8400000000000001,0.72,0.9800000000000001,27,0.085,1.0,0.31904999999999994,0.52339,0.5399999999999998,1.0,0.0,0.003786013052193448
ieee5,previous_reinforce_dad,1000,0.8493,0.12466719696856908,0.8400000000000001,0.66,1.0,29,0.278,1.0,0.31904999999999994,0.53025,0.55,1.0,0.0,0.003049594178190455
ieee5,fixed,1000,0.8432999999999999,0.15183909246304128,0.9,0.6,1.0,5,0.336,1.0,0.31904999999999994,0.52425,0.5,0.969,0.0,0.0001286124677862972
ieee5,myopic,1000,0.8578000000000001,0.13615858401143868,0.9,0.7,1.0,5,0.369,1.0,0.31904999999999994,0.53875,0.5499999999999999,1.0,0.0,1.838731339490274
ieee5,random,1000,0.8756,0.12475832637543677,0.9,0.7,1.0,5,0.341,1.0,0.31904999999999994,0.5565500000000001,0.55,0.998,0.0,0.00016702689905650914
ieee9,stage2_dad,1000,0.9712200000000003,0.029032939913140068,0.96,0.96,0.99,13,0.03,1.0,0.01272,0.9585000000000002,0.96,1.0,0.0,0.006778070082276827
ieee9,previous_R2_dad,1000,0.9817920000000001,0.0290344060727958,0.96,0.96,1.008,10,0.002,1.0,0.01272,0.9690720000000002,0.96,1.0,0.0,0.004921015741676092
ieee9,previous_reinforce_dad,1000,0.9745120000000003,0.02906698911136139,0.96,0.96,1.008,9,0.003,1.0,0.01272,0.9617920000000002,0.96,1.0,0.0,0.0020429572316352277
ieee9,fixed,1000,0.9791200000000002,0.054133405582874626,0.96,0.96,1.04,4,0.041,1.0,0.01272,0.9664,0.96,1.0,0.0,0.00011919364775530994
ieee9,myopic,1000,0.9643200000000004,0.02593332990574101,0.96,0.96,0.96,2,0.027,1.0,0.01272,0.9516000000000003,0.96,1.0,0.0,0.7520848503506277
ieee9,random,1000,0.9821600000000003,0.0597740278047247,0.96,0.96,1.04,4,0.048,1.0,0.01272,0.9694400000000003,0.96,1.0,0.0,0.0001396026771981269
