system,comparison,mean_paired_diff,median_paired_diff,std_error,ci95_low,ci95_high,fraction_a_lower,fraction_b_lower,fraction_tied,n,n_bootstrap
ieee5,stage2_dad - previous_R2_dad,0.012859999999999993,0.007499999999999951,0.0015080225568710943,0.009939999999999996,0.015814999999999996,0.331,0.555,0.114,1000,10000
ieee5,stage2_dad - previous_reinforce_dad,0.0060000000000000105,1.1102230246251565e-16,0.002225486528894366,0.0016500000000000087,0.010402625000000009,0.375,0.471,0.154,1000,10000
ieee5,stage2_dad - fixed,0.01200000000000002,1.1102230246251565e-16,0.004955198431091483,0.0023621875000000192,0.021937500000000013,0.354,0.494,0.152,1000,10000
ieee5,stage2_dad - myopic,-0.002499999999999977,0.0,0.003058846848739578,-0.008487812499999983,0.0035875000000000256,0.485,0.391,0.124,1000,10000
ieee5,stage2_dad - random,-0.02029999999999998,-0.025000000000000022,0.003566730865802615,-0.027262812499999987,-0.013249999999999982,0.548,0.325,0.127,1000,10000
ieee9,stage2_dad - previous_R2_dad,-0.01057200000000001,0.0,0.00103351292443054,-0.012570000000000012,-0.008522000000000009,0.444,0.138,0.418,1000,10000
ieee9,stage2_dad - previous_reinforce_dad,-0.003292000000000003,0.0,0.0007546789226394742,-0.004768050000000004,-0.0018280000000000017,0.231,0.181,0.588,1000,10000
ieee9,stage2_dad - fixed,-0.007899999999999997,0.0,0.001855433273559746,-0.011619999999999998,-0.004309999999999997,0.14,0.199,0.661,1000,10000
ieee9,stage2_dad - myopic,0.006900000000000006,0.0,0.0011458197514892582,0.004690000000000004,0.009170250000000005,0.027,0.265,0.708,1000,10000
ieee9,stage2_dad - random,-0.01094,0.0,0.0019819799808889716,-0.014799999999999999,-0.007119999999999996,0.145,0.224,0.631,1000,10000
