system,seed,unique_sequence_count,dominant_sequence,dominant_sequence_fraction,sequence_entropy,xi2_action_variation_across_y1_bins,xi3_action_variation_across_y1_y2_bins,mi_y1_xi2,mi_y1y2_xi3,observation_action_mutual_information,classification,n_bins,deterministic_policy_evaluation
ieee5,101,1,"[28, 11, 13]",1.0,-0.0,1,1,0.0,0.0,0.0,effectively nonadaptive,5,True
ieee5,202,1,"[16, 13, 24]",1.0,-0.0,1,1,0.0,0.0,0.0,effectively nonadaptive,5,True
ieee5,303,1,"[8, 13, 6]",1.0,-0.0,1,1,0.0,0.0,0.0,effectively nonadaptive,5,True
ieee5,404,2,"[23, 6, 8]",0.799,0.5017855967950093,1,2,0.0,0.4460320307015193,0.4460320307015193,observation-dependent adaptive,5,True
ieee5,505,1,"[11, 28, 3]",1.0,-0.0,1,1,0.0,0.0,0.0,effectively nonadaptive,5,True
ieee9,101,1,"[30, 3, 38]",1.0,-0.0,1,1,0.0,0.0,0.0,effectively nonadaptive,5,True
ieee9,202,1,"[15, 46, 45]",1.0,-0.0,1,1,0.0,0.0,0.0,effectively nonadaptive,5,True
ieee9,303,1,"[39, 1, 35]",1.0,-0.0,1,1,0.0,0.0,0.0,effectively nonadaptive,5,True
ieee9,404,1,"[18, 26, 13]",1.0,-0.0,1,1,0.0,0.0,0.0,effectively nonadaptive,5,True
ieee9,505,1,"[0, 28, 11]",1.0,-0.0,1,1,0.0,0.0,0.0,effectively nonadaptive,5,True
