system,stage,configuration,seed,epochs,best_epoch,final_epoch,best_validation_u_ctrl,final_validation_u_ctrl,best_validation_safety,best_checkpoint,entropy_schedule,baseline,advantage_normalization,credit,learning_rate,max_potential_telescope_error,gradient_reached_policy,initial_policy_entropy,quarter_policy_entropy,final_policy_entropy,initial_entropy_t1,initial_entropy_t2,initial_entropy_t3,final_entropy_t1,final_entropy_t2,final_entropy_t3,mean_gradient_norm,max_gradient_norm,total_clipping_events,mean_advantage_mean,mean_advantage_std,mean_terminal_cost_unique_count,mean_terminal_cost_modal_fraction,mean_terminal_cost_tied_fraction
ieee5,entropy_study,E0_current,101,500,60,499,0.8250000000000001,0.9083333333333333,1.0,/home/grads/g/g.lin/Documents/dad_mocu_kuramoto_v4/experiments/dad_rl_training_improvement/ieee5_T3/entropy_study/E0_current/seed_101/best_checkpoint.pt,current,ema,False,terminal,0.001,0.0,True,3.3650646209716797,3.2834129333496094,2.7679383754730225,3.40008282661438,3.3650858402252197,3.330024480819702,3.3966517448425293,2.247445583343506,2.659717559814453,0.16122498103670244,0.7897364497184753,0,-0.0003015684897139425,0.1210651170205997,3.757142857142857,0.44932142857142854,0.7665
ieee5,entropy_study,E0_current,202,500,160,499,0.8416666666666668,0.8916666666666666,1.0,/home/grads/g/g.lin/Documents/dad_mocu_kuramoto_v4/experiments/dad_rl_training_improvement/ieee5_T3/entropy_study/E0_current/seed_202/best_checkpoint.pt,current,ema,False,terminal,0.001,0.0,True,3.3645951747894287,3.247319459915161,3.157892942428589,3.399895668029785,3.364454507827759,3.329434394836426,3.3971171379089355,3.009169578552246,3.0673940181732178,0.1623929143236684,0.6982489824295044,0,-0.00030331919128964447,0.12124238886736172,3.7194285714285718,0.45128571428571435,0.7752142857142857
ieee5,entropy_study,E0_current,303,500,325,499,0.85,0.8666666666666667,1.0,/home/grads/g/g.lin/Documents/dad_mocu_kuramoto_v4/experiments/dad_rl_training_improvement/ieee5_T3/entropy_study/E0_current/seed_303/best_checkpoint.pt,current,ema,False,terminal,0.001,0.0,True,3.3649749755859375,3.3348560333251953,3.0625226497650146,3.399794340133667,3.365110158920288,3.330019474029541,3.396425724029541,2.8829264640808105,2.908216953277588,0.1447495021236661,0.6329668760299683,0,-0.00028044428985616004,0.12094321423472856,3.6834285714285717,0.4566785714285714,0.7759285714285713
ieee5,entropy_study,E0_current,404,500,25,499,0.8500000000000001,0.8666666666666667,1.0,/home/grads/g/g.lin/Documents/dad_mocu_kuramoto_v4/experiments/dad_rl_training_improvement/ieee5_T3/entropy_study/E0_current/seed_404/best_checkpoint.pt,current,ema,False,terminal,0.001,0.0,True,3.3650355339050293,3.3144750595092773,1.316491723060608,3.39981746673584,3.365176200866699,3.330113649368286,3.39548659324646,0.058217067271471024,0.4957718849182129,0.16167199354778444,1.2753468751907349,1,-0.00031005288804089137,0.12143452198838704,3.741714285714286,0.44992857142857146,0.7664285714285715
ieee5,entropy_study,E0_current,505,500,70,499,0.8583333333333334,0.8666666666666667,1.0,/home/grads/g/g.lin/Documents/dad_mocu_kuramoto_v4/experiments/dad_rl_training_improvement/ieee5_T3/entropy_study/E0_current/seed_505/best_checkpoint.pt,current,ema,False,terminal,0.001,0.0,True,3.364713668823242,3.3608100414276123,1.2715848684310913,3.4000487327575684,3.3645994663238525,3.3294928073883057,3.3974764347076416,0.3342941403388977,0.082984060049057,0.14862651980295777,0.6732418537139893,0,-0.0002837398011125307,0.12006229518143405,3.732,0.453,0.7651785714285715
ieee5,entropy_study,E1_slow_decay,101,500,65,499,0.8583333333333334,0.8750000000000001,1.0,/home/grads/g/g.lin/Documents/dad_mocu_kuramoto_v4/experiments/dad_rl_training_improvement/ieee5_T3/entropy_study/E1_slow_decay/seed_101/best_checkpoint.pt,slow_decay,ema,False,terminal,0.001,0.0,True,3.3650646209716797,3.318451404571533,2.6117043495178223,3.40008282661438,3.3650858402252197,3.330024480819702,3.3971402645111084,2.224292039871216,2.2136807441711426,0.15394488546012766,0.9722688794136047,0,-0.0002940699318948225,0.12126534703103184,3.7357142857142858,0.4502142857142858,0.7687857142857142
ieee5,entropy_study,E1_slow_decay,202,500,460,499,0.8333333333333335,0.8916666666666666,1.0,/home/grads/g/g.lin/Documents/dad_mocu_kuramoto_v4/experiments/dad_rl_training_improvement/ieee5_T3/entropy_study/E1_slow_decay/seed_202/best_checkpoint.pt,slow_decay,ema,False,terminal,0.001,0.0,True,3.3645951747894287,3.282869815826416,3.1959304809570312,3.399895668029785,3.364454507827759,3.329434394836426,3.397315740585327,3.0496902465820312,3.1407854557037354,0.15045163546369542,0.7204113006591797,0,-0.0003073119750079758,0.12064183318962733,3.716857142857143,0.45257142857142857,0.7743214285714287
ieee5,entropy_study,E1_slow_decay,303,500,165,499,0.8500000000000001,0.8916666666666666,1.0,/home/grads/g/g.lin/Documents/dad_mocu_kuramoto_v4/experiments/dad_rl_training_improvement/ieee5_T3/entropy_study/E1_slow_decay/seed_303/best_checkpoint.pt,slow_decay,ema,False,terminal,0.001,0.0,True,3.3649749755859375,3.3290271759033203,3.323779344558716,3.399794340133667,3.365110158920288,3.330019474029541,3.396912097930908,3.298809289932251,3.2756173610687256,0.13215078162242258,0.46266970038414,0,-0.00027951575054710416,0.12068848051961467,3.6894285714285715,0.45625,0.7739642857142857
ieee5,entropy_study,E1_slow_decay,404,500,25,499,0.8500000000000001,0.8999999999999999,1.0,/home/grads/g/g.lin/Documents/dad_mocu_kuramoto_v4/experiments/dad_rl_training_improvement/ieee5_T3/entropy_study/E1_slow_decay/seed_404/best_checkpoint.pt,slow_decay,ema,False,terminal,0.001,0.0,True,3.3650355339050293,3.3217389583587646,2.8655927181243896,3.39981746673584,3.365176200866699,3.330113649368286,3.3957667350769043,2.467698574066162,2.7333130836486816,0.14635841204013145,0.5414737462997437,0,-0.00031122016074513017,0.12118295052981459,3.7357142857142858,0.4495,0.7684285714285715
ieee5,entropy_study,E1_slow_decay,505,500,420,499,0.8583333333333334,0.8583333333333334,1.0,/home/grads/g/g.lin/Documents/dad_mocu_kuramoto_v4/experiments/dad_rl_training_improvement/ieee5_T3/entropy_study/E1_slow_decay/seed_505/best_checkpoint.pt,slow_decay,ema,False,terminal,0.001,0.0,True,3.364713668823242,3.3625378608703613,3.1013054847717285,3.4000487327575684,3.3645994663238525,3.3294928073883057,3.397601842880249,2.9063425064086914,2.9999728202819824,0.13512482648289628,0.5605044960975647,0,-0.00027171855333136386,0.11985853022121873,3.711142857142857,0.45428571428571424,0.7692142857142856
