method,theta_test_id,rollout_id,u_ctrl,u_req_true,excess_control,safe_total,runtime_s,exact_tie_count,near_tie_count,average_co_tied_actions,sequence,y_obs
fixed,0,0,1.0,0.1,0.9,True,0.00041603995487093925,0,0,nan,18 19 25,3.330453392 4.20818222 2.044282814
fixed,1,1,0.8,0.1,0.7000000000000001,True,0.00013263290748000145,0,0,nan,18 19 25,4.708509781 6.764714851 2.538155323
fixed,2,2,0.9,0.3,0.6000000000000001,True,0.00012127403169870377,0,0,nan,18 19 25,3.802285608 4.337167417 1.667126335
fixed,3,3,0.9,0.5,0.4,True,0.00011970102787017822,0,0,nan,18 19 25,6.963962525 4.610384756 2.319936978
fixed,4,4,1.0,0.4,0.6,True,0.00012194807641208172,0,0,nan,18 19 25,3.099120879 2.272463443 1.420876316
fixed,5,5,0.6,0.25,0.35,True,0.0001244531013071537,0,0,nan,18 19 25,6.565189289 2.492211634 1.658614575
fixed,6,6,0.9,0.6,0.30000000000000004,True,0.000126152066513896,0,0,nan,18 19 25,3.483533096 3.134828093 1.844797063
fixed,7,7,1.0,0.6,0.4,True,0.00012377509847283363,0,0,nan,18 19 25,4.922015459 6.381841809 1.596954681
fixed,8,8,0.6,0.1,0.5,True,0.00012424588203430176,0,0,nan,18 19 25,6.251732234 2.699056849 1.92626382
fixed,9,9,0.8,0.35,0.45000000000000007,True,0.00012644403614103794,0,0,nan,18 19 25,7.389252712 2.688562448 2.11690363
fixed,10,10,1.0,0.15,0.85,True,0.0001451300922781229,0,0,nan,18 19 25,3.482126134 4.796466682 1.68289257
fixed,11,11,1.0,0.1,0.9,True,0.00012698001228272915,0,0,nan,18 19 25,3.343808622 3.588631533 3.472021742
fixed,12,12,0.7,0.6,0.09999999999999998,True,0.0001279159914702177,0,0,nan,18 19 25,3.858660742 2.701611995 2.636228719
fixed,13,13,0.6,0.45,0.14999999999999997,True,0.00012418092228472233,0,0,nan,18 19 25,3.527204928 2.216290706 2.463082089
fixed,14,14,0.9,0.3,0.6000000000000001,True,0.00011882791295647621,0,0,nan,18 19 25,4.968413737 3.297180232 3.18612984
fixed,15,15,1.0,0.2,0.8,True,0.00011781509965658188,0,0,nan,18 19 25,3.512116895 2.30153606 3.945097783
fixed,0,16,1.0,0.1,0.9,True,0.00011989683844149113,0,0,nan,18 19 25,3.286812344 4.027210017 2.005366969
fixed,1,17,0.8,0.1,0.7000000000000001,True,0.00011741393245756626,0,0,nan,18 19 25,4.607355826 6.807410352 2.553141637
fixed,2,18,1.0,0.3,0.7,True,0.00011915387585759163,0,0,nan,18 19 25,3.536157481 4.419439991 1.44621897
fixed,3,19,0.9,0.5,0.4,True,0.00011872290633618832,0,0,nan,18 19 25,6.892385587 4.648839539 2.208750362
fixed,4,20,0.6,0.4,0.19999999999999996,True,0.00012550479732453823,0,0,nan,18 19 25,2.897088766 2.07429461 1.582312145
fixed,5,21,0.6,0.25,0.35,True,0.00012460211291909218,0,0,nan,18 19 25,6.714495667 2.229505798 1.735985854
fixed,6,22,0.7,0.6,0.09999999999999998,True,0.00012361095286905766,0,0,nan,18 19 25,3.540852814 2.961826492 1.98656027
fixed,7,23,1.0,0.6,0.4,True,0.00014039012603461742,0,0,nan,18 19 25,4.861975358 6.302312507 1.573478329
fixed,8,24,0.6,0.1,0.5,True,0.0001489680726081133,0,0,nan,18 19 25,6.067777807 2.4582851 1.765780823
fixed,9,25,0.8,0.35,0.45000000000000007,True,0.00012351502664387226,0,0,nan,18 19 25,7.197338 2.787058699 2.330989835
fixed,10,26,1.0,0.15,0.85,True,0.00012533413246273994,0,0,nan,18 19 25,3.520949142 4.975328388 1.770149761
fixed,11,27,1.0,0.1,0.9,True,0.0001261499710381031,0,0,nan,18 19 25,3.268054756 3.613571152 3.615638501
fixed,12,28,0.6,0.6,0.0,True,0.00012259394861757755,0,0,nan,18 19 25,3.844040212 2.463229109 2.450096863
fixed,13,29,0.6,0.45,0.14999999999999997,True,0.00012170011177659035,0,0,nan,18 19 25,3.504481308 2.279128627 2.392787169
fixed,14,30,0.9,0.3,0.6000000000000001,True,0.00012289592996239662,0,0,nan,18 19 25,4.829574843 3.337203716 3.19776634
fixed,15,31,1.0,0.2,0.8,True,0.00013135001063346863,0,0,nan,18 19 25,3.396176704 2.422486319 3.955047117
fixed,0,32,1.0,0.1,0.9,True,0.00012670201249420643,0,0,nan,18 19 25,3.156842461 4.112463796 2.021651275
fixed,1,33,0.8,0.1,0.7000000000000001,True,0.0001266258768737316,0,0,nan,18 19 25,4.564909526 6.907434668 2.682651052
fixed,2,34,0.9,0.3,0.6000000000000001,True,0.0001222561113536358,0,0,nan,18 19 25,3.663805994 4.306730573 1.683121245
fixed,3,35,0.9,0.5,0.4,True,0.00016067991964519024,0,0,nan,18 19 25,7.013585789 4.609161106 2.210126064
fixed,4,36,0.6,0.4,0.19999999999999996,True,0.00014501484110951424,0,0,nan,18 19 25,2.861762739 2.084975775 1.548478098
fixed,5,37,0.6,0.25,0.35,True,0.00012310710735619068,0,0,nan,18 19 25,6.678743434 2.238971413 1.714715647
fixed,6,38,0.7,0.6,0.09999999999999998,True,0.00012035784311592579,0,0,nan,18 19 25,3.446545657 2.971283541 1.926963479
fixed,7,39,1.0,0.6,0.4,True,0.00012381910346448421,0,0,nan,18 19 25,4.85985818 6.213768905 1.607874031
fixed,8,40,0.6,0.1,0.5,True,0.00012987200170755386,0,0,nan,18 19 25,6.295104513 2.798806568 2.004174132
fixed,9,41,0.8,0.35,0.45000000000000007,True,0.00012943893671035767,0,0,nan,18 19 25,7.262305021 2.810177421 2.124255303
fixed,10,42,1.0,0.15,0.85,True,0.00012772902846336365,0,0,nan,18 19 25,3.526376561 4.880869718 1.702610268
fixed,11,43,1.0,0.1,0.9,True,0.00012936582788825035,0,0,nan,18 19 25,3.370764695 3.585229781 3.663247347
fixed,12,44,0.7,0.6,0.09999999999999998,True,0.00012822682037949562,0,0,nan,18 19 25,3.808826747 2.64442197 2.554078958
fixed,13,45,0.6,0.45,0.14999999999999997,True,0.00012793904170393944,0,0,nan,18 19 25,3.479350566 2.403543367 2.454086876
fixed,14,46,0.9,0.3,0.6000000000000001,True,0.00013643899001181126,0,0,nan,18 19 25,4.842803658 3.325235103 3.227842386
fixed,15,47,1.0,0.2,0.8,True,0.00013192510232329369,0,0,nan,18 19 25,3.550997042 2.299243375 3.886665757
