method,theta_test_id,rollout_id,u_ctrl,u_req_true,excess_control,safe_total,runtime_s,exact_tie_count,near_tie_count,average_co_tied_actions,sequence,y_obs
random,0,0,0.9,0.1,0.8,True,0.0011900181416422129,0,0,nan,20 7 10,1.793307487 2.32802253 1.770197468
random,1,1,0.9,0.1,0.8,True,0.00018180790357291698,0,0,nan,17 7 29,1.864828802 1.781184398 7.774719611
random,2,2,0.9,0.3,0.6000000000000001,True,0.00016855797730386257,0,0,nan,10 26 6,1.313626636 1.814471089 2.171152024
random,3,3,1.0,0.5,0.5,True,0.00016967486590147018,0,0,nan,20 24 1,1.98164158 4.888676863 3.418282585
random,4,4,0.7,0.4,0.29999999999999993,True,0.0001704101450741291,0,0,nan,13 10 27,2.801507227 1.177293342 1.927257006
random,5,5,0.6,0.25,0.35,True,0.0001781920436769724,0,0,nan,5 19 28,1.361814251 2.492211634 7.04304401
random,6,6,1.0,0.6,0.4,True,0.0001858309842646122,0,0,nan,27 1 6,1.585446108 3.537643104 3.660162943
random,7,7,1.0,0.6,0.4,True,0.0001794567797333002,0,0,nan,1 21 24,3.822450193 3.194494521 6.590219555
random,8,8,0.8,0.1,0.7000000000000001,True,0.00017970288172364235,0,0,nan,7 19 11,1.464556773 2.699056849 1.523538649
random,9,9,0.9,0.35,0.55,True,0.00017453799955546856,0,0,nan,21 26 2,2.036538758 1.955311154 1.29324962
random,10,10,0.7,0.15,0.5499999999999999,True,0.0001741950400173664,0,0,nan,6 18 27,1.561165367 3.532105185 2.818062187
random,11,11,0.7,0.1,0.6,True,0.0001717119012027979,0,0,nan,16 22 11,1.29689334 1.199935443 1.521882038
random,12,12,0.9,0.6,0.30000000000000004,True,0.0001658641267567873,0,0,nan,25 7 27,2.543615413 1.233518146 1.504480843
random,13,13,1.0,0.45,0.55,True,0.0001663658767938614,0,0,nan,19 21 27,2.232631564 2.657730988 1.592463028
random,14,14,0.9,0.3,0.6000000000000001,True,0.0001671300269663334,0,0,nan,27 28 16,1.29070561 5.120764401 1.953983324
random,15,15,0.7,0.2,0.49999999999999994,True,0.00016711396165192127,0,0,nan,11 0 1,1.742490227 2.724121504 1.938861406
random,0,16,0.8,0.1,0.7000000000000001,True,0.0001645861193537712,0,0,nan,6 3 18,1.558876061 3.011727071 3.2491545
random,1,17,0.7,0.1,0.6,True,0.0001653709914535284,0,0,nan,6 16 7,1.65511565 1.735252751 1.823818685
random,2,18,0.8,0.3,0.5,True,0.00016007991507649422,0,0,nan,17 26 8,2.046931179 1.79439536 3.528454766
random,3,19,1.0,0.5,0.5,True,0.00015718885697424412,0,0,nan,14 9 12,4.545405443 4.464402296 1.779612248
random,4,20,1.0,0.4,0.6,True,0.00015901192091405392,0,0,nan,3 19 26,2.905601474 2.07429461 2.096902475
random,5,21,0.6,0.25,0.35,True,0.00016319192945957184,0,0,nan,14 16 13,2.272202041 1.751117237 6.360803266
random,6,22,1.0,0.6,0.4,True,0.000169381033629179,0,0,nan,6 4 26,3.600181813 2.850949272 2.851980062
random,7,23,0.9,0.6,0.30000000000000004,True,0.00016014580614864826,0,0,nan,27 24 19,1.746084433 6.456847494 6.37080582
random,8,24,0.6,0.1,0.5,True,0.00015756301581859589,0,0,nan,26 28 24,1.447710039 6.553328518 2.687640407
random,9,25,0.9,0.35,0.55,True,0.00015585101209580898,0,0,nan,12 16 21,1.391529666 2.129489275 2.044454504
random,10,26,0.9,0.15,0.75,True,0.0001593229826539755,0,0,nan,24 20 27,4.96872657 1.569796869 2.853226412
random,11,27,0.9,0.1,0.8,True,0.00015796511434018612,0,0,nan,25 15 14,3.625708197 3.094715061 3.528850611
random,12,28,0.9,0.6,0.30000000000000004,True,0.00016417098231613636,0,0,nan,22 15 2,1.460997613 2.125952838 1.123699919
random,13,29,1.0,0.45,0.55,True,0.00015912996605038643,0,0,nan,5 2 4,1.853362385 1.210549953 2.153261142
random,14,30,0.9,0.3,0.6000000000000001,True,0.0001653139479458332,0,0,nan,4 19 9,3.215513848 3.337203716 3.141316499
random,15,31,0.8,0.2,0.6000000000000001,True,0.00016787508502602577,0,0,nan,26 29 27,1.572491516 2.691919644 1.318625372
random,0,32,0.9,0.1,0.8,True,0.0001644887961447239,0,0,nan,9 1 2,3.945676576 1.613384292 2.296143269
random,1,33,0.6,0.1,0.5,True,0.00017233984544873238,0,0,nan,16 5 2,1.751362988 2.160661223 1.711806143
random,2,34,0.9,0.3,0.6000000000000001,True,0.00016949092969298363,0,0,nan,26 11 7,1.8267731 2.034198869 1.778852248
random,3,35,1.0,0.5,0.5,True,0.0001748381182551384,0,0,nan,21 15 29,3.080070868 1.828696426 5.01791783
random,4,36,0.9,0.4,0.5,True,0.0001714620739221573,0,0,nan,20 6 11,1.363159356 2.52109318 2.675153815
random,5,37,0.6,0.25,0.35,True,0.00017035496421158314,0,0,nan,27 11 8,2.755818957 1.898005273 6.198653517
random,6,38,1.0,0.6,0.4,True,0.00018768594600260258,0,0,nan,14 5 17,2.817532899 1.620686273 1.315901044
random,7,39,1.0,0.6,0.4,True,0.0001655369997024536,0,0,nan,27 11 29,1.862435045 3.423395975 6.951104489
random,8,40,0.8,0.1,0.7000000000000001,True,0.00015891902148723602,0,0,nan,0 16 4,1.479573934 1.585504176 2.446988875
random,9,41,1.0,0.35,0.65,True,0.00015927711501717567,0,0,nan,7 2 15,1.337977283 1.412860752 1.723507871
random,10,42,0.8,0.15,0.65,True,0.00015791691839694977,0,0,nan,21 19 25,1.540304053 4.880869718 1.702610268
random,11,43,0.9,0.1,0.8,True,0.0001596398651599884,0,0,nan,15 27 16,2.977192735 1.295751966 1.367084878
random,12,44,1.0,0.6,0.4,True,0.00015988806262612343,0,0,nan,1 16 6,3.696985126 3.270194235 3.627098088
random,13,45,1.0,0.45,0.55,True,0.00015702005475759506,0,0,nan,23 26 10,3.53232701 2.217210473 1.856306492
random,14,46,0.9,0.3,0.6000000000000001,True,0.00015781098045408726,0,0,nan,23 10 26,5.160043748 2.662109569 1.634715871
random,15,47,1.0,0.2,0.8,True,0.00015581399202346802,0,0,nan,19 15 18,2.261157808 3.262409662 3.411813266
random,0,48,0.7,0.1,0.6,True,0.00015452085062861443,0,0,nan,1 11 21,1.518855504 1.533548642 1.556143616
random,1,49,0.9,0.1,0.8,True,0.0001539981458336115,0,0,nan,1 29 14,1.909349105 7.457792183 6.662008655
random,2,50,0.9,0.3,0.6000000000000001,True,0.00016235397197306156,0,0,nan,10 5 24,1.240461234 1.196546631 4.480629467
random,3,51,0.9,0.5,0.4,True,0.0001547839492559433,0,0,nan,23 28 11,6.941989793 7.341305698 3.331059323
random,4,52,0.9,0.4,0.5,True,0.0001574109774082899,0,0,nan,6 28 19,2.633920414 3.112199027 2.364483157
random,5,53,0.9,0.25,0.65,True,0.00015835696831345558,0,0,nan,0 17 22,1.394897897 2.47046068 2.564743365
random,6,54,1.0,0.6,0.4,True,0.000158051960170269,0,0,nan,10 11 23,1.529233368 3.478976563 3.529962751
random,7,55,1.0,0.6,0.4,True,0.00016716192476451397,0,0,nan,11 8 22,3.582255813 4.830418007 1.660086143
random,8,56,0.9,0.1,0.8,True,0.00017158896662294865,0,0,nan,20 2 3,1.719834102 1.549208453 5.934639854
random,9,57,0.9,0.35,0.55,True,0.00017954385839402676,0,0,nan,4 1 14,2.526660482 2.19998477 2.604639569
random,10,58,0.7,0.15,0.5499999999999999,True,0.0001719349529594183,0,0,nan,18 1 16,3.581460591 1.616870184 1.621038196
random,11,59,0.9,0.1,0.8,True,0.00016949581913650036,0,0,nan,25 26 9,3.61902155 1.412395385 3.383772322
random,12,60,1.0,0.6,0.4,True,0.0001730578951537609,0,0,nan,7 9 1,1.119915803 2.431643094 3.692473178
random,13,61,0.6,0.45,0.14999999999999997,True,0.00020978599786758423,0,0,nan,10 4 9,2.09887141 2.135372567 2.17504167
random,14,62,0.9,0.3,0.6000000000000001,True,0.00016880594193935394,0,0,nan,6 25 27,2.20675136 3.26406229 1.500586403
random,15,63,0.9,0.2,0.7,True,0.00016802502796053886,0,0,nan,10 2 12,2.98238588 1.100610713 0.9539190719
random,0,64,0.9,0.1,0.8,True,0.00016121496446430683,0,0,nan,9 18 11,3.889932013 3.089984859 1.515579435
random,1,65,0.8,0.1,0.7000000000000001,True,0.00016048690304160118,0,0,nan,8 29 5,4.389750664 7.716234512 1.96366136
random,2,66,0.8,0.3,0.5,True,0.00016746693290770054,0,0,nan,24 29 1,4.598889869 4.680728341 2.117353489
random,3,67,0.6,0.5,0.09999999999999998,True,0.00016140984371304512,0,0,nan,3 18 12,6.482663892 6.951855985 1.862960096
random,4,68,1.0,0.4,0.6,True,0.00015935883857309818,0,0,nan,16 19 4,2.430955418 2.308514606 2.036777967
