system,seed,epoch,train_mean_u_ctrl,validation_mean_u_ctrl,validation_safety,best_validation_mean_u_ctrl,policy_entropy,entropy_t1,entropy_t2,entropy_t3,entropy_coefficient,gradient_norm,gradient_norm_max,policy_gradient_norm,policy_gradient_norm_max,clipping_events,advantage_mean,advantage_std,unique_sequences,dominant_sequence,dominant_sequence_fraction,terminal_cost_unique_count,terminal_cost_modal_fraction,terminal_cost_tied_fraction,potential_telescope_max_error,loss
ieee5,303,0,0.8769230769230771,0.9333333333333335,1.0,0.9333333333333335,3.3649492263793945,3.399811029434204,3.3650598526000977,3.329976797103882,0.01,0.07649035432509013,0.14674659073352814,0.07649035432509013,0.14674659073352814,0,-2.149205937861928e-10,0.093455735651349,52,23 10 26,0.019230769230769232,3.2857142857142856,0.5178571428571429,0.8035714285714286,0.0,-0.10131875957761492
ieee5,303,1,0.8634615384615384,,,0.9333333333333335,3.364924192428589,3.399808168411255,3.3650190830230713,3.3299460411071777,0.00997995991983968,0.07244578855378288,0.10489872843027115,0.0724457890859672,0.10489872843027115,0,-5.552115348669199e-10,0.10307764077408656,52,9 0 27,0.019230769230769232,3.7142857142857144,0.48214285714285715,0.8392857142857143,0.0,-0.0996466970869473
ieee5,303,2,0.8711538461538461,,,0.9333333333333335,3.3649022579193115,3.3998067378997803,3.3649837970733643,3.329916477203369,0.009959919839679358,0.07856654641883713,0.12864366173744202,0.07856655014412743,0.1286436766386032,0,-3.9402108926039475e-10,0.10174755128401594,52,22 2 13,0.019230769230769232,3.5714285714285716,0.42857142857142855,0.8035714285714286,0.0,-0.10031582308667046
ieee5,303,3,0.8557692307692307,,,0.9333333333333335,3.3649463653564453,3.3998003005981445,3.3650572299957275,3.3299827575683594,0.009939879759519038,0.08923000523022243,0.17362602055072784,0.0892300046980381,0.17362602055072784,0,-1.8507051162230662e-10,0.10778956205735483,52,12 5 15,0.019230769230769232,4.0,0.375,0.6964285714285714,0.0,-0.09946169917072568
ieee5,303,4,0.8903846153846153,,,0.9333333333333335,3.3649957180023193,3.3997981548309326,3.36513614654541,3.3300528526306152,0.009919839679358718,0.06201389538390296,0.1302817165851593,0.06201389485171863,0.1302817165851593,0,-3.641710067406679e-10,0.0830122016133642,52,14 15 5,0.019230769230769232,3.2857142857142856,0.4642857142857143,0.8214285714285714,0.0,-0.10264412207262856
ieee5,303,5,0.8846153846153846,0.8916666666666666,1.0,0.8916666666666666,3.364988327026367,3.3997950553894043,3.365118980407715,3.330051898956299,0.009899799599198397,0.06953380283500467,0.10104004293680191,0.06953380336718899,0.10104004293680191,0,-2.805907756854326e-10,0.09719627222162742,52,3 24 23,0.019230769230769232,3.5714285714285716,0.42857142857142855,0.8035714285714286,0.0,-0.0982893630862236
ieee5,303,6,0.8634615384615384,,,0.8916666666666666,3.3649330139160156,3.399794101715088,3.365042209625244,3.3299636840820312,0.009879759519038077,0.09102069054331098,0.16232582926750183,0.0910206910754953,0.16232582926750183,0,4.7760132031563e-11,0.10904597930496447,52,12 14 24,0.019230769230769232,3.7142857142857144,0.4107142857142857,0.7857142857142857,0.0,-0.1003871698464666
ieee5,303,7,0.8673076923076923,,,0.8916666666666666,3.3649072647094727,3.3997914791107178,3.364999294281006,3.3299317359924316,0.009859719438877755,0.0656720767063754,0.10984447598457336,0.0656720767063754,0.10984447598457336,0,-1.9104052883793343e-10,0.09268086971493227,52,12 16 26,0.019230769230769232,3.4285714285714284,0.5535714285714286,0.7678571428571429,0.0,-0.10064125273908887
ieee5,303,8,0.8442307692307692,,,0.8916666666666666,3.3647773265838623,3.3997864723205566,3.364807605743408,3.329737424850464,0.009839679358717435,0.09301122490848814,0.15461836755275726,0.09301122703722545,0.15461836755275726,0,2.6865074267754186e-10,0.11719204018136899,52,4 2 7,0.019230769230769232,3.857142857142857,0.39285714285714285,0.8214285714285714,0.0,-0.10109523577349526
ieee5,303,9,0.8365384615384616,,,0.8916666666666666,3.364682674407959,3.399779796600342,3.3646605014801025,3.3296079635620117,0.009819639278557115,0.09608665587646621,0.16461917757987976,0.09608665587646621,0.16461917757987976,0,-3.522309737327771e-10,0.12312699259751893,52,7 9 20,0.019230769230769232,4.285714285714286,0.39285714285714285,0.6607142857142857,0.0,-0.09792867941515786
ieee5,303,10,0.8750000000000001,0.8916666666666666,1.0,0.8916666666666666,3.3645777702331543,3.399779796600342,3.3645098209381104,3.329444408416748,0.009799599198396793,0.0799637543303626,0.09182609617710114,0.07996375113725662,0.09182608872652054,0,-1.7910049689756482e-11,0.09983961516385809,52,12 6 27,0.019230769230769232,4.0,0.4107142857142857,0.7678571428571429,0.0,-0.09906193720442909
ieee5,303,11,0.8442307692307692,,,0.8916666666666666,3.3645591735839844,3.399777412414551,3.364492893218994,3.329406976699829,0.009779559118236473,0.06755633332899638,0.08437172323465347,0.06755633439336504,0.08437173068523407,0,-1.3134036308679825e-10,0.09392611669652762,51,27 18 12,0.038461538461538464,3.857142857142857,0.4642857142857143,0.7321428571428571,0.0,-0.0973216827426638
ieee5,303,12,0.8576923076923075,,,0.8916666666666666,3.3645575046539307,3.399779796600342,3.364492177963257,3.3294003009796143,0.009759519038076153,0.06728695412831646,0.11578460782766342,0.06728695412831646,0.11578460782766342,0,2.4477067595007895e-10,0.10292205275376215,52,23 26 15,0.019230769230769232,3.5714285714285716,0.5535714285714286,0.7857142857142857,0.0,-0.09874109072344643
ieee5,303,13,0.8538461538461537,,,0.8916666666666666,3.3645966053009033,3.3997819423675537,3.364534854888916,3.3294732570648193,0.009739478957915831,0.08592947891780309,0.11202075332403183,0.08592947785343442,0.11202076077461243,0,-1.5522042910257974e-10,0.10507933561244982,52,14 18 28,0.019230769230769232,3.5714285714285716,0.5,0.8214285714285714,0.0,-0.09809578210115433
ieee5,303,14,0.8384615384615384,,,0.8916666666666666,3.3646857738494873,3.39978289604187,3.3646621704101562,3.329613208770752,0.009719438877755511,0.07767984869756869,0.11574173718690872,0.07767984776624612,0.11574173718690872,0,-1.7910049511836126e-11,0.10008009574118464,52,27 4 0,0.019230769230769232,3.7142857142857144,0.48214285714285715,0.7857142857142857,0.0,-0.09625164312975747
ieee5,303,15,0.8384615384615385,0.8999999999999999,1.0,0.8916666666666666,3.3647210597991943,3.3997843265533447,3.3647189140319824,3.3296594619750977,0.009699398797595191,0.10213111234562737,0.18612022697925568,0.10213111234562737,0.18612022697925568,0,-1.2537034658285287e-10,0.1235492744002598,52,14 23 24,0.019230769230769232,3.7142857142857144,0.42857142857142855,0.8035714285714286,0.0,-0.09835778070347649
ieee5,303,16,0.8615384615384615,,,0.8916666666666666,3.364711284637451,3.3997838497161865,3.364699363708496,3.3296499252319336,0.00967935871743487,0.07017886159675461,0.10153210908174515,0.07017886212893895,0.10153211653232574,0,-2.6865074285546225e-10,0.1003998412633065,52,8 17 9,0.019230769230769232,3.5714285714285716,0.48214285714285715,0.8214285714285714,0.0,-0.09912656566926412
ieee5,303,17,0.8596153846153847,,,0.8916666666666666,3.3646044731140137,3.3997817039489746,3.3645682334899902,3.329462766647339,0.00965931863727455,0.08639674527304513,0.15301942825317383,0.08639674420867648,0.15301942825317383,0,2.0895057763808814e-10,0.10629241214941244,52,2 28 18,0.019230769230769232,3.5714285714285716,0.42857142857142855,0.7321428571428571,0.0,-0.10108145539249692
ieee5,303,18,0.846153846153846,,,0.8916666666666666,3.3644306659698486,3.399773120880127,3.364305257797241,3.329211950302124,0.00963927855711423,0.07788927108049393,0.10496848076581955,0.07788927161267825,0.10496848076581955,0,1.970105453418788e-10,0.10327179772637078,52,27 23 15,0.019230769230769232,3.857142857142857,0.4642857142857143,0.7678571428571429,0.0,-0.09903657542807716
