method,theta_test_id,rollout_id,u_ctrl,u_req_true,excess_control,safe_total,runtime_s,exact_tie_count,near_tie_count,average_co_tied_actions,sequence,y_obs
myopic,0,0,0.96,0.0,0.96,True,0.5838468160945922,103,103,35.333333333333336,48 0 1,4.195507653 4.54903488 1.414492403
myopic,1,1,0.96,0.0,0.96,True,0.5811040650587529,103,103,35.333333333333336,48 0 1,7.498949445 9.386802263 1.542526552
myopic,2,2,0.96,0.0,0.96,True,0.5807379600591958,103,103,35.333333333333336,48 0 1,7.489930743 6.697721438 2.669562536
myopic,3,3,0.96,0.0,0.96,True,0.5819245120510459,103,103,35.333333333333336,48 0 1,5.9295584 6.029157213 3.09880659
myopic,4,4,0.96,0.32,0.6399999999999999,True,0.5747099430300295,103,104,35.333333333333336,48 0 1,12.00180734 10.04204722 2.037134463
myopic,5,5,0.96,0.0,0.96,True,0.7402689950540662,103,103,35.333333333333336,48 0 1,8.333125036 4.969834896 2.080894351
myopic,6,6,0.96,0.0,0.96,True,0.5803491179831326,103,103,35.333333333333336,48 0 1,4.45321564 7.4011769 3.899073213
myopic,7,7,0.96,0.0,0.96,True,0.5697897810023278,53,61,18.666666666666668,48 0 3,6.602858214 3.58016851 6.939729194
myopic,8,8,0.96,0.0,0.96,True,0.5780971969943494,103,103,35.333333333333336,48 0 1,5.509787381 3.22915305 2.114592148
myopic,9,9,0.96,0.0,0.96,True,0.58649184810929,103,103,35.333333333333336,48 0 1,4.457761649 6.442621629 1.526211696
myopic,10,10,0.96,0.0,0.96,True,0.5792245820630342,103,104,35.333333333333336,48 0 1,6.339317166 4.078820487 3.013222802
myopic,11,11,0.96,0.0,0.96,True,0.5878594070672989,103,103,35.333333333333336,48 0 1,4.168354198 3.749238696 1.661226504
myopic,12,12,0.96,0.0,0.96,True,0.5791630952153355,41,52,14.666666666666666,48 0 1,6.758677908 3.42009414 2.788411791
myopic,13,13,0.96,0.0,0.96,True,0.5794792859815061,103,103,35.333333333333336,48 0 1,6.372223905 5.626174747 1.783518011
myopic,14,14,0.96,0.0,0.96,True,0.5836274481844157,103,105,35.333333333333336,3 0 1,8.297499452 9.374998848 3.119691008
myopic,15,15,0.96,0.0,0.96,True,0.5804639260750264,103,103,35.333333333333336,48 0 1,4.717047895 3.575783303 1.915451939
myopic,16,16,0.96,0.0,0.96,True,0.5876568041276187,103,104,35.333333333333336,48 0 1,4.866219333 4.644486812 1.458805458
myopic,17,17,0.96,0.0,0.96,True,0.5783826420083642,103,103,35.333333333333336,48 0 1,6.202737668 3.703067591 3.419520839
myopic,18,18,0.96,0.0,0.96,True,0.5826875178609043,103,106,35.333333333333336,48 0 1,8.023538978 4.842145582 1.619901227
myopic,19,19,0.96,0.0,0.96,True,0.5898351911455393,103,103,35.333333333333336,48 0 1,8.020051058 6.392302629 1.741895567
myopic,20,20,0.96,0.0,0.96,True,0.5918862500693649,103,103,35.333333333333336,48 0 1,4.616784124 3.573688186 2.160035842
myopic,21,21,0.96,0.0,0.96,True,0.582234448986128,103,103,35.333333333333336,48 0 1,7.73898824 5.007757661 1.35551174
myopic,22,22,0.96,0.08,0.88,True,0.58326146309264,103,105,35.333333333333336,12 0 1,8.232140497 9.708190879 3.072008889
myopic,23,23,0.96,0.0,0.96,True,0.584639891050756,103,103,35.333333333333336,48 0 1,7.336735081 5.913415679 1.506518965
myopic,24,24,0.96,0.0,0.96,True,0.6826540890615433,103,103,35.333333333333336,48 0 1,5.498187482 11.6770993 2.979560698
myopic,25,25,0.96,0.0,0.96,True,0.5841255967970937,103,104,35.333333333333336,21 0 1,7.815478272 4.279304563 2.507588159
myopic,26,26,0.96,0.0,0.96,True,0.5886709031183273,103,104,35.333333333333336,3 0 1,4.091964374 3.633034045 1.564156567
myopic,27,27,0.96,0.0,0.96,True,0.6818836410529912,56,63,19.666666666666668,48 4 0,7.007357737 2.588965011 4.44612092
myopic,28,28,0.96,0.0,0.96,True,0.5836305199190974,103,104,35.333333333333336,12 0 1,5.666081625 4.732160614 1.684224022
myopic,29,29,0.96,0.0,0.96,True,0.5831210038159043,103,103,35.333333333333336,48 0 1,4.636216412 3.868429519 2.52009189
myopic,30,30,0.96,0.0,0.96,True,0.5857082242146134,103,104,35.333333333333336,48 0 1,4.342765143 8.697360537 2.46785351
myopic,31,31,0.96,0.0,0.96,True,0.5787798389792442,103,103,35.333333333333336,48 0 1,5.417671142 8.315442894 2.118616675
myopic,0,32,0.96,0.0,0.96,True,0.5816280141007155,103,103,35.333333333333336,48 0 1,4.066101996 4.537136441 1.160136444
myopic,1,33,0.96,0.0,0.96,True,0.579472835874185,103,103,35.333333333333336,48 0 1,7.416517577 9.496148266 1.624414173
myopic,2,34,0.96,0.0,0.96,True,0.5844668070785701,103,105,35.333333333333336,12 0 1,7.519139363 6.50225496 2.725138767
myopic,3,35,0.96,0.0,0.96,True,0.581507720053196,103,104,35.333333333333336,48 0 1,5.98147881 6.046516233 3.119197883
myopic,4,36,0.96,0.32,0.6399999999999999,True,0.5795654240064323,103,103,35.333333333333336,48 0 1,11.95287858 9.878869391 2.047328219
myopic,5,37,0.96,0.0,0.96,True,0.5838280189782381,55,62,19.333333333333332,48 0 1,8.468156184 4.959619729 2.190408947
myopic,6,38,0.96,0.0,0.96,True,0.6506927271839231,103,103,35.333333333333336,48 0 1,4.240171225 7.66374363 3.838970227
myopic,7,39,0.96,0.0,0.96,True,0.6095776909496635,59,67,20.666666666666668,48 3 1,6.647436847 6.949863064 1.396936805
myopic,8,40,0.96,0.0,0.96,True,0.5867474230471998,103,103,35.333333333333336,48 0 1,5.455014525 3.106267597 2.338854981
myopic,9,41,0.96,0.0,0.96,True,0.5821893310640007,103,103,35.333333333333336,48 0 1,4.667551311 6.454092642 1.491034501
myopic,10,42,0.96,0.0,0.96,True,0.5778801869601011,102,107,35.0,3 1 0,6.314838702 3.133323111 4.000882772
