system,seed,epoch,train_mean_u_ctrl,validation_mean_u_ctrl,validation_safety,best_validation_mean_u_ctrl,policy_entropy,entropy_t1,entropy_t2,entropy_t3,entropy_coefficient,gradient_norm,gradient_norm_max,policy_gradient_norm,policy_gradient_norm_max,clipping_events,advantage_mean,advantage_std,unique_sequences,dominant_sequence,dominant_sequence_fraction,terminal_cost_unique_count,terminal_cost_modal_fraction,terminal_cost_tied_fraction,potential_telescope_max_error,loss
ieee9,101,0,0.9823076923076925,0.9866666666666667,1.0,0.9866666666666667,3.967866897583008,3.9877500534057617,3.967445135116577,3.948406457901001,0.01,0.09512972477107094,0.5287200212478638,0.09512972591731411,0.5287200212478638,0,-0.08481482450644343,0.19100241546539387,104,8 12 45,0.009615384615384616,1.9230769230769231,0.8653846153846154,0.9038461538461539,0.0,-1.1288709537341044
ieee9,101,1,0.9846153846153848,,,0.9866666666666667,3.966974973678589,3.987743854522705,3.9661078453063965,3.9470720291137695,0.00997995991983968,0.04517648720110838,0.0652775689959526,0.045176487344388776,0.0652775689959526,0,0.0010101001244038343,0.0612812840702042,103,9 26 38,0.019230769230769232,2.1538461538461537,0.8557692307692307,0.8557692307692307,0.0,-0.10659288958861278
ieee9,101,2,0.9838461538461539,,,0.9866666666666667,3.966374397277832,3.987745761871338,3.965212106704712,3.946164608001709,0.009959919839679358,0.03802769179814137,0.07304002344608307,0.03802769126083989,0.07304002344608307,0,-0.0004771268230307704,0.053813631765963425,104,21 5 2,0.009615384615384616,2.3076923076923075,0.8269230769230769,0.8461538461538461,0.0,-0.12347795699651425
ieee9,101,3,0.9853846153846155,,,0.9866666666666667,3.9662208557128906,3.9877495765686035,3.964979648590088,3.9459333419799805,0.009939879759519038,0.039915793718626864,0.06997673958539963,0.03991579346788617,0.06997673958539963,0,-0.0034002815104591157,0.05988627230108067,104,18 45 1,0.009615384615384616,2.076923076923077,0.8461538461538461,0.8846153846153846,0.0,-0.15893811445969802
ieee9,101,4,0.9823076923076924,,,0.9866666666666667,3.965888738632202,3.987755060195923,3.9644575119018555,3.9454526901245117,0.009919839679358718,0.04231359100399109,0.07963456213474274,0.042313591290551886,0.07963456213474274,0,0.002319588599045976,0.05959315709030876,104,18 52 0,0.009615384615384616,2.0,0.8653846153846154,0.8846153846153846,0.0,-0.08923539977807265
ieee9,101,5,0.9853846153846155,0.9733333333333333,1.0,0.9733333333333333,3.9657721519470215,3.987762212753296,3.964266300201416,3.945289134979248,0.009899799599198397,0.04285180583023108,0.07372350245714188,0.04285180554367029,0.07372349500656128,0,0.0009036774773938725,0.05709017071948116,104,8 28 23,0.009615384615384616,2.230769230769231,0.8173076923076923,0.875,0.0,-0.10728300592074028
ieee9,101,6,0.9746153846153848,,,0.9733333333333333,3.96498703956604,3.987765073776245,3.963103771209717,3.944092273712158,0.009879759519038077,0.02875759545713663,0.06353140622377396,0.02875759542131653,0.06353140622377396,0,-0.0002039108277620891,0.041944844276158216,104,35 33 4,0.009615384615384616,1.8461538461538463,0.8846153846153846,0.9038461538461539,0.0,-0.11966944543214944
ieee9,101,7,0.9753846153846156,,,0.9733333333333333,3.9645304679870605,3.9877662658691406,3.9623942375183105,3.9434309005737305,0.009859719438877755,0.025338542392441574,0.07541614025831223,0.025338542240206152,0.07541614025831223,0,0.0009518153832547027,0.0414497528383969,104,40 5 3,0.009615384615384616,1.6153846153846154,0.875,0.9519230769230769,0.0,-0.1066188863836802
ieee9,101,8,0.9815384615384617,,,0.9733333333333333,3.963254451751709,3.987762451171875,3.960523843765259,3.9414772987365723,0.009839679358717435,0.04585324958539926,0.08879638463258743,0.045853250552541934,0.08879638463258743,0,-0.0008049070490345072,0.06171050419118155,103,0 3 39,0.019230769230769232,1.7692307692307692,0.8942307692307693,0.9134615384615384,0.0,-0.12829921795771673
ieee9,101,9,0.9807692307692311,,,0.9733333333333333,3.9603254795074463,3.987748384475708,3.956071615219116,3.93715763092041,0.009819639278557115,0.040647026688720174,0.08073315769433975,0.04064702582903779,0.08073316514492035,0,0.0009198573355276424,0.05524610551525662,104,9 40 3,0.009615384615384616,1.8461538461538463,0.875,0.9134615384615384,0.0,-0.10611267789052083
