system,seed,epoch,train_mean_u_ctrl,validation_mean_u_ctrl,validation_safety,best_validation_mean_u_ctrl,policy_entropy,entropy_t1,entropy_t2,entropy_t3,entropy_coefficient,gradient_norm,gradient_norm_max,policy_gradient_norm,policy_gradient_norm_max,clipping_events,advantage_mean,advantage_std,unique_sequences,dominant_sequence,dominant_sequence_fraction,terminal_cost_unique_count,terminal_cost_modal_fraction,terminal_cost_tied_fraction,potential_telescope_max_error,loss
ieee9,303,0,0.9830769230769233,0.9933333333333333,1.0,0.9933333333333333,3.9677979946136475,3.9874372482299805,3.9674925804138184,3.9484634399414062,0.0002,0.08829051569605675,0.46637555956840515,0.08829051558859646,0.46637555956840515,0,-0.08573335396403518,0.19173479008632602,104,23 32 37,0.009615384615384616,2.0,0.8461538461538461,0.9038461538461539,0.0,-1.0198478867801337
ieee9,303,1,0.980769230769231,,,0.9933333333333333,3.9668774604797363,3.9874825477600098,3.9660933017730713,3.9470572471618652,0.0004,0.03545755029727633,0.07770787924528122,0.03545755072711752,0.07770787924528122,0,0.001679629785940051,0.05344415020335451,104,30 15 31,0.009615384615384616,2.076923076923077,0.8557692307692307,0.875,0.0,0.015855963986653548
ieee9,303,2,0.9807692307692311,,,0.9933333333333333,3.9665367603302,3.987480640411377,3.9655838012695312,3.9465456008911133,0.0006,0.037107341994459815,0.06643757969141006,0.037107343427263774,0.06643758714199066,0,0.0001293887303640636,0.052804293204792095,104,2 19 1,0.009615384615384616,2.0,0.8461538461538461,0.8942307692307693,0.0,-0.0055917322707290835
ieee9,303,3,0.983846153846154,,,0.9933333333333333,3.966226100921631,3.9874684810638428,3.965131998062134,3.946077823638916,0.0008,0.04030960884231787,0.08842500299215317,0.04030960898559827,0.08842500299215317,0,-0.0012308975520472114,0.05942435216957206,104,47 12 52,0.009615384615384616,1.8461538461538463,0.8461538461538461,0.9326923076923077,0.0,-0.025023566415676705
ieee9,303,4,0.9807692307692311,,,0.9933333333333333,3.9651496410369873,3.9874625205993652,3.963498592376709,3.944488048553467,0.001,0.038957681435231976,0.08240130543708801,0.03895768129195158,0.08240130543708801,0,-0.00109751876264524,0.05540965976631084,104,50 43 51,0.009615384615384616,1.8461538461538463,0.875,0.9134615384615384,0.0,-0.02606154089936843
ieee9,303,5,0.9776923076923079,0.98,1.0,0.98,3.96315860748291,3.987452507019043,3.960498332977295,3.9415245056152344,0.0012,0.03728742974523742,0.07602418214082718,0.03728743098103083,0.07602418214082718,0,0.0026007526321336627,0.05500995296647153,104,39 46 35,0.009615384615384616,1.6153846153846154,0.9134615384615384,0.9326923076923077,0.0,0.01530811247917322
ieee9,303,6,0.990769230769231,,,0.98,3.960477352142334,3.9874348640441895,3.956482410430908,3.9375150203704834,0.0014000000000000002,0.055014570601857625,0.0846879780292511,0.05501457002873604,0.0846879780292511,0,-0.0026794092174476157,0.06547624219542919,103,20 6 13,0.019230769230769232,2.3076923076923075,0.8076923076923077,0.8653846153846154,0.0,-0.04915589094161987
ieee9,303,7,0.9853846153846155,,,0.98,3.9563419818878174,3.9874284267425537,3.950187921524048,3.9314088821411133,0.0016,0.052363691851496696,0.07757025957107544,0.05236369077689373,0.07757025957107544,0,-0.00015504892396095855,0.061133628663255626,104,14 33 28,0.009615384615384616,2.076923076923077,0.8461538461538461,0.8846153846153846,0.0,-0.02054347427418599
ieee9,303,8,0.9807692307692311,,,0.98,3.952120304107666,3.9874167442321777,3.9441006183624268,3.92484450340271,0.0018,0.044483202061830804,0.09347781538963318,0.044483201703629814,0.09347781538963318,0,0.0015414907762673325,0.05504973318962853,104,47 27 17,0.009615384615384616,1.8461538461538463,0.875,0.9134615384615384,0.0,-0.005424512550234795
ieee9,303,9,0.9800000000000002,,,0.98,3.939375162124634,3.987396717071533,3.9255993366241455,3.90513014793396,0.002,0.05008139873210054,0.10349481552839279,0.05008139797987846,0.10349481552839279,0,5.980597835822174e-05,0.05720288677590591,104,8 33 23,0.009615384615384616,1.6923076923076923,0.8942307692307693,0.9326923076923077,0.0,-0.024308036009852704
