system,comparison,mean_paired_diff,median_paired_diff,std_error,ci95_low,ci95_high,fraction_a_lower,fraction_b_lower,fraction_tied,n,n_bootstrap
ieee5,dad_minus_fixed,0.0060000000000000105,0.0,0.006598328419981681,-0.006759999999999987,0.01874000000000001,0.342,0.356,0.302,1000,10000
ieee5,dad_minus_myopic,-0.00849999999999999,0.0,0.0024767487325694313,-0.013399999999999988,-0.0035199999999999845,0.339,0.242,0.419,1000,10000
ieee5,dad_minus_random,-0.026299999999999997,0.0,0.004314084065166247,-0.03475999999999999,-0.017719999999999993,0.417,0.236,0.347,1000,10000
ieee5,myopic_minus_fixed,0.0145,0.0,0.006951839905958572,0.000899999999999996,0.028099999999999997,0.33,0.428,0.242,1000,10000
ieee5,fixed_minus_random,-0.032299999999999995,0.0,0.005774084347327293,-0.0434,-0.0208,0.396,0.269,0.335,1000,10000
ieee5,myopic_minus_random,-0.01780000000000001,0.0,0.004838033336653084,-0.02720000000000001,-0.008200000000000008,0.319,0.23,0.451,1000,10000
ieee9,dad_minus_fixed,-0.004607999999999995,0.0,0.0016975323124912686,-0.008016399999999996,-0.0013759999999999942,0.131,0.203,0.666,1000,10000
ieee9,dad_minus_myopic,0.010192000000000008,0.0,0.0012167380932590179,0.007792000000000007,0.012528000000000011,0.027,0.276,0.697,1000,10000
ieee9,dad_minus_random,-0.007647999999999996,0.0,0.001938193150511241,-0.011471999999999998,-0.0039356,0.14,0.227,0.633,1000,10000
ieee9,myopic_minus_fixed,-0.014800000000000004,0.0,0.0018750135134648171,-0.018480000000000003,-0.011200000000000003,0.135,0.026,0.839,1000,10000
ieee9,fixed_minus_random,-0.003040000000000001,0.0,0.002431104413362098,-0.007840000000000001,0.001679999999999999,0.117,0.114,0.769,1000,10000
ieee9,myopic_minus_random,-0.01784,0.0,0.0020644603160139456,-0.022000000000000006,-0.013840000000000003,0.143,0.025,0.832,1000,10000
