alpha,margin,quantile_level,cal_safety_rate,cal_mean_excess,cal_mean_u_ctrl,cal_mean_under_control,cal_std_u_ctrl,cal_n_rollouts,cal_passes
0.05,0.0,0.95,0.815,0.1852,0.3164,0.06880000000000001,0.39858128405633897,200,False
0.05,0.1,0.95,0.86,0.27320000000000005,0.4716,0.0836,0.3830319046763598,200,False
0.05,0.2,0.95,0.915,0.42640000000000006,0.5752000000000002,0.036000000000000004,0.3997110956678586,200,False
0.05,0.3,0.95,0.93,0.5192000000000001,0.6708000000000002,0.039200000000000006,0.4138929330152908,200,False
0.05,0.4,0.95,0.905,0.5428000000000001,0.72,0.0508,0.36248034429469417,200,False
0.05,0.5,0.95,0.93,0.69,0.8480000000000001,0.0292,0.33799408278844173,200,False
0.05,0.6,0.95,0.95,0.8136000000000001,0.9544000000000001,0.011600000000000001,0.3291210111797787,200,False
0.05,0.7,0.95,0.96,0.8704,1.0204,0.015200000000000005,0.31297258665895966,200,False
0.05,0.8,0.95,0.935,0.9132000000000002,1.0608000000000002,0.015600000000000003,0.2813953802037269,200,False
0.05,0.9,0.95,0.965,1.01,1.1872,0.012400000000000005,0.2221984698417161,200,False
0.05,1.0,0.95,0.985,1.1332,1.2716,0.0028000000000000013,0.1958607668727967,200,False
0.05,1.1,0.95,0.985,1.1844,1.3551999999999997,0.0028000000000000004,0.17299988439302497,200,False
0.05,1.2,0.95,0.995,1.2535999999999998,1.4103999999999999,0.00040000000000000034,0.13441666563339535,200,False
0.05,1.4,0.95,1.0,1.3952,1.5563999999999998,0.0,0.06339589892098706,200,True
0.05,1.6,0.95,1.0,1.4464,1.6,0.0,0.0,200,True
0.05,1.8,0.95,1.0,1.4207999999999998,1.6,0.0,0.0,200,True
