rollout_id,theta_test_id,sequence,y_obs,u_ctrl_prior,u_ctrl_final,u_req_true,posterior_mean_U,excess_control,safe_total,changed,reduced,increased
0,31,55 64,1.1356055 1.2045875,1.6,1.52,0.0,0.021603573037610412,1.52,True,True,True,False
1,31,46 61,0.87397306 1.4808654,1.6,1.6,0.0,0.030829649928939024,1.6,True,False,False,False
2,5,23 19,0.88275789 1.6436042,1.6,1.6,0.0,0.09867467524156892,1.6,True,False,False,False
3,3,75 81,1.1701411 0.90055225,1.6,1.44,0.0,0.0014759980792094195,1.44,True,True,True,False
4,4,45 48,0.99054469 0.63101218,1.6,1.6,0.0,0.036986700563819024,1.6,True,False,False,False
5,17,79 32,1.6003096 1.0668378,1.6,1.6,0.0,0.03328012708379504,1.6,True,False,False,False
6,25,27 0,1.166741 5.4868817,1.6,1.44,0.0,5.8983605805119626e-15,1.44,True,True,True,False
7,25,49 24,1.185294 0.39013266,1.6,1.6,0.0,0.07167480956816122,1.6,True,False,False,False
8,25,21 22,1.2566758 1.4088754,1.6,1.44,0.0,0.004010941426483682,1.44,True,True,True,False
9,30,24 54,0.96460281 0.61926822,1.6,1.6,0.0,0.04624435870844789,1.6,True,False,False,False
10,17,30 27,3.0917156 2.4927605,1.6,1.52,0.0,0.08000986600616226,1.52,True,True,True,False
11,8,26 46,0.48258315 1.1838966,1.6,1.6,0.0,0.07222510548879191,1.6,True,False,False,False
12,28,32 58,0.96672723 2.0404997,1.6,1.6,0.0,0.045410585616788894,1.6,True,False,False,False
13,20,61 14,0.77506323 4.4212427,1.6,1.6,0.0,0.23468447864992217,1.6,True,False,False,False
14,16,24 11,0.36767064 0.15923506,1.6,1.44,0.0,0.010608828577086591,1.44,True,True,True,False
15,30,48 76,0.71113641 0.99492894,1.6,1.6,0.0,0.0558984154070333,1.6,True,False,False,False
16,1,60 4,1.0861958 1.3125347,1.6,1.6,0.0,0.019164743420607557,1.6,True,False,False,False
17,23,77 59,3.0683946 1.413926,1.6,1.44,0.0,0.0012436111299775083,1.44,True,True,True,False
18,27,47 54,0.71440535 0.74208143,1.6,1.6,0.0,0.15934711260912804,1.6,True,False,False,False
19,25,73 52,1.0662826 0.48449237,1.6,1.6,0.0,0.11424095592288064,1.6,True,False,False,False
20,15,17 69,0.97431492 1.3205935,1.6,1.44,0.0,3.231748191742965e-05,1.44,True,True,True,False
21,5,53 19,0.76108763 1.5566533,1.6,1.6,0.0,0.28601343522057027,1.6,True,False,False,False
22,1,61 3,1.6484214 1.157108,1.6,1.6,0.0,0.0497373999149415,1.6,True,False,False,False
23,4,61 25,2.4165819 0.31642173,1.6,1.6,0.0,0.13789349089662623,1.6,True,False,False,False
24,17,47 34,0.90216921 0.88333329,1.6,1.6,0.0,0.3272253430546387,1.6,True,False,False,False
25,5,72 52,1.3941588 0.46668434,1.6,1.6,0.0,0.10481009927917606,1.6,True,False,False,False
26,12,1 36,1.1580872 1.9655903,1.6,1.44,0.0,0.000952795759797225,1.44,True,True,True,False
27,14,31 39,1.2956847 0.26167775,1.6,1.6,0.0,0.06561934200536813,1.6,True,False,False,False
28,6,22 18,1.4311352 0.86076593,1.6,1.6,0.0,0.10825783388199452,1.6,True,False,False,False
29,20,78 44,0.93144314 1.6831729,1.6,1.6,0.0,0.02700152982108321,1.6,True,False,False,False
30,21,18 11,1.0647506 0.3569368,1.6,1.6,0.0,0.04172736618291839,1.6,True,False,False,False
31,13,18 49,0.89720425 1.2731096,1.6,1.6,0.0,0.17932348372160764,1.6,True,False,False,False
32,5,56 15,7.6762017 1.9273454,1.6,1.44,0.0,0.0033680902351189445,1.44,True,True,True,False
33,22,81 3,1.4597972 0.95616644,1.6,1.6,0.0,0.3499132446087323,1.6,True,False,False,False
34,24,49 24,1.8013436 0.70499543,1.6,1.6,0.0,0.05505669433530252,1.6,True,False,False,False
35,25,8 17,1.2232437 1.4581213,1.6,1.6,0.0,0.22986710140356792,1.6,True,False,False,False
36,11,62 80,0.97308057 0.69458932,1.6,1.6,0.0,0.12521566255038125,1.6,True,False,False,False
37,27,45 72,0.76709235 2.6993466,1.6,1.44,0.0,0.0002556893598992054,1.44,True,True,True,False
38,31,74 9,0.89756907 1.5641128,1.6,1.6,0.0,0.15103913439664787,1.6,True,False,False,False
39,28,56 54,5.5650401 0.66900702,1.6,1.52,0.0,0.04917850372132782,1.52,True,True,True,False
40,13,50 26,0.87509207 0.81600785,1.6,1.6,0.0,0.019007355709006503,1.6,True,False,False,False
41,28,39 54,0.464486 0.81584525,1.6,1.6,0.0,0.06079236562243483,1.6,True,False,False,False
42,24,31 4,0.76970944 1.2308992,1.6,1.6,0.0,0.018643124659024547,1.6,True,False,False,False
43,27,44 70,2.338287 3.80692,1.6,1.6,0.0,0.10672237125167744,1.6,True,False,False,False
44,10,70 69,8.2894577 1.0573555,1.6,1.44,0.08,5.372794890142797e-16,1.3599999999999999,True,True,True,False
45,13,36 74,1.042771 0.7914447,1.6,1.6,0.0,0.12574987910859295,1.6,True,False,False,False
46,24,13 71,1.3922662 3.7010278,1.6,1.44,0.0,1.678869252328569e-12,1.44,True,True,True,False
47,24,15 80,2.959914 0.77157514,1.6,1.44,0.0,7.070600410242422e-08,1.44,True,True,True,False
48,0,40 11,0.62076742 0.44361378,1.6,1.6,0.0,0.11030545810044139,1.6,True,False,False,False
49,24,57 48,3.1504312 0.54896093,1.6,1.44,0.0,1.877930745502703e-05,1.44,True,True,True,False
50,31,6 1,1.1263947 1.5667995,1.6,1.52,0.0,0.007193383552362832,1.52,True,True,True,False
51,5,45 63,0.96243537 1.1045237,1.6,1.6,0.0,0.030773639879444946,1.6,True,False,False,False
52,6,72 81,1.5744059 1.0171104,1.6,1.6,0.0,0.06080621012817966,1.6,True,False,False,False
53,18,43 56,1.7047397 4.8093746,1.6,1.6,0.48,0.238978336705625,1.12,True,False,False,False
54,21,69 74,1.5278129 0.89985543,1.6,1.6,0.0,0.01656436973201599,1.6,True,False,False,False
55,11,74 40,1.4199765 0.44509977,1.6,1.6,0.0,0.05404621861491002,1.6,True,False,False,False
56,8,81 58,1.1852468 1.6277267,1.6,1.6,0.0,0.019809802953692633,1.6,True,False,False,False
57,3,8 60,1.1075897 0.73298844,1.6,1.6,0.0,0.11681596933872179,1.6,True,False,False,False
58,21,61 32,2.2397263 0.90915048,1.6,1.6,0.0,0.22918670882272385,1.6,True,False,False,False
59,10,8 69,1.5227554 1.0976911,1.6,1.52,0.08,0.021983469673588527,1.44,True,True,True,False
60,16,42 43,8.0278115 1.6090617,1.6,1.44,0.0,2.963584510278706e-30,1.44,True,True,True,False
61,7,83 55,1.9574179 2.6825111,1.6,1.6,1.04,1.251337800703596,0.56,True,False,False,False
62,16,30 67,2.410522 0.37381886,1.6,1.6,0.0,0.31065458111705696,1.6,True,False,False,False
