rollout_id,theta_test_id,sequence,y_obs,u_ctrl_prior,u_ctrl_final,u_req_true,posterior_mean_U,excess_control,safe_total,changed,reduced,increased
0,15,19 23 8,2.3334394 3.5396734 3.4551981,1.0,0.6,0.2,0.05043635396636706,0.39999999999999997,True,True,True,False
1,15,16 22 11,1.5390775 1.2981456 1.6022298,1.0,0.7,0.2,0.15104514445653996,0.49999999999999994,True,True,True,False
2,2,8 6 10,3.6818606 2.0818173 1.1983859,1.0,0.8,0.3,0.25019925151138617,0.5,True,True,True,False
3,1,26 29 3,1.7391769 7.5995623 4.2954019,1.0,0.8,0.1,0.25,0.7000000000000001,True,True,True,False
4,2,16 17 6,1.7872509 1.9002034 2.1960056,1.0,0.8,0.3,0.25002348836660065,0.5,True,True,True,False
5,8,28 11 18,6.6344348 1.625957 6.3107708,1.0,0.6,0.1,0.05000002497219778,0.5,True,True,True,False
6,12,9 0 6,2.395508 1.9895669 3.5478815,1.0,1.0,0.6,0.6,0.4,True,False,False,False
7,12,17 8 15,1.2113077 3.8652971 2.3175618,1.0,0.7,0.6,0.1502746965086149,0.09999999999999998,True,True,True,False
8,12,7 8 1,1.4465835 3.7717081 3.5554237,1.0,1.0,0.6,0.45,0.4,True,False,False,False
9,15,8 19 18,3.3235208 2.3501122 3.4927254,1.0,0.6,0.2,0.050388621544661796,0.39999999999999997,True,True,True,False
10,8,10 9 16,1.3814151 2.5569611 1.4818576,1.0,0.7,0.1,0.0672791299431753,0.6,True,True,True,False
11,4,9 16 28,2.1138163 2.4428923 3.0710115,1.0,0.9,0.4,0.3060296612372266,0.5,True,True,True,False
12,14,11 20 7,2.1433823 2.7302488 1.1110609,1.0,0.9,0.3,0.3000002502000815,0.6000000000000001,True,True,True,False
13,10,21 4 15,1.4066395 4.5605508 1.6497516,1.0,0.8,0.15,0.25000000000000006,0.65,True,True,True,False
14,8,8 4 9,6.0532978 2.3703606 2.4625235,1.0,0.6,0.1,0.05000000000000006,0.5,True,True,True,False
15,15,17 27 1,1.1358692 1.3665117 1.8157031,1.0,0.8,0.2,0.23770061770073514,0.6000000000000001,True,True,True,False
16,0,21 1 0,1.3723963 1.5570598 1.6763687,1.0,0.6,0.1,0.05281131531460253,0.5,True,True,True,False
17,11,27 20 26,1.3570016 3.2236787 1.1544923,1.0,0.9,0.1,0.2999999999434912,0.8,True,True,True,False
18,13,16 19 23,2.7332384 2.2911458 3.527643,1.0,1.0,0.45,0.45,0.55,True,False,False,False
19,12,26 18 29,2.6717017 3.7874424 2.7813493,1.0,1.0,0.6,0.44607057658381855,0.4,True,False,False,False
20,7,6 24 9,3.7343541 6.4642402 6.1464978,1.0,1.0,0.6,0.45,0.4,True,False,False,False
21,2,19 6 1,4.5976028 2.1132575 2.0886071,1.0,0.8,0.3,0.25129014037151876,0.5,True,True,True,False
22,0,22 1 6,2.7900784 1.5075063 1.713486,1.0,0.7,0.1,0.14882849015462826,0.6,True,True,True,False
23,2,21 8 18,1.8863502 3.6227695 3.7397425,1.0,0.8,0.3,0.2538381188017518,0.5,True,True,True,False
24,8,17 12 6,1.7317663 1.5211827 1.7195986,1.0,0.8,0.1,0.1462321963732225,0.7000000000000001,True,True,True,False
25,2,26 18 21,1.858406 3.5968442 1.8640857,1.0,0.8,0.3,0.25069571776581046,0.5,True,True,True,False
26,6,0 13 3,1.4279075 3.4336212 3.4399496,1.0,0.9,0.6,0.2556946283807507,0.30000000000000004,True,True,True,False
