rollout_id,theta_test_id,u_req_true,posterior_mean_U,u_ctrl_final
0,15,0.2,0.3,0.9
1,15,0.2,0.34999996773165204,0.9
2,2,0.3,0.45,1.0
3,1,0.1,0.45,1.0
4,2,0.3,0.35007492803016615,0.9
5,8,0.1,0.29999999996369575,0.9
6,12,0.6,0.6,1.0
7,12,0.6,0.29999999999999527,0.9
8,12,0.6,0.3000022028235796,0.9
9,15,0.2,0.1821635833324382,0.8
10,8,0.1,0.2988529888160843,0.9
11,4,0.4,0.3,0.9
12,14,0.3,0.3,0.9
13,10,0.15,0.3,0.9
14,8,0.1,0.10000057732776385,0.7
15,15,0.2,0.35,0.9
16,0,0.1,0.6000000000000001,1.0
17,11,0.1,0.6,1.0
18,13,0.45,0.44999999995039236,1.0
19,12,0.6,0.05,0.6
20,7,0.6,0.10000003300392332,0.7
21,2,0.3,0.29999417943891443,0.9
22,0,0.1,0.26077062779412974,0.9
23,2,0.3,0.45,1.0
24,8,0.1,0.5999999999999999,1.0
25,2,0.3,0.5999999999982997,1.0
26,6,0.6,0.2999994697643602,0.9
27,7,0.6,0.6,1.0
28,3,0.5,0.2999999999999999,0.9
29,10,0.15,0.16346346635289521,0.9
30,10,0.15,0.6,1.0
31,6,0.6,0.34999966284645273,0.9
32,2,0.3,0.05000000000179968,0.6
33,11,0.1,0.29991660667267833,0.9
34,12,0.6,0.45,1.0
35,12,0.6,0.05,0.6
36,5,0.25,0.05,0.6
37,13,0.45,0.050000000000000155,0.6
38,15,0.2,0.24814616218877722,0.8
39,14,0.3,0.2999999999999965,0.9
40,6,0.6,0.2000027652085734,0.8
41,14,0.3,0.22453813364123515,0.9
42,12,0.6,0.1395221120318054,0.7
43,13,0.45,0.25,0.8
44,5,0.25,0.45,1.0
45,6,0.6,0.05000001948045559,0.6
46,12,0.6,0.29999999999999993,0.9
47,12,0.6,0.26501134183565855,0.9
48,0,0.1,0.29999999953095163,0.9
49,12,0.6,0.147805909903672,0.7
50,15,0.2,0.050000013977276124,0.6
51,2,0.3,0.4,1.0
52,3,0.5,0.394451037478486,1.0
53,9,0.35,0.3,0.9
54,10,0.15,0.10580130290327068,0.7
55,5,0.25,0.4499999999867078,1.0
56,4,0.4,0.05,0.6
57,1,0.1,0.30000000000000004,0.9
58,10,0.15,0.15000000368745844,0.7
59,5,0.25,0.14797736717646295,0.7
60,8,0.1,0.39995334668241206,1.0
61,3,0.5,0.05,0.6
62,8,0.1,0.3000228351164097,0.9
63,12,0.6,0.25649342997145425,0.8
64,3,0.5,0.45,1.0
65,6,0.6,0.2999995269135754,0.9
66,10,0.15,0.2999999998090456,0.9
67,11,0.1,0.4499999997730729,1.0
68,1,0.1,0.3,0.9
69,4,0.4,0.3999898018676053,1.0
70,9,0.35,0.05,0.6
71,12,0.6,0.3004137181766966,0.9
72,9,0.35,0.35,0.9
73,6,0.6,0.2999999999999998,0.9
74,0,0.1,0.6,1.0
75,12,0.6,0.6,1.0
76,15,0.2,0.3,0.9
77,11,0.1,0.3,0.9
78,1,0.1,0.25,0.8
79,8,0.1,0.45,1.0
80,6,0.6,0.20000000000002183,0.8
81,0,0.1,0.6,1.0
82,1,0.1,0.2999062631653368,0.9
83,5,0.25,0.2634410852290027,0.9
84,7,0.6,0.05000338961274464,0.6
85,1,0.1,0.2467626218227083,1.0
86,13,0.45,0.30000000000000004,0.9
87,0,0.1,0.30000000000015736,0.9
88,15,0.2,0.3,0.9
89,12,0.6,0.5999596097315207,1.0
90,15,0.2,0.3,0.9
91,8,0.1,0.14999934272062182,0.7
92,14,0.3,0.05,0.6
93,3,0.5,0.5999999995680285,1.0
94,6,0.6,0.35,0.9
95,13,0.45,0.3,0.9
96,9,0.35,0.24367096416310235,0.8
97,14,0.3,0.6,1.0
98,3,0.5,0.05001237468296288,0.6
99,7,0.6,0.05,0.6
100,10,0.15,0.05193728953998893,0.6
101,4,0.4,0.34995106274962084,0.9
102,8,0.1,0.25,0.8
103,6,0.6,0.45,1.0
104,7,0.6,0.29999717475573157,0.9
105,7,0.6,0.44999999999934837,1.0
106,5,0.25,0.2999999944607514,0.9
107,3,0.5,0.30180208103604905,0.9
108,7,0.6,0.3499999999492324,0.9
109,11,0.1,0.24999770916959121,0.8
110,13,0.45,0.5999983556867811,1.0
111,0,0.1,0.35,0.9
112,15,0.2,0.3999636101485853,1.0
113,0,0.1,0.10001216478473195,0.7
114,0,0.1,0.34999999999999876,0.9
115,9,0.35,0.2411589934334524,1.0
116,11,0.1,0.6,1.0
117,2,0.3,0.25061367509508337,0.8
118,5,0.25,0.05,0.6
119,6,0.6,0.34015448799317416,1.0
120,14,0.3,0.20000186987603324,0.8
121,9,0.35,0.3000027420766268,0.9
122,15,0.2,0.05000103488227373,0.6
123,15,0.2,0.34553047753757665,0.9
124,1,0.1,0.05,0.6
125,11,0.1,0.29999999999521193,0.9
126,7,0.6,0.6,1.0
127,9,0.35,0.24994903990110787,0.8
128,15,0.2,0.1257265532508786,0.7
129,7,0.6,0.5999999974132874,1.0
130,11,0.1,0.5994610437697424,1.0
131,12,0.6,0.10935645969528646,0.7
132,2,0.3,0.6,1.0
133,13,0.45,0.29576174011491035,1.0
134,12,0.6,0.45,1.0
135,15,0.2,0.35,0.9
136,0,0.1,0.2999908361721994,0.9
137,6,0.6,0.44999999999926893,1.0
138,3,0.5,0.6,1.0
139,12,0.6,0.24999994932668634,0.8
140,0,0.1,0.34999984317650584,0.9
141,2,0.3,0.3,0.9
142,14,0.3,0.29999999999383664,0.9
143,13,0.45,0.3,0.9
144,3,0.5,0.25,0.8
145,5,0.25,0.24893743482003092,0.8
146,14,0.3,0.29981811123065005,0.9
147,0,0.1,0.44999999999999996,1.0
148,3,0.5,0.14990865274489168,0.7
149,14,0.3,0.45,1.0
150,6,0.6,0.2999999999999984,0.9
151,10,0.15,0.45,1.0
152,10,0.15,0.05,0.6
153,14,0.3,0.05,0.6
154,12,0.6,0.6,1.0
155,9,0.35,0.3,0.9
156,5,0.25,0.44999999999834833,1.0
157,0,0.1,0.2999999999995551,0.9
158,14,0.3,0.3,0.9
159,6,0.6,0.44975249528267797,1.0
160,13,0.45,0.25006154911847883,0.8
161,5,0.25,0.2101388698815336,0.9
162,13,0.45,0.44537368002182914,1.0
163,6,0.6,0.6,1.0
164,2,0.3,0.10014229617128624,0.7
165,13,0.45,0.2520785036043099,1.0
166,11,0.1,0.39999752748620665,1.0
167,0,0.1,0.25000002161244744,0.8
168,15,0.2,0.6,1.0
169,4,0.4,0.3,0.9
170,0,0.1,0.15000001239029043,0.7
171,7,0.6,0.14999395248564315,0.7
172,1,0.1,0.3,0.9
173,5,0.25,0.3,0.9
174,14,0.3,0.35,0.9
175,10,0.15,0.29999588294772467,0.9
176,7,0.6,0.050000020748917795,0.6
177,12,0.6,0.30000009678689965,0.9
178,14,0.3,0.3568736150538452,1.0
179,15,0.2,0.17434231891272503,0.9
180,6,0.6,0.5999994542819942,1.0
181,0,0.1,0.2999997761488473,0.9
182,15,0.2,0.05000000000000264,0.6
183,3,0.5,0.299520513296429,0.9
184,9,0.35,0.36277931570539657,1.0
185,1,0.1,0.44999999997680296,1.0
186,14,0.3,0.05000003580137487,0.6
187,5,0.25,0.29980232538667717,0.9
188,1,0.1,0.2562020151458636,0.9
189,10,0.15,0.05,0.6
190,13,0.45,0.45,1.0
191,4,0.4,0.2,0.8
192,4,0.4,0.2647212035991979,0.9
193,2,0.3,0.4499993588816399,1.0
194,5,0.25,0.6,1.0
195,13,0.45,0.299999946577166,0.9
196,9,0.35,0.4499999999999516,1.0
197,13,0.45,0.3286029559639801,1.0
198,15,0.2,0.3,0.9
199,2,0.3,0.25,0.8
200,13,0.45,0.050000000000024955,0.6
201,13,0.45,0.4499999999999572,1.0
202,11,0.1,0.3,0.9
203,1,0.1,0.10000000000000238,0.7
204,12,0.6,0.3,0.9
205,14,0.3,0.10304635250927179,0.7
206,8,0.1,0.3,0.9
207,13,0.45,0.051238124566300815,0.6
208,7,0.6,0.10000000000942036,0.7
209,2,0.3,0.3,0.9
210,10,0.15,0.2999997529171944,0.9
211,13,0.45,0.3803114704820601,1.0
212,10,0.15,0.29148156313649043,0.9
213,10,0.15,0.44999999999984946,1.0
214,1,0.1,0.34999468853467236,0.9
215,3,0.5,0.1500000000067421,0.7
216,7,0.6,0.2999999959069857,0.9
217,8,0.1,0.2999083626781955,0.9
218,4,0.4,0.05000003423617873,0.6
219,3,0.5,0.05,0.6
220,6,0.6,0.05,0.6
221,10,0.15,0.45,1.0
222,4,0.4,0.29998243510098654,0.9
223,10,0.15,0.31082900065520463,1.0
224,12,0.6,0.35,0.9
225,10,0.15,0.10044844193392423,0.7
226,5,0.25,0.45,1.0
227,9,0.35,0.399706051114965,1.0
228,6,0.6,0.6,1.0
229,1,0.1,0.5965917822341782,1.0
230,13,0.45,0.25,0.8
231,2,0.3,0.6,1.0
232,6,0.6,0.17944901964432244,0.8
