T,exact_or_approximate,tree_depth,observation_branch_count,belief_state_count,candidate_actions_evaluated,adaptive_reference_value,best_first_action,exact_fixed_value,exact_fixed_subset,estimated_adaptive_value,confidence_interval,K_outer,n_hyp_inner,runtime,outer_measure,uses_offline_banks_only,used_test_systems
2,exact_nested_MC_validation_outer,2,24,24,870,0.8419921875000002,25,0.8083333333333332,"[23, 24]",-0.03365885416666692,"[-0.0591813151041668, -0.006705729166666785]",24,64,1.5842454589437693,validation_systems_x_keyed_replicas,True,False
2,,,,,,,,,,,,,,,,,
2,,,,,,,,,,,,,,,,,
2,,,,,,,,,,,,,,,,,
2,,,,,,,,,,,,,,,,,
2,,,,,,,,,,,,,,,,,
2,,,,,,,,,,,,,,,,,
2,,,,,,,,,,,,,,,,,
2,,,,,,,,,,,,,,,,,
2,,,,,,,,,,,,,,,,,
2,,,,,,,,,,,,,,,,,
2,,,,,,,,,,,,,,,,,
2,,,,,,,,,,,,,,,,,
2,,,,,,,,,,,,,,,,,
2,,,,,,,,,,,,,,,,,
2,,,,,,,,,,,,,,,,,
2,,,,,,,,,,,,,,,,,
2,,,,,,,,,,,,,,,,,
2,,,,,,,,,,,,,,,,,
2,,,,,,,,,,,,,,,,,
2,,,,,,,,,,,,,,,,,
2,,,,,,,,,,,,,,,,,
2,,,,,,,,,,,,,,,,,
2,,,,,,,,,,,,,,,,,
2,,,,,,,,,,,,,,,,,
2,,,,,,,,,,,,,,,,,
2,,,,,,,,,,,,,,,,,
2,,,,,,,,,,,,,,,,,
2,,,,,,,,,,,,,,,,,
2,,,,,,,,,,,,,,,,,
2,,,,,,,,,,,,,,,,,
