step,fixed_previous_actions,observation_values_or_bins,selected_action,action_entropy,logit_grad_norm_wrt_y,next_action_probabilities,mean_TV_between_bins,mean_KL_between_bins,observation_to_action_mutual_information,unique_selected_actions_across_bins,seed
2,23,-2.0,29,3.3639206886291504,0.000547014526091516,0.030579 0.030530 0.037199 0.035832 0.037112 0.034335 0.034313 0.035066 0.031792 0.035294 0.039599 0.036786 0.037496 0.035237 0.032356 0.037887 0.031034 0.034327 0.030820 0.038572 0.033553 0.031067 0.034999 0.000000 0.032460 0.032890 0.036684 0.031594 0.030549 0.040039,0.0004380912120853152,8.025908207238379e-07,3.3496782913295966e-07,1,101
2,23,-1.4285714285714286,29,3.3639397621154785,0.0003252035821788013,0.030571 0.030555 0.037191 0.035819 0.037108 0.034345 0.034314 0.035068 0.031807 0.035296 0.039575 0.036782 0.037487 0.035216 0.032371 0.037889 0.031050 0.034339 0.030821 0.038554 0.033553 0.031089 0.034985 0.000000 0.032442 0.032904 0.036688 0.031611 0.030548 0.040024,0.0004380912120853152,8.025908207238379e-07,3.3496782913295966e-07,1,101
2,23,-0.8571428571428572,29,3.363956928253174,0.00012911326484754682,0.030567 0.030582 0.037190 0.035810 0.037105 0.034359 0.034317 0.035076 0.031815 0.035301 0.039553 0.036783 0.037472 0.035200 0.032381 0.037887 0.031069 0.034344 0.030818 0.038531 0.033545 0.031102 0.034967 0.000000 0.032422 0.032910 0.036695 0.031635 0.030550 0.040015,0.0004380912120853152,8.025908207238379e-07,3.3496782913295966e-07,1,101
2,23,-0.2857142857142858,29,3.3639745712280273,0.00016727541515138,0.030568 0.030609 0.037190 0.035802 0.037106 0.034375 0.034321 0.035081 0.031824 0.035308 0.039536 0.036782 0.037454 0.035176 0.032394 0.037878 0.031084 0.034343 0.030812 0.038501 0.033536 0.031116 0.034949 0.000000 0.032404 0.032919 0.036705 0.031661 0.030554 0.040011,0.0004380912120853152,8.025908207238379e-07,3.3496782913295966e-07,1,101
2,23,0.2857142857142856,29,3.3639886379241943,0.00025441974867135286,0.030559 0.030639 0.037190 0.035798 0.037105 0.034390 0.034327 0.035086 0.031834 0.035316 0.039523 0.036770 0.037437 0.035153 0.032402 0.037877 0.031096 0.034339 0.030805 0.038479 0.033527 0.031129 0.034936 0.000000 0.032392 0.032922 0.036711 0.031687 0.030559 0.040012,0.0004380912120853152,8.025908207238379e-07,3.3496782913295966e-07,1,101
2,23,0.8571428571428568,29,3.363997459411621,0.00024664547527208924,0.030547 0.030662 0.037193 0.035793 0.037107 0.034402 0.034334 0.035094 0.031843 0.035330 0.039515 0.036762 0.037418 0.035137 0.032404 0.037887 0.031112 0.034337 0.030792 0.038458 0.033514 0.031135 0.034931 0.000000 0.032381 0.032918 0.036709 0.031713 0.030561 0.040013,0.0004380912120853152,8.025908207238379e-07,3.3496782913295966e-07,1,101
2,23,1.4285714285714284,29,3.363999128341675,0.0007917947368696332,0.030529 0.030682 0.037189 0.035798 0.037108 0.034417 0.034340 0.035106 0.031851 0.035345 0.039512 0.036745 0.037400 0.035132 0.032408 0.037903 0.031132 0.034335 0.030770 0.038440 0.033497 0.031136 0.034924 0.000000 0.032363 0.032907 0.036709 0.031736 0.030564 0.040023,0.0004380912120853152,8.025908207238379e-07,3.3496782913295966e-07,1,101
2,23,2.0,29,3.3640010356903076,0.000897002057172358,0.030509 0.030704 0.037187 0.035807 0.037110 0.034431 0.034347 0.035115 0.031856 0.035360 0.039509 0.036723 0.037383 0.035126 0.032412 0.037918 0.031151 0.034332 0.030748 0.038425 0.033482 0.031138 0.034917 0.000000 0.032343 0.032900 0.036706 0.031755 0.030567 0.040037,0.0004380912120853152,8.025908207238379e-07,3.3496782913295966e-07,1,101
3,23 29,-2.0,10,3.329301357269287,0.0002139954740414396,0.031812 0.031713 0.038563 0.037125 0.038424 0.035859 0.036036 0.036520 0.033081 0.036958 0.041059 0.038238 0.039028 0.037012 0.033853 0.039312 0.032574 0.035627 0.032008 0.039800 0.034891 0.032254 0.036308 0.000000 0.033978 0.034167 0.038453 0.033294 0.032052 0.000000,0.00022406097767608508,2.0151841998280622e-07,9.776963198614638e-08,1,101
3,23 29,-1.4285714285714286,10,3.3292996883392334,0.00024373916676267982,0.031807 0.031716 0.038563 0.037117 0.038419 0.035858 0.036026 0.036513 0.033085 0.036964 0.041063 0.038230 0.039025 0.037013 0.033864 0.039317 0.032575 0.035634 0.032008 0.039802 0.034891 0.032243 0.036309 0.000000 0.033972 0.034176 0.038470 0.033288 0.032052 0.000000,0.00022406097767608508,2.0151841998280622e-07,9.776963198614638e-08,1,101
3,23 29,-0.8571428571428572,10,3.3292970657348633,0.0002480122202541679,0.031801 0.031718 0.038565 0.037110 0.038413 0.035856 0.036017 0.036507 0.033086 0.036971 0.041067 0.038223 0.039021 0.037015 0.033873 0.039322 0.032573 0.035642 0.032009 0.039804 0.034890 0.032232 0.036312 0.000000 0.033965 0.034185 0.038488 0.033284 0.032052 0.000000,0.00022406097767608508,2.0151841998280622e-07,9.776963198614638e-08,1,101
3,23 29,-0.2857142857142858,10,3.3292934894561768,0.0002781769435387105,0.031794 0.031720 0.038568 0.037104 0.038405 0.035854 0.036006 0.036501 0.033087 0.036978 0.041071 0.038215 0.039017 0.037020 0.033880 0.039329 0.032570 0.035650 0.032010 0.039807 0.034890 0.032220 0.036317 0.000000 0.033956 0.034192 0.038505 0.033279 0.032052 0.000000,0.00022406097767608508,2.0151841998280622e-07,9.776963198614638e-08,1,101
3,23 29,0.2857142857142856,10,3.3292899131774902,0.00022224262647796422,0.031785 0.031723 0.038573 0.037098 0.038395 0.035855 0.035997 0.036497 0.033087 0.036988 0.041075 0.038210 0.039014 0.037027 0.033885 0.039334 0.032568 0.035657 0.032011 0.039809 0.034891 0.032209 0.036320 0.000000 0.033947 0.034197 0.038522 0.033276 0.032051 0.000000,0.00022406097767608508,2.0151841998280622e-07,9.776963198614638e-08,1,101
3,23 29,0.8571428571428568,10,3.329284906387329,0.00023532815976068377,0.031778 0.031726 0.038578 0.037092 0.038384 0.035856 0.035988 0.036493 0.033084 0.037000 0.041078 0.038204 0.039009 0.037035 0.033890 0.039340 0.032563 0.035662 0.032011 0.039813 0.034891 0.032195 0.036323 0.000000 0.033939 0.034201 0.038540 0.033276 0.032051 0.000000,0.00022406097767608508,2.0151841998280622e-07,9.776963198614638e-08,1,101
3,23 29,1.4285714285714284,10,3.3292806148529053,0.00023847751435823739,0.031771 0.031729 0.038584 0.037087 0.038374 0.035857 0.035980 0.036488 0.033080 0.037013 0.041082 0.038198 0.039003 0.037043 0.033893 0.039345 0.032559 0.035667 0.032011 0.039816 0.034891 0.032182 0.036326 0.000000 0.033931 0.034205 0.038557 0.033276 0.032050 0.000000,0.00022406097767608508,2.0151841998280622e-07,9.776963198614638e-08,1,101
3,23 29,2.0,10,3.3292760848999023,0.0001983020338229835,0.031764 0.031732 0.038589 0.037082 0.038364 0.035859 0.035971 0.036484 0.033077 0.037026 0.041084 0.038193 0.038998 0.037051 0.033897 0.039352 0.032555 0.035672 0.032010 0.039820 0.034892 0.032169 0.036331 0.000000 0.033923 0.034209 0.038573 0.033276 0.032050 0.000000,0.00022406097767608508,2.0151841998280622e-07,9.776963198614638e-08,1,101
4,23 29 10,-2.0,19,3.293128490447998,0.0004526507982518524,0.033084 0.033080 0.040237 0.038684 0.040297 0.037230 0.037498 0.037831 0.034483 0.038616 0.000000 0.039981 0.040605 0.038781 0.035208 0.041281 0.034098 0.037164 0.033209 0.041563 0.036336 0.033563 0.037941 0.000000 0.035426 0.035775 0.040041 0.034669 0.033318 0.000000,0.0001377197913825512,5.9159067993570195e-08,3.6269004129215915e-08,1,101
4,23 29 10,-1.4285714285714286,19,3.2931346893310547,0.00047457401524297893,0.033089 0.033081 0.040227 0.038679 0.040300 0.037235 0.037490 0.037829 0.034487 0.038619 0.000000 0.039983 0.040592 0.038780 0.035217 0.041283 0.034101 0.037164 0.033213 0.041554 0.036335 0.033571 0.037940 0.000000 0.035423 0.035774 0.040040 0.034676 0.033319 0.000000,0.0001377197913825512,5.9159067993570195e-08,3.6269004129215915e-08,1,101
4,23 29 10,-0.8571428571428572,19,3.293139934539795,0.00047738986904732883,0.033093 0.033082 0.040218 0.038674 0.040303 0.037241 0.037484 0.037826 0.034490 0.038624 0.000000 0.039986 0.040578 0.038779 0.035227 0.041285 0.034105 0.037165 0.033216 0.041544 0.036332 0.033576 0.037940 0.000000 0.035419 0.035773 0.040039 0.034682 0.033319 0.000000,0.0001377197913825512,5.9159067993570195e-08,3.6269004129215915e-08,1,101
4,23 29 10,-0.2857142857142858,19,3.293144941329956,0.0004706204344984144,0.033096 0.033082 0.040209 0.038667 0.040304 0.037246 0.037479 0.037826 0.034491 0.038629 0.000000 0.039990 0.040565 0.038781 0.035235 0.041286 0.034107 0.037167 0.033220 0.041534 0.036329 0.033580 0.037939 0.000000 0.035415 0.035774 0.040039 0.034689 0.033320 0.000000,0.0001377197913825512,5.9159067993570195e-08,3.6269004129215915e-08,1,101
4,23 29 10,0.2857142857142856,19,3.293149709701538,0.00033365972922183573,0.033097 0.033083 0.040202 0.038661 0.040303 0.037250 0.037474 0.037827 0.034493 0.038633 0.000000 0.039990 0.040555 0.038782 0.035245 0.041286 0.034110 0.037170 0.033225 0.041526 0.036328 0.033583 0.037934 0.000000 0.035411 0.035775 0.040040 0.034696 0.033322 0.000000,0.0001377197913825512,5.9159067993570195e-08,3.6269004129215915e-08,1,101
4,23 29 10,0.8571428571428568,19,3.293153762817383,0.0002923973370343447,0.033096 0.033086 0.040196 0.038656 0.040302 0.037254 0.037469 0.037829 0.034494 0.038638 0.000000 0.039991 0.040546 0.038780 0.035254 0.041285 0.034112 0.037172 0.033229 0.041521 0.036325 0.033585 0.037928 0.000000 0.035406 0.035777 0.040042 0.034702 0.033324 0.000000,0.0001377197913825512,5.9159067993570195e-08,3.6269004129215915e-08,1,101
4,23 29 10,1.4285714285714284,19,3.2931559085845947,0.0002594610850792378,0.033096 0.033087 0.040192 0.038651 0.040301 0.037256 0.037466 0.037830 0.034495 0.038642 0.000000 0.039989 0.040539 0.038780 0.035264 0.041286 0.034112 0.037175 0.033231 0.041518 0.036322 0.033584 0.037923 0.000000 0.035403 0.035779 0.040046 0.034706 0.033325 0.000000,0.0001377197913825512,5.9159067993570195e-08,3.6269004129215915e-08,1,101
4,23 29 10,2.0,19,3.2931571006774902,0.00024551531532779336,0.033095 0.033088 0.040189 0.038646 0.040298 0.037259 0.037465 0.037831 0.034495 0.038648 0.000000 0.039988 0.040527 0.038784 0.035273 0.041289 0.034112 0.037178 0.033230 0.041516 0.036319 0.033580 0.037920 0.000000 0.035403 0.035781 0.040050 0.034710 0.033325 0.000000,0.0001377197913825512,5.9159067993570195e-08,3.6269004129215915e-08,1,101
2,23,-2.0,11,3.2841975688934326,0.006807789206504822,0.029854 0.058018 0.043737 0.044389 0.022535 0.038573 0.042241 0.030260 0.037906 0.017515 0.049838 0.086224 0.018326 0.020479 0.023590 0.042109 0.033627 0.037775 0.018334 0.041245 0.030201 0.048887 0.033746 0.000000 0.019625 0.026636 0.042194 0.018043 0.021078 0.023013,0.001106845713885767,4.661413835752423e-06,2.005072842548974e-06,1,202
