T,contrast,mean_paired_diff,median_paired_diff,std_error,ci95_low,ci95_high,fraction_a_lower,fraction_b_lower,fraction_tied,n,n_bootstrap
2,dad_minus_myopic,-0.04419999999999999,0.0,0.00645197551049196,-0.05660000000000001,-0.0315,0.464,0.293,0.243,1000,10000
2,dad_minus_fixed,-0.0255,0.0,0.006553067426228171,-0.03810000000000001,-0.012697500000000037,0.36,0.275,0.365,1000,10000
2,dad_minus_random,-0.067,0.0,0.005977183845819595,-0.0787,-0.05509750000000004,0.465,0.226,0.309,1000,10000
2,myopic_minus_fixed,0.018699999999999994,0.0,0.0021737145707371604,0.014399999999999996,0.022899999999999997,0.069,0.259,0.672,1000,10000
2,myopic_minus_random,-0.022800000000000008,0.0,0.004660673972923003,-0.031900000000000005,-0.013700000000000002,0.326,0.217,0.457,1000,10000
2,fixed_minus_random,-0.0415,0.0,0.004844710643704247,-0.0508,-0.032,0.371,0.184,0.445,1000,10000
3,dad_minus_myopic,-0.017099999999999997,0.0,0.0027468409373560634,-0.022399999999999996,-0.011799999999999993,0.261,0.099,0.64,1000,10000
3,dad_minus_fixed,0.001300000000000006,0.0,0.007086503265259146,-0.012399999999999998,0.015100000000000004,0.317,0.324,0.359,1000,10000
3,dad_minus_random,-0.027099999999999996,0.0,0.005087383558517234,-0.037,-0.017299999999999996,0.35,0.2,0.45,1000,10000
3,myopic_minus_fixed,0.018399999999999996,0.0,0.0067681051445177215,0.005099999999999995,0.031599999999999996,0.321,0.434,0.245,1000,10000
3,myopic_minus_random,-0.010000000000000004,0.0,0.004917741776891522,-0.019500000000000007,-0.0005000000000000043,0.307,0.25,0.443,1000,10000
3,fixed_minus_random,-0.028399999999999998,0.0,0.005816121325012682,-0.039799999999999995,-0.0169,0.378,0.267,0.355,1000,10000
4,dad_minus_myopic,-0.032100000000000004,0.0,0.006964775523884321,-0.045899999999999996,-0.0185,0.391,0.3,0.309,1000,10000
4,dad_minus_fixed,-0.033500000000000016,0.0,0.0057044097232132876,-0.04480000000000001,-0.02260000000000001,0.246,0.264,0.49,1000,10000
4,dad_minus_random,-0.04810000000000001,0.0,0.006134657612615722,-0.060300000000000006,-0.03649750000000004,0.385,0.257,0.358,1000,10000
4,myopic_minus_fixed,-0.0014000000000000132,0.0,0.0032200013056532155,-0.0077000000000000115,0.00489999999999999,0.22,0.217,0.563,1000,10000
4,myopic_minus_random,-0.016000000000000007,0.0,0.004173897629485111,-0.024300000000000013,-0.007800000000000007,0.292,0.211,0.497,1000,10000
4,fixed_minus_random,-0.014599999999999998,0.0,0.003852490322075019,-0.0222,-0.007099999999999998,0.283,0.169,0.548,1000,10000
